"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2025millcreek","4.0 Advanced","Pool","Serverance","R&B Drops","June Cazier","Zeb Daw","Ryley Duke","Becca Feller",17,15
"2025millcreek","4.0 Advanced","Pool","Spicy Spikers","Corbin / Jaidyn","Anne Marie Gibbs","Gavin Caraway","","",15,8
"2025millcreek","4.0 Advanced","Pool","Mom and Dad","Excuses","Kylie Rowley","jesse rowley","Charlie Bratsman","Kyle Sharp",12,15
"2025millcreek","4.0 Advanced","Pool","Serverance","Corbin / Jaidyn","June Cazier","Zeb Daw","","",15,3
"2025millcreek","4.0 Advanced","Pool","Spicy Spikers","FLAIR Play Only","Anne Marie Gibbs","Gavin Caraway","Paulo Miro","Lennon Zimmerman",15,8
"2025millcreek","4.0 Advanced","Pool","Excuses","R&B Drops","Charlie Bratsman","Kyle Sharp","Ryley Duke","Becca Feller",15,12
"2025millcreek","4.0 Advanced","Pool","Serverance","Excuses","June Cazier","Zeb Daw","Charlie Bratsman","Kyle Sharp",9,15
"2025millcreek","4.0 Advanced","Pool","Spicy Spikers","Mom and Dad","Anne Marie Gibbs","Gavin Caraway","Kylie Rowley","jesse rowley",11,15
"2025millcreek","4.0 Advanced","Pool","FLAIR Play Only","Corbin / Jaidyn","Paulo Miro","Lennon Zimmerman","","",15,10
"2025millcreek","4.0 Advanced","Pool","Serverance","FLAIR Play Only","June Cazier","Zeb Daw","Paulo Miro","Lennon Zimmerman",9,15
"2025millcreek","4.0 Advanced","Pool","Spicy Spikers","R&B Drops","Anne Marie Gibbs","Gavin Caraway","Ryley Duke","Becca Feller",15,6
"2025millcreek","4.0 Advanced","Pool","Mom and Dad","Corbin / Jaidyn","Kylie Rowley","jesse rowley","","",15,11
"2025millcreek","4.0 Advanced","Pool","Spicy Spikers","Excuses","Anne Marie Gibbs","Gavin Caraway","Charlie Bratsman","Kyle Sharp",15,12
"2025millcreek","4.0 Advanced","Pool","Mom and Dad","FLAIR Play Only","Kylie Rowley","jesse rowley","Paulo Miro","Lennon Zimmerman",15,12
"2025millcreek","4.0 Advanced","Pool","Corbin / Jaidyn","R&B Drops","","","Ryley Duke","Becca Feller",6,15
"2025millcreek","4.0 Advanced","Pool","Serverance","Mom and Dad","June Cazier","Zeb Daw","Kylie Rowley","jesse rowley",15,11
"2025millcreek","4.0 Advanced","Pool","FLAIR Play Only","R&B Drops","Paulo Miro","Lennon Zimmerman","Ryley Duke","Becca Feller",15,6
"2025millcreek","4.0 Advanced","Pool","Excuses","Corbin / Jaidyn","Charlie Bratsman","Kyle Sharp","","",15,5
"2025millcreek","4.0 Advanced","Pool","Serverance","Spicy Spikers","June Cazier","Zeb Daw","Anne Marie Gibbs","Gavin Caraway",10,15
"2025millcreek","4.0 Advanced","Pool","Mom and Dad","R&B Drops","Kylie Rowley","jesse rowley","Ryley Duke","Becca Feller",13,15
"2025millcreek","4.0 Advanced","Pool","FLAIR Play Only","Excuses","Paulo Miro","Lennon Zimmerman","Charlie Bratsman","Kyle Sharp",13,15
"2025millcreek","4.0 Advanced","Quarter-final","Excuses","Corbin / Jaidyn","Charlie Bratsman","Kyle Sharp","","",21,7
"2025millcreek","4.0 Advanced","Quarter-final","Excuses","Corbin / Jaidyn","Charlie Bratsman","Kyle Sharp","","",21,9
