"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2026af","4.0 Challenger","Pool","We Thought This was Pickleball","Gemini","Ryley Duke","Ryan Kartchner","Trevor Goodson","Ian Goodson",15,6
"2026af","4.0 Challenger","Pool","The Moppers","Como Se Juega","Devin Perkins","Payton Perkins","Nathan Brueck","Adam Brueck",16,14
"2026af","4.0 Challenger","Pool","Mom and Dad","CJack","jesse rowley","Kylie Rowley","Kieren Henness","Chad Lewis",11,15
"2026af","4.0 Challenger","Pool","We Thought This was Pickleball","Como Se Juega","Ryley Duke","Ryan Kartchner","Nathan Brueck","Adam Brueck",15,9
"2026af","4.0 Challenger","Pool","The Moppers","Full Metal Alche-Missed Our Serve","Devin Perkins","Payton Perkins","Justin Mecham","Sam Turner",15,13
"2026af","4.0 Challenger","Pool","CJack","Gemini","Kieren Henness","Chad Lewis","Trevor Goodson","Ian Goodson",12,15
"2026af","4.0 Challenger","Pool","We Thought This was Pickleball","CJack","Ryley Duke","Ryan Kartchner","Kieren Henness","Chad Lewis",15,11
"2026af","4.0 Challenger","Pool","The Moppers","Mom and Dad","Devin Perkins","Payton Perkins","jesse rowley","Kylie Rowley",8,15
"2026af","4.0 Challenger","Pool","Full Metal Alche-Missed Our Serve","Como Se Juega","Justin Mecham","Sam Turner","Nathan Brueck","Adam Brueck",16,14
"2026af","4.0 Challenger","Pool","We Thought This was Pickleball","Full Metal Alche-Missed Our Serve","Ryley Duke","Ryan Kartchner","Justin Mecham","Sam Turner",15,9
"2026af","4.0 Challenger","Pool","The Moppers","Gemini","Devin Perkins","Payton Perkins","Trevor Goodson","Ian Goodson",15,10
"2026af","4.0 Challenger","Pool","Mom and Dad","Como Se Juega","jesse rowley","Kylie Rowley","Nathan Brueck","Adam Brueck",15,8
"2026af","4.0 Challenger","Pool","The Moppers","CJack","Devin Perkins","Payton Perkins","Kieren Henness","Chad Lewis",15,9
"2026af","4.0 Challenger","Pool","Mom and Dad","Full Metal Alche-Missed Our Serve","jesse rowley","Kylie Rowley","Justin Mecham","Sam Turner",15,11
"2026af","4.0 Challenger","Pool","Como Se Juega","Gemini","Nathan Brueck","Adam Brueck","Trevor Goodson","Ian Goodson",8,15
"2026af","4.0 Challenger","Pool","We Thought This was Pickleball","Mom and Dad","Ryley Duke","Ryan Kartchner","jesse rowley","Kylie Rowley",12,15
"2026af","4.0 Challenger","Pool","Full Metal Alche-Missed Our Serve","Gemini","Justin Mecham","Sam Turner","Trevor Goodson","Ian Goodson",15,11
"2026af","4.0 Challenger","Pool","CJack","Como Se Juega","Kieren Henness","Chad Lewis","Nathan Brueck","Adam Brueck",15,9
"2026af","4.0 Challenger","Pool","We Thought This was Pickleball","The Moppers","Ryley Duke","Ryan Kartchner","Devin Perkins","Payton Perkins",15,7
"2026af","4.0 Challenger","Pool","Mom and Dad","Gemini","jesse rowley","Kylie Rowley","Trevor Goodson","Ian Goodson",15,11
"2026af","4.0 Challenger","Pool","Full Metal Alche-Missed Our Serve","CJack","Justin Mecham","Sam Turner","Kieren Henness","Chad Lewis",8,15
"2026af","4.0 Challenger","Quarter-final","We Thought This was Pickleball","Como Se Juega","Ryley Duke","Ryan Kartchner","Nathan Brueck","Adam Brueck",21,19
"2026af","4.0 Challenger","Quarter-final","We Thought This was Pickleball","Como Se Juega","Ryley Duke","Ryan Kartchner","Nathan Brueck","Adam Brueck",21,10
"2026af","4.0 Challenger","Quarter-final","The Moppers","Gemini","Devin Perkins","Payton Perkins","Trevor Goodson","Ian Goodson",21,13
"2026af","4.0 Challenger","Quarter-final","The Moppers","Gemini","Devin Perkins","Payton Perkins","Trevor Goodson","Ian Goodson",21,15
