"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2026bts","2.0-3.0 Recreational","Pool","JDZ Ninjas","Really Good Team","Dakota Stevens ","Joseph White, Jr","Damien Foster","Karee Brown",15,10
"2026bts","2.0-3.0 Recreational","Pool","Rams","lobsters","Ryan Tomlinson","Marin Langston","Chase Barlow","Drex Larson",12,15
"2026bts","2.0-3.0 Recreational","Pool","JDZ Ninjas","lobsters","Dakota Stevens ","Joseph White, Jr","Chase Barlow","Drex Larson",15,10
"2026bts","2.0-3.0 Recreational","Pool","Rams","Really Good Team","Ryan Tomlinson","Marin Langston","Damien Foster","Karee Brown",13,15
"2026bts","2.0-3.0 Recreational","Pool","JDZ Ninjas","Rams","Dakota Stevens ","Joseph White, Jr","Ryan Tomlinson","Marin Langston",15,11
"2026bts","2.0-3.0 Recreational","Pool","lobsters","Really Good Team","Chase Barlow","Drex Larson","Damien Foster","Karee Brown",15,10
"2026bts","2.0-3.0 Recreational","Pool","JDZ Ninjas","Really Good Team","Dakota Stevens ","Joseph White, Jr","Damien Foster","Karee Brown",15,17
"2026bts","2.0-3.0 Recreational","Pool","Rams","lobsters","Ryan Tomlinson","Marin Langston","Chase Barlow","Drex Larson",11,15
"2026bts","2.0-3.0 Recreational","Pool","JDZ Ninjas","lobsters","Dakota Stevens ","Joseph White, Jr","Chase Barlow","Drex Larson",9,15
"2026bts","2.0-3.0 Recreational","Pool","Rams","Really Good Team","Ryan Tomlinson","Marin Langston","Damien Foster","Karee Brown",15,12
"2026bts","2.0-3.0 Recreational","Pool","JDZ Ninjas","Rams","Dakota Stevens ","Joseph White, Jr","Ryan Tomlinson","Marin Langston",11,15
"2026bts","2.0-3.0 Recreational","Pool","lobsters","Really Good Team","Chase Barlow","Drex Larson","Damien Foster","Karee Brown",15,11
"2026bts","2.0-3.0 Recreational","Semi-final","lobsters","Really Good Team","Chase Barlow","Drex Larson","Damien Foster","Karee Brown",1,0
"2026bts","2.0-3.0 Recreational","Semi-final","lobsters","Really Good Team","Chase Barlow","Drex Larson","Damien Foster","Karee Brown",1,0
"2026bts","2.0-3.0 Recreational","Semi-final","JDZ Ninjas","Rams","Dakota Stevens ","Joseph White, Jr","Ryan Tomlinson","Marin Langston",1,0
"2026bts","2.0-3.0 Recreational","Semi-final","JDZ Ninjas","Rams","Dakota Stevens ","Joseph White, Jr","Ryan Tomlinson","Marin Langston",1,0
"2026bts","2.0-3.0 Recreational","Final","lobsters","JDZ Ninjas","Chase Barlow","Drex Larson","Dakota Stevens ","Joseph White, Jr",21,14
"2026bts","2.0-3.0 Recreational","Final","lobsters","JDZ Ninjas","Chase Barlow","Drex Larson","Dakota Stevens ","Joseph White, Jr",18,21
"2026bts","2.0-3.0 Recreational","Final","lobsters","JDZ Ninjas","Chase Barlow","Drex Larson","Dakota Stevens ","Joseph White, Jr",19,21
"2026bts","4.0 Challenger","Pool","Declining Performance","Prison Mikes","Gabe Memmott","Ian Morgan","Ainsley Barlow","Kody Price",11,21
"2026bts","4.0 Challenger","Pool","Rent Due, Gotta Win","Dalton Gang","Calon Heindel","Ryan Kartchner","Bridger Dalton","Luke Dalton",21,15
"2026bts","4.0 Challenger","Pool","Spike and Subscribe","Nifty nibblers","Becca Feller","Dylan Mundy","Reed Berg","Chase Fauset",21,16
"2026bts","4.0 Challenger","Pool","The Corn burgers","Brim Breakers","Ty Griffeth","Dom Haynes","Devin Perkins","Miles Egbert",13,21
"2026bts","4.0 Challenger","Pool","KaChowskies","The Empire Spikes Back","Kimball Sanpp","Ansen Christensen","Justin Tobin","Aysha Lewis",18,21
"2026bts","4.0 Challenger","Pool","Plaisted/Anderson","2016 Cavs","Anne Marie Gibbs","Justin Anderson","Austin Squire","Jace Durfey",13,21
"2026bts","4.0 Challenger","Pool","Canes?","The Dawgs","Tyler Caswell","Spencer Hodson","Zeb Daw","June Cazier",21,18
"2026bts","4.0 Challenger","Pool","Josh's Make-A-Wish Adventure","Cave","Anna Balmforth","Joshua Balmforth","Thomas Hales","Ian Goodson",21,15
"2026bts","4.0 Challenger","Pool","United","We Thought This Was Pickleball?","LeGrand Callister","Breven Imes","Sam Eagar","Alex Eagar",21,17
"2026bts","4.0 Challenger","Pool","Dalton Gang","Prison Mikes","Bridger Dalton","Luke Dalton","Ainsley Barlow","Kody Price",14,21
"2026bts","4.0 Challenger","Pool","Spike and Subscribe","Brim Breakers","Becca Feller","Dylan Mundy","Devin Perkins","Miles Egbert",21,14
"2026bts","4.0 Challenger","Pool","The Corn burgers","KaChowskies","Ty Griffeth","Dom Haynes","Kimball Sanpp","Ansen Christensen",16,21
"2026bts","4.0 Challenger","Pool","The Empire Spikes Back","Nifty nibblers","Justin Tobin","Aysha Lewis","Reed Berg","Chase Fauset",21,16
