"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2026fts","2.0-3.0 Recreational","Pool","Double Ace","Comin for a Jam","Ainsley Barlow","Alanna Smart","Samuel Comin","James VanDam",18,21
"2026fts","2.0-3.0 Recreational","Pool","VegasBoyz","NARPS","Caleb Scow","Benjamin Scow","Trevor Davis","DANIEL LACEY",21,12
"2026fts","2.0-3.0 Recreational","Pool","Double Ace","NARPS","Ainsley Barlow","Alanna Smart","Trevor Davis","DANIEL LACEY",7,21
"2026fts","2.0-3.0 Recreational","Pool","Big Blue Spikes Back","Comin for a Jam","Garrett Lawton","Lauren Zaleski","Samuel Comin","James VanDam",21,12
"2026fts","2.0-3.0 Recreational","Pool","Double Ace","Big Blue Spikes Back","Ainsley Barlow","Alanna Smart","Garrett Lawton","Lauren Zaleski",10,21
"2026fts","2.0-3.0 Recreational","Pool","VegasBoyz","Comin for a Jam","Caleb Scow","Benjamin Scow","Samuel Comin","James VanDam",21,13
"2026fts","2.0-3.0 Recreational","Pool","VegasBoyz","Big Blue Spikes Back","Caleb Scow","Benjamin Scow","Garrett Lawton","Lauren Zaleski",16,21
"2026fts","2.0-3.0 Recreational","Pool","NARPS","Comin for a Jam","Trevor Davis","DANIEL LACEY","Samuel Comin","James VanDam",21,14
"2026fts","2.0-3.0 Recreational","Pool","Double Ace","VegasBoyz","Ainsley Barlow","Alanna Smart","Caleb Scow","Benjamin Scow",7,21
"2026fts","2.0-3.0 Recreational","Pool","Big Blue Spikes Back","NARPS","Garrett Lawton","Lauren Zaleski","Trevor Davis","DANIEL LACEY",17,21
"2026fts","2.0-3.0 Recreational","Quarter-final","Comin for a Jam","Double Ace","Samuel Comin","James VanDam","Ainsley Barlow","Alanna Smart",21,15
"2026fts","2.0-3.0 Recreational","Quarter-final","Comin for a Jam","Double Ace","Samuel Comin","James VanDam","Ainsley Barlow","Alanna Smart",21,15
"2026fts","2.0-3.0 Recreational","Semi-final","VegasBoyz","Comin for a Jam","Caleb Scow","Benjamin Scow","Samuel Comin","James VanDam",21,13
"2026fts","2.0-3.0 Recreational","Semi-final","VegasBoyz","Comin for a Jam","Caleb Scow","Benjamin Scow","Samuel Comin","James VanDam",21,16
"2026fts","2.0-3.0 Recreational","Semi-final","Big Blue Spikes Back","NARPS","Garrett Lawton","Lauren Zaleski","Trevor Davis","DANIEL LACEY",21,18
"2026fts","2.0-3.0 Recreational","Semi-final","Big Blue Spikes Back","NARPS","Garrett Lawton","Lauren Zaleski","Trevor Davis","DANIEL LACEY",17,21
