"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2026pg","2.0-3.0 Recreational","Pool","LSquared","Santi","Luke Timmons","Logan Bishop","Kyler Ellyson","Will Santiago",6,21
"2026pg","2.0-3.0 Recreational","Pool","The Wright Team","Peer Reviewed","Brayden Wright","Ashley Wright","Kyra Nielson","Ashtyn Rose",21,5
"2026pg","2.0-3.0 Recreational","Pool","Gemini","Setters of catan","Trevor Goodson","Ian Goodson","Damian Neuwirth","Carter Walker",21,7
"2026pg","2.0-3.0 Recreational","Pool","CED boys","Quad Squad","Steven Garcia","Ethan Rowser","Garrett Lawton","Lauren Zaleski",20,22
"2026pg","2.0-3.0 Recreational","Pool","Two Hoopers","Turkey Bros","Spencer Fillmore","James Fillmore","Kaden Souter","Ryan Souter",19,21
"2026pg","2.0-3.0 Recreational","Pool","Traffic Jam","B Squared","Rafael Oliveira","Tanner Chamberlain","Bryson Cook","Brian Marx",16,21
"2026pg","2.0-3.0 Recreational","Pool","LSquared","Peer Reviewed","Luke Timmons","Logan Bishop","Kyra Nielson","Ashtyn Rose",19,21
"2026pg","2.0-3.0 Recreational","Pool","J Squared","Santi","Jackson Cooper","Jace Durfey","Kyler Ellyson","Will Santiago",17,21
"2026pg","2.0-3.0 Recreational","Pool","Gemini","Quad Squad","Trevor Goodson","Ian Goodson","Garrett Lawton","Lauren Zaleski",21,18
"2026pg","2.0-3.0 Recreational","Pool","The RobiSlams","Setters of catan","Jennifer Robison","Cole Robison","Damian Neuwirth","Carter Walker",7,21
"2026pg","2.0-3.0 Recreational","Pool","Two Hoopers","B Squared","Spencer Fillmore","James Fillmore","Bryson Cook","Brian Marx",10,21
"2026pg","2.0-3.0 Recreational","Pool","Spikenadoe","Turkey Bros","Cody Barth","Cameron Barth","Kaden Souter","Ryan Souter",5,21
"2026pg","2.0-3.0 Recreational","Pool","LSquared","J Squared","Luke Timmons","Logan Bishop","Jackson Cooper","Jace Durfey",9,21
"2026pg","2.0-3.0 Recreational","Pool","The Wright Team","Santi","Brayden Wright","Ashley Wright","Kyler Ellyson","Will Santiago",17,21
"2026pg","2.0-3.0 Recreational","Pool","Gemini","The RobiSlams","Trevor Goodson","Ian Goodson","Jennifer Robison","Cole Robison",21,5
"2026pg","2.0-3.0 Recreational","Pool","CED boys","Setters of catan","Steven Garcia","Ethan Rowser","Damian Neuwirth","Carter Walker",21,11
"2026pg","2.0-3.0 Recreational","Pool","Two Hoopers","Spikenadoe","Spencer Fillmore","James Fillmore","Cody Barth","Cameron Barth",24,22
"2026pg","2.0-3.0 Recreational","Pool","Traffic Jam","Turkey Bros","Rafael Oliveira","Tanner Chamberlain","Kaden Souter","Ryan Souter",16,21
"2026pg","2.0-3.0 Recreational","Pool","The Wright Team","J Squared","Brayden Wright","Ashley Wright","Jackson Cooper","Jace Durfey",8,21
"2026pg","2.0-3.0 Recreational","Pool","Peer Reviewed","Santi","Kyra Nielson","Ashtyn Rose","Kyler Ellyson","Will Santiago",6,21
"2026pg","2.0-3.0 Recreational","Pool","CED boys","The RobiSlams","Steven Garcia","Ethan Rowser","Jennifer Robison","Cole Robison",21,9
"2026pg","2.0-3.0 Recreational","Pool","Quad Squad","Setters of catan","Garrett Lawton","Lauren Zaleski","Damian Neuwirth","Carter Walker",21,16
"2026pg","2.0-3.0 Recreational","Pool","Traffic Jam","Spikenadoe","Rafael Oliveira","Tanner Chamberlain","Cody Barth","Cameron Barth",21,17
"2026pg","2.0-3.0 Recreational","Pool","B Squared","Turkey Bros","Bryson Cook","Brian Marx","Kaden Souter","Ryan Souter",21,16
"2026pg","2.0-3.0 Recreational","Pool","LSquared","The Wright Team","Luke Timmons","Logan Bishop","Brayden Wright","Ashley Wright",6,21
"2026pg","2.0-3.0 Recreational","Pool","J Squared","Peer Reviewed","Jackson Cooper","Jace Durfey","Kyra Nielson","Ashtyn Rose",21,4
"2026pg","2.0-3.0 Recreational","Pool","Gemini","CED boys","Trevor Goodson","Ian Goodson","Steven Garcia","Ethan Rowser",21,15
"2026pg","2.0-3.0 Recreational","Pool","The RobiSlams","Quad Squad","Jennifer Robison","Cole Robison","Garrett Lawton","Lauren Zaleski",7,21
"2026pg","2.0-3.0 Recreational","Pool","Two Hoopers","Traffic Jam","Spencer Fillmore","James Fillmore","Rafael Oliveira","Tanner Chamberlain",21,15
"2026pg","2.0-3.0 Recreational","Pool","Spikenadoe","B Squared","Cody Barth","Cameron Barth","Bryson Cook","Brian Marx",10,21
"2026pg","2.0-3.0 Recreational","Quarter-final","Gemini","The Wright Team","Trevor Goodson","Ian Goodson","Brayden Wright","Ashley Wright",21,12
"2026pg","2.0-3.0 Recreational","Quarter-final","Gemini","The Wright Team","Trevor Goodson","Ian Goodson","Brayden Wright","Ashley Wright",21,14
