"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"2026springspikeutah","2.0-3.0 Recreational","Pool","Roundnet Rookies","Charlie's Wannabe's","Jaimen Holman","Parker Medford","Matthew Brady","Benjamin Ware",15,11
"2026springspikeutah","2.0-3.0 Recreational","Pool","DominEnce","Bread Gang","Savannah Ence","Alex Ence","Brenden Taylor","Kade S",5,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","Strawberry Horchata","Salt and Pepper","Aniston D.","Trey Kelly","Reed Ahlstrom","Jayden Olsen",3,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","Roundnet Rookies","Bread Gang","Jaimen Holman","Parker Medford","Brenden Taylor","Kade S",13,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","DominEnce","Harmony","Savannah Ence","Alex Ence","Jaxon Taylor","Preston Harmon",15,7
"2026springspikeutah","2.0-3.0 Recreational","Pool","Salt and Pepper","Charlie's Wannabe's","Reed Ahlstrom","Jayden Olsen","Matthew Brady","Benjamin Ware",12,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","Roundnet Rookies","Salt and Pepper","Jaimen Holman","Parker Medford","Reed Ahlstrom","Jayden Olsen",13,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","DominEnce","Strawberry Horchata","Savannah Ence","Alex Ence","Aniston D.","Trey Kelly",15,5
"2026springspikeutah","2.0-3.0 Recreational","Pool","Harmony","Bread Gang","Jaxon Taylor","Preston Harmon","Brenden Taylor","Kade S",3,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","Roundnet Rookies","Harmony","Jaimen Holman","Parker Medford","Jaxon Taylor","Preston Harmon",15,5
"2026springspikeutah","2.0-3.0 Recreational","Pool","DominEnce","Charlie's Wannabe's","Savannah Ence","Alex Ence","Matthew Brady","Benjamin Ware",11,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","Strawberry Horchata","Bread Gang","Aniston D.","Trey Kelly","Brenden Taylor","Kade S",4,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","DominEnce","Salt and Pepper","Savannah Ence","Alex Ence","Reed Ahlstrom","Jayden Olsen",10,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","Strawberry Horchata","Harmony","Aniston D.","Trey Kelly","Jaxon Taylor","Preston Harmon",9,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","Bread Gang","Charlie's Wannabe's","Brenden Taylor","Kade S","Matthew Brady","Benjamin Ware",15,8
"2026springspikeutah","2.0-3.0 Recreational","Pool","Roundnet Rookies","Strawberry Horchata","Jaimen Holman","Parker Medford","Aniston D.","Trey Kelly",15,5
"2026springspikeutah","2.0-3.0 Recreational","Pool","Harmony","Charlie's Wannabe's","Jaxon Taylor","Preston Harmon","Matthew Brady","Benjamin Ware",7,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","Salt and Pepper","Bread Gang","Reed Ahlstrom","Jayden Olsen","Brenden Taylor","Kade S",15,12
"2026springspikeutah","2.0-3.0 Recreational","Pool","Roundnet Rookies","DominEnce","Jaimen Holman","Parker Medford","Savannah Ence","Alex Ence",15,8
"2026springspikeutah","2.0-3.0 Recreational","Pool","Strawberry Horchata","Charlie's Wannabe's","Aniston D.","Trey Kelly","Matthew Brady","Benjamin Ware",9,15
"2026springspikeutah","2.0-3.0 Recreational","Pool","Harmony","Salt and Pepper","Jaxon Taylor","Preston Harmon","Reed Ahlstrom","Jayden Olsen",9,15
"2026springspikeutah","2.0-3.0 Recreational","Quarter-final","Charlie's Wannabe's","Strawberry Horchata","Matthew Brady","Benjamin Ware","Aniston D.","Trey Kelly",21,16
"2026springspikeutah","2.0-3.0 Recreational","Quarter-final","Charlie's Wannabe's","Strawberry Horchata","Matthew Brady","Benjamin Ware","Aniston D.","Trey Kelly",21,14
"2026springspikeutah","2.0-3.0 Recreational","Quarter-final","DominEnce","Harmony","Savannah Ence","Alex Ence","Jaxon Taylor","Preston Harmon",21,15
"2026springspikeutah","2.0-3.0 Recreational","Quarter-final","DominEnce","Harmony","Savannah Ence","Alex Ence","Jaxon Taylor","Preston Harmon",30,32
"2026springspikeutah","2.0-3.0 Recreational","Quarter-final","DominEnce","Harmony","Savannah Ence","Alex Ence","Jaxon Taylor","Preston Harmon",11,15
"2026springspikeutah","2.0-3.0 Recreational","Semi-final","Bread Gang","Harmony","Brenden Taylor","Kade S","Jaxon Taylor","Preston Harmon",21,15
"2026springspikeutah","2.0-3.0 Recreational","Semi-final","Bread Gang","Harmony","Brenden Taylor","Kade S","Jaxon Taylor","Preston Harmon",21,9
"2026springspikeutah","2.0-3.0 Recreational","Semi-final","Roundnet Rookies","Charlie's Wannabe's","Jaimen Holman","Parker Medford","Matthew Brady","Benjamin Ware",21,18
"2026springspikeutah","2.0-3.0 Recreational","Semi-final","Roundnet Rookies","Charlie's Wannabe's","Jaimen Holman","Parker Medford","Matthew Brady","Benjamin Ware",21,18
"2026springspikeutah","2.0-3.0 Recreational","Final","Bread Gang","Roundnet Rookies","Brenden Taylor","Kade S","Jaimen Holman","Parker Medford",15,21
"2026springspikeutah","2.0-3.0 Recreational","Final","Bread Gang","Roundnet Rookies","Brenden Taylor","Kade S","Jaimen Holman","Parker Medford",17,21
"2026springspikeutah","2.0-3.0 Recreational","P3: Final","Charlie's Wannabe's","Harmony","Matthew Brady","Benjamin Ware","Jaxon Taylor","Preston Harmon",21,15
"2026springspikeutah","2.0-3.0 Recreational","P3: Final","Charlie's Wannabe's","Harmony","Matthew Brady","Benjamin Ware","Jaxon Taylor","Preston Harmon",21,10
"2026springspikeutah","4.0 Challenger","Pool","Jelly Bellies","Morgan's","Ryan Kartchner","Chris Sorensen","Janalee Hatch","Ian Morgan",21,16
"2026springspikeutah","4.0 Challenger","Pool","Placebros","Boomers","Benjamin Scow","Carter Leavitt","Kylie Rowley","Ryley Duke",12,21
"2026springspikeutah","4.0 Challenger","Pool","The Empire Spikes Back","VegasBoyz","Ben Hansen","Justin Tobin","Caleb Scow","Travis Schelin",5,15
"2026springspikeutah","4.0 Challenger","Pool","Fist my Bump","Doughboys ","Paulo Miro","Branden Buffington","Jace Barton","Jeremy Nielson",15,11
"2026springspikeutah","4.0 Challenger","Pool","Jelly Bellies","Boomers","Ryan Kartchner","Chris Sorensen","Kylie Rowley","Ryley Duke",22,20
"2026springspikeutah","4.0 Challenger","Pool","Net Ninjas","Morgan's","Spencer Hansen","Josh Smith","Janalee Hatch","Ian Morgan",21,12
"2026springspikeutah","4.0 Challenger","Pool","The Empire Spikes Back","Doughboys ","Ben Hansen","Justin Tobin","Jace Barton","Jeremy Nielson",6,15
"2026springspikeutah","4.0 Challenger","Pool","Fist my Bump","VegasBoyz","Paulo Miro","Branden Buffington","Caleb Scow","Travis Schelin",10,15
"2026springspikeutah","4.0 Challenger","Pool","Jelly Bellies","Net Ninjas","Ryan Kartchner","Chris Sorensen","Spencer Hansen","Josh Smith",6,21
"2026springspikeutah","4.0 Challenger","Pool","Placebros","Morgan's","Benjamin Scow","Carter Leavitt","Janalee Hatch","Ian Morgan",15,21
"2026springspikeutah","4.0 Challenger","Pool","The Empire Spikes Back","Fist my Bump","Ben Hansen","Justin Tobin","Paulo Miro","Branden Buffington",15,9
"2026springspikeutah","4.0 Challenger","Pool","Doughboys ","VegasBoyz","Jace Barton","Jeremy Nielson","Caleb Scow","Travis Schelin",12,15
"2026springspikeutah","4.0 Challenger","Pool","Placebros","Net Ninjas","Benjamin Scow","Carter Leavitt","Spencer Hansen","Josh Smith",13,21
"2026springspikeutah","4.0 Challenger","Pool","Boomers","Morgan's","Kylie Rowley","Ryley Duke","Janalee Hatch","Ian Morgan",12,21
"2026springspikeutah","4.0 Challenger","Pool","Jelly Bellies","Placebros","Ryan Kartchner","Chris Sorensen","Benjamin Scow","Carter Leavitt",21,10
"2026springspikeutah","4.0 Challenger","Pool","Net Ninjas","Boomers","Spencer Hansen","Josh Smith","Kylie Rowley","Ryley Duke",21,8
"2026springspikeutah","4.0 Challenger","Pool","The Empire Spikes Back","VegasBoyz","Ben Hansen","Justin Tobin","Caleb Scow","Travis Schelin",7,15
"2026springspikeutah","4.0 Challenger","Pool","Fist my Bump","Doughboys ","Paulo Miro","Branden Buffington","Jace Barton","Jeremy Nielson",15,17
"2026springspikeutah","4.0 Challenger","Pool","The Empire Spikes Back","Doughboys ","Ben Hansen","Justin Tobin","Jace Barton","Jeremy Nielson",13,15
"2026springspikeutah","4.0 Challenger","Pool","Fist my Bump","VegasBoyz","Paulo Miro","Branden Buffington","Caleb Scow","Travis Schelin",16,14
"2026springspikeutah","4.0 Challenger","Pool","The Empire Spikes Back","Fist my Bump","Ben Hansen","Justin Tobin","Paulo Miro","Branden Buffington",7,15
"2026springspikeutah","4.0 Challenger","Pool","Doughboys ","VegasBoyz","Jace Barton","Jeremy Nielson","Caleb Scow","Travis Schelin",8,15
"2026springspikeutah","4.0 Challenger","Round of 16","Boomers","Salt and Pepper","Kylie Rowley","Ryley Duke","Reed Ahlstrom","Jayden Olsen",21,9
"2026springspikeutah","4.0 Challenger","Round of 16","Boomers","Salt and Pepper","Kylie Rowley","Ryley Duke","Reed Ahlstrom","Jayden Olsen",24,22
"2026springspikeutah","4.0 Challenger","Round of 16","Placebros","The Empire Spikes Back","Benjamin Scow","Carter Leavitt","Ben Hansen","Justin Tobin",23,25
"2026springspikeutah","4.0 Challenger","Round of 16","Placebros","The Empire Spikes Back","Benjamin Scow","Carter Leavitt","Ben Hansen","Justin Tobin",14,21
"2026springspikeutah","4.0 Challenger","Quarter-final","Net Ninjas","The Empire Spikes Back","Spencer Hansen","Josh Smith","Ben Hansen","Justin Tobin",21,9
"2026springspikeutah","4.0 Challenger","Quarter-final","Net Ninjas","The Empire Spikes Back","Spencer Hansen","Josh Smith","Ben Hansen","Justin Tobin",21,8
"2026springspikeutah","4.0 Challenger","Quarter-final","VegasBoyz","Boomers","Caleb Scow","Travis Schelin","Kylie Rowley","Ryley Duke",21,14
"2026springspikeutah","4.0 Challenger","Quarter-final","VegasBoyz","Boomers","Caleb Scow","Travis Schelin","Kylie Rowley","Ryley Duke",21,14
"2026springspikeutah","4.0 Challenger","Quarter-final","Jelly Bellies","Doughboys ","Ryan Kartchner","Chris Sorensen","Jace Barton","Jeremy Nielson",21,10
"2026springspikeutah","4.0 Challenger","Quarter-final","Jelly Bellies","Doughboys ","Ryan Kartchner","Chris Sorensen","Jace Barton","Jeremy Nielson",21,17
"2026springspikeutah","4.0 Challenger","Quarter-final","Morgan's","Fist my Bump","Janalee Hatch","Ian Morgan","Paulo Miro","Branden Buffington",21,15
"2026springspikeutah","4.0 Challenger","Quarter-final","Morgan's","Fist my Bump","Janalee Hatch","Ian Morgan","Paulo Miro","Branden Buffington",21,10
"2026springspikeutah","4.0 Challenger","Semi-final","Net Ninjas","Morgan's","Spencer Hansen","Josh Smith","Janalee Hatch","Ian Morgan",21,18
"2026springspikeutah","4.0 Challenger","Semi-final","Net Ninjas","Morgan's","Spencer Hansen","Josh Smith","Janalee Hatch","Ian Morgan",21,17
"2026springspikeutah","4.0 Challenger","Semi-final","VegasBoyz","Jelly Bellies","Caleb Scow","Travis Schelin","Ryan Kartchner","Chris Sorensen",21,23
"2026springspikeutah","4.0 Challenger","Semi-final","VegasBoyz","Jelly Bellies","Caleb Scow","Travis Schelin","Ryan Kartchner","Chris Sorensen",9,21
"2026springspikeutah","4.0 Challenger","P5: Semi-final","Fist my Bump","The Empire Spikes Back","Paulo Miro","Branden Buffington","Ben Hansen","Justin Tobin",21,14
"2026springspikeutah","4.0 Challenger","P5: Semi-final","Doughboys ","Boomers","Jace Barton","Jeremy Nielson","Kylie Rowley","Ryley Duke",15,21
"2026springspikeutah","4.0 Challenger","Final","Net Ninjas","Jelly Bellies","Spencer Hansen","Josh Smith","Ryan Kartchner","Chris Sorensen",21,14
"2026springspikeutah","4.0 Challenger","Final","Net Ninjas","Jelly Bellies","Spencer Hansen","Josh Smith","Ryan Kartchner","Chris Sorensen",21,23
"2026springspikeutah","4.0 Challenger","Final","Net Ninjas","Jelly Bellies","Spencer Hansen","Josh Smith","Ryan Kartchner","Chris Sorensen",15,12
"2026springspikeutah","4.0 Challenger","P3: Final","VegasBoyz","Morgan's","Caleb Scow","Travis Schelin","Janalee Hatch","Ian Morgan",12,21
"2026springspikeutah","4.0 Challenger","P3: Final","VegasBoyz","Morgan's","Caleb Scow","Travis Schelin","Janalee Hatch","Ian Morgan",15,21
"2026springspikeutah","4.5 Elite","Pool","BLACKOUT","Fish Market","Joshua Balmforth","Kody Price","Bryant Karratti","Solomon Berry",16,21
"2026springspikeutah","4.5 Elite","Pool","2 Guys","R.I.P Drop(s)","jesse rowley","Lazarus Shettell","Grant Marriott","Jake LeBaron",22,20
"2026springspikeutah","4.5 Elite","Pool","Bucketeers","Animal Kingdom","Matt Barlow","Trevor Zaleski","Ben Reid","Charlie Bratsman",12,15
"2026springspikeutah","4.5 Elite","Pool","Chanluke Cookzler","Amnesia","Chandler Hertzler","Luke Cook","Tyler Stokes","Garrett Carver",9,15
"2026springspikeutah","4.5 Elite","Pool","BLACKOUT","R.I.P Drop(s)","Joshua Balmforth","Kody Price","Grant Marriott","Jake LeBaron",21,10
"2026springspikeutah","4.5 Elite","Pool","FETCH EVERYONE","Fish Market","Remi Prince","Daniel Feller","Bryant Karratti","Solomon Berry",21,23
"2026springspikeutah","4.5 Elite","Pool","Bucketeers","Amnesia","Matt Barlow","Trevor Zaleski","Tyler Stokes","Garrett Carver",17,15
"2026springspikeutah","4.5 Elite","Pool","Chanluke Cookzler","Animal Kingdom","Chandler Hertzler","Luke Cook","Ben Reid","Charlie Bratsman",15,10
"2026springspikeutah","4.5 Elite","Pool","BLACKOUT","FETCH EVERYONE","Joshua Balmforth","Kody Price","Remi Prince","Daniel Feller",20,22
"2026springspikeutah","4.5 Elite","Pool","2 Guys","Fish Market","jesse rowley","Lazarus Shettell","Bryant Karratti","Solomon Berry",13,21
"2026springspikeutah","4.5 Elite","Pool","Bucketeers","Chanluke Cookzler","Matt Barlow","Trevor Zaleski","Chandler Hertzler","Luke Cook",10,15
"2026springspikeutah","4.5 Elite","Pool","Amnesia","Animal Kingdom","Tyler Stokes","Garrett Carver","Ben Reid","Charlie Bratsman",15,10
"2026springspikeutah","4.5 Elite","Pool","2 Guys","FETCH EVERYONE","jesse rowley","Lazarus Shettell","Remi Prince","Daniel Feller",16,21
"2026springspikeutah","4.5 Elite","Pool","R.I.P Drop(s)","Fish Market","Grant Marriott","Jake LeBaron","Bryant Karratti","Solomon Berry",15,21
"2026springspikeutah","4.5 Elite","Pool","BLACKOUT","2 Guys","Joshua Balmforth","Kody Price","jesse rowley","Lazarus Shettell",21,7
"2026springspikeutah","4.5 Elite","Pool","FETCH EVERYONE","R.I.P Drop(s)","Remi Prince","Daniel Feller","Grant Marriott","Jake LeBaron",21,11
"2026springspikeutah","4.5 Elite","Pool","Bucketeers","Animal Kingdom","Matt Barlow","Trevor Zaleski","Ben Reid","Charlie Bratsman",15,9
"2026springspikeutah","4.5 Elite","Pool","Chanluke Cookzler","Amnesia","Chandler Hertzler","Luke Cook","Tyler Stokes","Garrett Carver",10,15
"2026springspikeutah","4.5 Elite","Pool","Bucketeers","Amnesia","Matt Barlow","Trevor Zaleski","Tyler Stokes","Garrett Carver",8,15
"2026springspikeutah","4.5 Elite","Pool","Chanluke Cookzler","Animal Kingdom","Chandler Hertzler","Luke Cook","Ben Reid","Charlie Bratsman",15,7
"2026springspikeutah","4.5 Elite","Pool","Bucketeers","Chanluke Cookzler","Matt Barlow","Trevor Zaleski","Chandler Hertzler","Luke Cook",11,15
"2026springspikeutah","4.5 Elite","Pool","Amnesia","Animal Kingdom","Tyler Stokes","Garrett Carver","Ben Reid","Charlie Bratsman",15,10
"2026springspikeutah","4.5 Elite","Round of 16","Animal Kingdom","R.I.P Drop(s)","Ben Reid","Charlie Bratsman","Grant Marriott","Jake LeBaron",21,19
"2026springspikeutah","4.5 Elite","Round of 16","Animal Kingdom","R.I.P Drop(s)","Ben Reid","Charlie Bratsman","Grant Marriott","Jake LeBaron",21,17
"2026springspikeutah","4.5 Elite","Quarter-final","Fish Market","Animal Kingdom","Bryant Karratti","Solomon Berry","Ben Reid","Charlie Bratsman",21,17
"2026springspikeutah","4.5 Elite","Quarter-final","Fish Market","Animal Kingdom","Bryant Karratti","Solomon Berry","Ben Reid","Charlie Bratsman",21,14
"2026springspikeutah","4.5 Elite","Quarter-final","Amnesia","2 Guys","Tyler Stokes","Garrett Carver","jesse rowley","Lazarus Shettell",21,13
"2026springspikeutah","4.5 Elite","Quarter-final","Amnesia","2 Guys","Tyler Stokes","Garrett Carver","jesse rowley","Lazarus Shettell",21,13
"2026springspikeutah","4.5 Elite","Quarter-final","FETCH EVERYONE","Bucketeers","Remi Prince","Daniel Feller","Matt Barlow","Trevor Zaleski",10,21
"2026springspikeutah","4.5 Elite","Quarter-final","FETCH EVERYONE","Bucketeers","Remi Prince","Daniel Feller","Matt Barlow","Trevor Zaleski",21,15
