"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"3casropen26","5.0 Expert","Pool","Omnomnomnomnom","Gabe/Rehan","Noah Saddik","Connor Nelson","Rehan Kabir","Gabriel Rouse",21,15
"3casropen26","5.0 Expert","Pool","Perfect Attendance","Oswalt/Schrag","Liam Martinez","Jake Young","Nathaniel Schrag","Ryan Oswalt",21,15
"3casropen26","5.0 Expert","Pool","Just Here to Observe","coughing baby","Ahren Gwynn","Rafi Moldovsky","Cooper Patcheak","Ally Chou",21,12
"3casropen26","5.0 Expert","Pool","Sluggish","In Due Time","Sasha Mariniuk","Jakob Seidner","Michael Du","Tim Gaskin",21,13
"3casropen26","5.0 Expert","Pool","ABG Scale Theory","Trevor/Aniket","Karah Hui","Elle Lowe","Trevor Folden","Aniket Matharasi",22,24
"3casropen26","5.0 Expert","Pool","Omnomnomnomnom","Oswalt/Schrag","Noah Saddik","Connor Nelson","Nathaniel Schrag","Ryan Oswalt",21,12
"3casropen26","5.0 Expert","Pool","Hit & Run","Gabe/Rehan","Alec Galbo","CJ Wallace","Rehan Kabir","Gabriel Rouse",12,21
"3casropen26","5.0 Expert","Pool","Just Here to Observe","In Due Time","Ahren Gwynn","Rafi Moldovsky","Michael Du","Tim Gaskin",21,16
"3casropen26","5.0 Expert","Pool","Sluggish","ABG Scale Theory","Sasha Mariniuk","Jakob Seidner","Karah Hui","Elle Lowe",25,24
"3casropen26","5.0 Expert","Pool","Trevor/Aniket","coughing baby","Trevor Folden","Aniket Matharasi","Cooper Patcheak","Ally Chou",21,16
"3casropen26","5.0 Expert","Pool","Omnomnomnomnom","Hit & Run","Noah Saddik","Connor Nelson","Alec Galbo","CJ Wallace",21,13
"3casropen26","5.0 Expert","Pool","Perfect Attendance","Gabe/Rehan","Liam Martinez","Jake Young","Rehan Kabir","Gabriel Rouse",18,21
"3casropen26","5.0 Expert","Pool","Just Here to Observe","Trevor/Aniket","Ahren Gwynn","Rafi Moldovsky","Trevor Folden","Aniket Matharasi",21,12
"3casropen26","5.0 Expert","Pool","Sluggish","coughing baby","Sasha Mariniuk","Jakob Seidner","Cooper Patcheak","Ally Chou",21,13
"3casropen26","5.0 Expert","Pool","ABG Scale Theory","In Due Time","Karah Hui","Elle Lowe","Michael Du","Tim Gaskin",21,18
"3casropen26","5.0 Expert","Pool","Perfect Attendance","Hit & Run","Liam Martinez","Jake Young","Alec Galbo","CJ Wallace",21,19
"3casropen26","5.0 Expert","Pool","Oswalt/Schrag","Gabe/Rehan","Nathaniel Schrag","Ryan Oswalt","Rehan Kabir","Gabriel Rouse",10,21
"3casropen26","5.0 Expert","Pool","Just Here to Observe","ABG Scale Theory","Ahren Gwynn","Rafi Moldovsky","Karah Hui","Elle Lowe",21,15
"3casropen26","5.0 Expert","Pool","Sluggish","Trevor/Aniket","Sasha Mariniuk","Jakob Seidner","Trevor Folden","Aniket Matharasi",21,9
"3casropen26","5.0 Expert","Pool","In Due Time","coughing baby","Michael Du","Tim Gaskin","Cooper Patcheak","Ally Chou",18,21
"3casropen26","5.0 Expert","Pool","Omnomnomnomnom","Perfect Attendance","Noah Saddik","Connor Nelson","Liam Martinez","Jake Young",21,16
"3casropen26","5.0 Expert","Pool","Hit & Run","Oswalt/Schrag","Alec Galbo","CJ Wallace","Nathaniel Schrag","Ryan Oswalt",21,9
"3casropen26","5.0 Expert","Pool","Just Here to Observe","Sluggish","Ahren Gwynn","Rafi Moldovsky","Sasha Mariniuk","Jakob Seidner",18,21
"3casropen26","5.0 Expert","Pool","ABG Scale Theory","coughing baby","Karah Hui","Elle Lowe","Cooper Patcheak","Ally Chou",21,16
"3casropen26","5.0 Expert","Pool","Trevor/Aniket","In Due Time","Trevor Folden","Aniket Matharasi","Michael Du","Tim Gaskin",21,16
"3casropen26","5.0 Expert","Round of 16","Trevor/Aniket","In Due Time","Trevor Folden","Aniket Matharasi","Michael Du","Tim Gaskin",21,12
"3casropen26","5.0 Expert","Round of 16","Trevor/Aniket","In Due Time","Trevor Folden","Aniket Matharasi","Michael Du","Tim Gaskin",21,13
"3casropen26","5.0 Expert","Round of 16","ABG Scale Theory","Oswalt/Schrag","Karah Hui","Elle Lowe","Nathaniel Schrag","Ryan Oswalt",21,17
"3casropen26","5.0 Expert","Round of 16","ABG Scale Theory","Oswalt/Schrag","Karah Hui","Elle Lowe","Nathaniel Schrag","Ryan Oswalt",19,21
"3casropen26","5.0 Expert","Round of 16","ABG Scale Theory","Oswalt/Schrag","Karah Hui","Elle Lowe","Nathaniel Schrag","Ryan Oswalt",14,21
"3casropen26","5.0 Expert","Round of 16","Hit & Run","coughing baby","Alec Galbo","CJ Wallace","Cooper Patcheak","Ally Chou",21,11
"3casropen26","5.0 Expert","Round of 16","Hit & Run","coughing baby","Alec Galbo","CJ Wallace","Cooper Patcheak","Ally Chou",21,12
"3casropen26","5.0 Expert","Quarter-final","Omnomnomnomnom","Hit & Run","Noah Saddik","Connor Nelson","Alec Galbo","CJ Wallace",21,18
"3casropen26","5.0 Expert","Quarter-final","Omnomnomnomnom","Hit & Run","Noah Saddik","Connor Nelson","Alec Galbo","CJ Wallace",21,19
"3casropen26","5.0 Expert","Quarter-final","Sluggish","Oswalt/Schrag","Sasha Mariniuk","Jakob Seidner","Nathaniel Schrag","Ryan Oswalt",22,20
"3casropen26","5.0 Expert","Quarter-final","Sluggish","Oswalt/Schrag","Sasha Mariniuk","Jakob Seidner","Nathaniel Schrag","Ryan Oswalt",21,18
"3casropen26","5.0 Expert","Quarter-final","Just Here to Observe","Trevor/Aniket","Ahren Gwynn","Rafi Moldovsky","Trevor Folden","Aniket Matharasi",24,22
"3casropen26","5.0 Expert","Quarter-final","Just Here to Observe","Trevor/Aniket","Ahren Gwynn","Rafi Moldovsky","Trevor Folden","Aniket Matharasi",13,21
"3casropen26","5.0 Expert","Quarter-final","Just Here to Observe","Trevor/Aniket","Ahren Gwynn","Rafi Moldovsky","Trevor Folden","Aniket Matharasi",21,13
"3casropen26","5.0 Expert","Quarter-final","Gabe/Rehan","Perfect Attendance","Rehan Kabir","Gabriel Rouse","Liam Martinez","Jake Young",21,19
"3casropen26","5.0 Expert","Quarter-final","Gabe/Rehan","Perfect Attendance","Rehan Kabir","Gabriel Rouse","Liam Martinez","Jake Young",21,17
"3casropen26","5.0 Expert","Semi-final","Omnomnomnomnom","Gabe/Rehan","Noah Saddik","Connor Nelson","Rehan Kabir","Gabriel Rouse",21,10
"3casropen26","5.0 Expert","Semi-final","Omnomnomnomnom","Gabe/Rehan","Noah Saddik","Connor Nelson","Rehan Kabir","Gabriel Rouse",21,12
"3casropen26","5.0 Expert","Semi-final","Sluggish","Just Here to Observe","Sasha Mariniuk","Jakob Seidner","Ahren Gwynn","Rafi Moldovsky",21,14
"3casropen26","5.0 Expert","Semi-final","Sluggish","Just Here to Observe","Sasha Mariniuk","Jakob Seidner","Ahren Gwynn","Rafi Moldovsky",21,18
"3casropen26","5.0 Expert","P5: Semi-final","Perfect Attendance","Hit & Run","Liam Martinez","Jake Young","Alec Galbo","CJ Wallace",10,21
"3casropen26","5.0 Expert","P5: Semi-final","Trevor/Aniket","Oswalt/Schrag","Trevor Folden","Aniket Matharasi","Nathaniel Schrag","Ryan Oswalt",0,-2
"3casropen26","5.0 Expert","Final","Omnomnomnomnom","Sluggish","Noah Saddik","Connor Nelson","Sasha Mariniuk","Jakob Seidner",21,11
"3casropen26","5.0 Expert","Final","Omnomnomnomnom","Sluggish","Noah Saddik","Connor Nelson","Sasha Mariniuk","Jakob Seidner",21,18
"3casropen26","5.0 Expert","P3: Final","Just Here to Observe","Gabe/Rehan","Ahren Gwynn","Rafi Moldovsky","Rehan Kabir","Gabriel Rouse",19,21
"3casropen26","5.0 Expert","P3: Final","Just Here to Observe","Gabe/Rehan","Ahren Gwynn","Rafi Moldovsky","Rehan Kabir","Gabriel Rouse",21,16
"3casropen26","5.0 Expert","P3: Final","Just Here to Observe","Gabe/Rehan","Ahren Gwynn","Rafi Moldovsky","Rehan Kabir","Gabriel Rouse",15,21
"3casropen26","5.0 Expert","P5: Final","Hit & Run","Trevor/Aniket","Alec Galbo","CJ Wallace","Trevor Folden","Aniket Matharasi",0,-1
"3casropen26","5.0 Expert","P7: Final","Oswalt/Schrag","Perfect Attendance","Nathaniel Schrag","Ryan Oswalt","Liam Martinez","Jake Young",-2,0
"3casropen26","4.0+ Contender","Pool","Trevor/costas","two feminists","Trevor Buchan","Costas Foster","Christopher Kim","Benjamin Leong",21,6
"3casropen26","4.0+ Contender","Pool","Caius/Luis","Sneak attack","Luis Mancilla","Caius Leung","Giana Brunetti","Jack Quaccia",21,17
"3casropen26","4.0+ Contender","Pool","big steppa","Sky & Friend","Matthew Kamimura","Nathan Gauthier","Sauram Vasanawala","Sky Jafar",21,14
"3casropen26","4.0+ Contender","Pool","Rim Reapers","Soviet spike","Edson Bonilla","Michael Twersky","Matthew Zablotskiy","Gabriel Voronov",21,11
"3casropen26","4.0+ Contender","Pool","Sean and Thomas","Misflailed 2","Sean Chen","Thompson Yang","Matt","div curl",21,7
"3casropen26","4.0+ Contender","Pool","Luki","Yellow river","Lukas Wiggers","Lucas Fedronic","Jake Sawyer","Archer Huang",21,7
"3casropen26","4.0+ Contender","Pool","Poly Spike","Halle/Achint","Greyson Farrar","Zachary D'Souza","Halle Teh","",21,4
"3casropen26","4.0+ Contender","Pool","G Money’s","SpikeWell","Guillermo R.","Gammy Bravo","Linnea Wolniewicz","",21,4
"3casropen26","4.0+ Contender","Pool","BLT🥬","Lam the Clam","Tirany Magdaleno","Olivia Baker","Collin Liou","Torin Lam",23,21
"3casropen26","4.0+ Contender","Pool","Trevor/costas","Sneak attack","Trevor Buchan","Costas Foster","Giana Brunetti","Jack Quaccia",21,15
