Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,3.0 Recreational,Group A,1,Single game,Sus baks,Tucker/Hadley,Sus baks,15,7,,,,,Alex Bailey,Nate Ostler,,
Pool Play,3.0 Recreational,Group A,1,Single game,Hot Shots,The Newly Weds,Hot Shots,15,12,,,,,Rylan Smith,Brayden Nelson,Derik Robertson,Cole Manning
Pool Play,3.0 Recreational,Group A,1,Single game,Spike Tyson,Chu-Keet,Spike Tyson,15,12,,,,,Jaxon Butterfield,Matthew Davis,Tanner Chamberlain,Scott Rasmussen
Pool Play,3.0 Recreational,Group A,1,Single game,Bingham/Wood,Chunky fellas,Chunky fellas,12,15,,,,,Nic Wood,Zachary Hayes Bingham,Andrew Peterson,Jaxton Peterson
Pool Play,3.0 Recreational,Group A,2,Single game,Sus baks,The Newly Weds,Sus baks,15,5,,,,,Alex Bailey,Nate Ostler,Derik Robertson,Cole Manning
Pool Play,3.0 Recreational,Group A,2,Single game,Hot Shots,Chunky fellas,Chunky fellas,10,15,,,,,Rylan Smith,Brayden Nelson,Andrew Peterson,Jaxton Peterson
Pool Play,3.0 Recreational,Group A,2,Single game,Spike Tyson,Bingham/Wood,Bingham/Wood,11,15,,,,,Jaxon Butterfield,Matthew Davis,Nic Wood,Zachary Hayes Bingham
Pool Play,3.0 Recreational,Group A,2,Single game,Chu-Keet,Tucker/Hadley,Chu-Keet,15,6,,,,,Tanner Chamberlain,Scott Rasmussen,,
Pool Play,3.0 Recreational,Group A,3,Single game,Sus baks,Chu-Keet,Chu-Keet,14,16,,,,,Alex Bailey,Nate Ostler,Tanner Chamberlain,Scott Rasmussen
Pool Play,3.0 Recreational,Group A,3,Single game,Hot Shots,Spike Tyson,Hot Shots,15,11,,,,,Rylan Smith,Brayden Nelson,Jaxon Butterfield,Matthew Davis
Pool Play,3.0 Recreational,Group A,3,Single game,Bingham/Wood,Tucker/Hadley,Bingham/Wood,15,2,,,,,Nic Wood,Zachary Hayes Bingham,,
Pool Play,3.0 Recreational,Group A,3,Single game,Chunky fellas,The Newly Weds,Chunky fellas,15,8,,,,,Andrew Peterson,Jaxton Peterson,Derik Robertson,Cole Manning
Pool Play,3.0 Recreational,Group A,4,Single game,Sus baks,Chunky fellas,Chunky fellas,9,15,,,,,Alex Bailey,Nate Ostler,Andrew Peterson,Jaxton Peterson
Pool Play,3.0 Recreational,Group A,4,Single game,Hot Shots,Tucker/Hadley,Hot Shots,15,9,,,,,Rylan Smith,Brayden Nelson,,
Pool Play,3.0 Recreational,Group A,4,Single game,Spike Tyson,The Newly Weds,Spike Tyson,15,13,,,,,Jaxon Butterfield,Matthew Davis,Derik Robertson,Cole Manning
Pool Play,3.0 Recreational,Group A,4,Single game,Bingham/Wood,Chu-Keet,Bingham/Wood,15,12,,,,,Nic Wood,Zachary Hayes Bingham,Tanner Chamberlain,Scott Rasmussen
Pool Play,3.0 Recreational,Group A,5,Single game,Sus baks,Bingham/Wood,Bingham/Wood,11,15,,,,,Alex Bailey,Nate Ostler,Nic Wood,Zachary Hayes Bingham
Pool Play,3.0 Recreational,Group A,5,Single game,Hot Shots,Chu-Keet,Chu-Keet,11,15,,,,,Rylan Smith,Brayden Nelson,Tanner Chamberlain,Scott Rasmussen
Pool Play,3.0 Recreational,Group A,5,Single game,Spike Tyson,Chunky fellas,Chunky fellas,6,15,,,,,Jaxon Butterfield,Matthew Davis,Andrew Peterson,Jaxton Peterson
