Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Premier 5.0,Group A,1,Single game,VRGA,TheGOATGene,VRGA,21,8,,,,,Dawson Morgan,Caleb Cummings,Wesley Tunelius,Brian Lin
Pool Play,Premier 5.0,Group A,1,Single game,Boogie Woogie,ARC Road Runner,Boogie Woogie,21,17,,,,,Ben Savage,Adam Porter,Spencer Longfellow,Keaton Kirchner
Pool Play,Premier 5.0,Group A,1,Single game,Edging,Please let us win,Edging,21,18,,,,,Nick Wideman,Andrew Kosche,Jackson Blackburn,Ryan McCargar
Pool Play,Premier 5.0,Group B,1,Single game,Guachos,Gentleman serves only?,Guachos,21,15,,,,,Josh Fragiacomo,Ryan Oswalt,David Yingling,Nathan Paauw
Pool Play,Premier 5.0,Group B,1,Single game,Espinola/Leung,skrt,Espinola/Leung,21,13,,,,,Malachi Espinola,Eddy Leung,tucker judkins,Nolan Wynkoop
Pool Play,Premier 5.0,Group B,1,Single game,Dialed,French Bries and Mashed PoTAYToes,French Bries and Mashed PoTAYToes,22,24,,,,,Josh Cain,Luke Pennington,Brian Perlson,Tayt Rogers
Pool Play,Premier 5.0,Group C,1,Single game,Bennett/Fernandez,Burton/Urban,Bennett/Fernandez,21,7,,,,,Tyler Fernandez,Christian Bennett,Kyler Burton,Jeremiah Urban
Pool Play,Premier 5.0,Group C,1,Single game,Synergy,Providence,Providence,17,21,,,,,Matthew Burrows,Nick Noguez,Alex Dluzynski,Connor Nelson
Pool Play,Premier 5.0,Group C,1,Single game,Recursive Breaks,"Flashbang ",Recursive Breaks,21,18,,,,,Michael Du,Solomon Berry,Joseph Kaylor,Erik Faeustle
Pool Play,Premier 5.0,Group D,1,Single game,Shaytar/Dean,R/K/O,Shaytar/Dean,21,17,,,,,Emerson Dean,Justin Shaytar,Nathan Robertt,Bryant Karratti
Pool Play,Premier 5.0,Group D,1,Single game,BARP Order of the White Lotus,Big Schwing,BARP Order of the White Lotus,25,24,,,,,Jacob Payer,Trevor Barbosa,Rafi Moldovsky,Alec Galbo
Pool Play,Premier 5.0,Group D,1,Single game,Daddy is always right,FTR Frontier,Daddy is always right,23,21,,,,,Kyle Fowler,Owen Bass,Jake Woolley,Kyan Kornfeld
Pool Play,Premier 5.0,Group E,1,Single game,AZR Numb,Capmaker,AZR Numb,21,18,,,,,Kieran Rose,Aidan Mackey,Michael Capobianco,Max Shoemaker
Pool Play,Premier 5.0,Group E,1,Single game,Blessed,PSR Foot Faults and 5 Second Rules,Blessed,21,16,,,,,Cade Larson,Luke Mowry,Jordan Freitas,Jason Small
Pool Play,Premier 5.0,Group E,1,Single game,Meatballs,Pickle Boost,Meatballs,21,16,,,,,Joey Maichen,Lucas Pruett,Josh Hutko,James Lamkin
Pool Play,Premier 5.0,Group A,2,Single game,VRGA,ARC Road Runner,VRGA,21,14,,,,,Dawson Morgan,Caleb Cummings,Spencer Longfellow,Keaton Kirchner
Pool Play,Premier 5.0,Group A,2,Single game,Boogie Woogie,Edging,Edging,18,21,,,,,Ben Savage,Adam Porter,Nick Wideman,Andrew Kosche
Pool Play,Premier 5.0,Group A,2,Single game,Please let us win,TheGOATGene,Please let us win,21,8,,,,,Jackson Blackburn,Ryan McCargar,Wesley Tunelius,Brian Lin
Pool Play,Premier 5.0,Group B,2,Single game,Guachos,skrt,Guachos,21,16,,,,,Josh Fragiacomo,Ryan Oswalt,tucker judkins,Nolan Wynkoop
Pool Play,Premier 5.0,Group B,2,Single game,Espinola/Leung,Dialed,Espinola/Leung,21,15,,,,,Malachi Espinola,Eddy Leung,Josh Cain,Luke Pennington
Pool Play,Premier 5.0,Group B,2,Single game,French Bries and Mashed PoTAYToes,Gentleman serves only?,French Bries and Mashed PoTAYToes,21,12,,,,,Brian Perlson,Tayt Rogers,David Yingling,Nathan Paauw
Pool Play,Premier 5.0,Group C,2,Single game,Bennett/Fernandez,Providence,Bennett/Fernandez,21,15,,,,,Tyler Fernandez,Christian Bennett,Alex Dluzynski,Connor Nelson
Pool Play,Premier 5.0,Group C,2,Single game,Synergy,Recursive Breaks,Synergy,25,23,,,,,Matthew Burrows,Nick Noguez,Michael Du,Solomon Berry
Pool Play,Premier 5.0,Group C,2,Single game,"Flashbang ",Burton/Urban,"Flashbang ",22,20,,,,,Joseph Kaylor,Erik Faeustle,Kyler Burton,Jeremiah Urban
Pool Play,Premier 5.0,Group D,2,Single game,Shaytar/Dean,Big Schwing,Shaytar/Dean,21,9,,,,,Emerson Dean,Justin Shaytar,Rafi Moldovsky,Alec Galbo
Pool Play,Premier 5.0,Group D,2,Single game,BARP Order of the White Lotus,Daddy is always right,BARP Order of the White Lotus,21,18,,,,,Jacob Payer,Trevor Barbosa,Kyle Fowler,Owen Bass
Pool Play,Premier 5.0,Group D,2,Single game,FTR Frontier,R/K/O,R/K/O,18,21,,,,,Jake Woolley,Kyan Kornfeld,Nathan Robertt,Bryant Karratti
Pool Play,Premier 5.0,Group E,2,Single game,AZR Numb,PSR Foot Faults and 5 Second Rules,AZR Numb,21,17,,,,,Kieran Rose,Aidan Mackey,Jordan Freitas,Jason Small
Pool Play,Premier 5.0,Group E,2,Single game,Blessed,Meatballs,Meatballs,19,21,,,,,Cade Larson,Luke Mowry,Joey Maichen,Lucas Pruett
Pool Play,Premier 5.0,Group E,2,Single game,Pickle Boost,Capmaker,Pickle Boost,23,21,,,,,Josh Hutko,James Lamkin,Michael Capobianco,Max Shoemaker
Pool Play,Premier 5.0,Group A,3,Single game,VRGA,Please let us win,VRGA,21,19,,,,,Dawson Morgan,Caleb Cummings,Jackson Blackburn,Ryan McCargar
Pool Play,Premier 5.0,Group A,3,Single game,Boogie Woogie,TheGOATGene,Boogie Woogie,21,11,,,,,Ben Savage,Adam Porter,Wesley Tunelius,Brian Lin
Pool Play,Premier 5.0,Group A,3,Single game,Edging,ARC Road Runner,Edging,21,19,,,,,Nick Wideman,Andrew Kosche,Spencer Longfellow,Keaton Kirchner
Pool Play,Premier 5.0,Group B,3,Single game,Guachos,French Bries and Mashed PoTAYToes,Guachos,21,19,,,,,Josh Fragiacomo,Ryan Oswalt,Brian Perlson,Tayt Rogers
Pool Play,Premier 5.0,Group B,3,Single game,Espinola/Leung,Gentleman serves only?,Espinola/Leung,21,6,,,,,Malachi Espinola,Eddy Leung,David Yingling,Nathan Paauw
Pool Play,Premier 5.0,Group B,3,Single game,Dialed,skrt,skrt,24,25,,,,,Josh Cain,Luke Pennington,tucker judkins,Nolan Wynkoop
Pool Play,Premier 5.0,Group C,3,Single game,Bennett/Fernandez,"Flashbang ",Bennett/Fernandez,21,16,,,,,Tyler Fernandez,Christian Bennett,Joseph Kaylor,Erik Faeustle
Pool Play,Premier 5.0,Group C,3,Single game,Synergy,Burton/Urban,Synergy,21,13,,,,,Matthew Burrows,Nick Noguez,Kyler Burton,Jeremiah Urban
Pool Play,Premier 5.0,Group C,3,Single game,Recursive Breaks,Providence,Providence,19,21,,,,,Michael Du,Solomon Berry,Alex Dluzynski,Connor Nelson
Pool Play,Premier 5.0,Group D,3,Single game,Shaytar/Dean,FTR Frontier,FTR Frontier,19,21,,,,,Emerson Dean,Justin Shaytar,Jake Woolley,Kyan Kornfeld
Pool Play,Premier 5.0,Group D,3,Single game,BARP Order of the White Lotus,R/K/O,R/K/O,19,21,,,,,Jacob Payer,Trevor Barbosa,Nathan Robertt,Bryant Karratti
Pool Play,Premier 5.0,Group D,3,Single game,Daddy is always right,Big Schwing,Daddy is always right,21,19,,,,,Kyle Fowler,Owen Bass,Rafi Moldovsky,Alec Galbo
Pool Play,Premier 5.0,Group E,3,Single game,AZR Numb,Pickle Boost,AZR Numb,21,17,,,,,Kieran Rose,Aidan Mackey,Josh Hutko,James Lamkin
Pool Play,Premier 5.0,Group E,3,Single game,Blessed,Capmaker,Blessed,21,16,,,,,Cade Larson,Luke Mowry,Michael Capobianco,Max Shoemaker
Pool Play,Premier 5.0,Group E,3,Single game,Meatballs,PSR Foot Faults and 5 Second Rules,Meatballs,21,17,,,,,Joey Maichen,Lucas Pruett,Jordan Freitas,Jason Small
Pool Play,Premier 5.0,Group A,4,Single game,VRGA,Edging,VRGA,21,17,,,,,Dawson Morgan,Caleb Cummings,Nick Wideman,Andrew Kosche
Pool Play,Premier 5.0,Group A,4,Single game,Boogie Woogie,Please let us win,Boogie Woogie,21,17,,,,,Ben Savage,Adam Porter,Jackson Blackburn,Ryan McCargar
