Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Bronze+/Premier (5.0+),Group A,1,Single game,AZR UNCs,The Rim Reapers,AZR UNCs,21,19,,,,,Aidan Mackey,Andrew Stevens,Ian Scott,Samuel Neeley
Group Stage,Bronze+/Premier (5.0+),Group A,1,Single game,Mike/Hunter,Giant Slayers,Mike/Hunter,21,11,,,,,Michael Capobianco,Hunter Koth,David Yingling,Caedon Gibson
Group Stage,Bronze+/Premier (5.0+),Group A,1,Single game,Noodles & .Co,The Beach Boyz,The Beach Boyz,14,21,,,,,Jaren Hori,Ryan McCargar,Malachi Ryan,Kevin Reddell
Group Stage,Bronze+/Premier (5.0+),Group A,2,Single game,AZR UNCs,Giant Slayers,AZR UNCs,21,19,,,,,Aidan Mackey,Andrew Stevens,David Yingling,Caedon Gibson
Group Stage,Bronze+/Premier (5.0+),Group A,2,Single game,Mike/Hunter,Noodles & .Co,Noodles & .Co,21,23,,,,,Michael Capobianco,Hunter Koth,Jaren Hori,Ryan McCargar
Group Stage,Bronze+/Premier (5.0+),Group A,2,Single game,The Beach Boyz,The Rim Reapers,The Beach Boyz,21,18,,,,,Malachi Ryan,Kevin Reddell,Ian Scott,Samuel Neeley
Group Stage,Bronze+/Premier (5.0+),Group A,3,Single game,AZR UNCs,The Beach Boyz,AZR UNCs,21,19,,,,,Aidan Mackey,Andrew Stevens,Malachi Ryan,Kevin Reddell
Group Stage,Bronze+/Premier (5.0+),Group A,3,Single game,Mike/Hunter,The Rim Reapers,Mike/Hunter,21,8,,,,,Michael Capobianco,Hunter Koth,Ian Scott,Samuel Neeley
Group Stage,Bronze+/Premier (5.0+),Group A,3,Single game,Noodles & .Co,Giant Slayers,Giant Slayers,14,21,,,,,Jaren Hori,Ryan McCargar,David Yingling,Caedon Gibson
Group Stage,Bronze+/Premier (5.0+),Group A,4,Single game,AZR UNCs,Noodles & .Co,AZR UNCs,21,17,,,,,Aidan Mackey,Andrew Stevens,Jaren Hori,Ryan McCargar
Group Stage,Bronze+/Premier (5.0+),Group A,4,Single game,Mike/Hunter,The Beach Boyz,Mike/Hunter,21,17,,,,,Michael Capobianco,Hunter Koth,Malachi Ryan,Kevin Reddell
Group Stage,Bronze+/Premier (5.0+),Group A,4,Single game,Giant Slayers,The Rim Reapers,Giant Slayers,22,21,,,,,David Yingling,Caedon Gibson,Ian Scott,Samuel Neeley
Group Stage,Bronze+/Premier (5.0+),Group A,5,Single game,AZR UNCs,Mike/Hunter,Mike/Hunter,7,21,,,,,Aidan Mackey,Andrew Stevens,Michael Capobianco,Hunter Koth
Group Stage,Bronze+/Premier (5.0+),Group A,5,Single game,Noodles & .Co,The Rim Reapers,Noodles & .Co,21,14,,,,,Jaren Hori,Ryan McCargar,Ian Scott,Samuel Neeley
Group Stage,Bronze+/Premier (5.0+),Group A,5,Single game,The Beach Boyz,Giant Slayers,Giant Slayers,12,21,,,,,Malachi Ryan,Kevin Reddell,David Yingling,Caedon Gibson
Bracket Stage,Bronze+/Premier (5.0+),Bracket A,Quarter-final,Best of 3,Giant Slayers,The Rim Reapers,Giant Slayers,21,11,21,14,,,David Yingling,Caedon Gibson,Ian Scott,Samuel Neeley
Bracket Stage,Bronze+/Premier (5.0+),Bracket A,Quarter-final,Best of 3,The Beach Boyz,Noodles & .Co,Noodles & .Co,10,21,19,21,,,Malachi Ryan,Kevin Reddell,Jaren Hori,Ryan McCargar
Bracket Stage,Bronze+/Premier (5.0+),Bracket A,Semi-final,Best of 3,Mike/Hunter,Noodles & .Co,Mike/Hunter,21,12,21,11,,,Michael Capobianco,Hunter Koth,Jaren Hori,Ryan McCargar
Bracket Stage,Bronze+/Premier (5.0+),Bracket A,Semi-final,Best of 3,AZR UNCs,Giant Slayers,AZR UNCs,21,14,15,21,21,16,Aidan Mackey,Andrew Stevens,David Yingling,Caedon Gibson
