Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Expert,This Pool is lame,1,Single game,Narayan’s Nemesis,Goldman Stacks,Narayan’s Nemesis,21,16,,,,,Kyle Fowler,Polk Denmark,Peyton Stack,Justin Goldman
Pool Play,Expert,This Pool is lame,1,Single game,can’t ice ice cold,Torta Pounders,Torta Pounders,17,21,,,,,Bradley Clark,Braedan Thomas,Isaac Mixon,David Gonzales
Pool Play,Expert,This Pool is lame,1,Single game,Consensual,No Mames,Consensual,21,14,,,,,Kurt Lannetti,Sean Caufield,Jackson Petroske,Blake Van Den Top
Pool Play,Expert,This pool is cool,1,Single game,paq/noah,Dalinqwents,paq/noah,21,16,,,,,Paq Clifford,Noah Kopetic,Brandon Tice,Cole Kuhlers
Pool Play,Expert,This pool is cool,1,Single game,NEM Seazonal,Claymore,NEM Seazonal,21,13,,,,,Zach Snover,Jacob Summers,Harrison Baisden,Andrew Yancey
Pool Play,Expert,This pool is cool,1,Single game,Inspection,Wolfpack - Legends Edition,Inspection,22,20,,,,,Jake Dooley,John Buchanan,Jacob Narayan,Tommy Drake
Pool Play,Expert,This Pool is lame,2,Single game,Narayan’s Nemesis,Torta Pounders,Narayan’s Nemesis,21,14,,,,,Kyle Fowler,Polk Denmark,Isaac Mixon,David Gonzales
Pool Play,Expert,This Pool is lame,2,Single game,can’t ice ice cold,Consensual,Consensual,18,21,,,,,Bradley Clark,Braedan Thomas,Kurt Lannetti,Sean Caufield
Pool Play,Expert,This Pool is lame,2,Single game,No Mames,Goldman Stacks,Goldman Stacks,14,21,,,,,Jackson Petroske,Blake Van Den Top,Peyton Stack,Justin Goldman
Pool Play,Expert,This pool is cool,2,Single game,paq/noah,Claymore,paq/noah,21,19,,,,,Paq Clifford,Noah Kopetic,Harrison Baisden,Andrew Yancey
Pool Play,Expert,This pool is cool,2,Single game,NEM Seazonal,Inspection,NEM Seazonal,21,19,,,,,Zach Snover,Jacob Summers,Jake Dooley,John Buchanan
Pool Play,Expert,This pool is cool,2,Single game,Wolfpack - Legends Edition,Dalinqwents,Dalinqwents,15,21,,,,,Jacob Narayan,Tommy Drake,Brandon Tice,Cole Kuhlers
Pool Play,Expert,This Pool is lame,3,Single game,Narayan’s Nemesis,No Mames,Narayan’s Nemesis,21,13,,,,,Kyle Fowler,Polk Denmark,Jackson Petroske,Blake Van Den Top
Pool Play,Expert,This Pool is lame,3,Single game,can’t ice ice cold,Goldman Stacks,Goldman Stacks,17,21,,,,,Bradley Clark,Braedan Thomas,Peyton Stack,Justin Goldman
Pool Play,Expert,This Pool is lame,3,Single game,Consensual,Torta Pounders,Consensual,21,12,,,,,Kurt Lannetti,Sean Caufield,Isaac Mixon,David Gonzales
Pool Play,Expert,This pool is cool,3,Single game,paq/noah,Wolfpack - Legends Edition,paq/noah,21,15,,,,,Paq Clifford,Noah Kopetic,Jacob Narayan,Tommy Drake
Pool Play,Expert,This pool is cool,3,Single game,NEM Seazonal,Dalinqwents,NEM Seazonal,21,10,,,,,Zach Snover,Jacob Summers,Brandon Tice,Cole Kuhlers
Pool Play,Expert,This pool is cool,3,Single game,Inspection,Claymore,Inspection,21,18,,,,,Jake Dooley,John Buchanan,Harrison Baisden,Andrew Yancey
Pool Play,Expert,This Pool is lame,4,Single game,Narayan’s Nemesis,Consensual,Narayan’s Nemesis,21,10,,,,,Kyle Fowler,Polk Denmark,Kurt Lannetti,Sean Caufield
Pool Play,Expert,This Pool is lame,4,Single game,can’t ice ice cold,No Mames,No Mames,19,21,,,,,Bradley Clark,Braedan Thomas,Jackson Petroske,Blake Van Den Top
Pool Play,Expert,This Pool is lame,4,Single game,Torta Pounders,Goldman Stacks,Goldman Stacks,19,21,,,,,Isaac Mixon,David Gonzales,Peyton Stack,Justin Goldman
