Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Bracket Stage,Elite/Premier,Bracket A,Quarter-final,Best of 3,Belgian Waffles ,Breaking Bad,Belgian Waffles ,21,18,24,22,,,Etienne Cote,Bram Declercq,Justin White,Carlos Nakamura
Bracket Stage,Elite/Premier,Bracket A,Quarter-final,Best of 3,Groovy,Out of system,Groovy,14,21,21,15,21,12,Will Ries,Carlin Vicera,Mikey Wiebe,Kolton Falk
Bracket Stage,Elite/Premier,Bracket A,Quarter-final,Best of 3,Spike Wazowski,Anti Serveball Serveball Club,Spike Wazowski,21,17,21,9,,,Tyus De Vries,Josiah Hoeppner,Segeon Jang,Mattias Cipriano
Bracket Stage,Elite/Premier,Bracket A,Semi-final,Best of 3,Thirst Trap,Spike Wazowski,Thirst Trap,21,9,21,19,,,Blake Bosak,Elijah Kim,Tyus De Vries,Josiah Hoeppner
Bracket Stage,Elite/Premier,Bracket A,Semi-final,Best of 3,Belgian Waffles ,Groovy,Belgian Waffles ,19,21,21,18,21,18,Etienne Cote,Bram Declercq,Will Ries,Carlin Vicera
Bracket Stage,Elite/Premier,Bracket A,P5: Semi-final,Best of 3,Out of system,Breaking Bad,Breaking Bad,0,1,0,1,,,Mikey Wiebe,Kolton Falk,Justin White,Carlos Nakamura
Bracket Stage,Elite/Premier,Bracket A,Final,Best of 3,Thirst Trap,Belgian Waffles ,Thirst Trap,20,22,21,16,23,21,Blake Bosak,Elijah Kim,Etienne Cote,Bram Declercq
Bracket Stage,Elite/Premier,Bracket A,P3: Final,Best of 3,Groovy,Spike Wazowski,Groovy,21,16,21,19,,,Will Ries,Carlin Vicera,Tyus De Vries,Josiah Hoeppner
Bracket Stage,Elite/Premier,Bracket A,P5: Final,Best of 3,Anti Serveball Serveball Club,Breaking Bad,Breaking Bad,,,0,1,0,1,Segeon Jang,Mattias Cipriano,Justin White,Carlos Nakamura
Group Stage,Elite/Premier,Group A,1,Single game,Thirst Trap,Anti Serveball Serveball Club,Thirst Trap,21,9,,,,,Blake Bosak,Elijah Kim,Segeon Jang,Mattias Cipriano
Group Stage,Elite/Premier,Group A,1,Single game,Belgian Waffles ,Spike Wazowski,Belgian Waffles ,21,9,,,,,Etienne Cote,Bram Declercq,Tyus De Vries,Josiah Hoeppner
Group Stage,Elite/Premier,Group A,1,Single game,Groovy,Out of system,Groovy,21,14,,,,,Will Ries,Carlin Vicera,Mikey Wiebe,Kolton Falk
Group Stage,Elite/Premier,Group A,2,Single game,Thirst Trap,Spike Wazowski,Thirst Trap,21,12,,,,,Blake Bosak,Elijah Kim,Tyus De Vries,Josiah Hoeppner
Group Stage,Elite/Premier,Group A,2,Single game,Belgian Waffles ,Breaking Bad,Belgian Waffles ,21,13,,,,,Etienne Cote,Bram Declercq,Justin White,Carlos Nakamura
