Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool play,Elite/Premier,Power pool,1,Single game,Nicked,KB24,Nicked,21,13,,,,,Eddy Leung,Nick Wideman,,Ishraq Joarder,Mattias Cipriano,
Pool play,Elite/Premier,Power pool,1,Single game,Jlake,Groovy,Jlake,21,14,,,,,Jake Lepp,Blake Bosak,,Carlin Vicera,Will Ries,
Pool play,Elite/Premier,Group B,1,Single game,C.D Plays,Sweaty Spike,Sweaty Spike,14,21,,,,,Jason Chow,Thai Do,,Eric Fought,Alec Cumming,
Pool play,Elite/Premier,Group B,1,Single game,CHN - Ma/Hu,Rachel/Fiona,CHN - Ma/Hu,21,11,,,,,Ethan Ma,Joe Hu,,Rachel Cheung,Fiona Chan,
Pool play,Elite/Premier,Group B,1,Single game,Josh n’ Jack,Hard hitters,Josh n’ Jack,22,20,,,,,Jack Plater,Joshua Grant,,Jason Fevang,Ethan Lo,
Pool play,Elite/Premier,Power pool,2,Single game,Nicked,Groovy,Nicked,21,16,,,,,Eddy Leung,Nick Wideman,,Carlin Vicera,Will Ries,
Pool play,Elite/Premier,Power pool,2,Single game,Jlake,KB24,Jlake,21,11,,,,,Jake Lepp,Blake Bosak,,Ishraq Joarder,Mattias Cipriano,
Pool play,Elite/Premier,Group B,2,Single game,C.D Plays,Rachel/Fiona,C.D Plays,21,12,,,,,Jason Chow,Thai Do,,Rachel Cheung,Fiona Chan,
Pool play,Elite/Premier,Group B,2,Single game,CHN - Ma/Hu,Josh n’ Jack,CHN - Ma/Hu,21,15,,,,,Ethan Ma,Joe Hu,,Jack Plater,Joshua Grant,
Pool play,Elite/Premier,Group B,2,Single game,Hard hitters,Sweaty Spike,Sweaty Spike,21,23,,,,,Jason Fevang,Ethan Lo,,Eric Fought,Alec Cumming,
Pool play,Elite/Premier,Power pool,3,Single game,Nicked,Jlake,Nicked,21,18,,,,,Eddy Leung,Nick Wideman,,Jake Lepp,Blake Bosak,
Pool play,Elite/Premier,Power pool,3,Single game,Groovy,KB24,Groovy,21,14,,,,,Carlin Vicera,Will Ries,,Ishraq Joarder,Mattias Cipriano,
Pool play,Elite/Premier,Group B,3,Single game,C.D Plays,Hard hitters,Hard hitters,15,21,,,,,Jason Chow,Thai Do,,Jason Fevang,Ethan Lo,
Pool play,Elite/Premier,Group B,3,Single game,CHN - Ma/Hu,Sweaty Spike,CHN - Ma/Hu,21,19,,,,,Ethan Ma,Joe Hu,,Eric Fought,Alec Cumming,
Pool play,Elite/Premier,Group B,3,Single game,Josh n’ Jack,Rachel/Fiona,Josh n’ Jack,21,9,,,,,Jack Plater,Joshua Grant,,Rachel Cheung,Fiona Chan,
Pool play,Elite/Premier,Group B,4,Single game,C.D Plays,Josh n’ Jack,Josh n’ Jack,16,21,,,,,Jason Chow,Thai Do,,Jack Plater,Joshua Grant,
Pool play,Elite/Premier,Group B,4,Single game,CHN - Ma/Hu,Hard hitters,Hard hitters,17,21,,,,,Ethan Ma,Joe Hu,,Jason Fevang,Ethan Lo,
Pool play,Elite/Premier,Group B,4,Single game,Rachel/Fiona,Sweaty Spike,Sweaty Spike,13,21,,,,,Rachel Cheung,Fiona Chan,,Eric Fought,Alec Cumming,
Pool play,Elite/Premier,Group B,5,Single game,C.D Plays,CHN - Ma/Hu,CHN - Ma/Hu,21,23,,,,,Jason Chow,Thai Do,,Ethan Ma,Joe Hu,
Pool play,Elite/Premier,Group B,5,Single game,Josh n’ Jack,Sweaty Spike,Sweaty Spike,19,21,,,,,Jack Plater,Joshua Grant,,Eric Fought,Alec Cumming,
Pool play,Elite/Premier,Group B,5,Single game,Hard hitters,Rachel/Fiona,Hard hitters,21,14,,,,,Jason Fevang,Ethan Lo,,Rachel Cheung,Fiona Chan,
Pool play,Elite/Premier,Power pool,4,Single game,Nicked,KB24,Nicked,21,7,,,,,Eddy Leung,Nick Wideman,,Ishraq Joarder,Mattias Cipriano,
Pool play,Elite/Premier,Power pool,4,Single game,Jlake,Groovy,Jlake,21,14,,,,,Jake Lepp,Blake Bosak,,Carlin Vicera,Will Ries,
Pool play,Elite/Premier,Power pool,5,Single game,Nicked,Groovy,Groovy,17,21,,,,,Eddy Leung,Nick Wideman,,Carlin Vicera,Will Ries,
Pool play,Elite/Premier,Power pool,5,Single game,Jlake,KB24,Jlake,21,12,,,,,Jake Lepp,Blake Bosak,,Ishraq Joarder,Mattias Cipriano,
