Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool play,Premier 5.0+,Group A,1,Single game,Rubix Cube ,Jelly Fam,Rubix Cube ,21,4,,,,,Connor Nelson,Kieran Rose,David Navalta,Anmol John
Pool play,Premier 5.0+,Group A,1,Single game,Incognito,Double Faults,Incognito,21,15,,,,,Joseph Kaylor,Michael Du,lucas peng,Jordan Freitas
Pool play,Premier 5.0+,Group A,1,Single game,Ninja Turtles,Jake Lepp,Ninja Turtles,21,12,,,,,Eddy Leung,Elijah Kim,Michael Capobianco,Carlos Nakamura
Pool play,Premier 5.0+,Group B,1,Single game,Insystem,Los Payasos,Insystem,21,10,,,,,Etienne Cote,Blake Bosak,Felipe Larroza,Nicolas Caballero
Pool play,Premier 5.0+,Group B,1,Single game,Phizz,Mango Nectar,Phizz,21,17,,,,,Dan Abrams,Nick Wideman,Nolan Wynkoop,Marlon Fleming
Pool play,Premier 5.0+,Group B,1,Single game,Your Drunk,Doggonit,Your Drunk,21,17,,,,,Andrew Kosche,Trevor Barbosa,Jason Small,Jake Martha
Pool play,Premier 5.0+,Group C,1,Single game,En vacance,EST. 1990,En vacance,21,18,,,,,Olivier Laurin,Vincent Mathieu,Carlin Vicera,Blake Clarke
Pool play,Premier 5.0+,Group C,1,Single game,Wee Ouis,Yo Gabba Gabba,Wee Ouis,21,18,,,,,Keaton Kirchner,Maxime Prince,Juan Moscoso,Derek Tang
Pool play,Premier 5.0+,Group C,1,Single game,off-hand flick,Arrow Down,Arrow Down,17,21,,,,,Sam Clarke,Solomon Berry,Alec Galbo,Noah Johnson
Pool play,Premier 5.0+,Group A,2,Single game,Rubix Cube ,Double Faults,Rubix Cube ,21,13,,,,,Connor Nelson,Kieran Rose,lucas peng,Jordan Freitas
Pool play,Premier 5.0+,Group A,2,Single game,Incognito,Ninja Turtles,Ninja Turtles,25,27,,,,,Joseph Kaylor,Michael Du,Eddy Leung,Elijah Kim
Pool play,Premier 5.0+,Group A,2,Single game,Jake Lepp,Jelly Fam,Jelly Fam,16,21,,,,,Michael Capobianco,Carlos Nakamura,David Navalta,Anmol John
Pool play,Premier 5.0+,Group B,2,Single game,Insystem,Mango Nectar,Insystem,21,8,,,,,Etienne Cote,Blake Bosak,Nolan Wynkoop,Marlon Fleming
Pool play,Premier 5.0+,Group B,2,Single game,Phizz,Your Drunk,Phizz,21,19,,,,,Dan Abrams,Nick Wideman,Andrew Kosche,Trevor Barbosa
Pool play,Premier 5.0+,Group B,2,Single game,Doggonit,Los Payasos,Los Payasos,17,21,,,,,Jason Small,Jake Martha,Felipe Larroza,Nicolas Caballero
Pool play,Premier 5.0+,Group C,2,Single game,En vacance,Yo Gabba Gabba,En vacance,21,14,,,,,Olivier Laurin,Vincent Mathieu,Juan Moscoso,Derek Tang
Pool play,Premier 5.0+,Group C,2,Single game,Wee Ouis,off-hand flick,Wee Ouis,21,17,,,,,Keaton Kirchner,Maxime Prince,Sam Clarke,Solomon Berry
Pool play,Premier 5.0+,Group C,2,Single game,Arrow Down,EST. 1990,Arrow Down,21,19,,,,,Alec Galbo,Noah Johnson,Carlin Vicera,Blake Clarke
Pool play,Premier 5.0+,Group A,3,Single game,Rubix Cube ,Jake Lepp,Rubix Cube ,21,11,,,,,Connor Nelson,Kieran Rose,Michael Capobianco,Carlos Nakamura
Pool play,Premier 5.0+,Group A,3,Single game,Incognito,Jelly Fam,Incognito,21,19,,,,,Joseph Kaylor,Michael Du,David Navalta,Anmol John
Pool play,Premier 5.0+,Group A,3,Single game,Ninja Turtles,Double Faults,Ninja Turtles,21,12,,,,,Eddy Leung,Elijah Kim,lucas peng,Jordan Freitas
Pool play,Premier 5.0+,Group B,3,Single game,Insystem,Doggonit,Insystem,21,10,,,,,Etienne Cote,Blake Bosak,Jason Small,Jake Martha
Pool play,Premier 5.0+,Group B,3,Single game,Phizz,Los Payasos,Phizz,21,13,,,,,Dan Abrams,Nick Wideman,Felipe Larroza,Nicolas Caballero
Pool play,Premier 5.0+,Group B,3,Single game,Your Drunk,Mango Nectar,Your Drunk,21,19,,,,,Andrew Kosche,Trevor Barbosa,Nolan Wynkoop,Marlon Fleming
Pool play,Premier 5.0+,Group C,3,Single game,En vacance,Arrow Down,En vacance,21,11,,,,,Olivier Laurin,Vincent Mathieu,Alec Galbo,Noah Johnson
Pool play,Premier 5.0+,Group C,3,Single game,Wee Ouis,EST. 1990,Wee Ouis,22,20,,,,,Keaton Kirchner,Maxime Prince,Carlin Vicera,Blake Clarke
Pool play,Premier 5.0+,Group C,3,Single game,off-hand flick,Yo Gabba Gabba,Yo Gabba Gabba,10,21,,,,,Sam Clarke,Solomon Berry,Juan Moscoso,Derek Tang
Pool play,Premier 5.0+,Group A,4,Single game,Rubix Cube ,Ninja Turtles,Rubix Cube ,21,14,,,,,Connor Nelson,Kieran Rose,Eddy Leung,Elijah Kim
Pool play,Premier 5.0+,Group A,4,Single game,Incognito,Jake Lepp,Incognito,21,15,,,,,Joseph Kaylor,Michael Du,Michael Capobianco,Carlos Nakamura
Pool play,Premier 5.0+,Group A,4,Single game,Double Faults,Jelly Fam,Jelly Fam,19,21,,,,,lucas peng,Jordan Freitas,David Navalta,Anmol John
Pool play,Premier 5.0+,Group B,4,Single game,Insystem,Your Drunk,Insystem,21,13,,,,,Etienne Cote,Blake Bosak,Andrew Kosche,Trevor Barbosa
Pool play,Premier 5.0+,Group B,4,Single game,Phizz,Doggonit,Phizz,21,18,,,,,Dan Abrams,Nick Wideman,Jason Small,Jake Martha
Pool play,Premier 5.0+,Group B,4,Single game,Mango Nectar,Los Payasos,Mango Nectar,21,16,,,,,Nolan Wynkoop,Marlon Fleming,Felipe Larroza,Nicolas Caballero
Pool play,Premier 5.0+,Group C,4,Single game,En vacance,off-hand flick,En vacance,21,18,,,,,Olivier Laurin,Vincent Mathieu,Sam Clarke,Solomon Berry
Pool play,Premier 5.0+,Group C,4,Single game,Wee Ouis,Arrow Down,Wee Ouis,22,20,,,,,Keaton Kirchner,Maxime Prince,Alec Galbo,Noah Johnson
Pool play,Premier 5.0+,Group C,4,Single game,Yo Gabba Gabba,EST. 1990,Yo Gabba Gabba,21,17,,,,,Juan Moscoso,Derek Tang,Carlin Vicera,Blake Clarke
Pool play,Premier 5.0+,Group A,5,Single game,Rubix Cube ,Incognito,Rubix Cube ,21,13,,,,,Connor Nelson,Kieran Rose,Joseph Kaylor,Michael Du
Pool play,Premier 5.0+,Group A,5,Single game,Ninja Turtles,Jelly Fam,Ninja Turtles,21,6,,,,,Eddy Leung,Elijah Kim,David Navalta,Anmol John
Pool play,Premier 5.0+,Group A,5,Single game,Jake Lepp,Double Faults,Double Faults,14,21,,,,,Michael Capobianco,Carlos Nakamura,lucas peng,Jordan Freitas
Pool play,Premier 5.0+,Group B,5,Single game,Insystem,Phizz,Insystem,21,10,,,,,Etienne Cote,Blake Bosak,Dan Abrams,Nick Wideman
Pool play,Premier 5.0+,Group B,5,Single game,Your Drunk,Los Payasos,Your Drunk,21,12,,,,,Andrew Kosche,Trevor Barbosa,Felipe Larroza,Nicolas Caballero
Pool play,Premier 5.0+,Group B,5,Single game,Doggonit,Mango Nectar,Doggonit,21,14,,,,,Jason Small,Jake Martha,Nolan Wynkoop,Marlon Fleming
Pool play,Premier 5.0+,Group C,5,Single game,En vacance,Wee Ouis,En vacance,21,17,,,,,Olivier Laurin,Vincent Mathieu,Keaton Kirchner,Maxime Prince
Pool play,Premier 5.0+,Group C,5,Single game,off-hand flick,EST. 1990,off-hand flick,21,17,,,,,Sam Clarke,Solomon Berry,Carlin Vicera,Blake Clarke
Pool play,Premier 5.0+,Group C,5,Single game,Arrow Down,Yo Gabba Gabba,Arrow Down,21,16,,,,,Alec Galbo,Noah Johnson,Juan Moscoso,Derek Tang
Bracket Stage,Premier 5.0+,Bracket A,Round of 32,Best of 3,Mango Nectar,Jake Lepp,Jake Lepp,0,1,1,0,0,1,Nolan Wynkoop,Marlon Fleming,Michael Capobianco,Carlos Nakamura
Bracket Stage,Premier 5.0+,Bracket A,Round of 32,Best of 3,Los Payasos,EST. 1990,EST. 1990,0,1,0,1,,,Felipe Larroza,Nicolas Caballero,Carlin Vicera,Blake Clarke
Bracket Stage,Premier 5.0+,Bracket A,Round of 16,Best of 3,Insystem,EST. 1990,Insystem,21,11,21,9,,,Etienne Cote,Blake Bosak,Carlin Vicera,Blake Clarke
Bracket Stage,Premier 5.0+,Bracket A,Round of 16,Best of 3,Rubix Cube ,Jake Lepp,Rubix Cube ,21,11,21,10,,,Connor Nelson,Kieran Rose,Michael Capobianco,Carlos Nakamura
Bracket Stage,Premier 5.0+,Bracket A,Round of 16,Best of 3,En vacance,Double Faults,En vacance,21,15,21,14,,,Olivier Laurin,Vincent Mathieu,lucas peng,Jordan Freitas
Bracket Stage,Premier 5.0+,Bracket A,Round of 16,Best of 3,Ninja Turtles,off-hand flick,Ninja Turtles,21,11,21,17,,,Eddy Leung,Elijah Kim,Sam Clarke,Solomon Berry
Bracket Stage,Premier 5.0+,Bracket A,Round of 16,Best of 3,Wee Ouis,Doggonit,Wee Ouis,21,15,21,18,,,Keaton Kirchner,Maxime Prince,Jason Small,Jake Martha
Bracket Stage,Premier 5.0+,Bracket A,Round of 16,Best of 3,Phizz,Jelly Fam,Phizz,21,15,21,8,,,Dan Abrams,Nick Wideman,David Navalta,Anmol John
Bracket Stage,Premier 5.0+,Bracket A,Round of 16,Best of 3,Your Drunk,Yo Gabba Gabba,Your Drunk,21,18,21,16,,,Andrew Kosche,Trevor Barbosa,Juan Moscoso,Derek Tang
Bracket Stage,Premier 5.0+,Bracket A,Round of 16,Best of 3,Incognito,Arrow Down,Incognito,21,13,21,13,,,Joseph Kaylor,Michael Du,Alec Galbo,Noah Johnson
Bracket Stage,Premier 5.0+,Bracket A,Quarter-final,Best of 3,Insystem,Incognito,Insystem,21,14,21,14,,,Etienne Cote,Blake Bosak,Joseph Kaylor,Michael Du
Bracket Stage,Premier 5.0+,Bracket A,Quarter-final,Best of 3,Rubix Cube ,Your Drunk,Rubix Cube ,21,15,21,19,,,Connor Nelson,Kieran Rose,Andrew Kosche,Trevor Barbosa
Bracket Stage,Premier 5.0+,Bracket A,Quarter-final,Best of 3,En vacance,Phizz,En vacance,21,13,21,18,,,Olivier Laurin,Vincent Mathieu,Dan Abrams,Nick Wideman
Bracket Stage,Premier 5.0+,Bracket A,Quarter-final,Best of 3,Ninja Turtles,Wee Ouis,Wee Ouis,15,21,24,26,,,Eddy Leung,Elijah Kim,Keaton Kirchner,Maxime Prince
Bracket Stage,Premier 5.0+,Bracket A,P9: Quarter-final,Best of 3,Arrow Down,EST. 1990,Arrow Down,21,11,21,16,,,Alec Galbo,Noah Johnson,Carlin Vicera,Blake Clarke
Bracket Stage,Premier 5.0+,Bracket A,P9: Quarter-final,Best of 3,Yo Gabba Gabba,Jake Lepp,Yo Gabba Gabba,21,17,21,12,,,Juan Moscoso,Derek Tang,Michael Capobianco,Carlos Nakamura
Bracket Stage,Premier 5.0+,Bracket A,P9: Quarter-final,Best of 3,Jelly Fam,Double Faults,Jelly Fam,21,15,19,21,21,19,David Navalta,Anmol John,lucas peng,Jordan Freitas
Bracket Stage,Premier 5.0+,Bracket A,P9: Quarter-final,Best of 3,Doggonit,off-hand flick,off-hand flick,15,21,0,1,,,Jason Small,Jake Martha,Sam Clarke,Solomon Berry
Bracket Stage,Premier 5.0+,Bracket A,Semi-final,Best of 3,Insystem,Wee Ouis,Insystem,21,18,21,19,,,Etienne Cote,Blake Bosak,Keaton Kirchner,Maxime Prince
Bracket Stage,Premier 5.0+,Bracket A,Semi-final,Best of 3,Rubix Cube ,En vacance,En vacance,19,21,16,21,,,Connor Nelson,Kieran Rose,Olivier Laurin,Vincent Mathieu
Bracket Stage,Premier 5.0+,Bracket A,P5: Semi-final,Best of 3,Ninja Turtles,Incognito,Ninja Turtles,1,0,1,0,,,Eddy Leung,Elijah Kim,Joseph Kaylor,Michael Du
Bracket Stage,Premier 5.0+,Bracket A,P5: Semi-final,Best of 3,Phizz,Your Drunk,Phizz,1,0,1,0,,,Dan Abrams,Nick Wideman,Andrew Kosche,Trevor Barbosa
Bracket Stage,Premier 5.0+,Bracket A,P9: Semi-final,Best of 3,Arrow Down,off-hand flick,Arrow Down,21,19,0,-1,,,Alec Galbo,Noah Johnson,Sam Clarke,Solomon Berry
Bracket Stage,Premier 5.0+,Bracket A,P9: Semi-final,Best of 3,Yo Gabba Gabba,Jelly Fam,Yo Gabba Gabba,0,-1,0,-1,,,Juan Moscoso,Derek Tang,David Navalta,Anmol John
Bracket Stage,Premier 5.0+,Bracket A,P13: Semi-final,Best of 3,Doggonit,EST. 1990,EST. 1990,0,1,0,1,,,Jason Small,Jake Martha,Carlin Vicera,Blake Clarke
Bracket Stage,Premier 5.0+,Bracket A,P13: Semi-final,Best of 3,Double Faults,Jake Lepp,Double Faults,0,-1,0,-1,,,lucas peng,Jordan Freitas,Michael Capobianco,Carlos Nakamura
Bracket Stage,Premier 5.0+,Bracket A,Final,Best of 3,Insystem,En vacance,Insystem,21,14,21,9,,,Etienne Cote,Blake Bosak,Olivier Laurin,Vincent Mathieu
Bracket Stage,Premier 5.0+,Bracket A,P3: Final,Best of 3,Rubix Cube ,Wee Ouis,Rubix Cube ,21,14,21,19,,,Connor Nelson,Kieran Rose,Keaton Kirchner,Maxime Prince
Bracket Stage,Premier 5.0+,Bracket A,P11: Final,Best of 3,Jelly Fam,off-hand flick,Jelly Fam,1,0,1,0,,,David Navalta,Anmol John,Sam Clarke,Solomon Berry
Bracket Stage,Premier 5.0+,Bracket A,P15: Final,Best of 3,Jake Lepp,Doggonit,Jake Lepp,11,6,11,6,,,Michael Capobianco,Carlos Nakamura,Jason Small,Jake Martha
Pool play,Contender 4.5+,Group A,1,Single game,Jake and Will (Went Up The Hill),Knights of the Roundnet,Jake and Will (Went Up The Hill),21,5,,,,,Will Ries,Jake Lepp,Alec Sisaiyaket,Ethan Gould
Pool play,Contender 4.5+,Group A,1,Single game,Mafia Ties,Adiabatic,Mafia Ties,21,17,,,,,Jack Plater,Luca Leoni,Gabris Ni,Isaac Wong
Pool play,Contender 4.5+,Group A,1,Single game,2k•,Sweaty Spike,Sweaty Spike,24,26,,,,,Karah Hui,Kayla Wu-Fleming,Eric Fought,Jason Fevang
Pool play,Contender 4.5+,Group B,1,Single game,Slumpy & Dumpy,Young Guns,Slumpy & Dumpy,21,13,,,,,Jason Xu,pavan narahari,Joel Burnham,George Munn
Pool play,Contender 4.5+,Group B,1,Single game,Pookie & Dookie,Mr. Marshall and the Big Steppers,Mr. Marshall and the Big Steppers,25,27,,,,,Victor Tu,Joel Yang,Griffin Righi,Jacob Marshall
