Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool play,Advanced 3.0 - 4.0,Group A,1,Single game,Serve Survivors,Springdale,Springdale,19,21,,,,,Austin Tolpin,Sawyer Eckhardt,Daniel Davis,Jaxon Davis
Pool play,Advanced 3.0 - 4.0,Group A,1,Single game,The squirrels,Team Ram-Rod,The squirrels,22,20,,,,,Abraham Chetta,Laird Davis,Carlos Ramirez,Eric Schreibeis
Pool play,Advanced 3.0 - 4.0,Group A,1,Single game,Hotline Hotties,Trouble Maker,Trouble Maker,16,21,,,,,Landon Parker,Taylor Harman,Tyler Klein,Braylon Schreibeis
Pool play,Advanced 3.0 - 4.0,Group B,1,Single game,Grumpy Old Men,Ur Joshin' Me,Grumpy Old Men,21,18,,,,,Jeremy Klein,Duston Barton,Joshua Coder,Joshua Bradshaw
Pool play,Advanced 3.0 - 4.0,Group B,1,Single game,The Gentlemen,The Officials,The Gentlemen,21,15,,,,,Easton Rupe,Michael Bush,James Potter,Cameron LaTulippe
Pool play,Advanced 3.0 - 4.0,Group B,1,Single game,Andy Dandy and Jacky Wacky,The flowers,The flowers,19,21,,,,,Andrew Child,Jack Carney,Harrison Bork,Ryan Zobrist
Pool play,Advanced 3.0 - 4.0,Group A,2,Single game,Serve Survivors,Team Ram-Rod,Serve Survivors,21,11,,,,,Austin Tolpin,Sawyer Eckhardt,Carlos Ramirez,Eric Schreibeis
Pool play,Advanced 3.0 - 4.0,Group A,2,Single game,The squirrels,Hotline Hotties,The squirrels,21,17,,,,,Abraham Chetta,Laird Davis,Landon Parker,Taylor Harman
Pool play,Advanced 3.0 - 4.0,Group A,2,Single game,Trouble Maker,Springdale,Trouble Maker,21,19,,,,,Tyler Klein,Braylon Schreibeis,Daniel Davis,Jaxon Davis
Pool play,Advanced 3.0 - 4.0,Group B,2,Single game,Grumpy Old Men,The Officials,Grumpy Old Men,21,15,,,,,Jeremy Klein,Duston Barton,James Potter,Cameron LaTulippe
Pool play,Advanced 3.0 - 4.0,Group B,2,Single game,The Gentlemen,Andy Dandy and Jacky Wacky,The Gentlemen,21,14,,,,,Easton Rupe,Michael Bush,Andrew Child,Jack Carney
Pool play,Advanced 3.0 - 4.0,Group B,2,Single game,The flowers,Ur Joshin' Me,Ur Joshin' Me,8,21,,,,,Harrison Bork,Ryan Zobrist,Joshua Coder,Joshua Bradshaw
Pool play,Advanced 3.0 - 4.0,Group A,3,Single game,Serve Survivors,Trouble Maker,Serve Survivors,21,14,,,,,Austin Tolpin,Sawyer Eckhardt,Tyler Klein,Braylon Schreibeis
Pool play,Advanced 3.0 - 4.0,Group A,3,Single game,The squirrels,Springdale,Springdale,17,21,,,,,Abraham Chetta,Laird Davis,Daniel Davis,Jaxon Davis
Pool play,Advanced 3.0 - 4.0,Group A,3,Single game,Hotline Hotties,Team Ram-Rod,Team Ram-Rod,19,21,,,,,Landon Parker,Taylor Harman,Carlos Ramirez,Eric Schreibeis
Pool play,Advanced 3.0 - 4.0,Group B,3,Single game,Grumpy Old Men,The flowers,Grumpy Old Men,21,17,,,,,Jeremy Klein,Duston Barton,Harrison Bork,Ryan Zobrist
Pool play,Advanced 3.0 - 4.0,Group B,3,Single game,The Gentlemen,Ur Joshin' Me,Ur Joshin' Me,16,21,,,,,Easton Rupe,Michael Bush,Joshua Coder,Joshua Bradshaw
Pool play,Advanced 3.0 - 4.0,Group B,3,Single game,Andy Dandy and Jacky Wacky,The Officials,The Officials,14,21,,,,,Andrew Child,Jack Carney,James Potter,Cameron LaTulippe
Pool play,Advanced 3.0 - 4.0,Group A,4,Single game,Serve Survivors,Hotline Hotties,Serve Survivors,21,9,,,,,Austin Tolpin,Sawyer Eckhardt,Landon Parker,Taylor Harman
Pool play,Advanced 3.0 - 4.0,Group A,4,Single game,The squirrels,Trouble Maker,The squirrels,21,19,,,,,Abraham Chetta,Laird Davis,Tyler Klein,Braylon Schreibeis
Pool play,Advanced 3.0 - 4.0,Group A,4,Single game,Team Ram-Rod,Springdale,Springdale,13,21,,,,,Carlos Ramirez,Eric Schreibeis,Daniel Davis,Jaxon Davis
Pool play,Advanced 3.0 - 4.0,Group B,4,Single game,Grumpy Old Men,Andy Dandy and Jacky Wacky,Grumpy Old Men,21,10,,,,,Jeremy Klein,Duston Barton,Andrew Child,Jack Carney
Pool play,Advanced 3.0 - 4.0,Group B,4,Single game,The Gentlemen,The flowers,The Gentlemen,21,14,,,,,Easton Rupe,Michael Bush,Harrison Bork,Ryan Zobrist
Pool play,Advanced 3.0 - 4.0,Group B,4,Single game,The Officials,Ur Joshin' Me,The Officials,21,17,,,,,James Potter,Cameron LaTulippe,Joshua Coder,Joshua Bradshaw
Pool play,Advanced 3.0 - 4.0,Group A,5,Single game,Serve Survivors,The squirrels,Serve Survivors,21,18,,,,,Austin Tolpin,Sawyer Eckhardt,Abraham Chetta,Laird Davis
Pool play,Advanced 3.0 - 4.0,Group A,5,Single game,Hotline Hotties,Springdale,Springdale,19,21,,,,,Landon Parker,Taylor Harman,Daniel Davis,Jaxon Davis
Pool play,Advanced 3.0 - 4.0,Group A,5,Single game,Trouble Maker,Team Ram-Rod,Trouble Maker,21,19,,,,,Tyler Klein,Braylon Schreibeis,Carlos Ramirez,Eric Schreibeis
Pool play,Advanced 3.0 - 4.0,Group B,5,Single game,Grumpy Old Men,The Gentlemen,The Gentlemen,16,21,,,,,Jeremy Klein,Duston Barton,Easton Rupe,Michael Bush
Pool play,Advanced 3.0 - 4.0,Group B,5,Single game,Andy Dandy and Jacky Wacky,Ur Joshin' Me,Ur Joshin' Me,15,21,,,,,Andrew Child,Jack Carney,Joshua Coder,Joshua Bradshaw
Pool play,Advanced 3.0 - 4.0,Group B,5,Single game,The flowers,The Officials,The Officials,16,21,,,,,Harrison Bork,Ryan Zobrist,James Potter,Cameron LaTulippe
Bracket Stage,Advanced 3.0 - 4.0,Bracket A,Round of 16,Best of 3,Ur Joshin' Me,Andy Dandy and Jacky Wacky,Ur Joshin' Me,21,10,21,10,,,Joshua Coder,Joshua Bradshaw,Andrew Child,Jack Carney
Bracket Stage,Advanced 3.0 - 4.0,Bracket A,Round of 16,Best of 3,The Officials,Hotline Hotties,The Officials,21,10,21,18,,,James Potter,Cameron LaTulippe,Landon Parker,Taylor Harman
Bracket Stage,Advanced 3.0 - 4.0,Bracket A,Round of 16,Best of 3,The squirrels,The flowers,The flowers,17,21,19,21,,,Abraham Chetta,Laird Davis,Harrison Bork,Ryan Zobrist
Bracket Stage,Advanced 3.0 - 4.0,Bracket A,Round of 16,Best of 3,Trouble Maker,Team Ram-Rod,Trouble Maker,21,16,17,21,21,16,Tyler Klein,Braylon Schreibeis,Carlos Ramirez,Eric Schreibeis
