Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Expert,Group A,1,Single game,Omnomnomnomnom,Gabe/Rehan,Omnomnomnomnom,21,15,,,,,Noah Saddik,Connor Nelson,Rehan Kabir,Gabriel Rouse
Group Stage,5.0 Expert,Group A,1,Single game,Perfect Attendance,Oswalt/Schrag,Perfect Attendance,21,15,,,,,Liam Martinez,Jake Young,Nathaniel Schrag,Ryan Oswalt
Group Stage,5.0 Expert,Group B,1,Single game,Just Here to Observe,coughing baby,Just Here to Observe,21,12,,,,,Ahren Gwynn,Rafi Moldovsky,Cooper Patcheak,Ally Chou
Group Stage,5.0 Expert,Group B,1,Single game,Sluggish,In Due Time,Sluggish,21,13,,,,,Sasha Mariniuk,Jakob Seidner,Michael Du,Tim Gaskin
Group Stage,5.0 Expert,Group B,1,Single game,ABG Scale Theory,Trevor/Aniket,Trevor/Aniket,22,24,,,,,Karah Hui,Elle Lowe,Trevor Folden,Aniket Matharasi
Group Stage,5.0 Expert,Group A,2,Single game,Omnomnomnomnom,Oswalt/Schrag,Omnomnomnomnom,21,12,,,,,Noah Saddik,Connor Nelson,Nathaniel Schrag,Ryan Oswalt
Group Stage,5.0 Expert,Group A,2,Single game,Hit & Run,Gabe/Rehan,Gabe/Rehan,12,21,,,,,Alec Galbo,CJ Wallace,Rehan Kabir,Gabriel Rouse
Group Stage,5.0 Expert,Group B,2,Single game,Just Here to Observe,In Due Time,Just Here to Observe,21,16,,,,,Ahren Gwynn,Rafi Moldovsky,Michael Du,Tim Gaskin
Group Stage,5.0 Expert,Group B,2,Single game,Sluggish,ABG Scale Theory,Sluggish,25,24,,,,,Sasha Mariniuk,Jakob Seidner,Karah Hui,Elle Lowe
Group Stage,5.0 Expert,Group B,2,Single game,Trevor/Aniket,coughing baby,Trevor/Aniket,21,16,,,,,Trevor Folden,Aniket Matharasi,Cooper Patcheak,Ally Chou
Group Stage,5.0 Expert,Group A,3,Single game,Omnomnomnomnom,Hit & Run,Omnomnomnomnom,21,13,,,,,Noah Saddik,Connor Nelson,Alec Galbo,CJ Wallace
Group Stage,5.0 Expert,Group A,3,Single game,Perfect Attendance,Gabe/Rehan,Gabe/Rehan,18,21,,,,,Liam Martinez,Jake Young,Rehan Kabir,Gabriel Rouse
Group Stage,5.0 Expert,Group B,3,Single game,Just Here to Observe,Trevor/Aniket,Just Here to Observe,21,12,,,,,Ahren Gwynn,Rafi Moldovsky,Trevor Folden,Aniket Matharasi
Group Stage,5.0 Expert,Group B,3,Single game,Sluggish,coughing baby,Sluggish,21,13,,,,,Sasha Mariniuk,Jakob Seidner,Cooper Patcheak,Ally Chou
Group Stage,5.0 Expert,Group B,3,Single game,ABG Scale Theory,In Due Time,ABG Scale Theory,21,18,,,,,Karah Hui,Elle Lowe,Michael Du,Tim Gaskin
Group Stage,5.0 Expert,Group A,4,Single game,Perfect Attendance,Hit & Run,Perfect Attendance,21,19,,,,,Liam Martinez,Jake Young,Alec Galbo,CJ Wallace
Group Stage,5.0 Expert,Group A,4,Single game,Oswalt/Schrag,Gabe/Rehan,Gabe/Rehan,10,21,,,,,Nathaniel Schrag,Ryan Oswalt,Rehan Kabir,Gabriel Rouse
Group Stage,5.0 Expert,Group B,4,Single game,Just Here to Observe,ABG Scale Theory,Just Here to Observe,21,15,,,,,Ahren Gwynn,Rafi Moldovsky,Karah Hui,Elle Lowe
Group Stage,5.0 Expert,Group B,4,Single game,Sluggish,Trevor/Aniket,Sluggish,21,9,,,,,Sasha Mariniuk,Jakob Seidner,Trevor Folden,Aniket Matharasi
Group Stage,5.0 Expert,Group B,4,Single game,In Due Time,coughing baby,coughing baby,18,21,,,,,Michael Du,Tim Gaskin,Cooper Patcheak,Ally Chou
Group Stage,5.0 Expert,Group A,5,Single game,Omnomnomnomnom,Perfect Attendance,Omnomnomnomnom,21,16,,,,,Noah Saddik,Connor Nelson,Liam Martinez,Jake Young
Group Stage,5.0 Expert,Group A,5,Single game,Hit & Run,Oswalt/Schrag,Hit & Run,21,9,,,,,Alec Galbo,CJ Wallace,Nathaniel Schrag,Ryan Oswalt
Group Stage,5.0 Expert,Group B,5,Single game,Just Here to Observe,Sluggish,Sluggish,18,21,,,,,Ahren Gwynn,Rafi Moldovsky,Sasha Mariniuk,Jakob Seidner
Group Stage,5.0 Expert,Group B,5,Single game,ABG Scale Theory,coughing baby,ABG Scale Theory,21,16,,,,,Karah Hui,Elle Lowe,Cooper Patcheak,Ally Chou
Group Stage,5.0 Expert,Group B,5,Single game,Trevor/Aniket,In Due Time,Trevor/Aniket,21,16,,,,,Trevor Folden,Aniket Matharasi,Michael Du,Tim Gaskin
Bracket Stage,5.0 Expert,Bracket A,Round of 16,Best of 3,Trevor/Aniket,In Due Time,Trevor/Aniket,21,12,21,13,,,Trevor Folden,Aniket Matharasi,Michael Du,Tim Gaskin
Bracket Stage,5.0 Expert,Bracket A,Round of 16,Best of 3,ABG Scale Theory,Oswalt/Schrag,Oswalt/Schrag,21,17,19,21,14,21,Karah Hui,Elle Lowe,Nathaniel Schrag,Ryan Oswalt
Bracket Stage,5.0 Expert,Bracket A,Round of 16,Best of 3,Hit & Run,coughing baby,Hit & Run,21,11,21,12,,,Alec Galbo,CJ Wallace,Cooper Patcheak,Ally Chou
Bracket Stage,5.0 Expert,Bracket A,Quarter-final,Best of 3,Omnomnomnomnom,Hit & Run,Omnomnomnomnom,21,18,21,19,,,Noah Saddik,Connor Nelson,Alec Galbo,CJ Wallace
Bracket Stage,5.0 Expert,Bracket A,Quarter-final,Best of 3,Sluggish,Oswalt/Schrag,Sluggish,22,20,21,18,,,Sasha Mariniuk,Jakob Seidner,Nathaniel Schrag,Ryan Oswalt
Bracket Stage,5.0 Expert,Bracket A,Quarter-final,Best of 3,Just Here to Observe,Trevor/Aniket,Just Here to Observe,24,22,13,21,21,13,Ahren Gwynn,Rafi Moldovsky,Trevor Folden,Aniket Matharasi
Bracket Stage,5.0 Expert,Bracket A,Quarter-final,Best of 3,Gabe/Rehan,Perfect Attendance,Gabe/Rehan,21,19,21,17,,,Rehan Kabir,Gabriel Rouse,Liam Martinez,Jake Young
Bracket Stage,5.0 Expert,Bracket A,Semi-final,Best of 3,Omnomnomnomnom,Gabe/Rehan,Omnomnomnomnom,21,10,21,12,,,Noah Saddik,Connor Nelson,Rehan Kabir,Gabriel Rouse
Bracket Stage,5.0 Expert,Bracket A,Semi-final,Best of 3,Sluggish,Just Here to Observe,Sluggish,21,14,21,18,,,Sasha Mariniuk,Jakob Seidner,Ahren Gwynn,Rafi Moldovsky
Bracket Stage,5.0 Expert,Bracket A,P5: Semi-final,Single game,Perfect Attendance,Hit & Run,Hit & Run,10,21,,,,,Liam Martinez,Jake Young,Alec Galbo,CJ Wallace
Bracket Stage,5.0 Expert,Bracket A,P5: Semi-final,Single game,Trevor/Aniket,Oswalt/Schrag,Trevor/Aniket,0,-2,,,,,Trevor Folden,Aniket Matharasi,Nathaniel Schrag,Ryan Oswalt
Bracket Stage,5.0 Expert,Bracket A,Final,Best of 3,Omnomnomnomnom,Sluggish,Omnomnomnomnom,21,11,21,18,,,Noah Saddik,Connor Nelson,Sasha Mariniuk,Jakob Seidner
Bracket Stage,5.0 Expert,Bracket A,P3: Final,Best of 3,Just Here to Observe,Gabe/Rehan,Gabe/Rehan,19,21,21,16,15,21,Ahren Gwynn,Rafi Moldovsky,Rehan Kabir,Gabriel Rouse
Bracket Stage,5.0 Expert,Bracket A,P5: Final,Single game,Hit & Run,Trevor/Aniket,Hit & Run,0,-1,,,,,Alec Galbo,CJ Wallace,Trevor Folden,Aniket Matharasi
Bracket Stage,5.0 Expert,Bracket A,P7: Final,Single game,Oswalt/Schrag,Perfect Attendance,Perfect Attendance,-2,0,,,,,Nathaniel Schrag,Ryan Oswalt,Liam Martinez,Jake Young
Group Stage,4.0+ Contender,Group A,1,Single game,Trevor/costas,two feminists,Trevor/costas,21,6,,,,,Trevor Buchan,Costas Foster,Christopher Kim,Benjamin Leong
Group Stage,4.0+ Contender,Group A,1,Single game,Caius/Luis,Sneak attack,Caius/Luis,21,17,,,,,Luis Mancilla,Caius Leung,Giana Brunetti,Jack Quaccia
Group Stage,4.0+ Contender,Group B,1,Single game,big steppa,Sky & Friend,big steppa,21,14,,,,,Matthew Kamimura,Nathan Gauthier,Sauram Vasanawala,Sky Jafar
Group Stage,4.0+ Contender,Group B,1,Single game,Rim Reapers,Soviet spike,Rim Reapers,21,11,,,,,Edson Bonilla,Michael Twersky,Matthew Zablotskiy,Gabriel Voronov
Group Stage,4.0+ Contender,Group C,1,Single game,Sean and Thomas,Misflailed 2,Sean and Thomas,21,7,,,,,Sean Chen,Thompson Yang,Matt,div curl
Group Stage,4.0+ Contender,Group C,1,Single game,Luki,Yellow river,Luki,21,7,,,,,Lukas Wiggers,Lucas Fedronic,Jake Sawyer,Archer Huang
