Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Expert,Group A,1,Single game,Tarpey,Werkin and Twerkin,Tarpey,21,11,,,,,Joseph Kaylor,Josh Fragiacomo,Eli Roth,Nathaniel Schrag
Group Stage,5.0 Expert,Group A,1,Single game,Samson? / Alexander.,Alec/devon,Samson? / Alexander.,22,20,,,,,Aniket Matharasi,Sasha Mariniuk,Devon Lee,Alec Galbo
Group Stage,5.0 Expert,Group B,1,Single game,Nelson / Lowe,11th Hour,Nelson / Lowe,21,10,,,,,Connor Nelson,Elle Lowe,Matthew Kamimura,Jake Young
Group Stage,5.0 Expert,Group B,1,Single game,TMNT Sac Sisters,Pineapple Teriyaki Burger,TMNT Sac Sisters,21,16,,,,,Clifton Miller,Lucas Pruett,Noah Saddik,Trevor Folden
Group Stage,5.0 Expert,Group A,2,Single game,Tarpey,Alec/devon,Alec/devon,14,21,,,,,Joseph Kaylor,Josh Fragiacomo,Devon Lee,Alec Galbo
Group Stage,5.0 Expert,Group A,2,Single game,Samson? / Alexander.,Werkin and Twerkin,Samson? / Alexander.,21,14,,,,,Aniket Matharasi,Sasha Mariniuk,Eli Roth,Nathaniel Schrag
Group Stage,5.0 Expert,Group B,2,Single game,Nelson / Lowe,Pineapple Teriyaki Burger,Nelson / Lowe,21,17,,,,,Connor Nelson,Elle Lowe,Noah Saddik,Trevor Folden
Group Stage,5.0 Expert,Group B,2,Single game,TMNT Sac Sisters,11th Hour,TMNT Sac Sisters,21,15,,,,,Clifton Miller,Lucas Pruett,Matthew Kamimura,Jake Young
Group Stage,5.0 Expert,Group A,3,Single game,Tarpey,Samson? / Alexander.,Tarpey,23,21,,,,,Joseph Kaylor,Josh Fragiacomo,Aniket Matharasi,Sasha Mariniuk
Group Stage,5.0 Expert,Group A,3,Single game,Alec/devon,Werkin and Twerkin,Alec/devon,21,9,,,,,Devon Lee,Alec Galbo,Eli Roth,Nathaniel Schrag
Group Stage,5.0 Expert,Group B,3,Single game,Nelson / Lowe,TMNT Sac Sisters,Nelson / Lowe,21,11,,,,,Connor Nelson,Elle Lowe,Clifton Miller,Lucas Pruett
Group Stage,5.0 Expert,Group B,3,Single game,Pineapple Teriyaki Burger,11th Hour,11th Hour,18,21,,,,,Noah Saddik,Trevor Folden,Matthew Kamimura,Jake Young
Group Stage,5.0 Expert,Group A,4,Single game,Tarpey,Werkin and Twerkin,Tarpey,21,16,,,,,Joseph Kaylor,Josh Fragiacomo,Eli Roth,Nathaniel Schrag
Group Stage,5.0 Expert,Group A,4,Single game,Samson? / Alexander.,Alec/devon,Samson? / Alexander.,21,11,,,,,Aniket Matharasi,Sasha Mariniuk,Devon Lee,Alec Galbo
Group Stage,5.0 Expert,Group B,4,Single game,Nelson / Lowe,11th Hour,Nelson / Lowe,21,11,,,,,Connor Nelson,Elle Lowe,Matthew Kamimura,Jake Young
Group Stage,5.0 Expert,Group B,4,Single game,TMNT Sac Sisters,Pineapple Teriyaki Burger,TMNT Sac Sisters,21,12,,,,,Clifton Miller,Lucas Pruett,Noah Saddik,Trevor Folden
Group Stage,5.0 Expert,Group A,5,Single game,Tarpey,Alec/devon,Tarpey,21,18,,,,,Joseph Kaylor,Josh Fragiacomo,Devon Lee,Alec Galbo
Group Stage,5.0 Expert,Group A,5,Single game,Samson? / Alexander.,Werkin and Twerkin,Samson? / Alexander.,21,14,,,,,Aniket Matharasi,Sasha Mariniuk,Eli Roth,Nathaniel Schrag
Group Stage,5.0 Expert,Group B,5,Single game,Nelson / Lowe,Pineapple Teriyaki Burger,Nelson / Lowe,21,7,,,,,Connor Nelson,Elle Lowe,Noah Saddik,Trevor Folden
Group Stage,5.0 Expert,Group B,5,Single game,TMNT Sac Sisters,11th Hour,TMNT Sac Sisters,21,18,,,,,Clifton Miller,Lucas Pruett,Matthew Kamimura,Jake Young
Group Stage,5.0 Expert,Group A,6,Single game,Tarpey,Samson? / Alexander.,Tarpey,21,9,,,,,Joseph Kaylor,Josh Fragiacomo,Aniket Matharasi,Sasha Mariniuk
Group Stage,5.0 Expert,Group A,6,Single game,Alec/devon,Werkin and Twerkin,Alec/devon,21,15,,,,,Devon Lee,Alec Galbo,Eli Roth,Nathaniel Schrag
Group Stage,5.0 Expert,Group B,6,Single game,Nelson / Lowe,TMNT Sac Sisters,TMNT Sac Sisters,18,21,,,,,Connor Nelson,Elle Lowe,Clifton Miller,Lucas Pruett
Group Stage,5.0 Expert,Group B,6,Single game,Pineapple Teriyaki Burger,11th Hour,Pineapple Teriyaki Burger,21,10,,,,,Noah Saddik,Trevor Folden,Matthew Kamimura,Jake Young
Bracket Stage,5.0 Expert,Bracket A,Quarter-final,Best of 3,Nelson / Lowe,Werkin and Twerkin,Nelson / Lowe,2,0,2,0,,,Connor Nelson,Elle Lowe,Eli Roth,Nathaniel Schrag
Bracket Stage,5.0 Expert,Bracket A,Quarter-final,Best of 3,Tarpey,11th Hour,Tarpey,21,17,14,21,21,15,Joseph Kaylor,Josh Fragiacomo,Matthew Kamimura,Jake Young
Bracket Stage,5.0 Expert,Bracket A,Quarter-final,Best of 3,TMNT Sac Sisters,Pineapple Teriyaki Burger,TMNT Sac Sisters,21,16,21,23,21,17,Clifton Miller,Lucas Pruett,Noah Saddik,Trevor Folden
Bracket Stage,5.0 Expert,Bracket A,Quarter-final,Best of 3,Samson? / Alexander.,Alec/devon,Samson? / Alexander.,21,19,23,21,,,Aniket Matharasi,Sasha Mariniuk,Devon Lee,Alec Galbo
Bracket Stage,5.0 Expert,Bracket A,Semi-final,Best of 3,Nelson / Lowe,Samson? / Alexander.,Nelson / Lowe,21,17,21,14,,,Connor Nelson,Elle Lowe,Aniket Matharasi,Sasha Mariniuk
Bracket Stage,5.0 Expert,Bracket A,Semi-final,Best of 3,Tarpey,TMNT Sac Sisters,Tarpey,21,17,21,14,,,Joseph Kaylor,Josh Fragiacomo,Clifton Miller,Lucas Pruett
Bracket Stage,5.0 Expert,Bracket A,P5: Semi-final,Single game,Alec/devon,Werkin and Twerkin,Alec/devon,21,14,,,,,Devon Lee,Alec Galbo,Eli Roth,Nathaniel Schrag
Bracket Stage,5.0 Expert,Bracket A,P5: Semi-final,Single game,Pineapple Teriyaki Burger,11th Hour,11th Hour,-1,0,,,,,Noah Saddik,Trevor Folden,Matthew Kamimura,Jake Young
Bracket Stage,5.0 Expert,Bracket A,Final,Best of 3,Nelson / Lowe,Tarpey,Nelson / Lowe,21,13,21,15,,,Connor Nelson,Elle Lowe,Joseph Kaylor,Josh Fragiacomo
Bracket Stage,5.0 Expert,Bracket A,P3: Final,Best of 3,TMNT Sac Sisters,Samson? / Alexander.,TMNT Sac Sisters,21,17,21,14,,,Clifton Miller,Lucas Pruett,Aniket Matharasi,Sasha Mariniuk
Bracket Stage,5.0 Expert,Bracket A,P5: Final,Single game,Alec/devon,11th Hour,Alec/devon,21,15,,,,,Devon Lee,Alec Galbo,Matthew Kamimura,Jake Young
Bracket Stage,5.0 Expert,Bracket A,P7: Final,Single game,Pineapple Teriyaki Burger,Werkin and Twerkin,Pineapple Teriyaki Burger,0,-2,,,,,Noah Saddik,Trevor Folden,Eli Roth,Nathaniel Schrag
Group Stage,4.0+ Contender,Group A,1,Single game,Crippled Joes,Madelyn / Gammy,Crippled Joes,21,4,,,,,Joe Caires,CJ Wallace,Gammy Bravo,Madelyn Wu
Group Stage,4.0+ Contender,Group A,1,Single game,ELO,Musty and Traveler,ELO,21,11,,,,,Costas Foster,Datis Shoushtary,Abby Cham,Alex Veron
Group Stage,4.0+ Contender,Group B,1,Single game,Ben/Shrey,"stranger danger ",Ben/Shrey,21,17,,,,,Benjamin Walker-Edwards,Shrey Dhuria,Nathan Gauthier,Sophia Zhao
Group Stage,4.0+ Contender,Group B,1,Single game,"TBD ",Spike Tyson,"TBD ",21,19,,,,,Justin Estores,Aman Khemka,Shea Duty,Jeffrey Wang
Group Stage,4.0+ Contender,Group A,2,Single game,Crippled Joes,Musty and Traveler,Crippled Joes,21,5,,,,,Joe Caires,CJ Wallace,Abby Cham,Alex Veron
Group Stage,4.0+ Contender,Group A,2,Single game,Followers of Nailong,Madelyn / Gammy,Followers of Nailong,21,5,,,,,Karah Hui,Cynthia Zhang,Gammy Bravo,Madelyn Wu
Group Stage,4.0+ Contender,Group B,2,Single game,Ben/Shrey,Spike Tyson,Ben/Shrey,21,5,,,,,Benjamin Walker-Edwards,Shrey Dhuria,Shea Duty,Jeffrey Wang
Group Stage,4.0+ Contender,Group B,2,Single game,Boba and Bowl Shots,"stranger danger ",Boba and Bowl Shots,21,18,,,,,Michael Leung,Ethan Kwok,Nathan Gauthier,Sophia Zhao
Group Stage,4.0+ Contender,Group A,3,Single game,Crippled Joes,Followers of Nailong,Crippled Joes,21,19,,,,,Joe Caires,CJ Wallace,Karah Hui,Cynthia Zhang
Group Stage,4.0+ Contender,Group A,3,Single game,ELO,Madelyn / Gammy,ELO,21,13,,,,,Costas Foster,Datis Shoushtary,Gammy Bravo,Madelyn Wu
Group Stage,4.0+ Contender,Group B,3,Single game,Ben/Shrey,Boba and Bowl Shots,Ben/Shrey,21,12,,,,,Benjamin Walker-Edwards,Shrey Dhuria,Michael Leung,Ethan Kwok
Group Stage,4.0+ Contender,Group B,3,Single game,"TBD ","stranger danger ","TBD ",21,18,,,,,Justin Estores,Aman Khemka,Nathan Gauthier,Sophia Zhao
Group Stage,4.0+ Contender,Group A,4,Single game,ELO,Followers of Nailong,ELO,21,15,,,,,Costas Foster,Datis Shoushtary,Karah Hui,Cynthia Zhang
Group Stage,4.0+ Contender,Group A,4,Single game,Musty and Traveler,Madelyn / Gammy,Musty and Traveler,21,10,,,,,Abby Cham,Alex Veron,Gammy Bravo,Madelyn Wu
Group Stage,4.0+ Contender,Group B,4,Single game,"TBD ",Boba and Bowl Shots,"TBD ",21,19,,,,,Justin Estores,Aman Khemka,Michael Leung,Ethan Kwok
Group Stage,4.0+ Contender,Group B,4,Single game,Spike Tyson,"stranger danger ","stranger danger ",15,21,,,,,Shea Duty,Jeffrey Wang,Nathan Gauthier,Sophia Zhao
Group Stage,4.0+ Contender,Group A,5,Single game,Crippled Joes,ELO,Crippled Joes,21,14,,,,,Joe Caires,CJ Wallace,Costas Foster,Datis Shoushtary
Group Stage,4.0+ Contender,Group A,5,Single game,Followers of Nailong,Musty and Traveler,Followers of Nailong,21,17,,,,,Karah Hui,Cynthia Zhang,Abby Cham,Alex Veron
Group Stage,4.0+ Contender,Group B,5,Single game,Ben/Shrey,"TBD ",Ben/Shrey,21,13,,,,,Benjamin Walker-Edwards,Shrey Dhuria,Justin Estores,Aman Khemka
Group Stage,4.0+ Contender,Group B,5,Single game,Boba and Bowl Shots,Spike Tyson,Boba and Bowl Shots,21,13,,,,,Michael Leung,Ethan Kwok,Shea Duty,Jeffrey Wang
Bracket Stage,4.0+ Contender,Bracket A,Round of 16,Best of 3,"stranger danger ",Madelyn / Gammy,"stranger danger ",21,12,21,8,,,Nathan Gauthier,Sophia Zhao,Gammy Bravo,Madelyn Wu
Bracket Stage,4.0+ Contender,Bracket A,Round of 16,Best of 3,Musty and Traveler,Spike Tyson,Musty and Traveler,17,21,21,19,21,18,Abby Cham,Alex Veron,Shea Duty,Jeffrey Wang
Bracket Stage,4.0+ Contender,Bracket A,Quarter-final,Best of 3,Crippled Joes,Musty and Traveler,Crippled Joes,21,5,21,16,,,Joe Caires,CJ Wallace,Abby Cham,Alex Veron
