Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Expert,Group A,1,Single game,Dinomite,E2D2,Dinomite,21,13,,,,,Auriel Wish,Charlie Camarena,Eric Tay,Eric Guan
Group Stage,5.0 Expert,Group A,1,Single game,Big Schwing,Trojan Horse,Trojan Horse,18,21,,,,,Alec Galbo,Rafi Moldovsky,Reece Greer,Devon Lee
Group Stage,5.0 Expert,Group B,1,Single game,Nelson / Lowe,Ben & Brian,Nelson / Lowe,21,5,,,,,Connor Nelson,Elle Lowe,Benjamin Walker-Edwards,Brian Quach
Group Stage,5.0 Expert,Group B,1,Single game,Dinomite,Dinomite,Dinomite,22,20,,,,,Sasha Mariniuk,Noah Saddik,Aman Khemka,Trevor Folden
Group Stage,5.0 Expert,Group B,1,Single game,Bad Beat,Missing Minute,Missing Minute,17,21,,,,,Jerry Hao,Rishab Jain,Gabriel Rouse,Jackson Blackburn
Group Stage,5.0 Expert,Group A,2,Single game,Dinomite,Trojan Horse,Dinomite,21,17,,,,,Auriel Wish,Charlie Camarena,Reece Greer,Devon Lee
Group Stage,5.0 Expert,Group A,2,Single game,Chicken Wing,E2D2,Chicken Wing,21,15,,,,,Kevin Chen,Justin Wang,Eric Tay,Eric Guan
Group Stage,5.0 Expert,Group B,2,Single game,Nelson / Lowe,Dinomite,Nelson / Lowe,21,9,,,,,Connor Nelson,Elle Lowe,Aman Khemka,Trevor Folden
Group Stage,5.0 Expert,Group B,2,Single game,Dinomite,Bad Beat,Dinomite,21,15,,,,,Sasha Mariniuk,Noah Saddik,Jerry Hao,Rishab Jain
Group Stage,5.0 Expert,Group B,2,Single game,Missing Minute,Ben & Brian,Missing Minute,22,20,,,,,Gabriel Rouse,Jackson Blackburn,Benjamin Walker-Edwards,Brian Quach
Group Stage,5.0 Expert,Group A,3,Single game,Dinomite,Chicken Wing,Dinomite,21,14,,,,,Auriel Wish,Charlie Camarena,Kevin Chen,Justin Wang
Group Stage,5.0 Expert,Group A,3,Single game,Big Schwing,E2D2,Big Schwing,21,16,,,,,Alec Galbo,Rafi Moldovsky,Eric Tay,Eric Guan
