Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 - Premier,Group A,1,Single game,Club nudiste,Dans l’show,Club nudiste,15,9,,,,,Etienne Cote,Vincent Mathieu,Thomas Dery,Jé Gagnon
Group Stage,5.0 - Premier,Group A,1,Single game,Gimme Boys,J'aurais pris 6 pouces de plus,Gimme Boys,15,12,,,,,Guillaume Bilodeau,Maxime Prince,Olivier Laurin,Anthony St-Martin
Group Stage,5.0 - Premier,Group B,1,Single game,Backhand,Marshmallow 🐾 🐧,Marshmallow 🐾 🐧,18,21,,,,,Simon Guillemette,Élie Pilon,Kim Aspirot,Genevieve Tardy
Group Stage,5.0 - Premier,Group B,1,Single game,TERREBONNE OGs,Clueless,Clueless,17,21,,,,,Matou Pitchou,Théophane Frémond-Guilbault,Alexandre Vaillancourt,Jasmin-Long Najim
Group Stage,5.0 - Premier,Group C,1,Single game,Man ➚ Up  ,Double Trouble,Man ➚ Up  ,21,7,,,,,Jordan Meredith,Alexandre Fortier,Simon Parent,Émile Fortin
Group Stage,5.0 - Premier,Group C,1,Single game,Pigeons,Les Vermeilleuses,Les Vermeilleuses,17,21,,,,,Xavier Lambert,Nicolas Leroux,Léo Guérin-Morneau,Jacob Tremblay
Group Stage,5.0 - Premier,Group D,1,Single game,William Lavoie,Spike the punch,William Lavoie,21,7,,,,,Vincent Lavoie,William Garant,Etienne Rayes,Olivier Raymond
Group Stage,5.0 - Premier,Group D,1,Single game,Groovy Goofies,Guns&Roses,Groovy Goofies,21,17,,,,,Guillaume Boilard,Samuel Poirier,Jessie Desrosiers,Philippe Delwaide
Group Stage,5.0 - Premier,Group A,2,Single game,Club nudiste,J'aurais pris 6 pouces de plus,J'aurais pris 6 pouces de plus,12,15,,,,,Etienne Cote,Vincent Mathieu,Olivier Laurin,Anthony St-Martin
Group Stage,5.0 - Premier,Group A,2,Single game,Gimme Boys,Dans l’show,Gimme Boys,15,12,,,,,Guillaume Bilodeau,Maxime Prince,Thomas Dery,Jé Gagnon
Group Stage,5.0 - Premier,Group B,2,Single game,Backhand,Clueless,Backhand,21,17,,,,,Simon Guillemette,Élie Pilon,Alexandre Vaillancourt,Jasmin-Long Najim
Group Stage,5.0 - Premier,Group B,2,Single game,HM01 Serve,Marshmallow 🐾 🐧,HM01 Serve,21,19,,,,,Francis Clément,Yannick Serres,Kim Aspirot,Genevieve Tardy
Group Stage,5.0 - Premier,Group C,2,Single game,Man ➚ Up  ,Les Vermeilleuses,Man ➚ Up  ,21,14,,,,,Jordan Meredith,Alexandre Fortier,Léo Guérin-Morneau,Jacob Tremblay
