Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 - Premier,Group A,1,Single game,On se met bien,Man ➚ Up  ,On se met bien,21,7,,,,,Maxime Prince,Thomas Dery,Alexandre Fortier,Jordan Meredith
Group Stage,5.0 - Premier,Group A,1,Single game,Simply Smashing,Kirby & Donkey Kong,Kirby & Donkey Kong,16,21,,,,,Guillaume Jomphe,Olivier Laurin,Anthony St-Martin,Pierre-Luc Robitaille
Group Stage,5.0 - Premier,Group B,1,Single game,Castors Royaux,VVW,Castors Royaux,21,10,,,,,Matou Pitchou,Pierre-André Gaumond,Vincent Lavoie,Luc Vincent Guay
Group Stage,5.0 - Premier,Group B,1,Single game,Les Vermines,Ici Pour Perdre,Les Vermines,21,16,,,,,Léo Guérin-Morneau,William Garant,Simon Parent,Yannick Serres
Group Stage,5.0 - Premier,Group C,1,Single game,Pigeons,Spike the punch,Spike the punch,19,21,,,,,Xavier Lambert,Nicolas Leroux,Olivier Raymond,Etienne Rayes
Group Stage,5.0 - Premier,Group C,1,Single game,Pars la phane on va couk,Goal Digger,Pars la phane on va couk,21,9,,,,,Manouk Momo,Théophane Frémond-Guilbault,Jean-sébastien Boutin,Marc-Antoine Boutin
Group Stage,5.0 - Premier,Group A,2,Single game,On se met bien,Kirby & Donkey Kong,On se met bien,21,10,,,,,Maxime Prince,Thomas Dery,Anthony St-Martin,Pierre-Luc Robitaille
Group Stage,5.0 - Premier,Group A,2,Single game,Pole Position,Man ➚ Up  ,Pole Position,21,15,,,,,Jé Gagnon,Simon Guillemette,Alexandre Fortier,Jordan Meredith
Group Stage,5.0 - Premier,Group B,2,Single game,Castors Royaux,Ici Pour Perdre,Castors Royaux,21,9,,,,,Matou Pitchou,Pierre-André Gaumond,Simon Parent,Yannick Serres
Group Stage,5.0 - Premier,Group B,2,Single game,Groovy Goofies,VVW,Groovy Goofies,21,15,,,,,Guillaume Boilard,Samuel Poirier,Vincent Lavoie,Luc Vincent Guay
Group Stage,5.0 - Premier,Group C,2,Single game,Pigeons,Goal Digger,Pigeons,21,15,,,,,Xavier Lambert,Nicolas Leroux,Jean-sébastien Boutin,Marc-Antoine Boutin
Group Stage,5.0 - Premier,Group C,2,Single game,Clueless,Spike the punch,Clueless,21,9,,,,,Alexandre Vaillancourt,Jasmin-Long Najim,Olivier Raymond,Etienne Rayes
Group Stage,5.0 - Premier,Group A,3,Single game,On se met bien,Pole Position,On se met bien,21,12,,,,,Maxime Prince,Thomas Dery,Jé Gagnon,Simon Guillemette
Group Stage,5.0 - Premier,Group A,3,Single game,Simply Smashing,Man ➚ Up  ,Simply Smashing,21,16,,,,,Guillaume Jomphe,Olivier Laurin,Alexandre Fortier,Jordan Meredith
Group Stage,5.0 - Premier,Group B,3,Single game,Castors Royaux,Groovy Goofies,Castors Royaux,22,20,,,,,Matou Pitchou,Pierre-André Gaumond,Guillaume Boilard,Samuel Poirier
Group Stage,5.0 - Premier,Group B,3,Single game,Les Vermines,VVW,Les Vermines,21,15,,,,,Léo Guérin-Morneau,William Garant,Vincent Lavoie,Luc Vincent Guay
Group Stage,5.0 - Premier,Group C,3,Single game,Pigeons,Clueless,Clueless,14,21,,,,,Xavier Lambert,Nicolas Leroux,Alexandre Vaillancourt,Jasmin-Long Najim
Group Stage,5.0 - Premier,Group C,3,Single game,Pars la phane on va couk,Spike the punch,Pars la phane on va couk,21,10,,,,,Manouk Momo,Théophane Frémond-Guilbault,Olivier Raymond,Etienne Rayes
Group Stage,5.0 - Premier,Group A,4,Single game,Simply Smashing,Pole Position,Pole Position,15,21,,,,,Guillaume Jomphe,Olivier Laurin,Jé Gagnon,Simon Guillemette
Group Stage,5.0 - Premier,Group A,4,Single game,Kirby & Donkey Kong,Man ➚ Up  ,Kirby & Donkey Kong,21,14,,,,,Anthony St-Martin,Pierre-Luc Robitaille,Alexandre Fortier,Jordan Meredith
Group Stage,5.0 - Premier,Group B,4,Single game,Les Vermines,Groovy Goofies,Les Vermines,21,16,,,,,Léo Guérin-Morneau,William Garant,Guillaume Boilard,Samuel Poirier
Group Stage,5.0 - Premier,Group B,4,Single game,Ici Pour Perdre,VVW,VVW,19,21,,,,,Simon Parent,Yannick Serres,Vincent Lavoie,Luc Vincent Guay
Group Stage,5.0 - Premier,Group C,4,Single game,Pars la phane on va couk,Clueless,Pars la phane on va couk,21,17,,,,,Manouk Momo,Théophane Frémond-Guilbault,Alexandre Vaillancourt,Jasmin-Long Najim
Group Stage,5.0 - Premier,Group C,4,Single game,Goal Digger,Spike the punch,Spike the punch,19,21,,,,,Jean-sébastien Boutin,Marc-Antoine Boutin,Olivier Raymond,Etienne Rayes
Group Stage,5.0 - Premier,Group A,5,Single game,On se met bien,Simply Smashing,On se met bien,21,19,,,,,Maxime Prince,Thomas Dery,Guillaume Jomphe,Olivier Laurin
Group Stage,5.0 - Premier,Group A,5,Single game,Pole Position,Kirby & Donkey Kong,Pole Position,21,3,,,,,Jé Gagnon,Simon Guillemette,Anthony St-Martin,Pierre-Luc Robitaille
Group Stage,5.0 - Premier,Group B,5,Single game,Castors Royaux,Les Vermines,Les Vermines,19,21,,,,,Matou Pitchou,Pierre-André Gaumond,Léo Guérin-Morneau,William Garant
Group Stage,5.0 - Premier,Group B,5,Single game,Groovy Goofies,Ici Pour Perdre,Ici Pour Perdre,17,21,,,,,Guillaume Boilard,Samuel Poirier,Simon Parent,Yannick Serres
Group Stage,5.0 - Premier,Group C,5,Single game,Pigeons,Pars la phane on va couk,Pigeons,21,12,,,,,Xavier Lambert,Nicolas Leroux,Manouk Momo,Théophane Frémond-Guilbault
Group Stage,5.0 - Premier,Group C,5,Single game,Clueless,Goal Digger,Clueless,21,9,,,,,Alexandre Vaillancourt,Jasmin-Long Najim,Jean-sébastien Boutin,Marc-Antoine Boutin
Bracket Stage,5.0 - Premier,Bracket A,Round of 16,Best of 3,Pole Position,Goal Digger,Pole Position,21,13,21,10,,,Jé Gagnon,Simon Guillemette,Jean-sébastien Boutin,Marc-Antoine Boutin
