Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,1,Single game,Yellow Ballers,Notorious N.E.T,Yellow Ballers,15,9,,,,,Andrew Lo,Jacky Chen,Sean Dempsey,Aiden O'Leary
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,1,Single game,"Fine Quentin, I’ll play",Seeing Double,Seeing Double,9,15,,,,,Ashaun Anand,Kristy Fielding,Nick Wood,Peter Wood
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,1,Single game,Coochie Power,Knuckle Dusters,Coochie Power,15,13,,,,,Agnes Pang,Kristy Ip,Jacob Chen,Caleb Poznikoff
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group B,1,Single game,Raspberry Sauce,Spike Tyson,Raspberry Sauce,17,15,,,,,Rachel Cheung,Stacy Yu,Natasha Mayer,Connor Gritter
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group B,1,Single game,Welcome To The Spike Parade,Where are my keys?,Welcome To The Spike Parade,15,12,,,,,Michael Czemerys,Julien Beaudoin-Mercier,Ian Lung,Jordan Verasamy
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,2,Single game,Yellow Ballers,Seeing Double,Seeing Double,7,15,,,,,Andrew Lo,Jacky Chen,Nick Wood,Peter Wood
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,2,Single game,"Fine Quentin, I’ll play",Coochie Power,Coochie Power,20,21,,,,,Ashaun Anand,Kristy Fielding,Agnes Pang,Kristy Ip
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,2,Single game,Knuckle Dusters,Notorious N.E.T,Notorious N.E.T,11,15,,,,,Jacob Chen,Caleb Poznikoff,Sean Dempsey,Aiden O'Leary
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group B,2,Single game,Raspberry Sauce,Where are my keys?,Raspberry Sauce,15,10,,,,,Rachel Cheung,Stacy Yu,Ian Lung,Jordan Verasamy
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group B,2,Single game,It Hinges On This,Spike Tyson,Spike Tyson,6,15,,,,,Sanesh Iyer,Betty Yan,Natasha Mayer,Connor Gritter
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,3,Single game,Yellow Ballers,Knuckle Dusters,Knuckle Dusters,11,15,,,,,Andrew Lo,Jacky Chen,Jacob Chen,Caleb Poznikoff
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,3,Single game,"Fine Quentin, I’ll play",Notorious N.E.T,"Fine Quentin, I’ll play",15,10,,,,,Ashaun Anand,Kristy Fielding,Sean Dempsey,Aiden O'Leary
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,3,Single game,Coochie Power,Seeing Double,Seeing Double,5,15,,,,,Agnes Pang,Kristy Ip,Nick Wood,Peter Wood
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group B,3,Single game,Raspberry Sauce,It Hinges On This,Raspberry Sauce,15,6,,,,,Rachel Cheung,Stacy Yu,Sanesh Iyer,Betty Yan
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group B,3,Single game,Welcome To The Spike Parade,Spike Tyson,Welcome To The Spike Parade,15,10,,,,,Michael Czemerys,Julien Beaudoin-Mercier,Natasha Mayer,Connor Gritter
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,4,Single game,Yellow Ballers,Coochie Power,Yellow Ballers,15,9,,,,,Andrew Lo,Jacky Chen,Agnes Pang,Kristy Ip
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,4,Single game,"Fine Quentin, I’ll play",Knuckle Dusters,Knuckle Dusters,12,15,,,,,Ashaun Anand,Kristy Fielding,Jacob Chen,Caleb Poznikoff
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,4,Single game,Seeing Double,Notorious N.E.T,Seeing Double,15,10,,,,,Nick Wood,Peter Wood,Sean Dempsey,Aiden O'Leary
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group B,4,Single game,Welcome To The Spike Parade,It Hinges On This,Welcome To The Spike Parade,15,9,,,,,Michael Czemerys,Julien Beaudoin-Mercier,Sanesh Iyer,Betty Yan
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group B,4,Single game,Where are my keys?,Spike Tyson,Where are my keys?,18,16,,,,,Ian Lung,Jordan Verasamy,Natasha Mayer,Connor Gritter
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,5,Single game,Yellow Ballers,"Fine Quentin, I’ll play","Fine Quentin, I’ll play",14,16,,,,,Andrew Lo,Jacky Chen,Ashaun Anand,Kristy Fielding
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,5,Single game,Coochie Power,Notorious N.E.T,Notorious N.E.T,7,15,,,,,Agnes Pang,Kristy Ip,Sean Dempsey,Aiden O'Leary
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group A,5,Single game,Knuckle Dusters,Seeing Double,Seeing Double,7,15,,,,,Jacob Chen,Caleb Poznikoff,Nick Wood,Peter Wood
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group B,5,Single game,Raspberry Sauce,Welcome To The Spike Parade,Welcome To The Spike Parade,13,15,,,,,Rachel Cheung,Stacy Yu,Michael Czemerys,Julien Beaudoin-Mercier
Pool Play,Intermediate/Advanced 2.0 - 3.5,Group B,5,Single game,It Hinges On This,Where are my keys?,It Hinges On This,15,13,,,,,Sanesh Iyer,Betty Yan,Ian Lung,Jordan Verasamy
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,Round of 16,Best of 3,Notorious N.E.T,It Hinges On This,Notorious N.E.T,21,15,21,13,,,Sean Dempsey,Aiden O'Leary,Sanesh Iyer,Betty Yan
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,Round of 16,Best of 3,Knuckle Dusters,Where are my keys?,Knuckle Dusters,1,0,1,0,,,Jacob Chen,Caleb Poznikoff,Ian Lung,Jordan Verasamy
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,Round of 16,Best of 3,Coochie Power,Spike Tyson,Coochie Power,1,0,1,0,,,Agnes Pang,Kristy Ip,Natasha Mayer,Connor Gritter
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,Quarter-final,Best of 3,Seeing Double,Coochie Power,Seeing Double,1,0,1,0,,,Nick Wood,Peter Wood,Agnes Pang,Kristy Ip
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,Quarter-final,Best of 3,Welcome To The Spike Parade,Knuckle Dusters,Knuckle Dusters,0,1,1,0,0,1,Michael Czemerys,Julien Beaudoin-Mercier,Jacob Chen,Caleb Poznikoff
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,Quarter-final,Best of 3,Raspberry Sauce,Notorious N.E.T,Notorious N.E.T,0,1,1,0,0,1,Rachel Cheung,Stacy Yu,Sean Dempsey,Aiden O'Leary
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,Quarter-final,Best of 3,Yellow Ballers,"Fine Quentin, I’ll play",Yellow Ballers,14,21,21,14,21,19,Andrew Lo,Jacky Chen,Ashaun Anand,Kristy Fielding
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,Semi-final,Best of 3,Seeing Double,Yellow Ballers,Seeing Double,1,0,1,0,,,Nick Wood,Peter Wood,Andrew Lo,Jacky Chen
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,Semi-final,Best of 3,Knuckle Dusters,Notorious N.E.T,Knuckle Dusters,21,11,21,12,,,Jacob Chen,Caleb Poznikoff,Sean Dempsey,Aiden O'Leary
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,P5: Semi-final,Best of 3,"Fine Quentin, I’ll play",Coochie Power,Coochie Power,0,1,0,1,,,Ashaun Anand,Kristy Fielding,Agnes Pang,Kristy Ip
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,P5: Semi-final,Best of 3,Raspberry Sauce,Welcome To The Spike Parade,Welcome To The Spike Parade,1,0,0,1,0,1,Rachel Cheung,Stacy Yu,Michael Czemerys,Julien Beaudoin-Mercier
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,P9: Semi-final,Best of 3,Where are my keys?,It Hinges On This,Where are my keys?,1,0,1,0,,,Ian Lung,Jordan Verasamy,Sanesh Iyer,Betty Yan
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,Final,Best of 3,Seeing Double,Knuckle Dusters,Seeing Double,1,0,1,0,,,Nick Wood,Peter Wood,Jacob Chen,Caleb Poznikoff
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,P3: Final,Best of 3,Notorious N.E.T,Yellow Ballers,Yellow Ballers,0,1,0,1,,,Sean Dempsey,Aiden O'Leary,Andrew Lo,Jacky Chen
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,P5: Final,Best of 3,Coochie Power,Welcome To The Spike Parade,Coochie Power,1,0,1,0,,,Agnes Pang,Kristy Ip,Michael Czemerys,Julien Beaudoin-Mercier
Bracket Stage,Intermediate/Advanced 2.0 - 3.5,Bracket ,P9: Final,Best of 3,Spike Tyson,Where are my keys?,,0,1,,,,,Natasha Mayer,Connor Gritter,Ian Lung,Jordan Verasamy
Pool Play,Contender/Premier 4.0 - 5.0,Group A,1,Single game,BorderBurn,White Chucho,BorderBurn,21,15,,,,,Eddy Leung,Trey Thompson,Dallin James,Erick Ostheimer
Pool Play,Contender/Premier 4.0 - 5.0,Group A,1,Single game,spot on,Sam/Nolan,spot on,21,11,,,,,Will Ries,Nick Wideman,Nolan Wynkoop,Sam Clarke
Pool Play,Contender/Premier 4.0 - 5.0,Group B,1,Single game,Oriental Express,Gatekeep Kavan,Oriental Express,15,8,,,,,Carlos Nakamura,Carlin Vicera,Therrin James,Andrew Samson
Pool Play,Contender/Premier 4.0 - 5.0,Group B,1,Single game,Drop on Game Point,Little Stinkers,Drop on Game Point,15,8,,,,,Jason Fevang,lucas peng,Joseph Nesbitt,Silas Ouellette
Pool Play,Contender/Premier 4.0 - 5.0,Group B,1,Single game,SEA-B.C.,Literally The Best,SEA-B.C.,15,3,,,,,Joshua Grant,Kavan Dharia,Quentin Chiu,Thai Do
Pool Play,Contender/Premier 4.0 - 5.0,Group B,1,Single game,A Ferry Good Team,Spikers,A Ferry Good Team,15,8,,,,,Dustin Bishop,Zachary Abas,Justin Cho,David Cheung
Pool Play,Contender/Premier 4.0 - 5.0,Group A,2,Single game,BorderBurn,Sam/Nolan,BorderBurn,21,18,,,,,Eddy Leung,Trey Thompson,Nolan Wynkoop,Sam Clarke
