Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Premier,Group A -8AM- Net#1-2,1,Single game,Maturity,spot on,Maturity,21,9,,,,,Etienne Cote,Thomas Hamilton,Will Ries,Nick Wideman
Group Stage,Premier,Group A -8AM- Net#1-2,1,Single game,Gimme Boys,Extra,Gimme Boys,21,16,,,,,Maxime Prince,Guillaume Bilodeau,Jé Gagnon,Emerson Dean
Group Stage,Premier,Group B -8AM- Net#3-4,1,Single game,BDR Assets,Les Chapeliers,BDR Assets,21,11,,,,,Justin Shaytar,Alex Newton,Léo Guérin-Morneau,Jasmin-Long Najim
Group Stage,Premier,Group B -8AM- Net#3-4,1,Single game,Lou Dezzin,Left 4 Dead,Lou Dezzin,21,12,,,,,Adam Hassan,Chris Loubert,Dustin Grant,Charlie Freeman
Group Stage,Premier,Group C -8AM- Net#5-7,1,Single game,Old timers,Pigeons,Old timers,21,13,,,,,Thomas Dery,Olivier Laurin,Nicolas Leroux,Xavier Lambert
Group Stage,Premier,Group C -8AM- Net#5-7,1,Single game,Omnikin Bleu,You are the youngest person EVER,Omnikin Bleu,21,16,,,,,William Garant,Simon Guillemette,Jordan Martin,Gavin De Moura
Group Stage,Premier,Group C -8AM- Net#5-7,1,Single game,"Down to the Wire ",Smoke & Pepsi,"Down to the Wire ",21,17,,,,,Joshua Ang,Sabir Qureshi,Isaiah Bergsma,Trevor Fleming
Group Stage,Premier,Group D - 8AM- Net#8-10,1,Single game,Donkeymite,Super Nannies,Donkeymite,21,7,,,,,Auriel Wish,Anthony St-Martin,Simon Arseneau,Clement Lavice
Group Stage,Premier,Group D - 8AM- Net#8-10,1,Single game,Dreamscape,Extra Virgin Olive Oil,Dreamscape,21,9,,,,,Carlin Vicera,Eddy Leung,John Putney,Declan Brown
Group Stage,Premier,Group D - 8AM- Net#8-10,1,Single game,What Did I Miss?,PB & J,What Did I Miss?,21,16,,,,,Nathan Wong,Jared Ang,Bryan Fonseca,Peter Lam
Group Stage,Premier,Group A -8AM- Net#1-2,2,Single game,Maturity,Extra,Maturity,21,18,,,,,Etienne Cote,Thomas Hamilton,Jé Gagnon,Emerson Dean
Group Stage,Premier,Group A -8AM- Net#1-2,2,Single game,White Men Can’t Jump,spot on,White Men Can’t Jump,21,7,,,,,Blake Bosak,Chris Brown,Will Ries,Nick Wideman
Group Stage,Premier,Group B -8AM- Net#3-4,2,Single game,BDR Assets,Left 4 Dead,BDR Assets,21,7,,,,,Justin Shaytar,Alex Newton,Dustin Grant,Charlie Freeman
Group Stage,Premier,Group B -8AM- Net#3-4,2,Single game,TERREBONNE OGs,Les Chapeliers,TERREBONNE OGs,21,10,,,,,Théophane Frémond-Guilbault,Matou Pitchou,Léo Guérin-Morneau,Jasmin-Long Najim
Group Stage,Premier,Group C -8AM- Net#5-7,2,Single game,Old timers,You are the youngest person EVER,Old timers,21,6,,,,,Thomas Dery,Olivier Laurin,Jordan Martin,Gavin De Moura
Group Stage,Premier,Group C -8AM- Net#5-7,2,Single game,Omnikin Bleu,"Down to the Wire ",Omnikin Bleu,21,15,,,,,William Garant,Simon Guillemette,Joshua Ang,Sabir Qureshi
Group Stage,Premier,Group C -8AM- Net#5-7,2,Single game,Smoke & Pepsi,Pigeons,Pigeons,17,21,,,,,Isaiah Bergsma,Trevor Fleming,Nicolas Leroux,Xavier Lambert
Group Stage,Premier,Group D - 8AM- Net#8-10,2,Single game,Donkeymite,Extra Virgin Olive Oil,Donkeymite,21,12,,,,,Auriel Wish,Anthony St-Martin,John Putney,Declan Brown
Group Stage,Premier,Group D - 8AM- Net#8-10,2,Single game,Dreamscape,What Did I Miss?,Dreamscape,21,9,,,,,Carlin Vicera,Eddy Leung,Nathan Wong,Jared Ang
Group Stage,Premier,Group D - 8AM- Net#8-10,2,Single game,PB & J,Super Nannies,Super Nannies,19,21,,,,,Bryan Fonseca,Peter Lam,Simon Arseneau,Clement Lavice
Group Stage,Premier,Group A -8AM- Net#1-2,3,Single game,Maturity,White Men Can’t Jump,Maturity,21,18,,,,,Etienne Cote,Thomas Hamilton,Blake Bosak,Chris Brown
Group Stage,Premier,Group A -8AM- Net#1-2,3,Single game,Gimme Boys,spot on,Gimme Boys,21,13,,,,,Maxime Prince,Guillaume Bilodeau,Will Ries,Nick Wideman
Group Stage,Premier,Group B -8AM- Net#3-4,3,Single game,BDR Assets,TERREBONNE OGs,BDR Assets,21,16,,,,,Justin Shaytar,Alex Newton,Théophane Frémond-Guilbault,Matou Pitchou
Group Stage,Premier,Group B -8AM- Net#3-4,3,Single game,Lou Dezzin,Les Chapeliers,Lou Dezzin,21,13,,,,,Adam Hassan,Chris Loubert,Léo Guérin-Morneau,Jasmin-Long Najim
Group Stage,Premier,Group C -8AM- Net#5-7,3,Single game,Old timers,Smoke & Pepsi,Old timers,21,11,,,,,Thomas Dery,Olivier Laurin,Isaiah Bergsma,Trevor Fleming
Group Stage,Premier,Group C -8AM- Net#5-7,3,Single game,Omnikin Bleu,Pigeons,Omnikin Bleu,21,16,,,,,William Garant,Simon Guillemette,Nicolas Leroux,Xavier Lambert
Group Stage,Premier,Group C -8AM- Net#5-7,3,Single game,"Down to the Wire ",You are the youngest person EVER,"Down to the Wire ",21,17,,,,,Joshua Ang,Sabir Qureshi,Jordan Martin,Gavin De Moura
Group Stage,Premier,Group D - 8AM- Net#8-10,3,Single game,Donkeymite,PB & J,Donkeymite,21,8,,,,,Auriel Wish,Anthony St-Martin,Bryan Fonseca,Peter Lam
