Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,1,Single game,Knuckle Dusters,Curry Cartel,Knuckle Dusters,21,10,,,,,Jacob Chen,Caleb Poznikoff,Pablo Garcia,David Joseph
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,1,Single game,COSTCO WHOLESALE,Xavier Aces,COSTCO WHOLESALE,21,16,,,,,Joshua Chan,Darwin Marzo,Donald Adams,Dave McCarthy
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,1,Single game,Aidan/Vishnu,The bouncer,Aidan/Vishnu,21,6,,,,,Vishnu Bhasker,Aidan Erickson,Faustine d'Orchymont,Deepti Prabha
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,1,Single game,The SpikeRA,The pink panthers ,The SpikeRA,21,7,,,,,Conor Murphy,Emmet Hodkinson,Easton Appeldoorn,James Probstl
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,1,Single game,Buttercup ,Stoked ,Stoked ,13,21,,,,,Taylor Bailey,Pranav Acharya,Alex Chekina,Matt Skepasts
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,2,Single game,Knuckle Dusters,Xavier Aces,Knuckle Dusters,21,5,,,,,Jacob Chen,Caleb Poznikoff,Donald Adams,Dave McCarthy
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,2,Single game,Read/Page,Curry Cartel,Read/Page,21,16,,,,,Alec Read,,Pablo Garcia,David Joseph
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,2,Single game,Aidan/Vishnu,The pink panthers ,Aidan/Vishnu,21,4,,,,,Vishnu Bhasker,Aidan Erickson,Easton Appeldoorn,James Probstl
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,2,Single game,The SpikeRA,Buttercup ,The SpikeRA,21,16,,,,,Conor Murphy,Emmet Hodkinson,Taylor Bailey,Pranav Acharya
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,2,Single game,Stoked ,The bouncer,Stoked ,21,4,,,,,Alex Chekina,Matt Skepasts,Faustine d'Orchymont,Deepti Prabha
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,3,Single game,Knuckle Dusters,Read/Page,Knuckle Dusters,22,20,,,,,Jacob Chen,Caleb Poznikoff,Alec Read,
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,3,Single game,COSTCO WHOLESALE,Curry Cartel,COSTCO WHOLESALE,21,8,,,,,Joshua Chan,Darwin Marzo,Pablo Garcia,David Joseph
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,3,Single game,Aidan/Vishnu,Stoked ,Aidan/Vishnu,24,22,,,,,Vishnu Bhasker,Aidan Erickson,Alex Chekina,Matt Skepasts
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,3,Single game,The SpikeRA,The bouncer,The SpikeRA,21,8,,,,,Conor Murphy,Emmet Hodkinson,Faustine d'Orchymont,Deepti Prabha
Pool Play,Intermediate Plus 2.0 - 3.5,Group B,3,Single game,Buttercup ,The pink panthers ,Buttercup ,21,7,,,,,Taylor Bailey,Pranav Acharya,Easton Appeldoorn,James Probstl
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,4,Single game,COSTCO WHOLESALE,Read/Page,COSTCO WHOLESALE,21,19,,,,,Joshua Chan,Darwin Marzo,Alec Read,
Pool Play,Intermediate Plus 2.0 - 3.5,Group A,4,Single game,Xavier Aces,Curry Cartel,Xavier Aces,21,9,,,,,Donald Adams,Dave McCarthy,Pablo Garcia,David Joseph
