Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Contender,Premier Power Pool (PPP),1,Single game,NEM Stack The Pads,TBD,NEM Stack The Pads,21,10,,,,,Brock Leibold,Emerson Dean,Chris Loubert,Derek Soetemans
Pool Play,Contender,Premier Power Pool (PPP),1,Single game,CRO Fieldhousers,Bombardino Crocodilo,CRO Fieldhousers,21,17,,,,,Ben Pernfuss,Nicholas Puopolo,Malachi Albrecht,Joshua Ang
Pool Play,Contender,Premier Power Pool (PPP),1,Single game,Swagger Wong Szn,The Voluntolds,Swagger Wong Szn,21,4,,,,,Nathan Wong,Adam Hassan,Peter Lam,Adrian Garcea
Pool Play,Contender,Contender A,1,Single game,Quarterassin',Drink In Hand,Quarterassin',21,17,,,,,Andrew Collard,Ian Barnes,Ella Fairbairn,Zack Platt
Pool Play,Contender,Contender A,1,Single game,A Riegle with Toews,Team Reach,A Riegle with Toews,21,15,,,,,Nathan Toews,Peter Riegle,Ben Huebner,Owen Fretz
Pool Play,Contender,Contender B,1,Single game,Flabazadalagalalright,Capital Krunch,Flabazadalagalalright,21,18,,,,,Jordan Martin,Brendan Reesor,Mathis Mensour,Noah Baccin
Pool Play,Contender,Contender B,1,Single game,EA Sports,smash or pass,EA Sports,21,2,,,,,Alex Kim,Ezra Campanelli,Abdullah Imran,Zuhair Mohamed
Pool Play,Contender,Contender B,1,Single game,Ric Yip,Spark Plugs,Spark Plugs,16,21,,,,,Tim Yip,Ricardo Boscan,Joshua Dahmer,Charbel Haddad
Pool Play,Contender,Premier Power Pool (PPP),2,Single game,NEM Stack The Pads,Bombardino Crocodilo,NEM Stack The Pads,21,9,,,,,Brock Leibold,Emerson Dean,Malachi Albrecht,Joshua Ang
Pool Play,Contender,Premier Power Pool (PPP),2,Single game,CRO Fieldhousers,Swagger Wong Szn,Swagger Wong Szn,15,21,,,,,Ben Pernfuss,Nicholas Puopolo,Nathan Wong,Adam Hassan
