Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Elite,Big Dave,1,Single game,Golden Stripe,🌲 t r o u b l e,Golden Stripe,15,9,,,,,Etienne Cote,Clifford Amadeo LeVeque,Joey Renaud,Chris Loubert
Pool Play,Elite,Big Dave,1,Single game,Vote for Pedro,tralalero tralala,Vote for Pedro,15,11,,,,,Kyle Fowler,Joey Reynolds,Nicholas Puopolo,Nathan Wong
Pool Play,Elite,Big Dave,1,Single game,Odds Per Hype,The Fragrance,The Fragrance,12,15,,,,,Reilly Paquette,Emerson Dean,Jacob Narayan,Paq Clifford
Pool Play,Elite,See yaaaaaaaa,1,Single game,Gagnon/Marino,🌲 ICEBERGS,Gagnon/Marino,15,2,,,,,Kieran Rose,Chris Brown,Isaiah Bergsma,Nelson Bergsma
Pool Play,Elite,See yaaaaaaaa,1,Single game,Mutton Bread,Flabazadalagalalright,Mutton Bread,15,12,,,,,Grayson M  Wills,Thomas Hamilton,Brendan Reesor,Jordan Martin
Pool Play,Elite,See yaaaaaaaa,1,Single game,Pooin and Gooin,BRUDAAAAA,BRUDAAAAA,15,17,,,,,Nick Evanko,Tim Lacagnina,Sabir Qureshi,Lou Paradis
Pool Play,Elite,See yaaaaaaaa,1,Single game,Sour then sweet ,NEM Uprising,Sour then sweet ,19,17,,,,,Izayah Gibson,Justin Barr,Adam Hassan,Brock Leibold
Pool Play,Elite,Big Dave,2,Single game,Golden Stripe,tralalero tralala,Golden Stripe,15,8,,,,,Etienne Cote,Clifford Amadeo LeVeque,Nicholas Puopolo,Nathan Wong
Pool Play,Elite,Big Dave,2,Single game,Vote for Pedro,Wrap Gods,Vote for Pedro,16,14,,,,,Kyle Fowler,Joey Reynolds,Aleks Essen,Korbin Thompson
Pool Play,Elite,Big Dave,2,Single game,The Fragrance,🌲 t r o u b l e,The Fragrance,15,11,,,,,Jacob Narayan,Paq Clifford,Joey Renaud,Chris Loubert
Pool Play,Elite,See yaaaaaaaa,2,Single game,Gagnon/Marino,Flabazadalagalalright,Gagnon/Marino,15,7,,,,,Kieran Rose,Chris Brown,Brendan Reesor,Jordan Martin
