Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Expert,Group A,1,Single game,Sloppy,Amandawuman,Sloppy,21,11,,,,,Connor Nelson,Trevor Barbosa,Aman Khemka,Casper Wu
Group Stage,5.0 Expert,Group A,1,Single game,Tarpey,woohoo,Tarpey,21,12,,,,,Josh Fragiacomo,Joseph Kaylor,Sebastiani Kim,Elle Lowe
Group Stage,5.0 Expert,Group A,1,Single game,Champion Destroyers 🥏,Cutie Patooties,Champion Destroyers 🥏,21,13,,,,,Luke Pennington,Samuel Buckman,Jake Oxendine,Sasha Mariniuk
Group Stage,5.0 Expert,Group A,1,Single game,Edge Guarders,Trouble with the curve,Trouble with the curve,14,21,,,,,Charlie Camarena,Michael Du,Jack Stinson,Alec Galbo
Group Stage,5.0 Expert,Group A,2,Single game,Sloppy,woohoo,Sloppy,21,17,,,,,Connor Nelson,Trevor Barbosa,Sebastiani Kim,Elle Lowe
Group Stage,5.0 Expert,Group A,2,Single game,Tarpey,Trouble with the curve,Tarpey,21,11,,,,,Josh Fragiacomo,Joseph Kaylor,Jack Stinson,Alec Galbo
Group Stage,5.0 Expert,Group A,2,Single game,Champion Destroyers 🥏,Edge Guarders,Champion Destroyers 🥏,21,16,,,,,Luke Pennington,Samuel Buckman,Charlie Camarena,Michael Du
Group Stage,5.0 Expert,Group A,2,Single game,Cutie Patooties,Amandawuman,Cutie Patooties,21,11,,,,,Jake Oxendine,Sasha Mariniuk,Aman Khemka,Casper Wu
Group Stage,5.0 Expert,Group A,3,Single game,Sloppy,Cutie Patooties,Sloppy,21,12,,,,,Connor Nelson,Trevor Barbosa,Jake Oxendine,Sasha Mariniuk
Group Stage,5.0 Expert,Group A,3,Single game,Tarpey,Champion Destroyers 🥏,Tarpey,21,19,,,,,Josh Fragiacomo,Joseph Kaylor,Luke Pennington,Samuel Buckman
Group Stage,5.0 Expert,Group A,3,Single game,Edge Guarders,Amandawuman,Edge Guarders,21,10,,,,,Charlie Camarena,Michael Du,Aman Khemka,Casper Wu
Group Stage,5.0 Expert,Group A,3,Single game,Trouble with the curve,woohoo,Trouble with the curve,21,14,,,,,Jack Stinson,Alec Galbo,Sebastiani Kim,Elle Lowe
Group Stage,5.0 Expert,Group A,4,Single game,Sloppy,Trouble with the curve,Sloppy,21,15,,,,,Connor Nelson,Trevor Barbosa,Jack Stinson,Alec Galbo
Group Stage,5.0 Expert,Group A,4,Single game,Tarpey,Amandawuman,Tarpey,21,7,,,,,Josh Fragiacomo,Joseph Kaylor,Aman Khemka,Casper Wu
Group Stage,5.0 Expert,Group A,4,Single game,Champion Destroyers 🥏,woohoo,Champion Destroyers 🥏,21,13,,,,,Luke Pennington,Samuel Buckman,Sebastiani Kim,Elle Lowe
Group Stage,5.0 Expert,Group A,4,Single game,Edge Guarders,Cutie Patooties,Edge Guarders,21,18,,,,,Charlie Camarena,Michael Du,Jake Oxendine,Sasha Mariniuk
Group Stage,5.0 Expert,Group A,5,Single game,Sloppy,Edge Guarders,Sloppy,21,14,,,,,Connor Nelson,Trevor Barbosa,Charlie Camarena,Michael Du
Group Stage,5.0 Expert,Group A,5,Single game,Tarpey,Cutie Patooties,Tarpey,21,11,,,,,Josh Fragiacomo,Joseph Kaylor,Jake Oxendine,Sasha Mariniuk
Group Stage,5.0 Expert,Group A,5,Single game,Champion Destroyers 🥏,Trouble with the curve,Champion Destroyers 🥏,21,16,,,,,Luke Pennington,Samuel Buckman,Jack Stinson,Alec Galbo
Group Stage,5.0 Expert,Group A,5,Single game,woohoo,Amandawuman,woohoo,21,9,,,,,Sebastiani Kim,Elle Lowe,Aman Khemka,Casper Wu
Group Stage,5.0 Expert,Group A,6,Single game,Sloppy,Champion Destroyers 🥏,Sloppy,21,15,,,,,Connor Nelson,Trevor Barbosa,Luke Pennington,Samuel Buckman
Group Stage,5.0 Expert,Group A,6,Single game,Tarpey,Edge Guarders,Tarpey,22,20,,,,,Josh Fragiacomo,Joseph Kaylor,Charlie Camarena,Michael Du
