Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Expert,Group A,1,Single game,Endgame,Poutine Powered,Endgame,21,7,,,,,Trevor Barbosa,Josh Fragiacomo,Brian Quach,George Zywiel
Group Stage,5.0 Expert,Group A,1,Single game,Dialed,Jai/Steven,Jai/Steven,24,25,,,,,Josh Cain,Luke Pennington,Jai Parera,Steven Pan
Group Stage,5.0 Expert,Group B,1,Single game,Fractal Spikes,SR Ascension,Fractal Spikes,21,14,,,,,Connor Nelson,Michael Du,Harding Brumby,Nate Gauthier
Group Stage,5.0 Expert,Group B,1,Single game,Flagship,Bing Bong,Flagship,21,15,,,,,Joseph Kaylor,Lucas Pruett,Dylan Medveal,Anthony Winney
Group Stage,5.0 Expert,Group B,1,Single game,TRP KPOP,Feeders,TRP KPOP,21,17,,,,,kevin um,Karah Hui,Tim Gaskin,Matthew Kamimura
Group Stage,5.0 Expert,Group A,2,Single game,Endgame,Jai/Steven,Endgame,21,11,,,,,Trevor Barbosa,Josh Fragiacomo,Jai Parera,Steven Pan
Group Stage,5.0 Expert,Group A,2,Single game,We miss mama bear (Jake Woolley),Poutine Powered,We miss mama bear (Jake Woolley),21,11,,,,,Reece Greer,James Lamkin,Brian Quach,George Zywiel
Group Stage,5.0 Expert,Group B,2,Single game,Fractal Spikes,Bing Bong,Fractal Spikes,21,16,,,,,Connor Nelson,Michael Du,Dylan Medveal,Anthony Winney
Group Stage,5.0 Expert,Group B,2,Single game,Flagship,TRP KPOP,Flagship,21,15,,,,,Joseph Kaylor,Lucas Pruett,kevin um,Karah Hui
Group Stage,5.0 Expert,Group B,2,Single game,Feeders,SR Ascension,SR Ascension,21,23,,,,,Tim Gaskin,Matthew Kamimura,Harding Brumby,Nate Gauthier
Group Stage,5.0 Expert,Group A,3,Single game,Endgame,We miss mama bear (Jake Woolley),Endgame,21,18,,,,,Trevor Barbosa,Josh Fragiacomo,Reece Greer,James Lamkin
Group Stage,5.0 Expert,Group A,3,Single game,Dialed,Poutine Powered,Dialed,21,15,,,,,Josh Cain,Luke Pennington,Brian Quach,George Zywiel
Group Stage,5.0 Expert,Group B,3,Single game,Fractal Spikes,Feeders,Fractal Spikes,21,14,,,,,Connor Nelson,Michael Du,Tim Gaskin,Matthew Kamimura
Group Stage,5.0 Expert,Group B,3,Single game,Flagship,SR Ascension,Flagship,21,8,,,,,Joseph Kaylor,Lucas Pruett,Harding Brumby,Nate Gauthier
Group Stage,5.0 Expert,Group B,3,Single game,TRP KPOP,Bing Bong,Bing Bong,17,21,,,,,kevin um,Karah Hui,Dylan Medveal,Anthony Winney
Group Stage,5.0 Expert,Group A,4,Single game,Dialed,We miss mama bear (Jake Woolley),Dialed,21,16,,,,,Josh Cain,Luke Pennington,Reece Greer,James Lamkin
Group Stage,5.0 Expert,Group A,4,Single game,Jai/Steven,Poutine Powered,Jai/Steven,21,16,,,,,Jai Parera,Steven Pan,Brian Quach,George Zywiel
Group Stage,5.0 Expert,Group B,4,Single game,Fractal Spikes,TRP KPOP,Fractal Spikes,21,17,,,,,Connor Nelson,Michael Du,kevin um,Karah Hui
Group Stage,5.0 Expert,Group B,4,Single game,Flagship,Feeders,Flagship,21,16,,,,,Joseph Kaylor,Lucas Pruett,Tim Gaskin,Matthew Kamimura
