Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Pro 5.0+,Group A,1,Single game,Numb,Bot House,Numb,15,12,,,,,Paq Clifford,Kieran Rose,Owen Lippman,West Peterson
Group Stage,Open Pro 5.0+,Group A,1,Single game,V⚡️RGA,Extra,Extra,10,15,,,,,Dawson Morgan,Caleb Cummings,Emerson Dean,Jé Gagnon
Group Stage,Open Pro 5.0+,Group B,1,Single game,Insystem,ORTHODOX,Insystem,15,11,,,,,Etienne Cote,Blake Bosak,Clifford Amadeo LeVeque,Jack Bushart
Group Stage,Open Pro 5.0+,Group B,1,Single game,J.A.R.V.I.S.,TRP Spotless,TRP Spotless,12,15,,,,,Connor Nelson,Josh Fragiacomo,Joe Bondi,Ryan Gross
Group Stage,Open Pro 5.0+,Group C,1,Single game,Tilted,Shaytar/Wideman,Tilted,15,10,,,,,Justin Barr,Will Picone,Justin Shaytar,Nick Wideman
Group Stage,Open Pro 5.0+,Group C,1,Single game,Ultra Instinct,Degenerates,Ultra Instinct,15,9,,,,,Gabriel Finocchi,Thomas Hamilton,Thomas Hoffman,Jack coolbaugh
Group Stage,Open Pro 5.0+,Group D,1,Single game,Kingdom Come,hotballers,Kingdom Come,17,15,,,,,Grant Klapwijk,Matthew Cole,Tyler Babin,Joshua Hachey
Group Stage,Open Pro 5.0+,Group D,1,Single game,Cold Sweep,foolish,Cold Sweep,15,13,,,,,Maxime Prince,Vincent Mathieu,Sunny Gu,Lucas Pruett
Group Stage,Open Pro 5.0+,Group A,2,Single game,Numb,Extra,Numb,21,20,,,,,Paq Clifford,Kieran Rose,Emerson Dean,Jé Gagnon
Group Stage,Open Pro 5.0+,Group A,2,Single game,V⚡️RGA,Bot House,V⚡️RGA,15,13,,,,,Dawson Morgan,Caleb Cummings,Owen Lippman,West Peterson
Group Stage,Open Pro 5.0+,Group B,2,Single game,Insystem,TRP Spotless,TRP Spotless,12,15,,,,,Etienne Cote,Blake Bosak,Joe Bondi,Ryan Gross
Group Stage,Open Pro 5.0+,Group B,2,Single game,J.A.R.V.I.S.,ORTHODOX,J.A.R.V.I.S.,15,7,,,,,Connor Nelson,Josh Fragiacomo,Clifford Amadeo LeVeque,Jack Bushart
Group Stage,Open Pro 5.0+,Group C,2,Single game,Tilted,Degenerates,Tilted,16,14,,,,,Justin Barr,Will Picone,Thomas Hoffman,Jack coolbaugh
Group Stage,Open Pro 5.0+,Group C,2,Single game,Ultra Instinct,Shaytar/Wideman,Ultra Instinct,15,11,,,,,Gabriel Finocchi,Thomas Hamilton,Justin Shaytar,Nick Wideman
Group Stage,Open Pro 5.0+,Group D,2,Single game,Kingdom Come,foolish,Kingdom Come,15,10,,,,,Grant Klapwijk,Matthew Cole,Sunny Gu,Lucas Pruett
Group Stage,Open Pro 5.0+,Group D,2,Single game,Cold Sweep,hotballers,Cold Sweep,15,13,,,,,Maxime Prince,Vincent Mathieu,Tyler Babin,Joshua Hachey
Group Stage,Open Pro 5.0+,Group A,3,Single game,Numb,V⚡️RGA,V⚡️RGA,11,15,,,,,Paq Clifford,Kieran Rose,Dawson Morgan,Caleb Cummings
Group Stage,Open Pro 5.0+,Group A,3,Single game,Extra,Bot House,Bot House,11,15,,,,,Emerson Dean,Jé Gagnon,Owen Lippman,West Peterson
Group Stage,Open Pro 5.0+,Group B,3,Single game,Insystem,J.A.R.V.I.S.,Insystem,15,12,,,,,Etienne Cote,Blake Bosak,Connor Nelson,Josh Fragiacomo
Group Stage,Open Pro 5.0+,Group B,3,Single game,TRP Spotless,ORTHODOX,TRP Spotless,15,8,,,,,Joe Bondi,Ryan Gross,Clifford Amadeo LeVeque,Jack Bushart
Group Stage,Open Pro 5.0+,Group C,3,Single game,Tilted,Ultra Instinct,Tilted,15,12,,,,,Justin Barr,Will Picone,Gabriel Finocchi,Thomas Hamilton
Group Stage,Open Pro 5.0+,Group C,3,Single game,Degenerates,Shaytar/Wideman,Shaytar/Wideman,16,18,,,,,Thomas Hoffman,Jack coolbaugh,Justin Shaytar,Nick Wideman
