Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Premier 5.0+,Group A,1,Single game,Tipsy,"Wild Westchester Sharpshooters ",Tipsy,21,6,,,,,Maxime Prince,Kieran Rose,Maxwell Riseman,Ethan Ferland
Pool Play,Premier 5.0+,Group A,1,Single game,MBR Chronicles,Happy Heffalumps,Happy Heffalumps,20,22,,,,,Samuel Corey,Nathan Montgomery,Matt Catuccio,Michael Catuccio
Pool Play,Premier 5.0+,Group B,1,Single game,Abrams / Hamilton,BDR it’s so over,Abrams / Hamilton,21,13,,,,,Thomas Hamilton,Dan Abrams,Ian Lane,Nic Albornoz
Pool Play,Premier 5.0+,Group B,1,Single game,por favor,Just for Fun,por favor,21,16,,,,,Joey Maichen,Sam Diani,Drew Ryder,Kevin Chen
Pool Play,Premier 5.0+,Group C,1,Single game,TRP Spotless,Freakuency Shift,TRP Spotless,21,7,,,,,Joe Bondi,Ryan Gross,Prady Vijayakumar,Seth Cutler
Pool Play,Premier 5.0+,Group C,1,Single game,Donkey Cut,"Pull it harder ",Donkey Cut,21,16,,,,,Anthony St-Martin,Guillaume Bilodeau,John Putney,Javier Vidal
Pool Play,Premier 5.0+,Group D,1,Single game,EXTRA saucisses,Can't believe it's not butter,EXTRA saucisses,21,19,,,,,Olivier Laurin,Jé Gagnon,Aidan Buchanan,Mitchell Whelan
Pool Play,Premier 5.0+,Group D,1,Single game,Road Rage,Buff and Scruff,Road Rage,21,17,,,,,Matt Spolarich,Justin Shaytar,Dennis Wei,Alex Daly
Pool Play,Premier 5.0+,Group E,1,Single game,Chrissssss Browwwwnnnnnn,LL Let's Ride,Chrissssss Browwwwnnnnnn,21,12,,,,,Etienne Cote,Chris Brown,Brandon Timonere,Lucas Hope
Pool Play,Premier 5.0+,Group E,1,Single game,No Pressure,"CCR White Lotus ",No Pressure,21,18,,,,,Alex Newton,Josh Hutko,Mitchell Carter,Ely Marciano
Pool Play,Premier 5.0+,Group F,1,Single game,foolish,Special Teams,foolish,21,13,,,,,Lucas Pruett,Sunny Gu,Liam Keegan,Matthew Rodriguez
Pool Play,Premier 5.0+,Group F,1,Single game,BOT The Soccer Guys,Finger Slinger,BOT The Soccer Guys,21,18,,,,,Ryan Coen,Owen Lippman,Cooper Pennell,Gabe Packevicz
Pool Play,Premier 5.0+,Group F,1,Single game,Barbershop💈,Motion,Barbershop💈,21,19,,,,,Brandon Stokes,Caleb White,Dalton Gilder,Liam Sherron
Pool Play,Premier 5.0+,Group G,1,Single game,hotballers,LafSpikes,hotballers,21,15,,,,,Tyler Babin,Joshua Hachey,Ethan Gabay,Michael Nelson
Pool Play,Premier 5.0+,Group G,1,Single game,BOT Harcombe,Walkie-Talkie,BOT Harcombe,21,12,,,,,Stephen Jones,West Peterson,Jai Parera,Jake Young
Pool Play,Premier 5.0+,Group G,1,Single game,Hank and Lunk,LL South Paw,LL South Paw,21,23,,,,,Adam Weiss,Auriel Wish,Ryan Paul,Jake Mottershead
Pool Play,Premier 5.0+,Group A,2,Single game,Tipsy,Happy Heffalumps,Tipsy,21,12,,,,,Maxime Prince,Kieran Rose,Matt Catuccio,Michael Catuccio
Pool Play,Premier 5.0+,Group A,2,Single game,Good Cop Bad Cop,"Wild Westchester Sharpshooters ",Good Cop Bad Cop,21,15,,,,,Corey Weiss,Mike Garrett,Maxwell Riseman,Ethan Ferland
Pool Play,Premier 5.0+,Group B,2,Single game,Abrams / Hamilton,Just for Fun,Abrams / Hamilton,21,11,,,,,Thomas Hamilton,Dan Abrams,Drew Ryder,Kevin Chen
Pool Play,Premier 5.0+,Group B,2,Single game,¡Eso es!,BDR it’s so over,¡Eso es!,21,16,,,,,Michael Capobianco,Felipe Larroza,Ian Lane,Nic Albornoz
Pool Play,Premier 5.0+,Group C,2,Single game,TRP Spotless,"Pull it harder ",TRP Spotless,21,10,,,,,Joe Bondi,Ryan Gross,John Putney,Javier Vidal
Pool Play,Premier 5.0+,Group C,2,Single game,Mystery Twins,Freakuency Shift,Mystery Twins,21,17,,,,,Henry Pilliod,Jacob Arzaga,Prady Vijayakumar,Seth Cutler
Pool Play,Premier 5.0+,Group D,2,Single game,EXTRA saucisses,Buff and Scruff,EXTRA saucisses,21,13,,,,,Olivier Laurin,Jé Gagnon,Dennis Wei,Alex Daly
Pool Play,Premier 5.0+,Group D,2,Single game,fathomable,Can't believe it's not butter,fathomable,21,15,,,,,Bradley Clark,Bransen Eppes,Aidan Buchanan,Mitchell Whelan
Pool Play,Premier 5.0+,Group E,2,Single game,Chrissssss Browwwwnnnnnn,"CCR White Lotus ",Chrissssss Browwwwnnnnnn,21,10,,,,,Etienne Cote,Chris Brown,Mitchell Carter,Ely Marciano
Pool Play,Premier 5.0+,Group E,2,Single game,Pleasant People,LL Let's Ride,Pleasant People,21,18,,,,,Demitri Forand,Maxwell Gunneson,Brandon Timonere,Lucas Hope
Pool Play,Premier 5.0+,Group F,2,Single game,foolish,Finger Slinger,foolish,21,10,,,,,Lucas Pruett,Sunny Gu,Cooper Pennell,Gabe Packevicz
Pool Play,Premier 5.0+,Group F,2,Single game,BOT The Soccer Guys,Barbershop💈,Barbershop💈,20,22,,,,,Ryan Coen,Owen Lippman,Brandon Stokes,Caleb White
Pool Play,Premier 5.0+,Group F,2,Single game,Motion,Special Teams,Special Teams,14,21,,,,,Dalton Gilder,Liam Sherron,Liam Keegan,Matthew Rodriguez
Pool Play,Premier 5.0+,Group G,2,Single game,hotballers,Walkie-Talkie,hotballers,21,14,,,,,Tyler Babin,Joshua Hachey,Jai Parera,Jake Young
Pool Play,Premier 5.0+,Group G,2,Single game,BOT Harcombe,Hank and Lunk,BOT Harcombe,21,17,,,,,Stephen Jones,West Peterson,Adam Weiss,Auriel Wish
Pool Play,Premier 5.0+,Group G,2,Single game,LL South Paw,LafSpikes,LL South Paw,21,11,,,,,Ryan Paul,Jake Mottershead,Ethan Gabay,Michael Nelson
Pool Play,Premier 5.0+,Group A,3,Single game,Tipsy,Good Cop Bad Cop,Tipsy,21,19,,,,,Maxime Prince,Kieran Rose,Corey Weiss,Mike Garrett
Pool Play,Premier 5.0+,Group A,3,Single game,MBR Chronicles,"Wild Westchester Sharpshooters ","Wild Westchester Sharpshooters ",19,21,,,,,Samuel Corey,Nathan Montgomery,Maxwell Riseman,Ethan Ferland
Pool Play,Premier 5.0+,Group B,3,Single game,Abrams / Hamilton,¡Eso es!,Abrams / Hamilton,21,8,,,,,Thomas Hamilton,Dan Abrams,Michael Capobianco,Felipe Larroza
Pool Play,Premier 5.0+,Group B,3,Single game,por favor,BDR it’s so over,por favor,21,12,,,,,Joey Maichen,Sam Diani,Ian Lane,Nic Albornoz
Pool Play,Premier 5.0+,Group C,3,Single game,TRP Spotless,Mystery Twins,TRP Spotless,21,13,,,,,Joe Bondi,Ryan Gross,Henry Pilliod,Jacob Arzaga
Pool Play,Premier 5.0+,Group C,3,Single game,Donkey Cut,Freakuency Shift,Donkey Cut,21,5,,,,,Anthony St-Martin,Guillaume Bilodeau,Prady Vijayakumar,Seth Cutler
Pool Play,Premier 5.0+,Group D,3,Single game,EXTRA saucisses,fathomable,EXTRA saucisses,21,12,,,,,Olivier Laurin,Jé Gagnon,Bradley Clark,Bransen Eppes
Pool Play,Premier 5.0+,Group D,3,Single game,Road Rage,Can't believe it's not butter,Road Rage,21,17,,,,,Matt Spolarich,Justin Shaytar,Aidan Buchanan,Mitchell Whelan
Pool Play,Premier 5.0+,Group E,3,Single game,Chrissssss Browwwwnnnnnn,Pleasant People,Chrissssss Browwwwnnnnnn,21,15,,,,,Etienne Cote,Chris Brown,Demitri Forand,Maxwell Gunneson
Pool Play,Premier 5.0+,Group E,3,Single game,No Pressure,LL Let's Ride,No Pressure,21,14,,,,,Alex Newton,Josh Hutko,Brandon Timonere,Lucas Hope
Pool Play,Premier 5.0+,Group F,3,Single game,foolish,Motion,foolish,21,12,,,,,Lucas Pruett,Sunny Gu,Dalton Gilder,Liam Sherron
Pool Play,Premier 5.0+,Group F,3,Single game,BOT The Soccer Guys,Special Teams,BOT The Soccer Guys,21,14,,,,,Ryan Coen,Owen Lippman,Liam Keegan,Matthew Rodriguez
Pool Play,Premier 5.0+,Group F,3,Single game,Barbershop💈,Finger Slinger,Barbershop💈,21,16,,,,,Brandon Stokes,Caleb White,Cooper Pennell,Gabe Packevicz
Pool Play,Premier 5.0+,Group G,3,Single game,hotballers,LL South Paw,hotballers,21,18,,,,,Tyler Babin,Joshua Hachey,Ryan Paul,Jake Mottershead
Pool Play,Premier 5.0+,Group G,3,Single game,BOT Harcombe,LafSpikes,BOT Harcombe,21,17,,,,,Stephen Jones,West Peterson,Ethan Gabay,Michael Nelson
Pool Play,Premier 5.0+,Group G,3,Single game,Hank and Lunk,Walkie-Talkie,Hank and Lunk,21,16,,,,,Adam Weiss,Auriel Wish,Jai Parera,Jake Young
Pool Play,Premier 5.0+,Group A,4,Single game,MBR Chronicles,Good Cop Bad Cop,Good Cop Bad Cop,18,21,,,,,Samuel Corey,Nathan Montgomery,Corey Weiss,Mike Garrett
Pool Play,Premier 5.0+,Group A,4,Single game,Happy Heffalumps,"Wild Westchester Sharpshooters ",Happy Heffalumps,24,22,,,,,Matt Catuccio,Michael Catuccio,Maxwell Riseman,Ethan Ferland
Pool Play,Premier 5.0+,Group B,4,Single game,por favor,¡Eso es!,por favor,21,10,,,,,Joey Maichen,Sam Diani,Michael Capobianco,Felipe Larroza
Pool Play,Premier 5.0+,Group B,4,Single game,Just for Fun,BDR it’s so over,Just for Fun,21,14,,,,,Drew Ryder,Kevin Chen,Ian Lane,Nic Albornoz
Pool Play,Premier 5.0+,Group C,4,Single game,Donkey Cut,Mystery Twins,Donkey Cut,21,17,,,,,Anthony St-Martin,Guillaume Bilodeau,Henry Pilliod,Jacob Arzaga
Pool Play,Premier 5.0+,Group C,4,Single game,"Pull it harder ",Freakuency Shift,"Pull it harder ",21,16,,,,,John Putney,Javier Vidal,Prady Vijayakumar,Seth Cutler
Pool Play,Premier 5.0+,Group D,4,Single game,Road Rage,fathomable,Road Rage,21,13,,,,,Matt Spolarich,Justin Shaytar,Bradley Clark,Bransen Eppes
Pool Play,Premier 5.0+,Group D,4,Single game,Buff and Scruff,Can't believe it's not butter,Can't believe it's not butter,19,21,,,,,Dennis Wei,Alex Daly,Aidan Buchanan,Mitchell Whelan
