Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0+ Open,Group A,1,Single game,KAB Kyle & Paq,Roch Started,KAB Kyle & Paq,21,7,,,,,Kyle Fowler,Paq Clifford,Nic Albornoz,Ethan Ferland
Group Stage,5.0+ Open,Group A,1,Single game,DOOLEY ROLL,Recalculating…,DOOLEY ROLL,21,9,,,,,Jacob Summers,Jake Dooley,Eoin O'Gara,Mike Hamilton
Group Stage,5.0+ Open,Group B,1,Single game,Drawing Sno,Keegan/Wheeler,Drawing Sno,21,12,,,,,Zach Snover,Kieran Rose,Liam Keegan,Dakota Wheeler
Group Stage,5.0+ Open,Group B,1,Single game,Grip Test,Stick Drift,Grip Test,21,11,,,,,Mike Garrett,Josh Hutko,Sam Aven,Charlie Cavallaro
Group Stage,5.0+ Open,Group C,1,Single game,"NEU Eats, Dog",Nice Low Shot,"NEU Eats, Dog",21,10,,,,,Sunny Gu,Dan Abrams,Diego Lopez,Kade Kulpinski
Group Stage,5.0+ Open,Group C,1,Single game,One in the Chamber,Injury Risk,One in the Chamber,21,7,,,,,Maxwell Gunneson,Jake Mottershead,Austin Niles,Justin Kehoe
Group Stage,5.0+ Open,Group D,1,Single game,Sharkeys,Snowfall,Sharkeys,21,5,,,,,Will Picone,Jaxon Gonzalez,Jacob Lamontagne,Samuel Panek
Group Stage,5.0+ Open,Group D,1,Single game,BDR Assets,China Smash,China Smash,20,21,,,,,Justin Shaytar,Alex Newton,Ricky Santiago,Jerry Hao
Group Stage,5.0+ Open,Group E,1,Single game,Seek and Serve,Buffalo B-rent,Seek and Serve,21,4,,,,,Tyler Fernandez,Jake Hurst,george reagan,Brent Summers
Group Stage,5.0+ Open,Group E,1,Single game,Finocchi/Model,"Impenetrable ",Finocchi/Model,21,18,,,,,Gabriel Finocchi,Max Model,A.j. Martin,Matt Spolarich
Group Stage,5.0+ Open,Group A,2,Single game,KAB Kyle & Paq,Recalculating…,KAB Kyle & Paq,21,11,,,,,Kyle Fowler,Paq Clifford,Eoin O'Gara,Mike Hamilton
Group Stage,5.0+ Open,Group A,2,Single game,Weave,Roch Started,Weave,21,17,,,,,Andrew Nee,Jon Esposo,Nic Albornoz,Ethan Ferland
Group Stage,5.0+ Open,Group B,2,Single game,Drawing Sno,Stick Drift,Drawing Sno,21,11,,,,,Zach Snover,Kieran Rose,Sam Aven,Charlie Cavallaro
Group Stage,5.0+ Open,Group B,2,Single game,loofish,Keegan/Wheeler,loofish,21,14,,,,,Sam Diani,Matt Wallach,Liam Keegan,Dakota Wheeler
Group Stage,5.0+ Open,Group C,2,Single game,"NEU Eats, Dog",Injury Risk,"NEU Eats, Dog",21,8,,,,,Sunny Gu,Dan Abrams,Austin Niles,Justin Kehoe
Group Stage,5.0+ Open,Group C,2,Single game,🍌BENana BReAD🍞,Nice Low Shot,🍌BENana BReAD🍞,21,16,,,,,Bradley Clark,Ben Savage,Diego Lopez,Kade Kulpinski
