Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Premier 4.5+,Group A,1,Single game,Diani/Camarena,Buzzin Ballers,Diani/Camarena,21,12,,,,,Sam Diani,Charlie Camarena,Brock Lodato,Andres Marquez
Group Stage,Open Premier 4.5+,Group A,1,Single game,Maniacal,Lil Bro The Third,Maniacal,21,13,,,,,Michael Yung,Manish Nagireddy,Connor Prelich,Drew Ryder
Group Stage,Open Premier 4.5+,Group A,1,Single game,L/M,DoubleThreat,L/M,21,8,,,,,Diego Lopez,John Mankowich,Dylan Rehman,Siddhant Desai
Group Stage,Open Premier 4.5+,Group B,1,Single game,Risk,Cream of Wheat,Risk,21,8,,,,,Jackson Biggs,Andrew Nee,Vince Hackl,Jacob Lamontagne
Group Stage,Open Premier 4.5+,Group B,1,Single game,Maximum effort to barely win,Jason/Jack,Maximum effort to barely win,21,14,,,,,Mitchell Whelan,Matt Wallach,John Muirhead,Jason Mcgrath
Group Stage,Open Premier 4.5+,Group B,1,Single game,Happy Heffalumps,"🥇 Come, 1st Serve",Happy Heffalumps,21,11,,,,,Michael Catuccio,Matt Catuccio,Caedon Gibson,Evan Liao
Group Stage,Open Premier 4.5+,Group C,1,Single game,The Buff Bandits,Tinsel Bird,The Buff Bandits,21,8,,,,,Demitri Forand,Matt Spolarich,Tim Matten,Aidan Sprouls
Group Stage,Open Premier 4.5+,Group C,1,Single game,Untitled Unmastered,Cornballs,Untitled Unmastered,21,3,,,,,Ricky Santiago,Mitchell Carter,Sreesai Katiki,Noah Malewicki
Group Stage,Open Premier 4.5+,Group C,1,Single game,Jammin',Almond of the walnut,Jammin',21,10,,,,,Noah Lerner-Morelle,Matthew Rodriguez,Matthew Tiongko,Samuel Panek
Group Stage,Open Premier 4.5+,Group A,2,Single game,Diani/Camarena,Lil Bro The Third,Diani/Camarena,21,9,,,,,Sam Diani,Charlie Camarena,Connor Prelich,Drew Ryder
Group Stage,Open Premier 4.5+,Group A,2,Single game,Maniacal,L/M,L/M,16,21,,,,,Michael Yung,Manish Nagireddy,Diego Lopez,John Mankowich
Group Stage,Open Premier 4.5+,Group A,2,Single game,DoubleThreat,Buzzin Ballers,Buzzin Ballers,16,21,,,,,Dylan Rehman,Siddhant Desai,Brock Lodato,Andres Marquez
Group Stage,Open Premier 4.5+,Group B,2,Single game,Risk,Jason/Jack,Risk,21,5,,,,,Jackson Biggs,Andrew Nee,John Muirhead,Jason Mcgrath
