Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,4.0 Open Contender,Group A,1,Single game,Fjord Tough,Boba & Bagel,Fjord Tough,21,5,,,,,Drew Weaver,Henry Pleszkoch,Cailley Biagini,Liliko Uchida
Pool Play,4.0 Open Contender,Group A,1,Single game,Double Caked Up,Newvilla FC,Double Caked Up,21,5,,,,,Brock Lodato,Owen Wallace,Jeremiah Rincon,Matthew Gardiner
Pool Play,4.0 Open Contender,Group A,1,Single game,wet paws,Bop squad,Bop squad,16,21,,,,,Zack Glew,Jonah Walker,Soren Brown,Charles Labarge
Pool Play,4.0 Open Contender,Group B,1,Single game,Women Respecters,Baja Ballers,Women Respecters,21,11,,,,,Sreesai Katiki,Mitchell Whelan,Bel Belvedere,Charlotte Jones
Pool Play,4.0 Open Contender,Group B,1,Single game,poverty,Right Cuts Only,poverty,21,11,,,,,Katheleen Phan,Tiff Ding,Matthew Michaelis,Edgar Cruz
Pool Play,4.0 Open Contender,Group B,1,Single game,Twin Peaks,Born Warm,Twin Peaks,21,14,,,,,Noah Malewicki,Jacob Lamontagne,Shyam Patel,Brandon Fung
Pool Play,4.0 Open Contender,Group C,1,Single game,Who? How??,WNU,Who? How??,21,9,,,,,Eddie Wu,Jerry Hao,Parker Lau,Erfan Hosseini
Pool Play,4.0 Open Contender,Group C,1,Single game,Uhhhh Idk,Rehanhatespickleball,Rehanhatespickleball,12,21,,,,,Zach Regas,Ryland Holdren,Rehan Kabir,Max Bird
Pool Play,4.0 Open Contender,Group C,1,Single game,Balls to the Walls,Gale & Gibby,Gale & Gibby,18,21,,,,,Zach Young,James Pollock,Abigale Lamontagne,Caedon Gibson
Pool Play,4.0 Open Contender,Group D,1,Single game,Balls of Glory,dustin' off the dust,Balls of Glory,21,15,,,,,Gabriel Rouse,Daniel Gonzalez,Aiden Hathaway,Dustin Eidson
Pool Play,4.0 Open Contender,Group D,1,Single game,Almond of the walnut,RUBIN & GEORGE :D,Almond of the walnut,21,18,,,,,Matthew Tiongko,Samuel Panek,george reagan,rubin chang
Pool Play,4.0 Open Contender,Group D,1,Single game,Die Up,Spike Tyson,Die Up,21,9,,,,,Stef Ding,Mason Dancausse,Trevor Bell,Josh Puffenberger
Pool Play,4.0 Open Contender,Group A,2,Single game,Fjord Tough,Newvilla FC,Fjord Tough,21,1,,,,,Drew Weaver,Henry Pleszkoch,Jeremiah Rincon,Matthew Gardiner
Pool Play,4.0 Open Contender,Group A,2,Single game,Double Caked Up,wet paws,Double Caked Up,21,16,,,,,Brock Lodato,Owen Wallace,Zack Glew,Jonah Walker
Pool Play,4.0 Open Contender,Group A,2,Single game,Bop squad,Boba & Bagel,Bop squad,21,11,,,,,Soren Brown,Charles Labarge,Cailley Biagini,Liliko Uchida
Pool Play,4.0 Open Contender,Group B,2,Single game,Women Respecters,Right Cuts Only,Women Respecters,21,10,,,,,Sreesai Katiki,Mitchell Whelan,Matthew Michaelis,Edgar Cruz
Pool Play,4.0 Open Contender,Group B,2,Single game,poverty,Twin Peaks,Twin Peaks,18,21,,,,,Katheleen Phan,Tiff Ding,Noah Malewicki,Jacob Lamontagne
