Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Open Bronze 4.5+,Group A,1,Single game,The Founders,Scotty/Andres,The Founders,21,5,,,,,Kevin McClain,Gabe Finocchi,Andres Marquez,Scotty McCabe
Pool Play,Open Bronze 4.5+,Group A,1,Single game,college roundnet finest,SNF One and Two,college roundnet finest,21,18,,,,,Brooks Weeks,Eli Wortman,Sean Santos,Brian Perlson
Pool Play,Open Bronze 4.5+,Group A,1,Single game,Happy Meal,Evan + George :3,Happy Meal,21,15,,,,,Matt Spolarich,Sam Mccune,Evan Leatherbarrow,george reagan
Pool Play,Open Bronze 4.5+,Group B,1,Single game,Matt/Matt,Team twigs,Matt/Matt,21,12,,,,,Matt Wallach,Matthew Rodriguez,Matt Higgins,Logan Darby
Pool Play,Open Bronze 4.5+,Group B,1,Single game,Wookies,Alfred Fingerbottom,Wookies,21,9,,,,,Artie Singer,Demitri Forand,Samuel Panek,Noah Malewicki
Pool Play,Open Bronze 4.5+,Group B,1,Single game,Prison Mike,Carr Park Birthday Party,Prison Mike,21,11,,,,,Jake Mottershead,Kyle Keenan,Gaurav Capila,Evan Liao
Pool Play,Open Bronze 4.5+,Group C,1,Single game,Enemies to Lovers,Brink of Retirement,Brink of Retirement,16,21,,,,,Riley Nassour,Kevin Chen,Sreesai Katiki,Matthew Tiongko
Pool Play,Open Bronze 4.5+,Group C,1,Single game,mikenstaisentrukenpice,eoin / swaguilar,mikenstaisentrukenpice,21,10,,,,,Jon Esposo,Owen Wallace,josh aguilar,Eoin O'Gara
Pool Play,Open Bronze 4.5+,Group C,1,Single game,Wasian Blasian Sensation,Abi and Annabel,Wasian Blasian Sensation,21,14,,,,,Caleb White,Jacob Arzaga,Charlie Camarena,Luke Arnpriester
Pool Play,Open Bronze 4.5+,Group A,2,Single game,The Founders,SNF One and Two,The Founders,21,14,,,,,Kevin McClain,Gabe Finocchi,Sean Santos,Brian Perlson
Pool Play,Open Bronze 4.5+,Group A,2,Single game,college roundnet finest,Happy Meal,college roundnet finest,21,17,,,,,Brooks Weeks,Eli Wortman,Matt Spolarich,Sam Mccune
Pool Play,Open Bronze 4.5+,Group A,2,Single game,Evan + George :3,Scotty/Andres,Scotty/Andres,13,21,,,,,Evan Leatherbarrow,george reagan,Andres Marquez,Scotty McCabe
Pool Play,Open Bronze 4.5+,Group B,2,Single game,Matt/Matt,Alfred Fingerbottom,Matt/Matt,21,11,,,,,Matt Wallach,Matthew Rodriguez,Samuel Panek,Noah Malewicki
Pool Play,Open Bronze 4.5+,Group B,2,Single game,Wookies,Prison Mike,Prison Mike,17,21,,,,,Artie Singer,Demitri Forand,Jake Mottershead,Kyle Keenan
Pool Play,Open Bronze 4.5+,Group B,2,Single game,Carr Park Birthday Party,Team twigs,Team twigs,9,21,,,,,Gaurav Capila,Evan Liao,Matt Higgins,Logan Darby
Pool Play,Open Bronze 4.5+,Group C,2,Single game,Enemies to Lovers,eoin / swaguilar,Enemies to Lovers,21,10,,,,,Riley Nassour,Kevin Chen,josh aguilar,Eoin O'Gara
Pool Play,Open Bronze 4.5+,Group C,2,Single game,mikenstaisentrukenpice,Wasian Blasian Sensation,Wasian Blasian Sensation,17,21,,,,,Jon Esposo,Owen Wallace,Caleb White,Jacob Arzaga
Pool Play,Open Bronze 4.5+,Group C,2,Single game,Abi and Annabel,Brink of Retirement,Abi and Annabel,21,9,,,,,Charlie Camarena,Luke Arnpriester,Sreesai Katiki,Matthew Tiongko
