Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Bronze/Premier 5.0+,Group A,1,Single game,LL Come & Go,China Smash,LL Come & Go,21,13,,,,,Mike Garrett,Jake Mottershead,Jerry Hao,Ricky Santiago
Group Stage,Open Bronze/Premier 5.0+,Group A,1,Single game,Over-Seeded,Blitz LI,Over-Seeded,21,18,,,,,Josh Hutko,Sidney Mathues,Artie Singer,Drew Ryder
Group Stage,Open Bronze/Premier 5.0+,Group B,1,Single game,Automatic,Motion Detected,Automatic,21,11,,,,,Riley Nassour,Alex Newton,Rishab Jain,Eric Guan
Group Stage,Open Bronze/Premier 5.0+,Group B,1,Single game,Happy Heffalumps,Locked,Locked,10,21,,,,,Matt Catuccio,Michael Catuccio,Matt Wallach,Andrew Nee
Group Stage,Open Bronze/Premier 5.0+,Group C,1,Single game,LL Fairly Odd,"Townies ",LL Fairly Odd,21,9,,,,,Matt Spolarich,Gabriel Finocchi,Dylan Rehman,Matthew Rodriguez
Group Stage,Open Bronze/Premier 5.0+,Group C,1,Single game,Free On Mach,Garbage Plates,Garbage Plates,16,21,,,,,Demitri Forand,Pat Marinich,Dakota Wheeler,Declan Brown
Group Stage,Open Bronze/Premier 5.0+,Group A,2,Single game,LL Come & Go,Blitz LI,LL Come & Go,21,12,,,,,Mike Garrett,Jake Mottershead,Artie Singer,Drew Ryder
Group Stage,Open Bronze/Premier 5.0+,Group A,2,Single game,Over-Seeded,China Smash,China Smash,20,22,,,,,Josh Hutko,Sidney Mathues,Jerry Hao,Ricky Santiago
Group Stage,Open Bronze/Premier 5.0+,Group B,2,Single game,Automatic,Locked,Automatic,21,15,,,,,Riley Nassour,Alex Newton,Matt Wallach,Andrew Nee
Group Stage,Open Bronze/Premier 5.0+,Group B,2,Single game,the hardest part,Motion Detected,the hardest part,21,18,,,,,Tomer Keren,Kevin Chen,Rishab Jain,Eric Guan
Group Stage,Open Bronze/Premier 5.0+,Group C,2,Single game,LL Fairly Odd,Garbage Plates,Garbage Plates,20,22,,,,,Matt Spolarich,Gabriel Finocchi,Dakota Wheeler,Declan Brown
Group Stage,Open Bronze/Premier 5.0+,Group C,2,Single game,🥔Irish potato bountiful harvest🥔,"Townies ",🥔Irish potato bountiful harvest🥔,21,16,,,,,Liam Keegan,Eoin O'Gara,Dylan Rehman,Matthew Rodriguez
Group Stage,Open Bronze/Premier 5.0+,Group A,3,Single game,LL Come & Go,Over-Seeded,LL Come & Go,21,19,,,,,Mike Garrett,Jake Mottershead,Josh Hutko,Sidney Mathues
Group Stage,Open Bronze/Premier 5.0+,Group A,3,Single game,Blitz LI,China Smash,Blitz LI,21,13,,,,,Artie Singer,Drew Ryder,Jerry Hao,Ricky Santiago
Group Stage,Open Bronze/Premier 5.0+,Group B,3,Single game,Automatic,the hardest part,Automatic,21,15,,,,,Riley Nassour,Alex Newton,Tomer Keren,Kevin Chen
Group Stage,Open Bronze/Premier 5.0+,Group B,3,Single game,Happy Heffalumps,Motion Detected,Happy Heffalumps,21,18,,,,,Matt Catuccio,Michael Catuccio,Rishab Jain,Eric Guan
Group Stage,Open Bronze/Premier 5.0+,Group C,3,Single game,LL Fairly Odd,🥔Irish potato bountiful harvest🥔,LL Fairly Odd,21,17,,,,,Matt Spolarich,Gabriel Finocchi,Liam Keegan,Eoin O'Gara
Group Stage,Open Bronze/Premier 5.0+,Group C,3,Single game,Free On Mach,"Townies ","Townies ",18,21,,,,,Demitri Forand,Pat Marinich,Dylan Rehman,Matthew Rodriguez
Group Stage,Open Bronze/Premier 5.0+,Group B,4,Single game,Happy Heffalumps,the hardest part,Happy Heffalumps,21,19,,,,,Matt Catuccio,Michael Catuccio,Tomer Keren,Kevin Chen
Group Stage,Open Bronze/Premier 5.0+,Group B,4,Single game,Locked,Motion Detected,Locked,21,16,,,,,Matt Wallach,Andrew Nee,Rishab Jain,Eric Guan
Group Stage,Open Bronze/Premier 5.0+,Group C,4,Single game,Free On Mach,🥔Irish potato bountiful harvest🥔,🥔Irish potato bountiful harvest🥔,20,22,,,,,Demitri Forand,Pat Marinich,Liam Keegan,Eoin O'Gara
Group Stage,Open Bronze/Premier 5.0+,Group C,4,Single game,Garbage Plates,"Townies ",Garbage Plates,21,13,,,,,Dakota Wheeler,Declan Brown,Dylan Rehman,Matthew Rodriguez
Group Stage,Open Bronze/Premier 5.0+,Group B,5,Single game,Automatic,Happy Heffalumps,Automatic,21,10,,,,,Riley Nassour,Alex Newton,Matt Catuccio,Michael Catuccio
Group Stage,Open Bronze/Premier 5.0+,Group B,5,Single game,the hardest part,Locked,Locked,24,25,,,,,Tomer Keren,Kevin Chen,Matt Wallach,Andrew Nee
Group Stage,Open Bronze/Premier 5.0+,Group C,5,Single game,LL Fairly Odd,Free On Mach,LL Fairly Odd,21,14,,,,,Matt Spolarich,Gabriel Finocchi,Demitri Forand,Pat Marinich
Group Stage,Open Bronze/Premier 5.0+,Group C,5,Single game,🥔Irish potato bountiful harvest🥔,Garbage Plates,Garbage Plates,20,22,,,,,Liam Keegan,Eoin O'Gara,Dakota Wheeler,Declan Brown
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Round of 16,Best of 3,Garbage Plates,Motion Detected,Garbage Plates,21,16,22,20,,,Dakota Wheeler,Declan Brown,Rishab Jain,Eric Guan
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Round of 16,Best of 3,LL Fairly Odd,Free On Mach,LL Fairly Odd,21,18,21,18,,,Matt Spolarich,Gabriel Finocchi,Demitri Forand,Pat Marinich
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Round of 16,Best of 3,Locked,"Townies ",Locked,23,21,21,18,,,Matt Wallach,Andrew Nee,Dylan Rehman,Matthew Rodriguez
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Round of 16,Best of 3,🥔Irish potato bountiful harvest🥔,the hardest part,the hardest part,16,21,17,21,,,Liam Keegan,Eoin O'Gara,Tomer Keren,Kevin Chen
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Round of 16,Best of 3,Over-Seeded,China Smash,China Smash,21,17,23,25,16,21,Josh Hutko,Sidney Mathues,Jerry Hao,Ricky Santiago
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Round of 16,Best of 3,Blitz LI,Happy Heffalumps,Blitz LI,21,18,15,21,21,13,Artie Singer,Drew Ryder,Matt Catuccio,Michael Catuccio
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Quarter-final,Best of 3,Automatic,Blitz LI,Automatic,21,18,21,11,,,Riley Nassour,Alex Newton,Artie Singer,Drew Ryder
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Quarter-final,Best of 3,LL Come & Go,China Smash,LL Come & Go,21,12,26,24,,,Mike Garrett,Jake Mottershead,Jerry Hao,Ricky Santiago
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Quarter-final,Best of 3,Garbage Plates,the hardest part,the hardest part,12,21,21,18,19,21,Dakota Wheeler,Declan Brown,Tomer Keren,Kevin Chen
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Quarter-final,Best of 3,LL Fairly Odd,Locked,LL Fairly Odd,21,17,19,13,,,Matt Spolarich,Gabriel Finocchi,Matt Wallach,Andrew Nee
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,P9: Quarter-final,Best of 3,🥔Irish potato bountiful harvest🥔,Motion Detected,Motion Detected,0,-1,-1,0,18,21,Liam Keegan,Eoin O'Gara,Rishab Jain,Eric Guan
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,P9: Quarter-final,Best of 3,"Townies ",Free On Mach,Free On Mach,17,21,15,21,,,Dylan Rehman,Matthew Rodriguez,Demitri Forand,Pat Marinich
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Semi-final,Best of 3,Automatic,LL Fairly Odd,LL Fairly Odd,15,21,19,21,,,Riley Nassour,Alex Newton,Matt Spolarich,Gabriel Finocchi
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Semi-final,Best of 3,LL Come & Go,the hardest part,LL Come & Go,21,12,21,14,,,Mike Garrett,Jake Mottershead,Tomer Keren,Kevin Chen
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,P5: Semi-final,Best of 3,Locked,Blitz LI,Blitz LI,-1,0,-1,0,,,Matt Wallach,Andrew Nee,Artie Singer,Drew Ryder
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,P5: Semi-final,Best of 3,Garbage Plates,China Smash,Garbage Plates,21,19,21,18,,,Dakota Wheeler,Declan Brown,Jerry Hao,Ricky Santiago
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,P9: Semi-final,Best of 3,Happy Heffalumps,Free On Mach,Free On Mach,-1,0,-1,0,,,Matt Catuccio,Michael Catuccio,Demitri Forand,Pat Marinich
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,P9: Semi-final,Best of 3,Over-Seeded,Motion Detected,Motion Detected,-1,0,-1,0,,,Josh Hutko,Sidney Mathues,Rishab Jain,Eric Guan
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,Final,Best of 3,LL Fairly Odd,LL Come & Go,LL Come & Go,22,24,16,21,,,Matt Spolarich,Gabriel Finocchi,Mike Garrett,Jake Mottershead
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,P3: Final,Best of 3,the hardest part,Automatic,Automatic,21,23,15,21,,,Tomer Keren,Kevin Chen,Riley Nassour,Alex Newton
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,P5: Final,Best of 3,Blitz LI,Garbage Plates,Garbage Plates,20,22,-1,0,,,Artie Singer,Drew Ryder,Dakota Wheeler,Declan Brown
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,P7: Final,Best of 3,China Smash,Locked,China Smash,0,-1,0,-1,,,Jerry Hao,Ricky Santiago,Matt Wallach,Andrew Nee
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,P9: Final,Best of 3,Free On Mach,Motion Detected,Free On Mach,0,-1,0,-1,,,Demitri Forand,Pat Marinich,Rishab Jain,Eric Guan
Bracket Stage,Open Bronze/Premier 5.0+,Bracket A,P13: Final,Best of 3,"Townies ",🥔Irish potato bountiful harvest🥔,🥔Irish potato bountiful harvest🥔,-1,0,-1,0,,,Dylan Rehman,Matthew Rodriguez,Liam Keegan,Eoin O'Gara
Group Stage,Contender 4.5+,Group A,1,Single game,Green,Chiva Hermanos,Green,21,9,,,,,Lucas Hope,Connor Prelich,Camilo Cruz,Edgar Cruz
Group Stage,Contender 4.5+,Group A,1,Single game,Tanooj/Show,Sanjay/Rubin,Sanjay/Rubin,11,21,,,,,Sho M,Tanuj Alapati,rubin chang,Sanjay Ramcharan
Group Stage,Contender 4.5+,Group B,1,Single game,Trying Our Best,Raw Toast,Trying Our Best,21,10,,,,,Ethan Gabay,Michael Nelson,Tyrus Kamenitzer,Tim Matten
Group Stage,Contender 4.5+,Group B,1,Single game,Freakbob,Randy Marsh and Kyle Broflovski,Freakbob,21,12,,,,,Jacob Lamontagne,Scotty McCabe,Alex Ofgang,Christopher Espiritu
Group Stage,Contender 4.5+,Group C,1,Single game,Diversified,Balloon Knots,Diversified,21,11,,,,,Matthew Mesaros,Diego Lopez,Landon Lewicki,Garrison Eaby
Group Stage,Contender 4.5+,Group C,1,Single game,Alfred Fingerbottom,"5'7""","5'7""",22,24,,,,,Samuel Panek,Noah Malewicki,Matt Manfredi,Chris Ng
Group Stage,Contender 4.5+,Group D,1,Single game,Put It in My Hand,Locked in?,Put It in My Hand,21,2,,,,,Jason Woo,Matthew Tiongko,Sarah Andreano,Ashton Haykin
Group Stage,Contender 4.5+,Group D,1,Single game,Key to Rise,The Young’uns,Key to Rise,21,13,,,,,Kyle Keenan,Maxwell Riseman,Ethan Bordoff,Boris McCoy
Group Stage,Contender 4.5+,Group D,1,Single game,IZAK & GEORGE :P,Bottom of the Barrel,IZAK & GEORGE :P,21,15,,,,,george reagan,izak krajeski,Nicholas Puglisi,Dean Russo
Group Stage,Contender 4.5+,Group A,2,Single game,Green,Sanjay/Rubin,Green,21,14,,,,,Lucas Hope,Connor Prelich,rubin chang,Sanjay Ramcharan
Group Stage,Contender 4.5+,Group A,2,Single game,Raggin my Mallett,Chiva Hermanos,Raggin my Mallett,21,12,,,,,Ben Ragozzine,Jack Mallett,Camilo Cruz,Edgar Cruz
Group Stage,Contender 4.5+,Group B,2,Single game,Trying Our Best,Randy Marsh and Kyle Broflovski,Trying Our Best,21,16,,,,,Ethan Gabay,Michael Nelson,Alex Ofgang,Christopher Espiritu
Group Stage,Contender 4.5+,Group B,2,Single game,Newvilla FC,Raw Toast,Newvilla FC,22,20,,,,,Jeremiah Rincon,Matthew Gardiner,Tyrus Kamenitzer,Tim Matten
Group Stage,Contender 4.5+,Group C,2,Single game,Diversified,"5'7""",Diversified,21,14,,,,,Matthew Mesaros,Diego Lopez,Matt Manfredi,Chris Ng
Group Stage,Contender 4.5+,Group C,2,Single game,Premier Plebs,Balloon Knots,Balloon Knots,12,21,,,,,Josh Retzlaff,Pranav Ram,Landon Lewicki,Garrison Eaby
Group Stage,Contender 4.5+,Group D,2,Single game,Put It in My Hand,The Young’uns,Put It in My Hand,21,11,,,,,Jason Woo,Matthew Tiongko,Ethan Bordoff,Boris McCoy
Group Stage,Contender 4.5+,Group D,2,Single game,Key to Rise,IZAK & GEORGE :P,IZAK & GEORGE :P,20,22,,,,,Kyle Keenan,Maxwell Riseman,george reagan,izak krajeski
