Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Bronze 4.5+,Group A,1,Single game,Rolling Reapers,Donut Holes,Rolling Reapers,21,13,,,,,Jake Dooley,Will Picone,Andre Reynolds,Henry Cheung
Group Stage,Open Bronze 4.5+,Group A,1,Single game,Radical WanKas,Path of Pain,Radical WanKas,21,15,,,,,Brock Lodato,Jon Esposo,Noah Elconin,Dylan Noker
Group Stage,Open Bronze 4.5+,Group B,1,Single game,Flame of Fire,The Rookies,Flame of Fire,21,15,,,,,Jacob Summers,Isaac Haynes,Daniel Porter,Zachary Small
Group Stage,Open Bronze 4.5+,Group B,1,Single game,Slurred Speech,Make Sammy Proud,Slurred Speech,21,16,,,,,Owen Lippman,Calvin Smith,Josh Esposo,Ryland Holdren
Group Stage,Open Bronze 4.5+,Group C,1,Single game,Daddy Daughter,Monkey shirt,Daddy Daughter,21,14,,,,,Noah Kopetic,Andrew Greer,Soren Brown,Charlie Labarge
Group Stage,Open Bronze 4.5+,Group C,1,Single game,Wortman/Santos,Paradox Fan Club,Wortman/Santos,21,13,,,,,Eli Wortman,Sean Santos,Justin Kehoe,Hampton Chappell
Group Stage,Open Bronze 4.5+,Group D,1,Single game,Da Bih Tuh - Rimond Edshun,PBR Dabmeup,PBR Dabmeup,16,21,,,,,Jaxon Gonzalez,Owen Wallace,A.j. Martin,Jacob Arzaga
Group Stage,Open Bronze 4.5+,Group D,1,Single game,D1 Girlfriends,Vertigo 😵‍💫,D1 Girlfriends,21,19,,,,,Henry Pleszkoch,Jake Hurst,Austin Niles,Brooks Weeks
Group Stage,Open Bronze 4.5+,Group A,2,Single game,Rolling Reapers,Path of Pain,Rolling Reapers,21,13,,,,,Jake Dooley,Will Picone,Noah Elconin,Dylan Noker
Group Stage,Open Bronze 4.5+,Group A,2,Single game,"🅱️arley and the 🅱️hocolate 🅱️actory ",Donut Holes,"🅱️arley and the 🅱️hocolate 🅱️actory ",21,14,,,,,Charlie Cavallaro,Caleb White,Andre Reynolds,Henry Cheung
Group Stage,Open Bronze 4.5+,Group B,2,Single game,Flame of Fire,Make Sammy Proud,Flame of Fire,21,15,,,,,Jacob Summers,Isaac Haynes,Josh Esposo,Ryland Holdren
Group Stage,Open Bronze 4.5+,Group B,2,Single game,Yum Yum Shop,The Rookies,Yum Yum Shop,21,13,,,,,Dalton Gilder,Brandon Stokes,Daniel Porter,Zachary Small
Group Stage,Open Bronze 4.5+,Group C,2,Single game,Daddy Daughter,Paradox Fan Club,Daddy Daughter,21,12,,,,,Noah Kopetic,Andrew Greer,Justin Kehoe,Hampton Chappell
Group Stage,Open Bronze 4.5+,Group C,2,Single game,PBR Knicks in 5,Monkey shirt,Monkey shirt,16,21,,,,,James Mitchum,Brian Perlson,Soren Brown,Charlie Labarge
Group Stage,Open Bronze 4.5+,Group D,2,Single game,Da Bih Tuh - Rimond Edshun,Vertigo 😵‍💫,Da Bih Tuh - Rimond Edshun,23,21,,,,,Jaxon Gonzalez,Owen Wallace,Austin Niles,Brooks Weeks
Group Stage,Open Bronze 4.5+,Group D,2,Single game,D1 Girlfriends,PBR Dabmeup,D1 Girlfriends,21,19,,,,,Henry Pleszkoch,Jake Hurst,A.j. Martin,Jacob Arzaga
Group Stage,Open Bronze 4.5+,Group A,3,Single game,Rolling Reapers,"🅱️arley and the 🅱️hocolate 🅱️actory ",Rolling Reapers,21,13,,,,,Jake Dooley,Will Picone,Charlie Cavallaro,Caleb White
Group Stage,Open Bronze 4.5+,Group A,3,Single game,Radical WanKas,Donut Holes,Radical WanKas,23,21,,,,,Brock Lodato,Jon Esposo,Andre Reynolds,Henry Cheung
Group Stage,Open Bronze 4.5+,Group B,3,Single game,Flame of Fire,Yum Yum Shop,Flame of Fire,21,9,,,,,Jacob Summers,Isaac Haynes,Dalton Gilder,Brandon Stokes
Group Stage,Open Bronze 4.5+,Group B,3,Single game,Slurred Speech,The Rookies,Slurred Speech,21,8,,,,,Owen Lippman,Calvin Smith,Daniel Porter,Zachary Small
Group Stage,Open Bronze 4.5+,Group C,3,Single game,Daddy Daughter,PBR Knicks in 5,Daddy Daughter,21,12,,,,,Noah Kopetic,Andrew Greer,James Mitchum,Brian Perlson
Group Stage,Open Bronze 4.5+,Group C,3,Single game,Wortman/Santos,Monkey shirt,Wortman/Santos,21,16,,,,,Eli Wortman,Sean Santos,Soren Brown,Charlie Labarge
Group Stage,Open Bronze 4.5+,Group D,3,Single game,Da Bih Tuh - Rimond Edshun,D1 Girlfriends,D1 Girlfriends,12,21,,,,,Jaxon Gonzalez,Owen Wallace,Henry Pleszkoch,Jake Hurst
Group Stage,Open Bronze 4.5+,Group D,3,Single game,Vertigo 😵‍💫,PBR Dabmeup,PBR Dabmeup,16,21,,,,,Austin Niles,Brooks Weeks,A.j. Martin,Jacob Arzaga
Group Stage,Open Bronze 4.5+,Group A,4,Single game,Radical WanKas,"🅱️arley and the 🅱️hocolate 🅱️actory ",Radical WanKas,21,18,,,,,Brock Lodato,Jon Esposo,Charlie Cavallaro,Caleb White
Group Stage,Open Bronze 4.5+,Group A,4,Single game,Path of Pain,Donut Holes,Donut Holes,14,21,,,,,Noah Elconin,Dylan Noker,Andre Reynolds,Henry Cheung
Group Stage,Open Bronze 4.5+,Group B,4,Single game,Slurred Speech,Yum Yum Shop,Slurred Speech,21,14,,,,,Owen Lippman,Calvin Smith,Dalton Gilder,Brandon Stokes
