Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,NEM Seazonal,And They Were Roommates,NEM Seazonal,21,12,,,,,Jacob Summers,Zach Snover,Charlie Cavallaro,Noah Elconin
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,Gone Fishin',Double Dinged,Gone Fishin',21,16,,,,,Polk Denmark,Peyton Stack,Jacob Narayan,Drew Ryder
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,Carry Hit,Two Bodacious Latino Women,Carry Hit,21,19,,,,,Blake Van Den Top,Kyle Fowler,Justin Kehoe,Sam Bunze
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,🍌BENana BReAD🍞,The BURG,🍌BENana BReAD🍞,21,19,,,,,Ben Savage,Bradley Clark,Brooks Weeks,Jon Esposo
Group Stage,5.0 Open Premier/Bronze+,Group A,2,Single game,NEM Seazonal,Double Dinged,NEM Seazonal,21,15,,,,,Jacob Summers,Zach Snover,Jacob Narayan,Drew Ryder
Group Stage,5.0 Open Premier/Bronze+,Group A,2,Single game,Gone Fishin',The BURG,Gone Fishin',21,17,,,,,Polk Denmark,Peyton Stack,Brooks Weeks,Jon Esposo
Group Stage,5.0 Open Premier/Bronze+,Group A,2,Single game,Carry Hit,🍌BENana BReAD🍞,🍌BENana BReAD🍞,18,21,,,,,Blake Van Den Top,Kyle Fowler,Ben Savage,Bradley Clark
Group Stage,5.0 Open Premier/Bronze+,Group A,2,Single game,Two Bodacious Latino Women,And They Were Roommates,And They Were Roommates,19,21,,,,,Justin Kehoe,Sam Bunze,Charlie Cavallaro,Noah Elconin
Group Stage,5.0 Open Premier/Bronze+,Group A,3,Single game,NEM Seazonal,Two Bodacious Latino Women,NEM Seazonal,21,19,,,,,Jacob Summers,Zach Snover,Justin Kehoe,Sam Bunze
Group Stage,5.0 Open Premier/Bronze+,Group A,3,Single game,Gone Fishin',Carry Hit,Carry Hit,16,21,,,,,Polk Denmark,Peyton Stack,Blake Van Den Top,Kyle Fowler
Group Stage,5.0 Open Premier/Bronze+,Group A,3,Single game,🍌BENana BReAD🍞,And They Were Roommates,🍌BENana BReAD🍞,21,18,,,,,Ben Savage,Bradley Clark,Charlie Cavallaro,Noah Elconin
Group Stage,5.0 Open Premier/Bronze+,Group A,3,Single game,The BURG,Double Dinged,Double Dinged,17,21,,,,,Brooks Weeks,Jon Esposo,Jacob Narayan,Drew Ryder
Group Stage,5.0 Open Premier/Bronze+,Group A,4,Single game,NEM Seazonal,The BURG,NEM Seazonal,21,16,,,,,Jacob Summers,Zach Snover,Brooks Weeks,Jon Esposo
Group Stage,5.0 Open Premier/Bronze+,Group A,4,Single game,Gone Fishin',And They Were Roommates,Gone Fishin',21,12,,,,,Polk Denmark,Peyton Stack,Charlie Cavallaro,Noah Elconin
Group Stage,5.0 Open Premier/Bronze+,Group A,4,Single game,Carry Hit,Double Dinged,Carry Hit,21,17,,,,,Blake Van Den Top,Kyle Fowler,Jacob Narayan,Drew Ryder
Group Stage,5.0 Open Premier/Bronze+,Group A,4,Single game,🍌BENana BReAD🍞,Two Bodacious Latino Women,Two Bodacious Latino Women,19,21,,,,,Ben Savage,Bradley Clark,Justin Kehoe,Sam Bunze
Group Stage,5.0 Open Premier/Bronze+,Group A,5,Single game,NEM Seazonal,🍌BENana BReAD🍞,NEM Seazonal,21,13,,,,,Jacob Summers,Zach Snover,Ben Savage,Bradley Clark
Group Stage,5.0 Open Premier/Bronze+,Group A,5,Single game,Gone Fishin',Two Bodacious Latino Women,Gone Fishin',21,13,,,,,Polk Denmark,Peyton Stack,Justin Kehoe,Sam Bunze
Group Stage,5.0 Open Premier/Bronze+,Group A,5,Single game,Carry Hit,The BURG,The BURG,17,21,,,,,Blake Van Den Top,Kyle Fowler,Brooks Weeks,Jon Esposo
Group Stage,5.0 Open Premier/Bronze+,Group A,5,Single game,Double Dinged,And They Were Roommates,Double Dinged,21,12,,,,,Jacob Narayan,Drew Ryder,Charlie Cavallaro,Noah Elconin
Group Stage,5.0 Open Premier/Bronze+,Group A,6,Single game,NEM Seazonal,Carry Hit,Carry Hit,9,21,,,,,Jacob Summers,Zach Snover,Blake Van Den Top,Kyle Fowler
Group Stage,5.0 Open Premier/Bronze+,Group A,6,Single game,Gone Fishin',🍌BENana BReAD🍞,Gone Fishin',26,24,,,,,Polk Denmark,Peyton Stack,Ben Savage,Bradley Clark
Group Stage,5.0 Open Premier/Bronze+,Group A,6,Single game,The BURG,And They Were Roommates,And They Were Roommates,10,21,,,,,Brooks Weeks,Jon Esposo,Charlie Cavallaro,Noah Elconin
Group Stage,5.0 Open Premier/Bronze+,Group A,6,Single game,Two Bodacious Latino Women,Double Dinged,Two Bodacious Latino Women,21,19,,,,,Justin Kehoe,Sam Bunze,Jacob Narayan,Drew Ryder
Group Stage,5.0 Open Premier/Bronze+,Group A,7,Single game,NEM Seazonal,Gone Fishin',NEM Seazonal,21,18,,,,,Jacob Summers,Zach Snover,Polk Denmark,Peyton Stack
Group Stage,5.0 Open Premier/Bronze+,Group A,7,Single game,Carry Hit,And They Were Roommates,Carry Hit,21,13,,,,,Blake Van Den Top,Kyle Fowler,Charlie Cavallaro,Noah Elconin
Group Stage,5.0 Open Premier/Bronze+,Group A,7,Single game,🍌BENana BReAD🍞,Double Dinged,Double Dinged,24,26,,,,,Ben Savage,Bradley Clark,Jacob Narayan,Drew Ryder
Group Stage,5.0 Open Premier/Bronze+,Group A,7,Single game,The BURG,Two Bodacious Latino Women,The BURG,21,16,,,,,Brooks Weeks,Jon Esposo,Justin Kehoe,Sam Bunze
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,NEM Seazonal,Two Bodacious Latino Women,NEM Seazonal,21,16,21,13,,,Jacob Summers,Zach Snover,Justin Kehoe,Sam Bunze
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Carry Hit,The BURG,The BURG,18,21,29,27,18,21,Blake Van Den Top,Kyle Fowler,Brooks Weeks,Jon Esposo
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Gone Fishin',And They Were Roommates,Gone Fishin',21,15,23,21,,,Polk Denmark,Peyton Stack,Charlie Cavallaro,Noah Elconin
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Double Dinged,🍌BENana BReAD🍞,🍌BENana BReAD🍞,21,19,20,22,19,21,Jacob Narayan,Drew Ryder,Ben Savage,Bradley Clark
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Semi-final,Best of 3,NEM Seazonal,🍌BENana BReAD🍞,NEM Seazonal,21,16,21,14,,,Jacob Summers,Zach Snover,Ben Savage,Bradley Clark
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Semi-final,Best of 3,The BURG,Gone Fishin',Gone Fishin',14,21,15,21,,,Brooks Weeks,Jon Esposo,Polk Denmark,Peyton Stack
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,P5: Semi-final,Single game,Double Dinged,Two Bodacious Latino Women,Two Bodacious Latino Women,17,21,,,,,Jacob Narayan,Drew Ryder,Justin Kehoe,Sam Bunze
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,P5: Semi-final,Single game,And They Were Roommates,Carry Hit,And They Were Roommates,21,19,,,,,Charlie Cavallaro,Noah Elconin,Blake Van Den Top,Kyle Fowler
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Final,Best of 3,NEM Seazonal,Gone Fishin',NEM Seazonal,24,26,21,12,21,13,Jacob Summers,Zach Snover,Polk Denmark,Peyton Stack
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,P3: Final,Best of 3,The BURG,🍌BENana BReAD🍞,🍌BENana BReAD🍞,16,21,14,21,,,Brooks Weeks,Jon Esposo,Ben Savage,Bradley Clark
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,P5: Final,Best of 3,Two Bodacious Latino Women,And They Were Roommates,Two Bodacious Latino Women,22,20,22,20,,,Justin Kehoe,Sam Bunze,Charlie Cavallaro,Noah Elconin
