Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,Double A,Special Teams,Double A,21,17,,,,,Matt Spolarich,Owen Lippman,Liam Keegan,Matthew Rodriguez
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,LL Come & Go,Charlie Brown,LL Come & Go,21,14,,,,,Jake Mottershead,Mike Garrett,Charlie Freeman,Declan Brown
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,Awex and Wiwey,Keener’s weeners and Sid’s kids,Awex and Wiwey,21,13,,,,,Riley Nassour,Alex Newton,Tyler Keener,Sidney Mathues
Group Stage,5.0 Open Premier/Bronze+,Group A,2,Single game,Double A,Charlie Brown,Double A,21,15,,,,,Matt Spolarich,Owen Lippman,Charlie Freeman,Declan Brown
Group Stage,5.0 Open Premier/Bronze+,Group A,2,Single game,LL Come & Go,Rivals,LL Come & Go,21,16,,,,,Jake Mottershead,Mike Garrett,Henry Pilliod,Jake Hurst
Group Stage,5.0 Open Premier/Bronze+,Group A,2,Single game,Keener’s weeners and Sid’s kids,Special Teams,Special Teams,16,21,,,,,Tyler Keener,Sidney Mathues,Liam Keegan,Matthew Rodriguez
Group Stage,5.0 Open Premier/Bronze+,Group A,3,Single game,Double A,Keener’s weeners and Sid’s kids,Double A,21,18,,,,,Matt Spolarich,Owen Lippman,Tyler Keener,Sidney Mathues
Group Stage,5.0 Open Premier/Bronze+,Group A,3,Single game,LL Come & Go,Awex and Wiwey,Awex and Wiwey,19,21,,,,,Jake Mottershead,Mike Garrett,Riley Nassour,Alex Newton
Group Stage,5.0 Open Premier/Bronze+,Group A,3,Single game,Rivals,Charlie Brown,Rivals,21,12,,,,,Henry Pilliod,Jake Hurst,Charlie Freeman,Declan Brown
Group Stage,5.0 Open Premier/Bronze+,Group A,4,Single game,Double A,Rivals,Rivals,14,21,,,,,Matt Spolarich,Owen Lippman,Henry Pilliod,Jake Hurst
Group Stage,5.0 Open Premier/Bronze+,Group A,4,Single game,LL Come & Go,Special Teams,LL Come & Go,21,18,,,,,Jake Mottershead,Mike Garrett,Liam Keegan,Matthew Rodriguez
Group Stage,5.0 Open Premier/Bronze+,Group A,4,Single game,Awex and Wiwey,Charlie Brown,Awex and Wiwey,21,15,,,,,Riley Nassour,Alex Newton,Charlie Freeman,Declan Brown
Group Stage,5.0 Open Premier/Bronze+,Group A,5,Single game,LL Come & Go,Keener’s weeners and Sid’s kids,LL Come & Go,21,11,,,,,Jake Mottershead,Mike Garrett,Tyler Keener,Sidney Mathues
Group Stage,5.0 Open Premier/Bronze+,Group A,5,Single game,Awex and Wiwey,Rivals,Rivals,19,21,,,,,Riley Nassour,Alex Newton,Henry Pilliod,Jake Hurst
Group Stage,5.0 Open Premier/Bronze+,Group A,5,Single game,Charlie Brown,Special Teams,Charlie Brown,21,18,,,,,Charlie Freeman,Declan Brown,Liam Keegan,Matthew Rodriguez
Group Stage,5.0 Open Premier/Bronze+,Group A,6,Single game,Double A,Awex and Wiwey,Awex and Wiwey,18,21,,,,,Matt Spolarich,Owen Lippman,Riley Nassour,Alex Newton
Group Stage,5.0 Open Premier/Bronze+,Group A,6,Single game,Rivals,Special Teams,Rivals,21,11,,,,,Henry Pilliod,Jake Hurst,Liam Keegan,Matthew Rodriguez
Group Stage,5.0 Open Premier/Bronze+,Group A,6,Single game,Keener’s weeners and Sid’s kids,Charlie Brown,Charlie Brown,15,21,,,,,Tyler Keener,Sidney Mathues,Charlie Freeman,Declan Brown
Group Stage,5.0 Open Premier/Bronze+,Group A,7,Single game,Double A,LL Come & Go,Double A,21,17,,,,,Matt Spolarich,Owen Lippman,Jake Mottershead,Mike Garrett
Group Stage,5.0 Open Premier/Bronze+,Group A,7,Single game,Awex and Wiwey,Special Teams,Awex and Wiwey,21,13,,,,,Riley Nassour,Alex Newton,Liam Keegan,Matthew Rodriguez
Group Stage,5.0 Open Premier/Bronze+,Group A,7,Single game,Rivals,Keener’s weeners and Sid’s kids,Rivals,21,19,,,,,Henry Pilliod,Jake Hurst,Tyler Keener,Sidney Mathues
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Awex and Wiwey,Keener’s weeners and Sid’s kids,Awex and Wiwey,21,13,21,15,,,Riley Nassour,Alex Newton,Tyler Keener,Sidney Mathues
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Double A,Special Teams,Double A,21,12,21,18,,,Matt Spolarich,Owen Lippman,Liam Keegan,Matthew Rodriguez
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,LL Come & Go,Charlie Brown,LL Come & Go,21,14,21,16,,,Jake Mottershead,Mike Garrett,Charlie Freeman,Declan Brown
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Semi-final,Best of 3,Rivals,LL Come & Go,LL Come & Go,16,21,16,21,,,Henry Pilliod,Jake Hurst,Jake Mottershead,Mike Garrett
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Semi-final,Best of 3,Awex and Wiwey,Double A,Awex and Wiwey,27,25,21,16,,,Riley Nassour,Alex Newton,Matt Spolarich,Owen Lippman
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,P5: Semi-final,Best of 3,Special Teams,Keener’s weeners and Sid’s kids,Special Teams,0,-2,0,-2,,,Liam Keegan,Matthew Rodriguez,Tyler Keener,Sidney Mathues
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,Final,Best of 3,LL Come & Go,Awex and Wiwey,LL Come & Go,21,16,21,18,,,Jake Mottershead,Mike Garrett,Riley Nassour,Alex Newton
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,P3: Final,Best of 3,Double A,Rivals,Rivals,17,21,22,20,17,21,Matt Spolarich,Owen Lippman,Henry Pilliod,Jake Hurst
Bracket Stage,5.0 Open Premier/Bronze+,Bracket A,P5: Final,Best of 3,Charlie Brown,Special Teams,Special Teams,18,21,18,21,,,Charlie Freeman,Declan Brown,Liam Keegan,Matthew Rodriguez
Group Stage,Open 4.0+ (Contender),Group A,1,Single game,W.D.F.A.,Leah and Allie,W.D.F.A.,21,1,,,,,blake rock,Eoin O'Gara,Leah Petrore,Allison Minnier
Group Stage,Open 4.0+ (Contender),Group A,1,Single game,JtRoundnet,Passion project,JtRoundnet,21,10,,,,,Michael Moniz,John Mankowich,Axel Helfand,Patrick Gillespie
Group Stage,Open 4.0+ (Contender),Group A,1,Single game,Twin Peaks,Jaden Orewiler + Nick Moniz,Jaden Orewiler + Nick Moniz,16,21,,,,,Noah Malewicki,Jacob Lamontagne,jaden orewiler,Nicholas Moniz
Group Stage,Open 4.0+ (Contender),Group B,1,Single game,Salty Spikes,McKayla and Addy,Salty Spikes,21,6,,,,,Noah Lerner-Morelle,Kolton Knight,McKayla Orewiler,Addy Roemersma
Group Stage,Open 4.0+ (Contender),Group B,1,Single game,Gramp's and Unc,S-H,Gramp's and Unc,21,8,,,,,Robbie Koennecker,Henry Pleszkoch,alex M,Valencio Almborg-Perez
Group Stage,Open 4.0+ (Contender),Group B,1,Single game,Freak n' Tweak,2 Working Knees,Freak n' Tweak,21,17,,,,,Samuel Panek,Sreesai Katiki,Kaden Gratton,John Neuffer
Group Stage,Open 4.0+ (Contender),Group C,1,Single game,Trying Our Best,Incrediballs,Trying Our Best,21,4,,,,,Ethan Gabay,Michael Nelson,Abbie McCoy,evangelia hahalis
Group Stage,Open 4.0+ (Contender),Group C,1,Single game,Old and new,We Suck,Old and new,21,16,,,,,Nic Albornoz,Sam Kautzman,Pranav Ram,Josh Retzlaff
Group Stage,Open 4.0+ (Contender),Group C,1,Single game,AJ Yoon / Tyler Ruhl,Pete + Alex,Pete + Alex,13,21,,,,,AJ Yoon,Tyler Ruhl,Kaden Gratton,Peter Lanza
Group Stage,Open 4.0+ (Contender),Group D,1,Single game,SOLD,Have you met Ted?,SOLD,21,12,,,,,Michael Lin,Kyle Keenan,Alaina Althouse,Raylyn Tarquinio
Group Stage,Open 4.0+ (Contender),Group D,1,Single game,Spiked Pina Colada,Serenity,Spiked Pina Colada,21,8,,,,,Andrew Carmody,Richard Ahn,Walker Sherwin,Shawn Robertson
Group Stage,Open 4.0+ (Contender),Group D,1,Single game,Fresh Meat,D3 A,Fresh Meat,21,18,,,,,Kade Kulpinski,Ryan Shantz,Nicholas Puglisi,James Pollock
Group Stage,Open 4.0+ (Contender),Group E,1,Single game,"Ice cold ",2020 Montverde,"Ice cold ",21,17,,,,,Nathan Witmer,Christopher Brubaker,Taylor Nelson,Matthew Machmer
Group Stage,Open 4.0+ (Contender),Group E,1,Single game,"Net Prophets ",I'm a livin bucket,"Net Prophets ",21,16,,,,,Drew Weaver,Matthew Mesaros,Nathan Leandri,Jake Hallinan
Group Stage,Open 4.0+ (Contender),Group A,2,Single game,W.D.F.A.,Passion project,W.D.F.A.,21,13,,,,,blake rock,Eoin O'Gara,Axel Helfand,Patrick Gillespie
Group Stage,Open 4.0+ (Contender),Group A,2,Single game,JtRoundnet,Twin Peaks,JtRoundnet,21,13,,,,,Michael Moniz,John Mankowich,Noah Malewicki,Jacob Lamontagne
Group Stage,Open 4.0+ (Contender),Group A,2,Single game,Jaden Orewiler + Nick Moniz,Leah and Allie,Jaden Orewiler + Nick Moniz,21,5,,,,,jaden orewiler,Nicholas Moniz,Leah Petrore,Allison Minnier
Group Stage,Open 4.0+ (Contender),Group B,2,Single game,Salty Spikes,S-H,Salty Spikes,21,12,,,,,Noah Lerner-Morelle,Kolton Knight,alex M,Valencio Almborg-Perez
Group Stage,Open 4.0+ (Contender),Group B,2,Single game,Gramp's and Unc,Freak n' Tweak,Gramp's and Unc,21,12,,,,,Robbie Koennecker,Henry Pleszkoch,Samuel Panek,Sreesai Katiki
Group Stage,Open 4.0+ (Contender),Group B,2,Single game,2 Working Knees,McKayla and Addy,2 Working Knees,21,7,,,,,Kaden Gratton,John Neuffer,McKayla Orewiler,Addy Roemersma
Group Stage,Open 4.0+ (Contender),Group C,2,Single game,Trying Our Best,We Suck,Trying Our Best,21,14,,,,,Ethan Gabay,Michael Nelson,Pranav Ram,Josh Retzlaff
Group Stage,Open 4.0+ (Contender),Group C,2,Single game,Old and new,AJ Yoon / Tyler Ruhl,Old and new,21,13,,,,,Nic Albornoz,Sam Kautzman,AJ Yoon,Tyler Ruhl
Group Stage,Open 4.0+ (Contender),Group C,2,Single game,Pete + Alex,Incrediballs,Pete + Alex,21,12,,,,,Kaden Gratton,Peter Lanza,Abbie McCoy,evangelia hahalis
Group Stage,Open 4.0+ (Contender),Group D,2,Single game,SOLD,Serenity,SOLD,21,12,,,,,Michael Lin,Kyle Keenan,Walker Sherwin,Shawn Robertson
