Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Recreational (2.0-3.0),Group A,1,Single game,Bennie and The Nets,The spikeheim,The spikeheim,14,21,,,,,Ben Porter,Crispin Hilliard,Tanner Strausheim,Kennedy Strausheim
Group Stage,Recreational (2.0-3.0),Group A,1,Single game,Friz,POSTed Up,Friz,23,21,,,,,James Smith,Elizabeth Smith,Gabriel Hyde,Noah Larchick
Group Stage,Recreational (2.0-3.0),Group B,1,Single game,Dogs Out,We’re BA,We’re BA,10,21,,,,,Helena Lee,Faith Lee,Abby Lans,Brayden Lans
Group Stage,Recreational (2.0-3.0),Group B,1,Single game,Fascial whhhip,twin towerz,Fascial whhhip,21,9,,,,,Matt Cardell,Bradley Byrne,Jillian Kuizenga,Sam snyder
Group Stage,Recreational (2.0-3.0),Group A,2,Single game,Bennie and The Nets,POSTed Up,POSTed Up,19,21,,,,,Ben Porter,Crispin Hilliard,Gabriel Hyde,Noah Larchick
Group Stage,Recreational (2.0-3.0),Group A,2,Single game,Shugas Spikers,The spikeheim,Shugas Spikers,21,19,,,,,Caleb Caulk,Tyler Brown,Tanner Strausheim,Kennedy Strausheim
Group Stage,Recreational (2.0-3.0),Group B,2,Single game,Dogs Out,twin towerz,Dogs Out,21,19,,,,,Helena Lee,Faith Lee,Jillian Kuizenga,Sam snyder
Group Stage,Recreational (2.0-3.0),Group B,2,Single game,Hard Rockers,We’re BA,Hard Rockers,21,6,,,,,Noah Dwyer,Caleb Huxford,Abby Lans,Brayden Lans
Group Stage,Recreational (2.0-3.0),Group A,3,Single game,Bennie and The Nets,Shugas Spikers,Shugas Spikers,13,21,,,,,Ben Porter,Crispin Hilliard,Caleb Caulk,Tyler Brown
Group Stage,Recreational (2.0-3.0),Group A,3,Single game,Friz,The spikeheim,Friz,21,18,,,,,James Smith,Elizabeth Smith,Tanner Strausheim,Kennedy Strausheim
Group Stage,Recreational (2.0-3.0),Group B,3,Single game,Dogs Out,Hard Rockers,Hard Rockers,3,21,,,,,Helena Lee,Faith Lee,Noah Dwyer,Caleb Huxford
