Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,2.0-3.0 Recreational,Group A,1,Single game,Double Ace,Comin for a Jam,Comin for a Jam,18,21,,,,,Ainsley Barlow,Alanna Smart,Samuel Comin,James VanDam
Pool Play,2.0-3.0 Recreational,Group A,1,Single game,VegasBoyz,NARPS,VegasBoyz,21,12,,,,,Caleb Scow,Benjamin Scow,Trevor Davis,DANIEL LACEY
Pool Play,2.0-3.0 Recreational,Group A,2,Single game,Double Ace,NARPS,NARPS,7,21,,,,,Ainsley Barlow,Alanna Smart,Trevor Davis,DANIEL LACEY
Pool Play,2.0-3.0 Recreational,Group A,2,Single game,Big Blue Spikes Back,Comin for a Jam,Big Blue Spikes Back,21,12,,,,,Garrett Lawton,Lauren Zaleski,Samuel Comin,James VanDam
Pool Play,2.0-3.0 Recreational,Group A,3,Single game,Double Ace,Big Blue Spikes Back,Big Blue Spikes Back,10,21,,,,,Ainsley Barlow,Alanna Smart,Garrett Lawton,Lauren Zaleski
Pool Play,2.0-3.0 Recreational,Group A,3,Single game,VegasBoyz,Comin for a Jam,VegasBoyz,21,13,,,,,Caleb Scow,Benjamin Scow,Samuel Comin,James VanDam
Pool Play,2.0-3.0 Recreational,Group A,4,Single game,VegasBoyz,Big Blue Spikes Back,Big Blue Spikes Back,16,21,,,,,Caleb Scow,Benjamin Scow,Garrett Lawton,Lauren Zaleski
Pool Play,2.0-3.0 Recreational,Group A,4,Single game,NARPS,Comin for a Jam,NARPS,21,14,,,,,Trevor Davis,DANIEL LACEY,Samuel Comin,James VanDam
Pool Play,2.0-3.0 Recreational,Group A,5,Single game,Double Ace,VegasBoyz,VegasBoyz,7,21,,,,,Ainsley Barlow,Alanna Smart,Caleb Scow,Benjamin Scow
Pool Play,2.0-3.0 Recreational,Group A,5,Single game,Big Blue Spikes Back,NARPS,NARPS,17,21,,,,,Garrett Lawton,Lauren Zaleski,Trevor Davis,DANIEL LACEY
Bracket Stage,2.0-3.0 Recreational,Bracket A,Quarter-final,Best of 3,Comin for a Jam,Double Ace,Comin for a Jam,21,15,21,15,,,Samuel Comin,James VanDam,Ainsley Barlow,Alanna Smart
Bracket Stage,2.0-3.0 Recreational,Bracket A,Semi-final,Best of 3,VegasBoyz,Comin for a Jam,VegasBoyz,21,13,21,16,,,Caleb Scow,Benjamin Scow,Samuel Comin,James VanDam
Bracket Stage,2.0-3.0 Recreational,Bracket A,Semi-final,Best of 3,Big Blue Spikes Back,NARPS,Big Blue Spikes Back,21,18,17,21,15,11,Garrett Lawton,Lauren Zaleski,Trevor Davis,DANIEL LACEY
Bracket Stage,2.0-3.0 Recreational,Bracket A,Winners final,Best of 3,VegasBoyz,Big Blue Spikes Back,VegasBoyz,21,12,20,22,15,13,Caleb Scow,Benjamin Scow,Garrett Lawton,Lauren Zaleski
Bracket Stage,2.0-3.0 Recreational,Bracket A,Losers SF,Best of 3,NARPS,Double Ace,NARPS,21,7,21,11,,,Trevor Davis,DANIEL LACEY,Ainsley Barlow,Alanna Smart
Bracket Stage,2.0-3.0 Recreational,Bracket A,Losers Minor Final,Best of 3,NARPS,Comin for a Jam,NARPS,21,13,21,10,,,Trevor Davis,DANIEL LACEY,Samuel Comin,James VanDam
Pool Play,4.0 Challenger,Group A,1,Single game,Slammo Roundnet,Isaac and Luke,Isaac and Luke,11,21,,,,,Daniel Wight,Becca Feller,Luke Hatch,Isaac Greding
Pool Play,4.0 Challenger,Group A,1,Single game,Rim Reapers,Ball Busters,Rim Reapers,21,5,,,,,Scotty Cutler,Taylor Cutler,Samuel Barton,Davis Finch
Pool Play,4.0 Challenger,Group A,1,Single game,Como Se Juega,The Empire Spikes Back,The Empire Spikes Back,9,21,,,,,Nathan Brueck,Adam Brueck,Justin Tobin,Ben Hansen
Pool Play,4.0 Challenger,Group B,1,Single game,Stockton Set Malone,Team Lobster,Stockton Set Malone,21,18,,,,,David Okerlund,Tyson Lutz,Matthew Misener,Aldon Martin
Pool Play,4.0 Challenger,Group B,1,Single game,No Name,Beasty Boys,No Name,21,19,,,,,Braydon Hunt,Toby Hunt,Logan Cluff,Dylan Ison
Pool Play,4.0 Challenger,Group A,2,Single game,Slammo Roundnet,Ball Busters,Slammo Roundnet,21,12,,,,,Daniel Wight,Becca Feller,Samuel Barton,Davis Finch
Pool Play,4.0 Challenger,Group A,2,Single game,Rim Reapers,Como Se Juega,Rim Reapers,21,17,,,,,Scotty Cutler,Taylor Cutler,Nathan Brueck,Adam Brueck
Pool Play,4.0 Challenger,Group A,2,Single game,The Empire Spikes Back,Isaac and Luke,Isaac and Luke,11,21,,,,,Justin Tobin,Ben Hansen,Luke Hatch,Isaac Greding
