tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
gwr26may,Open 4.0+ Advanced,Pool,Squad Jacob,Squad Sean,Ben Dantowitz,Jon Starfeldt,Shyam Patel,Zachary Small,13,21
gwr26may,Open 4.0+ Advanced,Pool,Squad Sean,Squad Jacob,Sean Santos,Isaac Bloom,Charlotte Jones,Jacob Arzaga,7,21
gwr26may,Open 4.0+ Advanced,Pool,Squad Owen,Squad Brian,Riley Chenard,Richard Bailey,Samuel Marcus,lauren viado,21,18
gwr26may,Open 4.0+ Advanced,Pool,Squad Brian,Squad Owen,Thomas Ross,Brian Perlson,Bel Belvedere,Owen Wallace,21,19
gwr26may,Open 4.0+ Advanced,Pool,Tiebreaker Brian/Jacob,Tiebreaker Sean/Owen,Ryland Holdren,Logan Coffelt,Soren Brown,Charlie Labarge,8,21
gwr26may,Open 4.0+ Advanced,Pool,Squad Brian,Squad Sean,Thomas Ross,lauren viado,Soren Brown,Shyam Patel,11,21
gwr26may,Open 4.0+ Advanced,Pool,Squad Jacob,Squad Owen,Ben Dantowitz,Jacob Arzaga,Owen Wallace,Riley Chenard,21,15
gwr26may,Open 4.0+ Advanced,Pool,Squad Jacob,Squad Owen,Charlotte Jones,Logan Coffelt,Charlie Labarge,Bel Belvedere,19,21
gwr26may,Open 4.0+ Advanced,Pool,Squad Brian,Squad Sean,Brian Perlson,Ryland Holdren,Sean Santos,Zachary Small,15,21
gwr26may,Open 4.0+ Advanced,Pool,Tiebreaker Sean/Jacob,Tiebreaker Brian/Owen,Jon Starfeldt,Isaac Bloom,Samuel Marcus,Richard Bailey,17,21
gwr26may,Open 4.0+ Advanced,Pool,Squad Owen,Squad Sean,Soren Brown,Zachary Small,Charlie Labarge,Richard Bailey,21,4
gwr26may,Open 4.0+ Advanced,Pool,Squad Brian,Squad Jacob,Ryland Holdren,lauren viado,Logan Coffelt,Paul Taylor,21,13
gwr26may,Open 4.0+ Advanced,Pool,Squad Brian,Squad Jacob,Samuel Marcus,Thomas Ross,Charlotte Jones,Jon Starfeldt,18,21
gwr26may,Open 4.0+ Advanced,Pool,Squad Owen,Squad Sean,Bel Belvedere,Riley Chenard,Shyam Patel,Isaac Bloom,19,21
gwr26may,Open 4.0+ Advanced,Pool,Tiebreaker Jacob/Owen,Tiebreaker Sean/Brian,Sean Santos,Brian Perlson,Owen Wallace,Jacob Arzaga,19,21
gwr26may,Open 4.0+ Advanced,Semi-final,Squad Owen,Squad Brian,Riley Chenard,Charlie Labarge,Ryland Holdren,lauren viado,21,12
gwr26may,Open 4.0+ Advanced,Semi-final,Squad Owen ,Squad Brian,Owen Wallace,Richard Bailey,Brian Perlson,Samuel Marcus,21,16
gwr26may,Open 4.0+ Advanced,Semi-final,Squad Jacob,Squad Sean,Jon Starfeldt,Paul Taylor,Soren Brown,Isaac Bloom,11,21
gwr26may,Open 4.0+ Advanced,Semi-final,Squad Jacob,Squad Sean,Jacob Arzaga,Logan Coffelt,Sean Santos,Zachary Small,19,21
gwr26may,Open 4.0+ Advanced,Semi-final,Tiebreaker Owen/Jacob,Tiebreaker Brian/Sean,Bel Belvedere,Charlotte Jones,Shyam Patel,Thomas Ross,21,20
gwr26may,Open 4.0+ Advanced,Semi-final,Squad Brian,Squad Owen,Brian Perlson,Ryland Holdren,Charlie Labarge,Owen Wallace,20,21
