Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Contender,5.0 - Premier (avec NHZ),Group A,1,Single game,Gimme Boys,Éclipse,Gimme Boys,15,7,,,,,Maxime Prince,Guillaume Bilodeau,Olivier Mallette,Pierre-André Gaumond
Contender,5.0 - Premier (avec NHZ),Group A,1,Single game,Crotte de moineau,LSRS gangsters,LSRS gangsters,10,15,,,,,Xavier Lambert,William Garant,Yannick Serres,Alexandre Lamarre
Contender,5.0 - Premier (avec NHZ),Group B,1,Single game,TERREBONNE OGs,Package Brain 🧠,TERREBONNE OGs,15,6,,,,,Matou Pitchou,Théophane Frémond-Guilbault,Olivier Raymond,Léo Guérin-Morneau
Contender,5.0 - Premier (avec NHZ),Group A,2,Single game,Gimme Boys,LSRS gangsters,Gimme Boys,15,8,,,,,Maxime Prince,Guillaume Bilodeau,Yannick Serres,Alexandre Lamarre
Contender,5.0 - Premier (avec NHZ),Group A,2,Single game,Clueless,Éclipse,Clueless,15,11,,,,,Jasmin-Long Najim,Alexandre Vaillancourt,Olivier Mallette,Pierre-André Gaumond
Contender,5.0 - Premier (avec NHZ),Group B,2,Single game,TERREBONNE OGs,Super Nannies,TERREBONNE OGs,15,6,,,,,Matou Pitchou,Théophane Frémond-Guilbault,Clement Lavice,Simon Arseneau
Contender,5.0 - Premier (avec NHZ),Group A,3,Single game,Gimme Boys,Clueless,Gimme Boys,15,11,,,,,Maxime Prince,Guillaume Bilodeau,Jasmin-Long Najim,Alexandre Vaillancourt
Contender,5.0 - Premier (avec NHZ),Group A,3,Single game,Crotte de moineau,Éclipse,Crotte de moineau,15,12,,,,,Xavier Lambert,William Garant,Olivier Mallette,Pierre-André Gaumond
Contender,5.0 - Premier (avec NHZ),Group A,4,Single game,Crotte de moineau,Clueless,Crotte de moineau,15,8,,,,,Xavier Lambert,William Garant,Jasmin-Long Najim,Alexandre Vaillancourt
Contender,5.0 - Premier (avec NHZ),Group A,4,Single game,LSRS gangsters,Éclipse,LSRS gangsters,17,15,,,,,Yannick Serres,Alexandre Lamarre,Olivier Mallette,Pierre-André Gaumond
Contender,5.0 - Premier (avec NHZ),Group A,5,Single game,Gimme Boys,Crotte de moineau,Gimme Boys,15,8,,,,,Maxime Prince,Guillaume Bilodeau,Xavier Lambert,William Garant
Contender,5.0 - Premier (avec NHZ),Group A,6,Single game,Gimme Boys,Éclipse,Gimme Boys,15,8,,,,,Maxime Prince,Guillaume Bilodeau,Olivier Mallette,Pierre-André Gaumond
Contender,5.0 - Premier (avec NHZ),Group A,6,Single game,Crotte de moineau,LSRS gangsters,Crotte de moineau,15,3,,,,,Xavier Lambert,William Garant,Yannick Serres,Alexandre Lamarre
Contender,5.0 - Premier (avec NHZ),Group A,7,Single game,Gimme Boys,LSRS gangsters,Gimme Boys,15,9,,,,,Maxime Prince,Guillaume Bilodeau,Yannick Serres,Alexandre Lamarre
Contender,5.0 - Premier (avec NHZ),Group A,7,Single game,Clueless,Éclipse,Clueless,15,8,,,,,Jasmin-Long Najim,Alexandre Vaillancourt,Olivier Mallette,Pierre-André Gaumond
Contender,5.0 - Premier (avec NHZ),Group A,8,Single game,Gimme Boys,Clueless,Gimme Boys,15,6,,,,,Maxime Prince,Guillaume Bilodeau,Jasmin-Long Najim,Alexandre Vaillancourt
Contender,5.0 - Premier (avec NHZ),Group A,8,Single game,Crotte de moineau,Éclipse,Crotte de moineau,15,8,,,,,Xavier Lambert,William Garant,Olivier Mallette,Pierre-André Gaumond
