Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Bronze+/Premier (4.5+),Group A,1,Single game,Soulmates,Grant Marshall,Soulmates,21,11,,,,,Dallin James,Eddy Leung,Joshua Grant,Jacob Marshall
Group Stage,Bronze+/Premier (4.5+),Group A,1,Single game,Cavemen,Hit List,Cavemen,21,17,,,,,Jensen Elsemore,Sam Clarke,Erick Ostheimer,Kavan Dharia
Group Stage,Bronze+/Premier (4.5+),Group B,1,Single game,Malgorithm,The Lefties,The Lefties,15,17,,,,,Conner Bradshaw,Nolan Wynkoop,Will Melhorn,Max Nice
Group Stage,Bronze+/Premier (4.5+),Group B,1,Single game,Groovy,Firewall,Firewall,15,17,,,,,Will Ries,Carlin Vicera,Zachary Abas,Josh Wozniak
Group Stage,Bronze+/Premier (4.5+),Group A,2,Single game,Soulmates,Hit List,Hit List,22,24,,,,,Dallin James,Eddy Leung,Erick Ostheimer,Kavan Dharia
Group Stage,Bronze+/Premier (4.5+),Group A,2,Single game,Cookin & Smokin,Grant Marshall,Cookin & Smokin,21,18,,,,,Jason Xu,Sougat Pradhan,Joshua Grant,Jacob Marshall
Group Stage,Bronze+/Premier (4.5+),Group B,2,Single game,Malgorithm,Firewall,Malgorithm,17,8,,,,,Conner Bradshaw,Nolan Wynkoop,Zachary Abas,Josh Wozniak
Group Stage,Bronze+/Premier (4.5+),Group B,2,Single game,Groovy,The Lefties,The Lefties,15,17,,,,,Will Ries,Carlin Vicera,Will Melhorn,Max Nice
Group Stage,Bronze+/Premier (4.5+),Group A,3,Single game,Soulmates,Cookin & Smokin,Soulmates,21,16,,,,,Dallin James,Eddy Leung,Jason Xu,Sougat Pradhan
Group Stage,Bronze+/Premier (4.5+),Group A,3,Single game,Cavemen,Grant Marshall,Cavemen,21,15,,,,,Jensen Elsemore,Sam Clarke,Joshua Grant,Jacob Marshall
Group Stage,Bronze+/Premier (4.5+),Group B,3,Single game,Malgorithm,Groovy,Groovy,10,17,,,,,Conner Bradshaw,Nolan Wynkoop,Will Ries,Carlin Vicera
Group Stage,Bronze+/Premier (4.5+),Group B,3,Single game,Firewall,The Lefties,The Lefties,14,17,,,,,Zachary Abas,Josh Wozniak,Will Melhorn,Max Nice
Group Stage,Bronze+/Premier (4.5+),Group A,4,Single game,Cavemen,Cookin & Smokin,Cavemen,21,15,,,,,Jensen Elsemore,Sam Clarke,Jason Xu,Sougat Pradhan
Group Stage,Bronze+/Premier (4.5+),Group A,4,Single game,Hit List,Grant Marshall,Hit List,21,16,,,,,Erick Ostheimer,Kavan Dharia,Joshua Grant,Jacob Marshall
Group Stage,Bronze+/Premier (4.5+),Group A,5,Single game,Soulmates,Cavemen,Soulmates,21,19,,,,,Dallin James,Eddy Leung,Jensen Elsemore,Sam Clarke
Group Stage,Bronze+/Premier (4.5+),Group A,5,Single game,Cookin & Smokin,Hit List,Cookin & Smokin,21,19,,,,,Jason Xu,Sougat Pradhan,Erick Ostheimer,Kavan Dharia
Group Stage,Bronze+/Premier (4.5+),Group B,4,Single game,Malgorithm,The Lefties,Malgorithm,17,9,,,,,Conner Bradshaw,Nolan Wynkoop,Will Melhorn,Max Nice
Group Stage,Bronze+/Premier (4.5+),Group B,4,Single game,Groovy,Firewall,Groovy,17,8,,,,,Will Ries,Carlin Vicera,Zachary Abas,Josh Wozniak
Group Stage,Bronze+/Premier (4.5+),Group B,5,Single game,Malgorithm,Firewall,Malgorithm,17,9,,,,,Conner Bradshaw,Nolan Wynkoop,Zachary Abas,Josh Wozniak
Group Stage,Bronze+/Premier (4.5+),Group B,5,Single game,Groovy,The Lefties,Groovy,17,12,,,,,Will Ries,Carlin Vicera,Will Melhorn,Max Nice
Group Stage,Bronze+/Premier (4.5+),Group B,6,Single game,Malgorithm,Groovy,Malgorithm,17,10,,,,,Conner Bradshaw,Nolan Wynkoop,Will Ries,Carlin Vicera
Group Stage,Bronze+/Premier (4.5+),Group B,6,Single game,Firewall,The Lefties,The Lefties,11,17,,,,,Zachary Abas,Josh Wozniak,Will Melhorn,Max Nice
Bracket Stage,Bronze+/Premier (4.5+),Bracket A,Round of 16,Best of 3,Firewall,Grant Marshall,Firewall,21,17,21,12,,,Zachary Abas,Josh Wozniak,Joshua Grant,Jacob Marshall
Bracket Stage,Bronze+/Premier (4.5+),Bracket A,Quarter-final,Best of 3,Soulmates,Firewall,Soulmates,21,11,21,19,,,Dallin James,Eddy Leung,Zachary Abas,Josh Wozniak
