Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Expert(4.5+),Group A,1,Single game,Señor Frogs 🐸,Chaverim,Señor Frogs 🐸,17,6,,,,,Colin Hobart,Joey Reynolds,Ari Rosen,Samuel Korol
Group Stage,Expert(4.5+),Group A,1,Single game,Abu Ghareeb Nawaz,Revised Retired,Abu Ghareeb Nawaz,17,13,,,,,Tab Dayani,Tahseen Robbani,Jacob Yoo,Louie Simbajon
Group Stage,Expert(4.5+),Group A,1,Single game,Caught In 4K,"Visual Hinder ","Visual Hinder ",14,17,,,,,Daniel Gutierrez,Luke Nemec,Justin Kohl,Joey Lu
Group Stage,Expert(4.5+),Group B,1,Single game,The Emergency Room,Scotch or Regular?,The Emergency Room,17,5,,,,,Adam Weiss,Rohil Senapati,Joel Yang,Jason Inumerable
Group Stage,Expert(4.5+),Group B,1,Single game,Jacob and his Friend,Bring back boomball,Jacob and his Friend,17,14,,,,,Korbin Thompson,Jacob Purser,John Breum,Kenny Velu
Group Stage,Expert(4.5+),Group B,1,Single game,Lefties Are People Too,Jolly Ranchers,Lefties Are People Too,17,15,,,,,Matthew Greathouse,Wyatt Semke,Shane Hosty,Jacob Tallian
Group Stage,Expert(4.5+),Group A,2,Single game,Señor Frogs 🐸,Revised Retired,Señor Frogs 🐸,17,13,,,,,Colin Hobart,Joey Reynolds,Jacob Yoo,Louie Simbajon
Group Stage,Expert(4.5+),Group A,2,Single game,Abu Ghareeb Nawaz,wdym this isn't byob,Abu Ghareeb Nawaz,17,3,,,,,Tab Dayani,Tahseen Robbani,Jaeden Hannus,Johnnie Teng
Group Stage,Expert(4.5+),Group A,2,Single game,"Visual Hinder ",Chaverim,"Visual Hinder ",18,16,,,,,Justin Kohl,Joey Lu,Ari Rosen,Samuel Korol
Group Stage,Expert(4.5+),Group B,2,Single game,The Emergency Room,Bring back boomball,The Emergency Room,17,13,,,,,Adam Weiss,Rohil Senapati,John Breum,Kenny Velu
