Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Expert(4.5+),Group A,1,Single game,Chorn on the Cob,vg_sr,Chorn on the Cob,21,0,,,,,Clifford Amadeo LeVeque,Chris Wilkins,Vishwesswaran Gopal,Rakesh Selvaraj
Pool Play,Expert(4.5+),Group A,1,Single game,24 and Me,Righty Tighty Lefty Loosey,24 and Me,21,13,,,,,Louie Simbajon,Joey Reynolds,Jeremy Illut,Daniel Gutierrez
Pool Play,Expert(4.5+),Group A,1,Single game,Brown Boys,headband homies,Brown Boys,21,13,,,,,Andrew Perez,Kenny Velu,Andrea Schwarz,Matthew Greathouse
Pool Play,Expert(4.5+),Group B,1,Single game,Bow Bow Bow,Natural Shooters,Bow Bow Bow,21,7,,,,,Neal Bergman,Mitch Kelley,Luke Nemec,Emmanuel Nodal
Pool Play,Expert(4.5+),Group B,1,Single game,Revised Bastio,broken schnoz,Revised Bastio,21,11,,,,,Colin Hobart,Gavin Broekema,Sam Greathouse,Drew Schwarz
Pool Play,Expert(4.5+),Group B,1,Single game,Ws Only,Ankle biters,Ankle biters,17,21,,,,,Will Stiefbold,Wyatt Semke,Tahseen Robbani,Jason Inumerable
Pool Play,Expert(4.5+),Group A,2,Single game,Chorn on the Cob,Righty Tighty Lefty Loosey,Chorn on the Cob,21,17,,,,,Clifford Amadeo LeVeque,Chris Wilkins,Jeremy Illut,Daniel Gutierrez
Pool Play,Expert(4.5+),Group A,2,Single game,24 and Me,Brown Boys,24 and Me,21,18,,,,,Louie Simbajon,Joey Reynolds,Andrew Perez,Kenny Velu
Pool Play,Expert(4.5+),Group A,2,Single game,headband homies,vg_sr,headband homies,21,0,,,,,Andrea Schwarz,Matthew Greathouse,Vishwesswaran Gopal,Rakesh Selvaraj
Pool Play,Expert(4.5+),Group B,2,Single game,Bow Bow Bow,broken schnoz,Bow Bow Bow,21,13,,,,,Neal Bergman,Mitch Kelley,Sam Greathouse,Drew Schwarz
Pool Play,Expert(4.5+),Group B,2,Single game,Revised Bastio,Ws Only,Revised Bastio,21,15,,,,,Colin Hobart,Gavin Broekema,Will Stiefbold,Wyatt Semke
Pool Play,Expert(4.5+),Group B,2,Single game,Ankle biters,Natural Shooters,Ankle biters,21,18,,,,,Tahseen Robbani,Jason Inumerable,Luke Nemec,Emmanuel Nodal
Pool Play,Expert(4.5+),Group A,3,Single game,Chorn on the Cob,headband homies,Chorn on the Cob,21,13,,,,,Clifford Amadeo LeVeque,Chris Wilkins,Andrea Schwarz,Matthew Greathouse
Pool Play,Expert(4.5+),Group A,3,Single game,24 and Me,vg_sr,24 and Me,21,0,,,,,Louie Simbajon,Joey Reynolds,Vishwesswaran Gopal,Rakesh Selvaraj
Pool Play,Expert(4.5+),Group A,3,Single game,Brown Boys,Righty Tighty Lefty Loosey,Brown Boys,21,18,,,,,Andrew Perez,Kenny Velu,Jeremy Illut,Daniel Gutierrez
Pool Play,Expert(4.5+),Group B,3,Single game,Bow Bow Bow,Ankle biters,Bow Bow Bow,21,10,,,,,Neal Bergman,Mitch Kelley,Tahseen Robbani,Jason Inumerable
Pool Play,Expert(4.5+),Group B,3,Single game,Revised Bastio,Natural Shooters,Revised Bastio,21,12,,,,,Colin Hobart,Gavin Broekema,Luke Nemec,Emmanuel Nodal
Pool Play,Expert(4.5+),Group B,3,Single game,Ws Only,broken schnoz,broken schnoz,18,21,,,,,Will Stiefbold,Wyatt Semke,Sam Greathouse,Drew Schwarz
Pool Play,Expert(4.5+),Group A,4,Single game,Chorn on the Cob,Brown Boys,Chorn on the Cob,21,14,,,,,Clifford Amadeo LeVeque,Chris Wilkins,Andrew Perez,Kenny Velu
Pool Play,Expert(4.5+),Group A,4,Single game,24 and Me,headband homies,24 and Me,21,17,,,,,Louie Simbajon,Joey Reynolds,Andrea Schwarz,Matthew Greathouse
Pool Play,Expert(4.5+),Group A,4,Single game,Righty Tighty Lefty Loosey,vg_sr,Righty Tighty Lefty Loosey,21,1,,,,,Jeremy Illut,Daniel Gutierrez,Vishwesswaran Gopal,Rakesh Selvaraj
Pool Play,Expert(4.5+),Group B,4,Single game,Bow Bow Bow,Ws Only,Bow Bow Bow,21,13,,,,,Neal Bergman,Mitch Kelley,Will Stiefbold,Wyatt Semke
Pool Play,Expert(4.5+),Group B,4,Single game,Revised Bastio,Ankle biters,Ankle biters,24,25,,,,,Colin Hobart,Gavin Broekema,Tahseen Robbani,Jason Inumerable
Pool Play,Expert(4.5+),Group B,4,Single game,broken schnoz,Natural Shooters,broken schnoz,21,18,,,,,Sam Greathouse,Drew Schwarz,Luke Nemec,Emmanuel Nodal
