Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Advanced/Expert (3.5-4.5),Group A,1,Single game,Grip it and Rip it,"Tag, you’re it!",Grip it and Rip it,15,6,,,,,Jared Kula,Jason Hovarter,Anna Tagarelli,Carly Weber
Group Stage,Advanced/Expert (3.5-4.5),Group A,1,Single game,Counter Spike,Swiss Spikemen,Counter Spike,15,6,,,,,Wally Scherer,Evan Burkstrand,Keith Kallmes,Kevin Kallmes
Group Stage,Advanced/Expert (3.5-4.5),Group B,1,Single game,Out of Pace,Dinguses,Out of Pace,21,9,,,,,Colten Pace,Taaron Rudzitis,Cort Isaacs,Jace Isaacs
Group Stage,Advanced/Expert (3.5-4.5),Group B,1,Single game,"Good Luck, Babe",Gotta Have Naz Reid,"Good Luck, Babe",21,7,,,,,Ally Kula,Kyle Maher,Evan Kraljic,Brady Balhorn
Group Stage,Advanced/Expert (3.5-4.5),Group A,2,Single game,Grip it and Rip it,Swiss Spikemen,Grip it and Rip it,15,10,,,,,Jared Kula,Jason Hovarter,Keith Kallmes,Kevin Kallmes
Group Stage,Advanced/Expert (3.5-4.5),Group A,2,Single game,Pickle Chips,"Tag, you’re it!",Pickle Chips,15,6,,,,,Max Illetschko,Toby Ryberg,Anna Tagarelli,Carly Weber
Group Stage,Advanced/Expert (3.5-4.5),Group B,2,Single game,Out of Pace,Gotta Have Naz Reid,Out of Pace,21,15,,,,,Colten Pace,Taaron Rudzitis,Evan Kraljic,Brady Balhorn
Group Stage,Advanced/Expert (3.5-4.5),Group B,2,Single game,"Good Luck, Babe",Dinguses,"Good Luck, Babe",21,18,,,,,Ally Kula,Kyle Maher,Cort Isaacs,Jace Isaacs
Group Stage,Advanced/Expert (3.5-4.5),Group A,3,Single game,Grip it and Rip it,Pickle Chips,Grip it and Rip it,15,11,,,,,Jared Kula,Jason Hovarter,Max Illetschko,Toby Ryberg
Group Stage,Advanced/Expert (3.5-4.5),Group A,3,Single game,Counter Spike,"Tag, you’re it!",Counter Spike,15,5,,,,,Wally Scherer,Evan Burkstrand,Anna Tagarelli,Carly Weber
Group Stage,Advanced/Expert (3.5-4.5),Group B,3,Single game,Out of Pace,"Good Luck, Babe","Good Luck, Babe",13,21,,,,,Colten Pace,Taaron Rudzitis,Ally Kula,Kyle Maher
Group Stage,Advanced/Expert (3.5-4.5),Group B,3,Single game,Gotta Have Naz Reid,Dinguses,Dinguses,15,21,,,,,Evan Kraljic,Brady Balhorn,Cort Isaacs,Jace Isaacs
Group Stage,Advanced/Expert (3.5-4.5),Group A,4,Single game,Counter Spike,Pickle Chips,Counter Spike,15,7,,,,,Wally Scherer,Evan Burkstrand,Max Illetschko,Toby Ryberg
Group Stage,Advanced/Expert (3.5-4.5),Group A,4,Single game,Swiss Spikemen,"Tag, you’re it!",Swiss Spikemen,15,7,,,,,Keith Kallmes,Kevin Kallmes,Anna Tagarelli,Carly Weber
Group Stage,Advanced/Expert (3.5-4.5),Group A,5,Single game,Grip it and Rip it,Counter Spike,Grip it and Rip it,15,10,,,,,Jared Kula,Jason Hovarter,Wally Scherer,Evan Burkstrand
Group Stage,Advanced/Expert (3.5-4.5),Group A,5,Single game,Pickle Chips,Swiss Spikemen,Swiss Spikemen,7,15,,,,,Max Illetschko,Toby Ryberg,Keith Kallmes,Kevin Kallmes
Bracket Stage,Advanced/Expert (3.5-4.5),Bracket A,Semi-final,Best of 3,Grip it and Rip it,Out of Pace,Grip it and Rip it,19,21,21,18,26,24,Jared Kula,Jason Hovarter,Colten Pace,Taaron Rudzitis
Bracket Stage,Advanced/Expert (3.5-4.5),Bracket A,Semi-final,Best of 3,"Good Luck, Babe",Counter Spike,"Good Luck, Babe",21,17,21,13,,,Ally Kula,Kyle Maher,Wally Scherer,Evan Burkstrand
Bracket Stage,Advanced/Expert (3.5-4.5),Bracket A,Final,Best of 3,Grip it and Rip it,"Good Luck, Babe",Grip it and Rip it,21,14,17,21,21,14,Jared Kula,Jason Hovarter,Ally Kula,Kyle Maher
Bracket Stage,Advanced/Expert (3.5-4.5),Bracket A,P3: Final,Best of 3,Counter Spike,Out of Pace,Out of Pace,21,19,15,21,17,21,Wally Scherer,Evan Burkstrand,Colten Pace,Taaron Rudzitis
Group Stage,Advanced/Expert (3.5-4.5),Group A,1,Single game,Swiss Spikemen,"Tag, you’re it!",Swiss Spikemen,21,6,,,,,Keith Kallmes,Kevin Kallmes,Anna Tagarelli,Carly Weber
Group Stage,Advanced/Expert (3.5-4.5),Group A,1,Single game,Pickle Chips,Gotta Have Naz Reid,Gotta Have Naz Reid,15,17,,,,,Max Illetschko,Toby Ryberg,Evan Kraljic,Brady Balhorn
Group Stage,Advanced/Expert (3.5-4.5),Group A,2,Single game,Swiss Spikemen,Gotta Have Naz Reid,Swiss Spikemen,21,15,,,,,Keith Kallmes,Kevin Kallmes,Evan Kraljic,Brady Balhorn
Group Stage,Advanced/Expert (3.5-4.5),Group A,2,Single game,Dinguses,"Tag, you’re it!",Dinguses,15,7,,,,,Cort Isaacs,Jace Isaacs,Anna Tagarelli,Carly Weber
Group Stage,Advanced/Expert (3.5-4.5),Group A,3,Single game,Swiss Spikemen,Dinguses,Dinguses,10,15,,,,,Keith Kallmes,Kevin Kallmes,Cort Isaacs,Jace Isaacs
Group Stage,Advanced/Expert (3.5-4.5),Group A,3,Single game,Pickle Chips,"Tag, you’re it!",Pickle Chips,15,6,,,,,Max Illetschko,Toby Ryberg,Anna Tagarelli,Carly Weber
Group Stage,Advanced/Expert (3.5-4.5),Group A,4,Single game,Pickle Chips,Dinguses,Dinguses,11,15,,,,,Max Illetschko,Toby Ryberg,Cort Isaacs,Jace Isaacs
Group Stage,Advanced/Expert (3.5-4.5),Group A,4,Single game,Gotta Have Naz Reid,"Tag, you’re it!",Gotta Have Naz Reid,21,8,,,,,Evan Kraljic,Brady Balhorn,Anna Tagarelli,Carly Weber
Group Stage,Advanced/Expert (3.5-4.5),Group A,5,Single game,Swiss Spikemen,Pickle Chips,Swiss Spikemen,15,10,,,,,Keith Kallmes,Kevin Kallmes,Max Illetschko,Toby Ryberg
Group Stage,Advanced/Expert (3.5-4.5),Group A,5,Single game,Dinguses,Gotta Have Naz Reid,Dinguses,22,20,,,,,Cort Isaacs,Jace Isaacs,Evan Kraljic,Brady Balhorn
