Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Expert (4.5),Group A,1,Single game,No Clue,In our LMNT,In our LMNT,9,15,,,,,Soren Peterson,Joren Rudzitis,Kyra Schoenfelder,Reid Pfutzenreuter
Group Stage,Expert (4.5),Group A,1,Single game,FREE WIN - tanking for free registration,Bapple Boys,FREE WIN - tanking for free registration,17,15,,,,,Max Illetschko,Jared Kula,Adam Ford,Jon Moe
Group Stage,Expert (4.5),Group B,1,Single game,Deeply pocketed,Sets with the boys,Deeply pocketed,21,6,,,,,Mack Carlson,Hayden Carlson,jake van wyk,Nick Banfield
Group Stage,Expert (4.5),Group B,1,Single game,Ryan/Brady,Not swiss spikemen,Ryan/Brady,21,3,,,,,Brady Van Straten,Ryan Neuman,Kevin Kallmes,A J
Group Stage,Expert (4.5),Group C,1,Single game,Hornicelli,Gone Fishing,Hornicelli,21,11,,,,,Aaron Appicelli,Tanner Hornung,Seth Young,Carly Weber
Group Stage,Expert (4.5),Group C,1,Single game,Shlee on da Shlaw,Friendly Reminder,Shlee on da Shlaw,21,11,,,,,Taaron Rudzitis,Joshua Lee,Toby Ryberg,Jace Isaacs
Group Stage,Expert (4.5),Group A,2,Single game,No Clue,Bapple Boys,Bapple Boys,14,16,,,,,Soren Peterson,Joren Rudzitis,Adam Ford,Jon Moe
Group Stage,Expert (4.5),Group A,2,Single game,FREE WIN - tanking for free registration,In our LMNT,In our LMNT,13,15,,,,,Max Illetschko,Jared Kula,Kyra Schoenfelder,Reid Pfutzenreuter
Group Stage,Expert (4.5),Group B,2,Single game,Deeply pocketed,Not swiss spikemen,Deeply pocketed,21,3,,,,,Mack Carlson,Hayden Carlson,Kevin Kallmes,A J
Group Stage,Expert (4.5),Group B,2,Single game,Jury Duty,Sets with the boys,Jury Duty,21,5,,,,,Joel Nielsen,Kyle Maher,jake van wyk,Nick Banfield
Group Stage,Expert (4.5),Group C,2,Single game,Hornicelli,Friendly Reminder,Hornicelli,21,18,,,,,Aaron Appicelli,Tanner Hornung,Toby Ryberg,Jace Isaacs
Group Stage,Expert (4.5),Group C,2,Single game,Burkstrand/Kula,Gone Fishing,Burkstrand/Kula,21,3,,,,,Ally Kula,Evan Burkstrand,Seth Young,Carly Weber
Group Stage,Expert (4.5),Group A,3,Single game,No Clue,FREE WIN - tanking for free registration,FREE WIN - tanking for free registration,13,15,,,,,Soren Peterson,Joren Rudzitis,Max Illetschko,Jared Kula
Group Stage,Expert (4.5),Group A,3,Single game,Bapple Boys,In our LMNT,In our LMNT,11,15,,,,,Adam Ford,Jon Moe,Kyra Schoenfelder,Reid Pfutzenreuter
Group Stage,Expert (4.5),Group B,3,Single game,Deeply pocketed,Jury Duty,Jury Duty,15,21,,,,,Mack Carlson,Hayden Carlson,Joel Nielsen,Kyle Maher
Group Stage,Expert (4.5),Group B,3,Single game,Ryan/Brady,Sets with the boys,Ryan/Brady,21,8,,,,,Brady Van Straten,Ryan Neuman,jake van wyk,Nick Banfield
Group Stage,Expert (4.5),Group C,3,Single game,Hornicelli,Burkstrand/Kula,Burkstrand/Kula,16,21,,,,,Aaron Appicelli,Tanner Hornung,Ally Kula,Evan Burkstrand
Group Stage,Expert (4.5),Group C,3,Single game,Shlee on da Shlaw,Gone Fishing,Shlee on da Shlaw,21,13,,,,,Taaron Rudzitis,Joshua Lee,Seth Young,Carly Weber
Group Stage,Expert (4.5),Group B,4,Single game,Ryan/Brady,Jury Duty,Jury Duty,15,21,,,,,Brady Van Straten,Ryan Neuman,Joel Nielsen,Kyle Maher
Group Stage,Expert (4.5),Group B,4,Single game,Not swiss spikemen,Sets with the boys,Sets with the boys,9,21,,,,,Kevin Kallmes,A J,jake van wyk,Nick Banfield
Group Stage,Expert (4.5),Group C,4,Single game,Shlee on da Shlaw,Burkstrand/Kula,Burkstrand/Kula,16,21,,,,,Taaron Rudzitis,Joshua Lee,Ally Kula,Evan Burkstrand
Group Stage,Expert (4.5),Group C,4,Single game,Friendly Reminder,Gone Fishing,Friendly Reminder,21,12,,,,,Toby Ryberg,Jace Isaacs,Seth Young,Carly Weber
Group Stage,Expert (4.5),Group B,5,Single game,Deeply pocketed,Ryan/Brady,Deeply pocketed,21,12,,,,,Mack Carlson,Hayden Carlson,Brady Van Straten,Ryan Neuman
