Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Premier/Bronze+,Group A,1,Single game,Limitless,Friendly Fire,Limitless,21,12,,,,,Aleks Essen,Ryan Marino,Austin Niles,Sam Aven
Group Stage,5.0 Premier/Bronze+,Group A,1,Single game,Lahar Drift,".......kidding, kidding, kidding",Lahar Drift,21,8,,,,,Korbin Thompson,Jack Drouare,Kai Zafren,Zach Carver
Group Stage,5.0 Premier/Bronze+,Group A,1,Single game,Living Water,Boomstick McDoom,Boomstick McDoom,15,21,,,,,Julia Timan,Grant Klapwijk,Jackson Wood,Taaron Rudzitis
Group Stage,5.0 Premier/Bronze+,Group B,1,Single game,FreeELO,Looks Maxed,FreeELO,21,3,,,,,Nick Evanko,Clifford Amadeo LeVeque,Samantha Barklow,Rob's Traveler
Group Stage,5.0 Premier/Bronze+,Group B,1,Single game,"Cumboblatted ",Jinx,"Cumboblatted ",21,18,,,,,Justin Barr,Tim Lacagnina,Noah Elconin,Charlie Cavallaro
Group Stage,5.0 Premier/Bronze+,Group A,2,Single game,Limitless,".......kidding, kidding, kidding",Limitless,21,11,,,,,Aleks Essen,Ryan Marino,Kai Zafren,Zach Carver
Group Stage,5.0 Premier/Bronze+,Group A,2,Single game,Lahar Drift,Living Water,Lahar Drift,21,11,,,,,Korbin Thompson,Jack Drouare,Julia Timan,Grant Klapwijk
Group Stage,5.0 Premier/Bronze+,Group A,2,Single game,Boomstick McDoom,Friendly Fire,Boomstick McDoom,21,15,,,,,Jackson Wood,Taaron Rudzitis,Austin Niles,Sam Aven
Group Stage,5.0 Premier/Bronze+,Group B,2,Single game,FreeELO,Jinx,FreeELO,21,18,,,,,Nick Evanko,Clifford Amadeo LeVeque,Noah Elconin,Charlie Cavallaro
Group Stage,5.0 Premier/Bronze+,Group B,2,Single game,#slay,Looks Maxed,#slay,21,10,,,,,Joanna Gould,Bradley Clark,Samantha Barklow,Rob's Traveler
Group Stage,5.0 Premier/Bronze+,Group A,3,Single game,Limitless,Boomstick McDoom,Limitless,21,10,,,,,Aleks Essen,Ryan Marino,Jackson Wood,Taaron Rudzitis
Group Stage,5.0 Premier/Bronze+,Group A,3,Single game,Lahar Drift,Friendly Fire,Friendly Fire,13,21,,,,,Korbin Thompson,Jack Drouare,Austin Niles,Sam Aven
Group Stage,5.0 Premier/Bronze+,Group A,3,Single game,Living Water,".......kidding, kidding, kidding",Living Water,21,18,,,,,Julia Timan,Grant Klapwijk,Kai Zafren,Zach Carver
Group Stage,5.0 Premier/Bronze+,Group B,3,Single game,FreeELO,#slay,FreeELO,21,10,,,,,Nick Evanko,Clifford Amadeo LeVeque,Joanna Gould,Bradley Clark
Group Stage,5.0 Premier/Bronze+,Group B,3,Single game,"Cumboblatted ",Looks Maxed,"Cumboblatted ",21,11,,,,,Justin Barr,Tim Lacagnina,Samantha Barklow,Rob's Traveler
Group Stage,5.0 Premier/Bronze+,Group A,4,Single game,Limitless,Living Water,Limitless,21,11,,,,,Aleks Essen,Ryan Marino,Julia Timan,Grant Klapwijk
Group Stage,5.0 Premier/Bronze+,Group A,4,Single game,Lahar Drift,Boomstick McDoom,Boomstick McDoom,18,21,,,,,Korbin Thompson,Jack Drouare,Jackson Wood,Taaron Rudzitis
Group Stage,5.0 Premier/Bronze+,Group A,4,Single game,".......kidding, kidding, kidding",Friendly Fire,Friendly Fire,14,21,,,,,Kai Zafren,Zach Carver,Austin Niles,Sam Aven
Group Stage,5.0 Premier/Bronze+,Group B,4,Single game,"Cumboblatted ",#slay,"Cumboblatted ",21,15,,,,,Justin Barr,Tim Lacagnina,Joanna Gould,Bradley Clark
Group Stage,5.0 Premier/Bronze+,Group B,4,Single game,Jinx,Looks Maxed,Jinx,21,15,,,,,Noah Elconin,Charlie Cavallaro,Samantha Barklow,Rob's Traveler
Group Stage,5.0 Premier/Bronze+,Group A,5,Single game,Limitless,Lahar Drift,Limitless,21,14,,,,,Aleks Essen,Ryan Marino,Korbin Thompson,Jack Drouare
Group Stage,5.0 Premier/Bronze+,Group A,5,Single game,Living Water,Friendly Fire,Living Water,21,19,,,,,Julia Timan,Grant Klapwijk,Austin Niles,Sam Aven
Group Stage,5.0 Premier/Bronze+,Group A,5,Single game,Boomstick McDoom,".......kidding, kidding, kidding",Boomstick McDoom,21,13,,,,,Jackson Wood,Taaron Rudzitis,Kai Zafren,Zach Carver
Group Stage,5.0 Premier/Bronze+,Group B,5,Single game,FreeELO,"Cumboblatted ","Cumboblatted ",24,25,,,,,Nick Evanko,Clifford Amadeo LeVeque,Justin Barr,Tim Lacagnina
Group Stage,5.0 Premier/Bronze+,Group B,5,Single game,#slay,Jinx,#slay,21,19,,,,,Joanna Gould,Bradley Clark,Noah Elconin,Charlie Cavallaro
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,Lahar Drift,".......kidding, kidding, kidding",Lahar Drift,21,15,21,11,,,Korbin Thompson,Jack Drouare,Kai Zafren,Zach Carver
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,Friendly Fire,Looks Maxed,Friendly Fire,21,15,21,18,,,Austin Niles,Sam Aven,Samantha Barklow,Rob's Traveler
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,Jinx,Living Water,Jinx,14,21,21,19,22,20,Noah Elconin,Charlie Cavallaro,Julia Timan,Grant Klapwijk
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Limitless,Jinx,Limitless,21,13,21,17,,,Aleks Essen,Ryan Marino,Noah Elconin,Charlie Cavallaro
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Quarter-final,Best of 3,"Cumboblatted ",Friendly Fire,"Cumboblatted ",21,18,21,16,,,Justin Barr,Tim Lacagnina,Austin Niles,Sam Aven
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Quarter-final,Best of 3,FreeELO,Lahar Drift,FreeELO,21,18,24,22,,,Nick Evanko,Clifford Amadeo LeVeque,Korbin Thompson,Jack Drouare
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Boomstick McDoom,#slay,Boomstick McDoom,21,13,21,19,,,Jackson Wood,Taaron Rudzitis,Joanna Gould,Bradley Clark
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Semi-final,Best of 3,Limitless,Boomstick McDoom,Limitless,21,18,21,16,,,Aleks Essen,Ryan Marino,Jackson Wood,Taaron Rudzitis
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Semi-final,Best of 3,"Cumboblatted ",FreeELO,FreeELO,15,21,22,24,,,Justin Barr,Tim Lacagnina,Nick Evanko,Clifford Amadeo LeVeque
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P5: Semi-final,Single game,#slay,Jinx,Jinx,0,1,,,,,Joanna Gould,Bradley Clark,Noah Elconin,Charlie Cavallaro
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P5: Semi-final,Single game,Lahar Drift,Friendly Fire,Lahar Drift,21,14,,,,,Korbin Thompson,Jack Drouare,Austin Niles,Sam Aven
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P9: Semi-final,Single game,Looks Maxed,".......kidding, kidding, kidding",".......kidding, kidding, kidding",-2,0,,,,,Samantha Barklow,Rob's Traveler,Kai Zafren,Zach Carver
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Final,Best of 3,Limitless,FreeELO,Limitless,21,13,21,11,,,Aleks Essen,Ryan Marino,Nick Evanko,Clifford Amadeo LeVeque
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P3: Final,Single game,"Cumboblatted ",Boomstick McDoom,Boomstick McDoom,-1,0,,,,,Justin Barr,Tim Lacagnina,Jackson Wood,Taaron Rudzitis
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P5: Final,Single game,Jinx,Lahar Drift,Jinx,21,19,,,,,Noah Elconin,Charlie Cavallaro,Korbin Thompson,Jack Drouare
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P7: Final,Single game,Friendly Fire,#slay,Friendly Fire,1,0,,,,,Austin Niles,Sam Aven,Joanna Gould,Bradley Clark
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P9: Final,Single game,Living Water,".......kidding, kidding, kidding",".......kidding, kidding, kidding",18,21,,,,,Julia Timan,Grant Klapwijk,Kai Zafren,Zach Carver
