Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open,Group A,1,Single game,Itsy Bitsy Spider,Macroball,Itsy Bitsy Spider,21,12,,,,,Ryan Marino,Clifford Amadeo LeVeque,Jacob U'Wren,Kai Zafren
Group Stage,Open,Group A,1,Single game,Cut serve cut serve cut serve,Double Support Meta,Cut serve cut serve cut serve,21,10,,,,,Aleks Essen,Izayah Gibson,Joe Duvic,Mike Hamilton
Group Stage,Open,Group B,1,Single game,Just geekin,Super Big Boys,Just geekin,21,7,,,,,Gabriel Skaggs,Zeke Friedeman,Michael Verst,Nate Verst
Group Stage,Open,Group B,1,Single game,Golden-Dongs,Pacers in 7,Golden-Dongs,21,8,,,,,Matt Sak,Ethan Ivey,Jacob Hoff,Vimal Chetty
Group Stage,Open,Group B,1,Single game,Slammoed,Spike Tuah,Slammoed,21,12,,,,,Nathan Warner,Lance Markowitz,Jack Van Riper,Drew Davis
Group Stage,Open,Group C,1,Single game,horn and friends,Test,horn and friends,21,1,,,,,Ryan Hornbeck,Wesley Elliott,Josiah McKinney,Kentucky Roundnet Association
Group Stage,Open,Group C,1,Single game,Good News,Spikeology 101,Good News,21,9,,,,,Logan Graham,Evan Talley,Heather Verst,Judah Verst
Group Stage,Open,Group C,1,Single game,groovy,Crossfire,groovy,21,15,,,,,Micah Rawalt,Sal Guagenti,eddie francis,Connor Wallace
Group Stage,Open,Group A,2,Single game,Itsy Bitsy Spider,Double Support Meta,Itsy Bitsy Spider,21,13,,,,,Ryan Marino,Clifford Amadeo LeVeque,Joe Duvic,Mike Hamilton
Group Stage,Open,Group A,2,Single game,Hoopers at Heart,Macroball,Hoopers at Heart,21,15,,,,,Nick Evanko,Josiah McKinney,Jacob U'Wren,Kai Zafren
Group Stage,Open,Group B,2,Single game,Just geekin,Pacers in 7,Just geekin,21,4,,,,,Gabriel Skaggs,Zeke Friedeman,Jacob Hoff,Vimal Chetty
Group Stage,Open,Group B,2,Single game,Golden-Dongs,Slammoed,Slammoed,13,21,,,,,Matt Sak,Ethan Ivey,Nathan Warner,Lance Markowitz
