Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Premier/Bronze+,Group A,1,Single game,Who Asked,Get Milked: Simul Is Clean,Who Asked,21,12,,,,,Joey Reynolds,Ryan Marino,Drew Banziger,Charlie Cavallaro
Group Stage,5.0 Premier/Bronze+,Group A,1,Single game,Half nuzz,Magic Johnsons,Half nuzz,21,16,,,,,Justin Barr,Izayah Gibson,Kenny Velu,Ethan Ferland
Group Stage,5.0 Premier/Bronze+,Group B,1,Single game,Half whites,Early Registration,Half whites,21,14,,,,,Tim Lacagnina,Thomas Hamilton,Rohil Senapati,Noah Elconin
Group Stage,5.0 Premier/Bronze+,Group B,1,Single game,Biggie’s Step-Dads,are pools out yet?,Biggie’s Step-Dads,21,14,,,,,Clifford Amadeo LeVeque,Nick Evanko,Chase Bremner,Colin Hobart
Group Stage,5.0 Premier/Bronze+,Group A,2,Single game,Who Asked,Magic Johnsons,Who Asked,21,10,,,,,Joey Reynolds,Ryan Marino,Kenny Velu,Ethan Ferland
Group Stage,5.0 Premier/Bronze+,Group A,2,Single game,Buff(ed),Get Milked: Simul Is Clean,Buff(ed),21,11,,,,,Daniel Patten,Jack Wood,Drew Banziger,Charlie Cavallaro
Group Stage,5.0 Premier/Bronze+,Group B,2,Single game,Half whites,are pools out yet?,Half whites,21,8,,,,,Tim Lacagnina,Thomas Hamilton,Chase Bremner,Colin Hobart
Group Stage,5.0 Premier/Bronze+,Group B,2,Single game,Spinny,Early Registration,Spinny,21,14,,,,,Jack Bush,Aleks Essen,Rohil Senapati,Noah Elconin
Group Stage,5.0 Premier/Bronze+,Group A,3,Single game,Who Asked,Buff(ed),Who Asked,21,16,,,,,Joey Reynolds,Ryan Marino,Daniel Patten,Jack Wood
Group Stage,5.0 Premier/Bronze+,Group A,3,Single game,Half nuzz,Get Milked: Simul Is Clean,Half nuzz,21,15,,,,,Justin Barr,Izayah Gibson,Drew Banziger,Charlie Cavallaro
Group Stage,5.0 Premier/Bronze+,Group B,3,Single game,Half whites,Spinny,Spinny,17,21,,,,,Tim Lacagnina,Thomas Hamilton,Jack Bush,Aleks Essen
Group Stage,5.0 Premier/Bronze+,Group B,3,Single game,Biggie’s Step-Dads,Early Registration,Biggie’s Step-Dads,21,13,,,,,Clifford Amadeo LeVeque,Nick Evanko,Rohil Senapati,Noah Elconin
Group Stage,5.0 Premier/Bronze+,Group A,4,Single game,Half nuzz,Buff(ed),Buff(ed),19,21,,,,,Justin Barr,Izayah Gibson,Daniel Patten,Jack Wood
Group Stage,5.0 Premier/Bronze+,Group A,4,Single game,Magic Johnsons,Get Milked: Simul Is Clean,Get Milked: Simul Is Clean,19,21,,,,,Kenny Velu,Ethan Ferland,Drew Banziger,Charlie Cavallaro
Group Stage,5.0 Premier/Bronze+,Group B,4,Single game,Biggie’s Step-Dads,Spinny,Spinny,21,23,,,,,Clifford Amadeo LeVeque,Nick Evanko,Jack Bush,Aleks Essen
Group Stage,5.0 Premier/Bronze+,Group B,4,Single game,are pools out yet?,Early Registration,Early Registration,22,24,,,,,Chase Bremner,Colin Hobart,Rohil Senapati,Noah Elconin
Group Stage,5.0 Premier/Bronze+,Group A,5,Single game,Who Asked,Half nuzz,Half nuzz,20,22,,,,,Joey Reynolds,Ryan Marino,Justin Barr,Izayah Gibson
Group Stage,5.0 Premier/Bronze+,Group A,5,Single game,Buff(ed),Magic Johnsons,Magic Johnsons,18,21,,,,,Daniel Patten,Jack Wood,Kenny Velu,Ethan Ferland
Group Stage,5.0 Premier/Bronze+,Group B,5,Single game,Half whites,Biggie’s Step-Dads,Half whites,27,25,,,,,Tim Lacagnina,Thomas Hamilton,Clifford Amadeo LeVeque,Nick Evanko
Group Stage,5.0 Premier/Bronze+,Group B,5,Single game,Spinny,are pools out yet?,Spinny,21,14,,,,,Jack Bush,Aleks Essen,Chase Bremner,Colin Hobart
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,Magic Johnsons,are pools out yet?,are pools out yet?,18,21,20,22,,,Kenny Velu,Ethan Ferland,Chase Bremner,Colin Hobart
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,Early Registration,Get Milked: Simul Is Clean,Early Registration,32,30,21,18,,,Rohil Senapati,Noah Elconin,Drew Banziger,Charlie Cavallaro
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Spinny,Early Registration,Spinny,21,18,21,12,,,Jack Bush,Aleks Essen,Rohil Senapati,Noah Elconin
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Who Asked,are pools out yet?,Who Asked,21,16,21,17,,,Joey Reynolds,Ryan Marino,Chase Bremner,Colin Hobart
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Half whites,Buff(ed),Half whites,21,17,21,17,,,Tim Lacagnina,Thomas Hamilton,Daniel Patten,Jack Wood
