Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group A,1,Single game,Spin Lizards,K^2,Spin Lizards,21,14,,,,,Emerson Dean,Kieran Rose,Kenny Velu,Korbin Thompson
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group A,1,Single game,ClubSpike Big Slick,Pecan Pralines,Pecan Pralines,16,21,,,,,Neal Bergman,Chris Wilkins,Aleks Essen,Jackson Wood
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group B,1,Single game,EMPIRE,clinic results,EMPIRE,22,20,,,,,Thomas Hamilton,Clifford Amadeo LeVeque,Chase Bremner,Ethan Ferland
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group B,1,Single game,neal like dog 🥢🐶🍚,RNG,neal like dog 🥢🐶🍚,21,12,,,,,Thomas Hoffman,Joey Reynolds,Garrett Duncan,Reed Drouare
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group A,2,Single game,Spin Lizards,Pecan Pralines,Spin Lizards,21,17,,,,,Emerson Dean,Kieran Rose,Aleks Essen,Jackson Wood
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group A,2,Single game,O.o,K^2,O.o,21,19,,,,,Nick Evanko,Izayah Gibson,Kenny Velu,Korbin Thompson
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group B,2,Single game,EMPIRE,RNG,EMPIRE,21,14,,,,,Thomas Hamilton,Clifford Amadeo LeVeque,Garrett Duncan,Reed Drouare
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group B,2,Single game,Secondary Touchers,clinic results,clinic results,17,21,,,,,Mitch Kelley,Colin Hobart,Chase Bremner,Ethan Ferland
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group A,3,Single game,Spin Lizards,O.o,Spin Lizards,21,11,,,,,Emerson Dean,Kieran Rose,Nick Evanko,Izayah Gibson
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group A,3,Single game,ClubSpike Big Slick,K^2,ClubSpike Big Slick,21,10,,,,,Neal Bergman,Chris Wilkins,Kenny Velu,Korbin Thompson
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group B,3,Single game,EMPIRE,Secondary Touchers,EMPIRE,21,5,,,,,Thomas Hamilton,Clifford Amadeo LeVeque,Mitch Kelley,Colin Hobart
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group B,3,Single game,neal like dog 🥢🐶🍚,clinic results,neal like dog 🥢🐶🍚,21,18,,,,,Thomas Hoffman,Joey Reynolds,Chase Bremner,Ethan Ferland
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group A,4,Single game,ClubSpike Big Slick,O.o,ClubSpike Big Slick,24,22,,,,,Neal Bergman,Chris Wilkins,Nick Evanko,Izayah Gibson
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group A,4,Single game,Pecan Pralines,K^2,Pecan Pralines,21,12,,,,,Aleks Essen,Jackson Wood,Kenny Velu,Korbin Thompson
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group B,4,Single game,neal like dog 🥢🐶🍚,Secondary Touchers,neal like dog 🥢🐶🍚,21,13,,,,,Thomas Hoffman,Joey Reynolds,Mitch Kelley,Colin Hobart
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group B,4,Single game,RNG,clinic results,clinic results,20,22,,,,,Garrett Duncan,Reed Drouare,Chase Bremner,Ethan Ferland
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group A,5,Single game,Spin Lizards,ClubSpike Big Slick,Spin Lizards,21,13,,,,,Emerson Dean,Kieran Rose,Neal Bergman,Chris Wilkins
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group A,5,Single game,O.o,Pecan Pralines,O.o,21,17,,,,,Nick Evanko,Izayah Gibson,Aleks Essen,Jackson Wood
Group Stage,5.0 Premier/Bronze+(12:10 bracket start),Group B,5,Single game,EMPIRE,neal like dog 🥢🐶🍚,EMPIRE,21,17,,,,,Thomas Hamilton,Clifford Amadeo LeVeque,Thomas Hoffman,Joey Reynolds
