Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,5.0 Premier/Bronze+,Group A,1,Single game,Turf Burn,Corporate America,Turf Burn,21,5,,,,,Kieran Rose,Kyle Fowler,Drew Banziger,Brad Yates
Pool Play,5.0 Premier/Bronze+,Group A,1,Single game,"Yackers ",Jinx,"Yackers ",21,10,,,,,Christian Bennett,Nick Evanko,Noah Elconin,Charlie Cavallaro
Pool Play,5.0 Premier/Bronze+,Group B,1,Single game,Hollow Purple,GFD GLITCH,Hollow Purple,21,15,,,,,Aleks Essen,Justin Barr,Cody Dryer,Luke Nickel
Pool Play,5.0 Premier/Bronze+,Group B,1,Single game,"Cookies and Get Crémed ",KAB is this thing on?,"Cookies and Get Crémed ",21,10,,,,,Clifford Amadeo LeVeque,Izayah Gibson,Bradley Clark,Austin Niles
Pool Play,5.0 Premier/Bronze+,Group C,1,Single game,999 bottles of baby oil on the wall,Chris/Aj,999 bottles of baby oil on the wall,21,11,,,,,Tim Lacagnina,Andrew Sullivan,AJ Halliday,Chris Hartings
Pool Play,5.0 Premier/Bronze+,Group C,1,Single game,DPJ,ion run it,DPJ,21,12,,,,,Ryan Marino,Grayson M  Wills,Blake Van Den Top,Joe Duvic
Pool Play,5.0 Premier/Bronze+,Group A,2,Single game,Turf Burn,Jinx,Turf Burn,21,6,,,,,Kieran Rose,Kyle Fowler,Noah Elconin,Charlie Cavallaro
Pool Play,5.0 Premier/Bronze+,Group A,2,Single game,Popsicle Boyz 2,Corporate America,Corporate America,15,21,,,,,Grant Klapwijk,David Gonzales,Drew Banziger,Brad Yates
Pool Play,5.0 Premier/Bronze+,Group B,2,Single game,Hollow Purple,KAB is this thing on?,Hollow Purple,21,14,,,,,Aleks Essen,Justin Barr,Bradley Clark,Austin Niles
Pool Play,5.0 Premier/Bronze+,Group B,2,Single game,FBD,GFD GLITCH,FBD,21,15,,,,,Garrett Duncan,Jack Drouare,Cody Dryer,Luke Nickel
Pool Play,5.0 Premier/Bronze+,Group C,2,Single game,999 bottles of baby oil on the wall,ion run it,999 bottles of baby oil on the wall,22,21,,,,,Tim Lacagnina,Andrew Sullivan,Blake Van Den Top,Joe Duvic
Pool Play,5.0 Premier/Bronze+,Group C,2,Single game,RSG Any% 14:56,Chris/Aj,RSG Any% 14:56,21,16,,,,,Reed Drouare,Korbin Thompson,AJ Halliday,Chris Hartings
Pool Play,5.0 Premier/Bronze+,Group A,3,Single game,Turf Burn,Popsicle Boyz 2,Turf Burn,21,11,,,,,Kieran Rose,Kyle Fowler,Grant Klapwijk,David Gonzales
Pool Play,5.0 Premier/Bronze+,Group A,3,Single game,"Yackers ",Corporate America,"Yackers ",21,13,,,,,Christian Bennett,Nick Evanko,Drew Banziger,Brad Yates
Pool Play,5.0 Premier/Bronze+,Group B,3,Single game,Hollow Purple,FBD,Hollow Purple,21,17,,,,,Aleks Essen,Justin Barr,Garrett Duncan,Jack Drouare
Pool Play,5.0 Premier/Bronze+,Group B,3,Single game,"Cookies and Get Crémed ",GFD GLITCH,"Cookies and Get Crémed ",21,15,,,,,Clifford Amadeo LeVeque,Izayah Gibson,Cody Dryer,Luke Nickel
Pool Play,5.0 Premier/Bronze+,Group C,3,Single game,999 bottles of baby oil on the wall,RSG Any% 14:56,999 bottles of baby oil on the wall,21,13,,,,,Tim Lacagnina,Andrew Sullivan,Reed Drouare,Korbin Thompson
Pool Play,5.0 Premier/Bronze+,Group C,3,Single game,DPJ,Chris/Aj,DPJ,21,8,,,,,Ryan Marino,Grayson M  Wills,AJ Halliday,Chris Hartings
Pool Play,5.0 Premier/Bronze+,Group A,4,Single game,"Yackers ",Popsicle Boyz 2,"Yackers ",21,9,,,,,Christian Bennett,Nick Evanko,Grant Klapwijk,David Gonzales
Pool Play,5.0 Premier/Bronze+,Group A,4,Single game,Jinx,Corporate America,Jinx,21,18,,,,,Noah Elconin,Charlie Cavallaro,Drew Banziger,Brad Yates
Pool Play,5.0 Premier/Bronze+,Group B,4,Single game,"Cookies and Get Crémed ",FBD,FBD,21,22,,,,,Clifford Amadeo LeVeque,Izayah Gibson,Garrett Duncan,Jack Drouare
Pool Play,5.0 Premier/Bronze+,Group B,4,Single game,KAB is this thing on?,GFD GLITCH,KAB is this thing on?,21,8,,,,,Bradley Clark,Austin Niles,Cody Dryer,Luke Nickel
Pool Play,5.0 Premier/Bronze+,Group C,4,Single game,DPJ,RSG Any% 14:56,DPJ,21,18,,,,,Ryan Marino,Grayson M  Wills,Reed Drouare,Korbin Thompson
Pool Play,5.0 Premier/Bronze+,Group C,4,Single game,ion run it,Chris/Aj,ion run it,21,8,,,,,Blake Van Den Top,Joe Duvic,AJ Halliday,Chris Hartings
Pool Play,5.0 Premier/Bronze+,Group A,5,Single game,Turf Burn,"Yackers ",Turf Burn,21,13,,,,,Kieran Rose,Kyle Fowler,Christian Bennett,Nick Evanko
Pool Play,5.0 Premier/Bronze+,Group A,5,Single game,Popsicle Boyz 2,Jinx,Jinx,16,21,,,,,Grant Klapwijk,David Gonzales,Noah Elconin,Charlie Cavallaro
Pool Play,5.0 Premier/Bronze+,Group B,5,Single game,Hollow Purple,"Cookies and Get Crémed ",Hollow Purple,21,18,,,,,Aleks Essen,Justin Barr,Clifford Amadeo LeVeque,Izayah Gibson
Pool Play,5.0 Premier/Bronze+,Group B,5,Single game,FBD,KAB is this thing on?,FBD,21,17,,,,,Garrett Duncan,Jack Drouare,Bradley Clark,Austin Niles
Pool Play,5.0 Premier/Bronze+,Group C,5,Single game,999 bottles of baby oil on the wall,DPJ,DPJ,19,21,,,,,Tim Lacagnina,Andrew Sullivan,Ryan Marino,Grayson M  Wills
Pool Play,5.0 Premier/Bronze+,Group C,5,Single game,RSG Any% 14:56,ion run it,RSG Any% 14:56,21,12,,,,,Reed Drouare,Korbin Thompson,Blake Van Den Top,Joe Duvic
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,DPJ,Chris/Aj,DPJ,21,8,21,10,,,Ryan Marino,Grayson M  Wills,AJ Halliday,Chris Hartings
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,Hollow Purple,Popsicle Boyz 2,Hollow Purple,17,21,21,18,21,14,Aleks Essen,Justin Barr,Grant Klapwijk,David Gonzales
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,"Yackers ",GFD GLITCH,"Yackers ",21,15,21,15,,,Christian Bennett,Nick Evanko,Cody Dryer,Luke Nickel
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,999 bottles of baby oil on the wall,Corporate America,999 bottles of baby oil on the wall,15,21,21,19,21,7,Tim Lacagnina,Andrew Sullivan,Drew Banziger,Brad Yates
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,FBD,KAB is this thing on?,FBD,21,17,21,18,,,Garrett Duncan,Jack Drouare,Bradley Clark,Austin Niles
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,"Cookies and Get Crémed ",ion run it,"Cookies and Get Crémed ",21,15,21,15,,,Clifford Amadeo LeVeque,Izayah Gibson,Blake Van Den Top,Joe Duvic
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Round of 16,Best of 3,RSG Any% 14:56,Jinx,RSG Any% 14:56,21,7,21,18,,,Reed Drouare,Korbin Thompson,Noah Elconin,Charlie Cavallaro
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Turf Burn,RSG Any% 14:56,Turf Burn,21,10,21,3,,,Kieran Rose,Kyle Fowler,Reed Drouare,Korbin Thompson
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Quarter-final,Best of 3,DPJ,"Cookies and Get Crémed ",DPJ,22,20,12,21,21,15,Ryan Marino,Grayson M  Wills,Clifford Amadeo LeVeque,Izayah Gibson
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Hollow Purple,FBD,FBD,20,22,18,21,,,Aleks Essen,Justin Barr,Garrett Duncan,Jack Drouare
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Quarter-final,Best of 3,"Yackers ",999 bottles of baby oil on the wall,"Yackers ",21,19,21,19,,,Christian Bennett,Nick Evanko,Tim Lacagnina,Andrew Sullivan
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P9: Quarter-final,Single game,ion run it,Chris/Aj,ion run it,21,10,,,,,Blake Van Den Top,Joe Duvic,AJ Halliday,Chris Hartings
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P9: Quarter-final,Single game,KAB is this thing on?,Popsicle Boyz 2,KAB is this thing on?,24,22,,,,,Bradley Clark,Austin Niles,Grant Klapwijk,David Gonzales
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P9: Quarter-final,Single game,Corporate America,GFD GLITCH,Corporate America,0,-2,,,,,Drew Banziger,Brad Yates,Cody Dryer,Luke Nickel
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Semi-final,Best of 3,Turf Burn,"Yackers ",Turf Burn,21,9,21,10,,,Kieran Rose,Kyle Fowler,Christian Bennett,Nick Evanko
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Semi-final,Best of 3,DPJ,FBD,DPJ,21,8,21,12,,,Ryan Marino,Grayson M  Wills,Garrett Duncan,Jack Drouare
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P5: Semi-final,Single game,999 bottles of baby oil on the wall,RSG Any% 14:56,RSG Any% 14:56,-2,0,,,,,Tim Lacagnina,Andrew Sullivan,Reed Drouare,Korbin Thompson
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P5: Semi-final,Single game,Hollow Purple,"Cookies and Get Crémed ","Cookies and Get Crémed ",-2,0,,,,,Aleks Essen,Justin Barr,Clifford Amadeo LeVeque,Izayah Gibson
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P9: Semi-final,Single game,Jinx,Corporate America,Jinx,21,15,,,,,Noah Elconin,Charlie Cavallaro,Drew Banziger,Brad Yates
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P9: Semi-final,Single game,ion run it,KAB is this thing on?,ion run it,21,18,,,,,Blake Van Den Top,Joe Duvic,Bradley Clark,Austin Niles
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P13: Semi-final,Single game,Popsicle Boyz 2,Chris/Aj,Popsicle Boyz 2,0,-1,,,,,Grant Klapwijk,David Gonzales,AJ Halliday,Chris Hartings
Bracket Stage,5.0 Premier/Bronze+,Bracket A,Final,Best of 3,Turf Burn,DPJ,Turf Burn,21,17,21,15,,,Kieran Rose,Kyle Fowler,Ryan Marino,Grayson M  Wills
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P3: Final,Best of 3,FBD,"Yackers ","Yackers ",19,21,18,21,,,Garrett Duncan,Jack Drouare,Christian Bennett,Nick Evanko
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P5: Final,Single game,RSG Any% 14:56,"Cookies and Get Crémed ",RSG Any% 14:56,0,-2,,,,,Reed Drouare,Korbin Thompson,Clifford Amadeo LeVeque,Izayah Gibson
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P7: Final,Single game,Hollow Purple,999 bottles of baby oil on the wall,999 bottles of baby oil on the wall,-2,0,,,,,Aleks Essen,Justin Barr,Tim Lacagnina,Andrew Sullivan
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P9: Final,Single game,Jinx,ion run it,Jinx,21,16,,,,,Noah Elconin,Charlie Cavallaro,Blake Van Den Top,Joe Duvic
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P11: Final,Single game,KAB is this thing on?,Corporate America,KAB is this thing on?,0,-2,,,,,Bradley Clark,Austin Niles,Drew Banziger,Brad Yates
Bracket Stage,5.0 Premier/Bronze+,Bracket A,P13: Final,Single game,GFD GLITCH,Popsicle Boyz 2,Popsicle Boyz 2,-1,0,,,,,Cody Dryer,Luke Nickel,Grant Klapwijk,David Gonzales
Pool Play,4.0 Contender,Group A,1,Single game,Slammoed,Cohen/Seth,Slammoed,21,10,,,,,Lance Markowitz,Nathan Warner,Cohen Lampton,Seth Grieshop
Pool Play,4.0 Contender,Group A,1,Single game,Wookies,Fishy Boys,Fishy Boys,9,21,,,,,Tiff Ding,Bel Belvedere,Tom Rogers,PJ Showalter
Pool Play,4.0 Contender,Group B,1,Single game,Jah and Dah,Drew Banziger Fan Club,Jah and Dah,21,8,,,,,Andrew Carmody,Diego Lopez,Garrett Loiselle,Luke Jackson
Pool Play,4.0 Contender,Group B,1,Single game,Lil Booties,Bounce Backs,Lil Booties,21,9,,,,,Ryland Holdren,Sean Santos,William Fan,Juan Orellana
Pool Play,4.0 Contender,Group C,1,Single game,Tikka Tikitaka,Fwango,Fwango,15,21,,,,,Arjun Dhankani,Jhanaj Quispe,Zach Regas,Andrew Enright
Pool Play,4.0 Contender,Group C,1,Single game,".......kidding, kidding, kidding",Anabolic,".......kidding, kidding, kidding",21,9,,,,,Kai Zafren,Zach Carver,Josh Beigel,Jack Van Riper
Pool Play,4.0 Contender,Group D,1,Single game,Micah/Sal,Westyn/Meghan,Micah/Sal,21,5,,,,,Sal Guagenti,Micah Rawalt,Meghan Hubbard,Westyn Braun
Pool Play,4.0 Contender,Group D,1,Single game,Smooth Sailing,Dean/Hui,Smooth Sailing,21,18,,,,,Jackson Carpenter,Chase Carpenter,Dean Wasil,Hui Ying Stradiot
Pool Play,4.0 Contender,Group A,2,Single game,Slammoed,Fishy Boys,Fishy Boys,15,21,,,,,Lance Markowitz,Nathan Warner,Tom Rogers,PJ Showalter
Pool Play,4.0 Contender,Group A,2,Single game,Jobin's Fan Club,Cohen/Seth,Jobin's Fan Club,21,16,,,,,William White,Brock Lodato,Cohen Lampton,Seth Grieshop
Pool Play,4.0 Contender,Group B,2,Single game,Jah and Dah,Bounce Backs,Jah and Dah,21,15,,,,,Andrew Carmody,Diego Lopez,William Fan,Juan Orellana
Pool Play,4.0 Contender,Group B,2,Single game,Looks Maxed,Drew Banziger Fan Club,Looks Maxed,21,11,,,,,Rob's Traveler,Samantha Barklow,Garrett Loiselle,Luke Jackson
Pool Play,4.0 Contender,Group C,2,Single game,Tikka Tikitaka,Anabolic,Tikka Tikitaka,21,13,,,,,Arjun Dhankani,Jhanaj Quispe,Josh Beigel,Jack Van Riper
Pool Play,4.0 Contender,Group C,2,Single game,Hanson/Horvath,Fwango,Hanson/Horvath,21,13,,,,,Brendon Hanson,James Horvath,Zach Regas,Andrew Enright
Pool Play,4.0 Contender,Group D,2,Single game,Micah/Sal,Dean/Hui,Dean/Hui,17,21,,,,,Sal Guagenti,Micah Rawalt,Dean Wasil,Hui Ying Stradiot
Pool Play,4.0 Contender,Group D,2,Single game,Fishies,Westyn/Meghan,Fishies,21,6,,,,,Dorian Caporal,Dylan Noker,Meghan Hubbard,Westyn Braun
Pool Play,4.0 Contender,Group A,3,Single game,Slammoed,Jobin's Fan Club,Slammoed,22,21,,,,,Lance Markowitz,Nathan Warner,William White,Brock Lodato
Pool Play,4.0 Contender,Group A,3,Single game,Wookies,Cohen/Seth,Wookies,21,12,,,,,Tiff Ding,Bel Belvedere,Cohen Lampton,Seth Grieshop
Pool Play,4.0 Contender,Group B,3,Single game,Jah and Dah,Looks Maxed,Jah and Dah,21,14,,,,,Andrew Carmody,Diego Lopez,Rob's Traveler,Samantha Barklow
Pool Play,4.0 Contender,Group B,3,Single game,Lil Booties,Drew Banziger Fan Club,Lil Booties,21,18,,,,,Ryland Holdren,Sean Santos,Garrett Loiselle,Luke Jackson
Pool Play,4.0 Contender,Group C,3,Single game,Tikka Tikitaka,Hanson/Horvath,Tikka Tikitaka,21,15,,,,,Arjun Dhankani,Jhanaj Quispe,Brendon Hanson,James Horvath
Pool Play,4.0 Contender,Group C,3,Single game,".......kidding, kidding, kidding",Fwango,".......kidding, kidding, kidding",21,5,,,,,Kai Zafren,Zach Carver,Zach Regas,Andrew Enright
Pool Play,4.0 Contender,Group D,3,Single game,Micah/Sal,Fishies,Micah/Sal,21,18,,,,,Sal Guagenti,Micah Rawalt,Dorian Caporal,Dylan Noker
Pool Play,4.0 Contender,Group D,3,Single game,Smooth Sailing,Westyn/Meghan,Smooth Sailing,21,1,,,,,Jackson Carpenter,Chase Carpenter,Meghan Hubbard,Westyn Braun
Pool Play,4.0 Contender,Group A,4,Single game,Wookies,Jobin's Fan Club,Jobin's Fan Club,16,21,,,,,Tiff Ding,Bel Belvedere,William White,Brock Lodato
Pool Play,4.0 Contender,Group A,4,Single game,Fishy Boys,Cohen/Seth,Fishy Boys,21,9,,,,,Tom Rogers,PJ Showalter,Cohen Lampton,Seth Grieshop
Pool Play,4.0 Contender,Group B,4,Single game,Lil Booties,Looks Maxed,Lil Booties,21,14,,,,,Ryland Holdren,Sean Santos,Rob's Traveler,Samantha Barklow
Pool Play,4.0 Contender,Group B,4,Single game,Bounce Backs,Drew Banziger Fan Club,Drew Banziger Fan Club,13,21,,,,,William Fan,Juan Orellana,Garrett Loiselle,Luke Jackson
Pool Play,4.0 Contender,Group C,4,Single game,".......kidding, kidding, kidding",Hanson/Horvath,".......kidding, kidding, kidding",21,17,,,,,Kai Zafren,Zach Carver,Brendon Hanson,James Horvath
Pool Play,4.0 Contender,Group C,4,Single game,Anabolic,Fwango,Fwango,15,21,,,,,Josh Beigel,Jack Van Riper,Zach Regas,Andrew Enright
Pool Play,4.0 Contender,Group D,4,Single game,Smooth Sailing,Fishies,Fishies,19,21,,,,,Jackson Carpenter,Chase Carpenter,Dorian Caporal,Dylan Noker
Pool Play,4.0 Contender,Group D,4,Single game,Dean/Hui,Westyn/Meghan,Dean/Hui,21,10,,,,,Dean Wasil,Hui Ying Stradiot,Meghan Hubbard,Westyn Braun
Pool Play,4.0 Contender,Group A,5,Single game,Slammoed,Wookies,Slammoed,21,12,,,,,Lance Markowitz,Nathan Warner,Tiff Ding,Bel Belvedere
Pool Play,4.0 Contender,Group A,5,Single game,Jobin's Fan Club,Fishy Boys,Fishy Boys,15,21,,,,,William White,Brock Lodato,Tom Rogers,PJ Showalter
Pool Play,4.0 Contender,Group B,5,Single game,Jah and Dah,Lil Booties,Jah and Dah,21,17,,,,,Andrew Carmody,Diego Lopez,Ryland Holdren,Sean Santos
Pool Play,4.0 Contender,Group B,5,Single game,Looks Maxed,Bounce Backs,Looks Maxed,21,9,,,,,Rob's Traveler,Samantha Barklow,William Fan,Juan Orellana
Pool Play,4.0 Contender,Group C,5,Single game,Tikka Tikitaka,".......kidding, kidding, kidding",".......kidding, kidding, kidding",20,22,,,,,Arjun Dhankani,Jhanaj Quispe,Kai Zafren,Zach Carver
Pool Play,4.0 Contender,Group C,5,Single game,Hanson/Horvath,Anabolic,Hanson/Horvath,21,17,,,,,Brendon Hanson,James Horvath,Josh Beigel,Jack Van Riper
Pool Play,4.0 Contender,Group D,5,Single game,Micah/Sal,Smooth Sailing,Smooth Sailing,20,22,,,,,Sal Guagenti,Micah Rawalt,Jackson Carpenter,Chase Carpenter
Pool Play,4.0 Contender,Group D,5,Single game,Fishies,Dean/Hui,Fishies,21,14,,,,,Dorian Caporal,Dylan Noker,Dean Wasil,Hui Ying Stradiot
Bracket Stage,4.0 Contender,Bracket A,Round of 32,Best of 3,Hanson/Horvath,Westyn/Meghan,Hanson/Horvath,21,0,21,4,,,Brendon Hanson,James Horvath,Meghan Hubbard,Westyn Braun
Bracket Stage,4.0 Contender,Bracket A,Round of 32,Best of 3,Fwango,Bounce Backs,Fwango,21,14,21,6,,,Zach Regas,Andrew Enright,William Fan,Juan Orellana
Bracket Stage,4.0 Contender,Bracket A,Round of 32,Best of 3,Wookies,Cohen/Seth,Wookies,21,13,22,20,,,Tiff Ding,Bel Belvedere,Cohen Lampton,Seth Grieshop
