Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Expert,Group A,1,Single game,Franklin's Friends,Slap Happy,Franklin's Friends,17,13,,,,,Cole Ciemniecki,James Brock,Dale Leibee,Camden Leibee
Pool Play,Expert,Group A,1,Single game,Fountain Lovers,Grub Lords,Fountain Lovers,19,17,,,,,Alex DuBois,Jonah Walker,Hugh Telke,Sophia Manning
Pool Play,Expert,Group B,1,Single game,Mosley/Burnette,Lloyd & Mosley Penetration Services,Mosley/Burnette,17,12,,,,,Eli Mosley,James Burnette,Caleb Mosley,Grayson Lloyd
Pool Play,Expert,Group B,1,Single game,Gooding /Simpson,Bevin,Gooding /Simpson,18,16,,,,,Aaron Simpson,Vaughn Gooding,Ben Celestino,Evan Grabarczyk
Pool Play,Expert,Group A,2,Single game,Franklin's Friends,Grub Lords,Franklin's Friends,21,19,,,,,Cole Ciemniecki,James Brock,Hugh Telke,Sophia Manning
Pool Play,Expert,Group A,2,Single game,Fountain Lovers,Slap Happy,Fountain Lovers,17,12,,,,,Alex DuBois,Jonah Walker,Dale Leibee,Camden Leibee
Pool Play,Expert,Group B,2,Single game,Mosley/Burnette,Bevin,Mosley/Burnette,18,16,,,,,Eli Mosley,James Burnette,Ben Celestino,Evan Grabarczyk
Pool Play,Expert,Group B,2,Single game,Gooding /Simpson,Lloyd & Mosley Penetration Services,Gooding /Simpson,17,5,,,,,Aaron Simpson,Vaughn Gooding,Caleb Mosley,Grayson Lloyd
Pool Play,Expert,Group A,3,Single game,Franklin's Friends,Fountain Lovers,Fountain Lovers,14,17,,,,,Cole Ciemniecki,James Brock,Alex DuBois,Jonah Walker
Pool Play,Expert,Group A,3,Single game,Grub Lords,Slap Happy,Grub Lords,17,15,,,,,Hugh Telke,Sophia Manning,Dale Leibee,Camden Leibee
Pool Play,Expert,Group B,3,Single game,Mosley/Burnette,Gooding /Simpson,Mosley/Burnette,17,13,,,,,Eli Mosley,James Burnette,Aaron Simpson,Vaughn Gooding
Pool Play,Expert,Group B,3,Single game,Bevin,Lloyd & Mosley Penetration Services,Bevin,17,6,,,,,Ben Celestino,Evan Grabarczyk,Caleb Mosley,Grayson Lloyd
Pool Play,Expert,Group A,4,Single game,Franklin's Friends,Slap Happy,Franklin's Friends,17,11,,,,,Cole Ciemniecki,James Brock,Dale Leibee,Camden Leibee
Pool Play,Expert,Group A,4,Single game,Fountain Lovers,Grub Lords,Fountain Lovers,17,14,,,,,Alex DuBois,Jonah Walker,Hugh Telke,Sophia Manning
Pool Play,Expert,Group B,4,Single game,Mosley/Burnette,Lloyd & Mosley Penetration Services,Mosley/Burnette,17,12,,,,,Eli Mosley,James Burnette,Caleb Mosley,Grayson Lloyd
Pool Play,Expert,Group B,4,Single game,Gooding /Simpson,Bevin,Gooding /Simpson,17,14,,,,,Aaron Simpson,Vaughn Gooding,Ben Celestino,Evan Grabarczyk
Pool Play,Expert,Group A,5,Single game,Franklin's Friends,Grub Lords,Franklin's Friends,17,14,,,,,Cole Ciemniecki,James Brock,Hugh Telke,Sophia Manning
Pool Play,Expert,Group A,5,Single game,Fountain Lovers,Slap Happy,Fountain Lovers,17,11,,,,,Alex DuBois,Jonah Walker,Dale Leibee,Camden Leibee
Pool Play,Expert,Group B,5,Single game,Mosley/Burnette,Bevin,Mosley/Burnette,17,13,,,,,Eli Mosley,James Burnette,Ben Celestino,Evan Grabarczyk
Pool Play,Expert,Group B,5,Single game,Gooding /Simpson,Lloyd & Mosley Penetration Services,Gooding /Simpson,17,5,,,,,Aaron Simpson,Vaughn Gooding,Caleb Mosley,Grayson Lloyd
Pool Play,Expert,Group A,6,Single game,Franklin's Friends,Fountain Lovers,Fountain Lovers,10,17,,,,,Cole Ciemniecki,James Brock,Alex DuBois,Jonah Walker
Pool Play,Expert,Group A,6,Single game,Grub Lords,Slap Happy,Slap Happy,14,17,,,,,Hugh Telke,Sophia Manning,Dale Leibee,Camden Leibee
Pool Play,Expert,Group B,6,Single game,Mosley/Burnette,Gooding /Simpson,Gooding /Simpson,11,17,,,,,Eli Mosley,James Burnette,Aaron Simpson,Vaughn Gooding
Pool Play,Expert,Group B,6,Single game,Bevin,Lloyd & Mosley Penetration Services,Bevin,17,7,,,,,Ben Celestino,Evan Grabarczyk,Caleb Mosley,Grayson Lloyd
