Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool play,Men's Elite / Élite (masculin),Group A,1,Single game,Simply's Back,PB & J,Simply's Back,21,13,,,,,Guillaume Jomphe,Olivier Laurin,Bryan Fonseca,Peter Lam
Pool play,Men's Elite / Élite (masculin),Group A,1,Single game,2nd choice,Équipe Mrgence,2nd choice,21,15,,,,,Chris Brown,Jordan Brandes,Maxime Rome-Gosselin,Simon Toupin
Pool play,Men's Elite / Élite (masculin),Group A,1,Single game,Kung/Lee,Les Cowboys,Les Cowboys,11,21,,,,,Matthew Lee,Evan Kung,Guillaume Arbour-Loyer,Félix Arbour-Loyer
Pool play,Men's Elite / Élite (masculin),Group B,1,Single game,Wonky Sauce,Rothesay Boys,Wonky Sauce,21,8,,,,,Justin Plett,Blake Bosak,Thomas Van steeg,Ryan Reay
Pool play,Men's Elite / Élite (masculin),Group B,1,Single game,Wasabi,Space Jam,Wasabi,21,20,,,,,Marc Etienne McLaughlin,,Eric Reinke,Hudson Ford
Pool play,Men's Elite / Élite (masculin),Group B,1,Single game,Sub-Zero,Bingpot,Sub-Zero,21,13,,,,,Gabriel Monfette,Olivier Aglot,Spencer Longfellow,Walter Bonilla
Pool play,Men's Elite / Élite (masculin),Group C,1,Single game,Cactus Cuts,Brews Brothers,Cactus Cuts,21,9,,,,,Keaton Kirchner,Austin Bueckert,Jean-Francois Chevalier,Philippe Delwaide
Pool play,Men's Elite / Élite (masculin),Group C,1,Single game,Let's Go!!!,Plouk,Plouk,20,21,,,,,Vincent Bastrash,Thomas Déry,Pierre-Luc Laramée,Manouk Momo
Pool play,Men's Elite / Élite (masculin),Group C,1,Single game,French Cook,Serve N' D,French Cook,21,11,,,,,Etienne Cote,Trevor Cook,Branden Domm,Cam Korvemaker
Pool play,Men's Elite / Élite (masculin),Group D,1,Single game,Odds Per Hype,miniclip.com,miniclip.com,20,21,,,,,Reilly Paquette,Emerson Dean,Élie Pilon,Julien Paquette
Pool play,Men's Elite / Élite (masculin),Group D,1,Single game,The Prince,TT's,TT's,20,21,,,,,Samuel Prince,Maxime Prince,Eric Pierce,Max Zhang
Pool play,Men's Elite / Élite (masculin),Group D,1,Single game,Jake and Will (Went Up The Hill),Mario & Luigi,Jake and Will (Went Up The Hill),21,20,,,,,Will Ries,Jake Lepp,Vincent Mailloux,Jean-Philippe Miller-Dussault
Pool play,Men's Elite / Élite (masculin),Group A,2,Single game,Simply's Back,Équipe Mrgence,Simply's Back,21,16,,,,,Guillaume Jomphe,Olivier Laurin,Maxime Rome-Gosselin,Simon Toupin
Pool play,Men's Elite / Élite (masculin),Group A,2,Single game,2nd choice,Kung/Lee,2nd choice,21,15,,,,,Chris Brown,Jordan Brandes,Matthew Lee,Evan Kung
Pool play,Men's Elite / Élite (masculin),Group A,2,Single game,Les Cowboys,PB & J,PB & J,16,21,,,,,Guillaume Arbour-Loyer,Félix Arbour-Loyer,Bryan Fonseca,Peter Lam
Pool play,Men's Elite / Élite (masculin),Group B,2,Single game,Wonky Sauce,Space Jam,Wonky Sauce,21,10,,,,,Justin Plett,Blake Bosak,Eric Reinke,Hudson Ford
Pool play,Men's Elite / Élite (masculin),Group B,2,Single game,Wasabi,Sub-Zero,Wasabi,21,11,,,,,Marc Etienne McLaughlin,,Gabriel Monfette,Olivier Aglot
Pool play,Men's Elite / Élite (masculin),Group B,2,Single game,Bingpot,Rothesay Boys,Bingpot,21,10,,,,,Spencer Longfellow,Walter Bonilla,Thomas Van steeg,Ryan Reay
Pool play,Men's Elite / Élite (masculin),Group C,2,Single game,Cactus Cuts,Plouk,Cactus Cuts,21,17,,,,,Keaton Kirchner,Austin Bueckert,Pierre-Luc Laramée,Manouk Momo
Pool play,Men's Elite / Élite (masculin),Group C,2,Single game,Let's Go!!!,French Cook,Let's Go!!!,21,16,,,,,Vincent Bastrash,Thomas Déry,Etienne Cote,Trevor Cook
Pool play,Men's Elite / Élite (masculin),Group C,2,Single game,Serve N' D,Brews Brothers,Serve N' D,21,15,,,,,Branden Domm,Cam Korvemaker,Jean-Francois Chevalier,Philippe Delwaide
Pool play,Men's Elite / Élite (masculin),Group D,2,Single game,Odds Per Hype,TT's,TT's,19,21,,,,,Reilly Paquette,Emerson Dean,Eric Pierce,Max Zhang
Pool play,Men's Elite / Élite (masculin),Group D,2,Single game,The Prince,Jake and Will (Went Up The Hill),The Prince,21,10,,,,,Samuel Prince,Maxime Prince,Will Ries,Jake Lepp
Pool play,Men's Elite / Élite (masculin),Group D,2,Single game,Mario & Luigi,miniclip.com,miniclip.com,19,21,,,,,Vincent Mailloux,Jean-Philippe Miller-Dussault,Élie Pilon,Julien Paquette
Pool play,Men's Elite / Élite (masculin),Group A,3,Single game,Simply's Back,Les Cowboys,Simply's Back,21,18,,,,,Guillaume Jomphe,Olivier Laurin,Guillaume Arbour-Loyer,Félix Arbour-Loyer
Pool play,Men's Elite / Élite (masculin),Group A,3,Single game,2nd choice,PB & J,2nd choice,21,17,,,,,Chris Brown,Jordan Brandes,Bryan Fonseca,Peter Lam
Pool play,Men's Elite / Élite (masculin),Group A,3,Single game,Kung/Lee,Équipe Mrgence,Équipe Mrgence,17,21,,,,,Matthew Lee,Evan Kung,Maxime Rome-Gosselin,Simon Toupin
Pool play,Men's Elite / Élite (masculin),Group B,3,Single game,Wonky Sauce,Bingpot,Wonky Sauce,21,16,,,,,Justin Plett,Blake Bosak,Spencer Longfellow,Walter Bonilla
Pool play,Men's Elite / Élite (masculin),Group B,3,Single game,Wasabi,Rothesay Boys,Wasabi,21,17,,,,,Marc Etienne McLaughlin,,Thomas Van steeg,Ryan Reay
Pool play,Men's Elite / Élite (masculin),Group B,3,Single game,Sub-Zero,Space Jam,Sub-Zero,21,16,,,,,Gabriel Monfette,Olivier Aglot,Eric Reinke,Hudson Ford
Pool play,Men's Elite / Élite (masculin),Group C,3,Single game,Cactus Cuts,Serve N' D,Cactus Cuts,21,14,,,,,Keaton Kirchner,Austin Bueckert,Branden Domm,Cam Korvemaker
Pool play,Men's Elite / Élite (masculin),Group C,3,Single game,Let's Go!!!,Brews Brothers,Let's Go!!!,21,13,,,,,Vincent Bastrash,Thomas Déry,Jean-Francois Chevalier,Philippe Delwaide
Pool play,Men's Elite / Élite (masculin),Group C,3,Single game,French Cook,Plouk,Plouk,20,21,,,,,Etienne Cote,Trevor Cook,Pierre-Luc Laramée,Manouk Momo
Pool play,Men's Elite / Élite (masculin),Group D,3,Single game,Odds Per Hype,Mario & Luigi,Odds Per Hype,21,18,,,,,Reilly Paquette,Emerson Dean,Vincent Mailloux,Jean-Philippe Miller-Dussault
Pool play,Men's Elite / Élite (masculin),Group D,3,Single game,The Prince,miniclip.com,The Prince,21,16,,,,,Samuel Prince,Maxime Prince,Élie Pilon,Julien Paquette
Pool play,Men's Elite / Élite (masculin),Group D,3,Single game,Jake and Will (Went Up The Hill),TT's,TT's,16,21,,,,,Will Ries,Jake Lepp,Eric Pierce,Max Zhang
Pool play,Men's Elite / Élite (masculin),Group A,4,Single game,Simply's Back,Kung/Lee,Simply's Back,21,17,,,,,Guillaume Jomphe,Olivier Laurin,Matthew Lee,Evan Kung
Pool play,Men's Elite / Élite (masculin),Group A,4,Single game,2nd choice,Les Cowboys,2nd choice,21,12,,,,,Chris Brown,Jordan Brandes,Guillaume Arbour-Loyer,Félix Arbour-Loyer
Pool play,Men's Elite / Élite (masculin),Group A,4,Single game,Équipe Mrgence,PB & J,Équipe Mrgence,21,16,,,,,Maxime Rome-Gosselin,Simon Toupin,Bryan Fonseca,Peter Lam
Pool play,Men's Elite / Élite (masculin),Group B,4,Single game,Wonky Sauce,Sub-Zero,Wonky Sauce,21,14,,,,,Justin Plett,Blake Bosak,Gabriel Monfette,Olivier Aglot
Pool play,Men's Elite / Élite (masculin),Group B,4,Single game,Wasabi,Bingpot,Wasabi,21,20,,,,,Marc Etienne McLaughlin,,Spencer Longfellow,Walter Bonilla
Pool play,Men's Elite / Élite (masculin),Group B,4,Single game,Space Jam,Rothesay Boys,Space Jam,21,15,,,,,Eric Reinke,Hudson Ford,Thomas Van steeg,Ryan Reay
Pool play,Men's Elite / Élite (masculin),Group C,4,Single game,Cactus Cuts,French Cook,French Cook,20,21,,,,,Keaton Kirchner,Austin Bueckert,Etienne Cote,Trevor Cook
Pool play,Men's Elite / Élite (masculin),Group C,4,Single game,Let's Go!!!,Serve N' D,Let's Go!!!,21,11,,,,,Vincent Bastrash,Thomas Déry,Branden Domm,Cam Korvemaker
Pool play,Men's Elite / Élite (masculin),Group C,4,Single game,Plouk,Brews Brothers,Plouk,21,12,,,,,Pierre-Luc Laramée,Manouk Momo,Jean-Francois Chevalier,Philippe Delwaide
Pool play,Men's Elite / Élite (masculin),Group D,4,Single game,Odds Per Hype,Jake and Will (Went Up The Hill),Odds Per Hype,21,20,,,,,Reilly Paquette,Emerson Dean,Will Ries,Jake Lepp
