Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,5.0 Open Premier/Bronze+,Group A,1,Single game,Fever,Anotha round of tweas,Fever,21,9,,,,,Kieran Rose,Connor Nelson,Chase Bremner,Brendon Hanson
Pool Play,5.0 Open Premier/Bronze+,Group A,1,Single game,NEM Dominion,Great pass!,NEM Dominion,21,16,,,,,Andrew Greer,Jake Dooley,Justin Goldman,Harrison Baisden
Pool Play,5.0 Open Premier/Bronze+,Group B,1,Single game,Rogue,Plan B,Rogue,21,8,,,,,Thomas Hamilton,Ryan Marino,Jose Knight,pavan narahari
Pool Play,5.0 Open Premier/Bronze+,Group B,1,Single game,Hydraulic,White Girl Wasted,Hydraulic,21,16,,,,,Josh Hutko,Riley Nassour,Spencer Sexton,Caleb White
Pool Play,5.0 Open Premier/Bronze+,Group C,1,Single game,Paradox,Tempo,Paradox,21,7,,,,,Paq Clifford,Kyle Fowler,Sean Caufield,Eli Canon
Pool Play,5.0 Open Premier/Bronze+,Group C,1,Single game,Landes/Porter,Ditto,Ditto,13,21,,,,,Ben Landes,Adam Porter,Matt Wallach,Jackson Biggs
Pool Play,5.0 Open Premier/Bronze+,Group D,1,Single game,NEM Seazonal,Doc McPuffins 🩺 🐧 ,NEM Seazonal,21,5,,,,,Jacob Summers,Zach Snover,Brooks Weeks,Austin Niles
Pool Play,5.0 Open Premier/Bronze+,Group D,1,Single game,Bro Code,Martially Inclined,Bro Code,21,15,,,,,Andrew Yancey,Peyton Stack,Grant Marshall,Jeremy Lee
Pool Play,5.0 Open Premier/Bronze+,Group E,1,Single game,Abrams/Fragiacomo,Noah/Hampton,Abrams/Fragiacomo,21,16,,,,,Josh Fragiacomo,Dan Abrams,Noah Kopetic,Hampton Chappell
Pool Play,5.0 Open Premier/Bronze+,Group E,1,Single game,Denmark/Cote,Maniacal,Maniacal,19,21,,,,,Kyler Cote,Polk Denmark,Michael Yung,Manish Nagireddy
Pool Play,5.0 Open Premier/Bronze+,Group F,1,Single game,foolish,preemptive crank,foolish,21,16,,,,,Lucas Pruett,Sunny Gu,Luke Nettles,Isaac Mixon
Pool Play,5.0 Open Premier/Bronze+,Group F,1,Single game,Muppet Division,Checkpoint,Checkpoint,14,21,,,,,Aleks Essen,Joey Reynolds,Jackson Carpenter,Charlie Cavallaro
Pool Play,5.0 Open Premier/Bronze+,Group F,1,Single game,ARRAKIS,Toxic,ARRAKIS,21,14,,,,,Clifford Amadeo LeVeque,Korbin Thompson,Javier Vidal,Caedon Gibson
Pool Play,5.0 Open Premier/Bronze+,Group G,1,Single game,Finocchi/Model,tap ons only,Finocchi/Model,21,12,,,,,Max Model,Gabe Finocchi,Daniel Chudin,Isaac Hill-Williams
Pool Play,5.0 Open Premier/Bronze+,Group G,1,Single game,Bad Combo,Big Yahu & Big Wahoo,Bad Combo,21,11,,,,,Rahul Murthy,Will Picone,Eric Guan,Tomer Keren
Pool Play,5.0 Open Premier/Bronze+,Group G,1,Single game,Come Ahhhh,China Smash,China Smash,15,21,,,,,Jack Drouare,Sam Aven,Ricky Santiago,Jerry Hao
Pool Play,5.0 Open Premier/Bronze+,Group H,1,Single game,Come & Go,SnF The dynamic tuahs,Come & Go,21,14,,,,,Mike Garrett,Jake Mottershead,Brock Lodato,Brian Perlson
Pool Play,5.0 Open Premier/Bronze+,Group H,1,Single game,Dominant Hand Frauds,i miss justin,Dominant Hand Frauds,21,13,,,,,Luke Mowry,Tyler Fernandez,Sean Santos,Owen Wallace
Pool Play,5.0 Open Premier/Bronze+,Group H,1,Single game,Moldovsky/Parera,Margin of Error,Margin of Error,15,21,,,,,Rafi Moldovsky,Jai Parera,Kevin Chen,Demitri Forand
Pool Play,5.0 Open Premier/Bronze+,Group A,2,Single game,Fever,Great pass!,Fever,21,5,,,,,Kieran Rose,Connor Nelson,Justin Goldman,Harrison Baisden
Pool Play,5.0 Open Premier/Bronze+,Group A,2,Single game,Crave,Anotha round of tweas,Crave,21,18,,,,,Andrew Nee,Sam Diani,Chase Bremner,Brendon Hanson
Pool Play,5.0 Open Premier/Bronze+,Group B,2,Single game,Rogue,White Girl Wasted,Rogue,21,11,,,,,Thomas Hamilton,Ryan Marino,Spencer Sexton,Caleb White
Pool Play,5.0 Open Premier/Bronze+,Group B,2,Single game,🍌BENana BReAD🍞,Plan B,🍌BENana BReAD🍞,21,7,,,,,Ben Savage,Bradley Clark,Jose Knight,pavan narahari
Pool Play,5.0 Open Premier/Bronze+,Group C,2,Single game,Paradox,Ditto,Paradox,21,8,,,,,Paq Clifford,Kyle Fowler,Matt Wallach,Jackson Biggs
Pool Play,5.0 Open Premier/Bronze+,Group C,2,Single game,Desperate For A Body Touch,Tempo,Desperate For A Body Touch,21,19,,,,,Nate von der Sitt,Reed Drouare,Sean Caufield,Eli Canon
Pool Play,5.0 Open Premier/Bronze+,Group D,2,Single game,NEM Seazonal,Martially Inclined,NEM Seazonal,21,9,,,,,Jacob Summers,Zach Snover,Grant Marshall,Jeremy Lee
Pool Play,5.0 Open Premier/Bronze+,Group D,2,Single game,GWR Sour😶‍🌫️,Doc McPuffins 🩺 🐧 ,Doc McPuffins 🩺 🐧 ,18,21,,,,,Jacob Arzaga,Drew Ryder,Brooks Weeks,Austin Niles
Pool Play,5.0 Open Premier/Bronze+,Group E,2,Single game,Abrams/Fragiacomo,Maniacal,Abrams/Fragiacomo,21,8,,,,,Josh Fragiacomo,Dan Abrams,Michael Yung,Manish Nagireddy
Pool Play,5.0 Open Premier/Bronze+,Group E,2,Single game,High Caliber,Noah/Hampton,High Caliber,21,18,,,,,John Buchanan,Matt Spolarich,Noah Kopetic,Hampton Chappell
Pool Play,5.0 Open Premier/Bronze+,Group F,2,Single game,foolish,Checkpoint,foolish,21,11,,,,,Lucas Pruett,Sunny Gu,Jackson Carpenter,Charlie Cavallaro
Pool Play,5.0 Open Premier/Bronze+,Group F,2,Single game,Muppet Division,ARRAKIS,ARRAKIS,18,21,,,,,Aleks Essen,Joey Reynolds,Clifford Amadeo LeVeque,Korbin Thompson
Pool Play,5.0 Open Premier/Bronze+,Group F,2,Single game,Toxic,preemptive crank,Toxic,21,10,,,,,Javier Vidal,Caedon Gibson,Luke Nettles,Isaac Mixon
Pool Play,5.0 Open Premier/Bronze+,Group G,2,Single game,Finocchi/Model,Big Yahu & Big Wahoo,Finocchi/Model,21,12,,,,,Max Model,Gabe Finocchi,Eric Guan,Tomer Keren
Pool Play,5.0 Open Premier/Bronze+,Group G,2,Single game,Bad Combo,Come Ahhhh,Bad Combo,21,17,,,,,Rahul Murthy,Will Picone,Jack Drouare,Sam Aven
Pool Play,5.0 Open Premier/Bronze+,Group G,2,Single game,China Smash,tap ons only,China Smash,21,19,,,,,Ricky Santiago,Jerry Hao,Daniel Chudin,Isaac Hill-Williams
