Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
"Pool Play ",5.0 Open Premier/Bronze+,Group A,1,Single game,Marino / Nelson,Goobners,Marino / Nelson,21,8,,,,,Connor Nelson,Ryan Marino,Brian Perlson,Henry Cheung
"Pool Play ",5.0 Open Premier/Bronze+,Group A,1,Single game,Hydraulic,Toe Goblins 🧌,Hydraulic,21,14,,,,,Josh Hutko,Riley Nassour,Grayson M  Wills,Zach M
"Pool Play ",5.0 Open Premier/Bronze+,Group B,1,Single game,Temu Klap,Bridge 4,Temu Klap,21,10,,,,,Zach Snover,Jake Woolley,Kai Zafren,Zach Carver
"Pool Play ",5.0 Open Premier/Bronze+,Group B,1,Single game,GFD Fat Chuds,Common Cold,GFD Fat Chuds,21,14,,,,,Justin Barr,Izayah Gibson,Nic Albornoz,Noah Elconin
"Pool Play ",5.0 Open Premier/Bronze+,Group C,1,Single game,CHEATERS ROUNDNET,Crisp High Five,CHEATERS ROUNDNET,21,12,,,,,Jake Dooley,Jacob Summers,Andre Reynolds,Dylan Noker
"Pool Play ",5.0 Open Premier/Bronze+,Group C,1,Single game,BTR,KAB Friendly Fire,BTR,21,14,,,,,Korbin Thompson,Jack Drouare,Austin Niles,Sam Aven
"Pool Play ",5.0 Open Premier/Bronze+,Group D,1,Single game,Savage/Gonzalez,Pierogi Race,Savage/Gonzalez,21,7,,,,,Ben Savage,Jaxon Gonzalez,Ryan Shantz,Kaden Gratton
"Pool Play ",5.0 Open Premier/Bronze+,Group D,1,Single game,Tempo,GFD Fatter Chuds,Tempo,21,14,,,,,Eli Canon,Sean Caufield,Charlie Cavallaro,Brock Lodato
"Pool Play ",5.0 Open Premier/Bronze+,Group E,1,Single game,The Diamond Dogs,Bounty Hunters,The Diamond Dogs,21,9,,,,,Reid Pfutzenreuter,Bennett Anderson,Arjun Dhankani,Chase Bremner
"Pool Play ",5.0 Open Premier/Bronze+,Group E,1,Single game,Renewal,Passion project,Renewal,21,5,,,,,Aleks Essen,Caleb Shorter,Axel Helfand,Patrick Gillespie
"Pool Play ",5.0 Open Premier/Bronze+,Group E,1,Single game,orangest crush,big sahurs,orangest crush,21,18,,,,,Brooks Weeks,Owen Wallace,Jose Knight,Noah Kopetic
"Pool Play ",5.0 Open Premier/Bronze+,Group F,1,Single game,Gavin & Kyle,The Beans,Gavin & Kyle,21,10,,,,,Kyle Fowler,Gavin Hansen,Salvatore Guagenti,Jackson Carpenter
"Pool Play ",5.0 Open Premier/Bronze+,Group F,1,Single game,Sweaty,Flick Around and Find Out,Sweaty,21,11,,,,,Justin Shaytar,Alex Newton,Kenny Velu,Lance Markowitz
"Pool Play ",5.0 Open Premier/Bronze+,Group F,1,Single game,GFD TRP Double Gulp,#slay,#slay,19,21,,,,,Tim Lacagnina,Cody Dryer,Bradley Clark,Joanna Gould
"Pool Play ",5.0 Open Premier/Bronze+,Group A,2,Single game,Marino / Nelson,Toe Goblins 🧌,Marino / Nelson,21,7,,,,,Connor Nelson,Ryan Marino,Grayson M  Wills,Zach M
"Pool Play ",5.0 Open Premier/Bronze+,Group A,2,Single game,Brian Perlson,Goobners,Brian Perlson,21,13,,,,,Kurt Lannetti,Jacob Arzaga,Brian Perlson,Henry Cheung
"Pool Play ",5.0 Open Premier/Bronze+,Group B,2,Single game,Temu Klap,Common Cold,Temu Klap,21,10,,,,,Zach Snover,Jake Woolley,Nic Albornoz,Noah Elconin
"Pool Play ",5.0 Open Premier/Bronze+,Group B,2,Single game,GFD Zone 2,Bridge 4,Bridge 4,16,21,,,,,Andrew Sullivan,Grant Klapwijk,Kai Zafren,Zach Carver
"Pool Play ",5.0 Open Premier/Bronze+,Group C,2,Single game,CHEATERS ROUNDNET,KAB Friendly Fire,CHEATERS ROUNDNET,21,14,,,,,Jake Dooley,Jacob Summers,Austin Niles,Sam Aven
