Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,Kyle & Will,BERSERKERS,Kyle & Will,21,10,,,,,Will Picone,Kyle Fowler,Luc Vincent Guay,Olivier Mallette
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,Hutko/Savage,Blitz,Hutko/Savage,21,5,,,,,Josh Hutko,Ben Savage,Thomas Langlois,Jean-Francois Chevalier
Group Stage,5.0 Open Premier/Bronze+,Group B,1,Single game,Gimme Boys,Flabazadalagalalright,Gimme Boys,21,5,,,,,Guillaume Bilodeau,Maxime Prince,Brendan Reesor,Jordan Martin
Group Stage,5.0 Open Premier/Bronze+,Group B,1,Single game,Locked,Los Weones,Locked,21,14,,,,,Matt Wallach,Andrew Nee,Luis Alvarez,Léo Guérin-Morneau
Group Stage,5.0 Open Premier/Bronze+,Group C,1,Single game,Jé/Dan,Short and Sweet,Jé/Dan,21,10,,,,,Jé Gagnon,Dan Abrams,Olivier Bernard,Pierre-Luc Robitaille
Group Stage,5.0 Open Premier/Bronze+,Group C,1,Single game,Sweaty,Super Nannies,Sweaty,21,12,,,,,Justin Shaytar,Alex Newton,Simon Arseneau,Clement Lavice
Group Stage,5.0 Open Premier/Bronze+,Group D,1,Single game,Flow State,Farmboys,Flow State,21,9,,,,,Jake Woolley,Garrett Carver,Mathis Mensour,Noah Baccin
Group Stage,5.0 Open Premier/Bronze+,Group D,1,Single game,Dinomite,In-Tim-idating and Dan-gerous,Dinomite,21,11,,,,,Charlie Camarena,Auriel Wish,Daniel Vogt,Tim Matten
Group Stage,5.0 Open Premier/Bronze+,Group D,1,Single game,Clueless,Snowfall,Snowfall,18,21,,,,,Jasmin-Long Najim,Alexandre Vaillancourt,Samuel Panek,Jacob Lamontagne
Group Stage,5.0 Open Premier/Bronze+,Group E,1,Single game,The Biggest Sun,Good fun,The Biggest Sun,21,13,,,,,Jackson Biggs,Sunny Gu,Mitchell Carter,Gabriel Monfette
