Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.5 Open Gold+,Group A,1,Single game,Fever,Mr. Worldwide,Fever,21,12,,,,,Kieran Rose,Connor Nelson,John Buchanan,Polk Denmark
Group Stage,5.5 Open Gold+,Group A,1,Single game,TLMG,Grandmas Breakfast,TLMG,21,10,,,,,Anthony St-Martin,Thomas Dery,Jack Drouare,Jackson Wood
Group Stage,5.5 Open Gold+,Group B,1,Single game,Rogue,Garant-ie Théo-rique,Rogue,21,6,,,,,Thomas Hamilton,Ryan Marino,William Garant,Théophane Frémond-Guilbault
Group Stage,5.5 Open Gold+,Group B,1,Single game,Octane,ARRAKIS,ARRAKIS,19,21,,,,,Dawson Morgan,Nathan Robertt,Clifford Amadeo LeVeque,Korbin Thompson
Group Stage,5.5 Open Gold+,Group B,1,Single game,High Stakes Holdem,Claude --dangerously-drag-toes,High Stakes Holdem,21,9,,,,,Eddy Leung,Tyler Fernandez,Jake Young,Solomon Berry
Group Stage,5.5 Open Gold+,Group C,1,Single game,Paradox,Renewal,Paradox,21,11,,,,,Kyle Fowler,Paq Clifford,Aleks Essen,Caleb Shorter
Group Stage,5.5 Open Gold+,Group C,1,Single game,Finocchi/Model,Laurin/Vicera,Finocchi/Model,21,17,,,,,Max Model,Gabriel Finocchi,Carlin Vicera,Olivier Laurin
Group Stage,5.5 Open Gold+,Group C,1,Single game,Average Joe’s,The Diamond Dogs,The Diamond Dogs,4,21,,,,,Chris Brown,Ben Pernfuss,Bennett Anderson,Reid Pfutzenreuter
Group Stage,5.5 Open Gold+,Group D,1,Single game,Cote/Gagnon,FaZe Clan,Cote/Gagnon,21,15,,,,,Jé Gagnon,Etienne Cote,Jake Hurst,Jon Esposo
Group Stage,5.5 Open Gold+,Group D,1,Single game,Sharkeys,Hydraulic,Sharkeys,21,9,,,,,Will Picone,Jaxon Gonzalez,Josh Hutko,Riley Nassour
Group Stage,5.5 Open Gold+,Group D,1,Single game,Sweaty,Bang bang lighty boys,Sweaty,22,20,,,,,Justin Shaytar,Alex Newton,Sam Diani,Jackson Biggs
Group Stage,5.5 Open Gold+,Group E,1,Single game,foolish,NEM Uprising,foolish,21,12,,,,,Lucas Pruett,Sunny Gu,Adam Hassan,Brock Leibold
Group Stage,5.5 Open Gold+,Group E,1,Single game,NEM Seazonal,North East South West,NEM Seazonal,21,18,,,,,Jacob Summers,Zach Snover,Matt Wallach,Alec Galbo
Group Stage,5.5 Open Gold+,Group E,1,Single game,spot on,NEM Dominion,spot on,21,12,,,,,Will Ries,Nick Wideman,Jake Dooley,Andrew Greer
Group Stage,5.5 Open Gold+,Group A,2,Single game,Fever,Grandmas Breakfast,Fever,21,11,,,,,Kieran Rose,Connor Nelson,Jack Drouare,Jackson Wood
Group Stage,5.5 Open Gold+,Group A,2,Single game,Dinomite,Mr. Worldwide,Dinomite,21,19,,,,,Auriel Wish,Charlie Camarena,John Buchanan,Polk Denmark
Group Stage,5.5 Open Gold+,Group B,2,Single game,Rogue,ARRAKIS,Rogue,21,11,,,,,Thomas Hamilton,Ryan Marino,Clifford Amadeo LeVeque,Korbin Thompson
Group Stage,5.5 Open Gold+,Group B,2,Single game,Octane,High Stakes Holdem,Octane,21,19,,,,,Dawson Morgan,Nathan Robertt,Eddy Leung,Tyler Fernandez
Group Stage,5.5 Open Gold+,Group B,2,Single game,Claude --dangerously-drag-toes,Garant-ie Théo-rique,Garant-ie Théo-rique,19,21,,,,,Jake Young,Solomon Berry,William Garant,Théophane Frémond-Guilbault
Group Stage,5.5 Open Gold+,Group C,2,Single game,Paradox,Laurin/Vicera,Paradox,21,8,,,,,Kyle Fowler,Paq Clifford,Carlin Vicera,Olivier Laurin
Group Stage,5.5 Open Gold+,Group C,2,Single game,Finocchi/Model,Average Joe’s,Finocchi/Model,21,9,,,,,Max Model,Gabriel Finocchi,Chris Brown,Ben Pernfuss
Group Stage,5.5 Open Gold+,Group C,2,Single game,The Diamond Dogs,Renewal,The Diamond Dogs,21,5,,,,,Bennett Anderson,Reid Pfutzenreuter,Aleks Essen,Caleb Shorter
Group Stage,5.5 Open Gold+,Group D,2,Single game,Cote/Gagnon,Hydraulic,Cote/Gagnon,21,15,,,,,Jé Gagnon,Etienne Cote,Josh Hutko,Riley Nassour
Group Stage,5.5 Open Gold+,Group D,2,Single game,Sharkeys,Sweaty,Sharkeys,21,15,,,,,Will Picone,Jaxon Gonzalez,Justin Shaytar,Alex Newton
Group Stage,5.5 Open Gold+,Group D,2,Single game,Bang bang lighty boys,FaZe Clan,Bang bang lighty boys,21,17,,,,,Sam Diani,Jackson Biggs,Jake Hurst,Jon Esposo
Group Stage,5.5 Open Gold+,Group E,2,Single game,foolish,North East South West,foolish,21,14,,,,,Lucas Pruett,Sunny Gu,Matt Wallach,Alec Galbo
Group Stage,5.5 Open Gold+,Group E,2,Single game,NEM Seazonal,spot on,NEM Seazonal,21,14,,,,,Jacob Summers,Zach Snover,Will Ries,Nick Wideman
Group Stage,5.5 Open Gold+,Group E,2,Single game,NEM Dominion,NEM Uprising,NEM Dominion,21,17,,,,,Jake Dooley,Andrew Greer,Adam Hassan,Brock Leibold
Group Stage,5.5 Open Gold+,Group A,3,Single game,Fever,Dinomite,Fever,21,18,,,,,Kieran Rose,Connor Nelson,Auriel Wish,Charlie Camarena
Group Stage,5.5 Open Gold+,Group A,3,Single game,TLMG,Mr. Worldwide,TLMG,21,16,,,,,Anthony St-Martin,Thomas Dery,John Buchanan,Polk Denmark
Group Stage,5.5 Open Gold+,Group B,3,Single game,Rogue,Claude --dangerously-drag-toes,Rogue,21,9,,,,,Thomas Hamilton,Ryan Marino,Jake Young,Solomon Berry
Group Stage,5.5 Open Gold+,Group B,3,Single game,Octane,Garant-ie Théo-rique,Octane,21,10,,,,,Dawson Morgan,Nathan Robertt,William Garant,Théophane Frémond-Guilbault
Group Stage,5.5 Open Gold+,Group B,3,Single game,High Stakes Holdem,ARRAKIS,High Stakes Holdem,21,13,,,,,Eddy Leung,Tyler Fernandez,Clifford Amadeo LeVeque,Korbin Thompson
Group Stage,5.5 Open Gold+,Group C,3,Single game,Paradox,The Diamond Dogs,Paradox,21,19,,,,,Kyle Fowler,Paq Clifford,Bennett Anderson,Reid Pfutzenreuter
Group Stage,5.5 Open Gold+,Group C,3,Single game,Finocchi/Model,Renewal,Finocchi/Model,21,17,,,,,Max Model,Gabriel Finocchi,Aleks Essen,Caleb Shorter
Group Stage,5.5 Open Gold+,Group C,3,Single game,Average Joe’s,Laurin/Vicera,Average Joe’s,21,19,,,,,Chris Brown,Ben Pernfuss,Carlin Vicera,Olivier Laurin
Group Stage,5.5 Open Gold+,Group D,3,Single game,Cote/Gagnon,Bang bang lighty boys,Cote/Gagnon,21,17,,,,,Jé Gagnon,Etienne Cote,Sam Diani,Jackson Biggs
Group Stage,5.5 Open Gold+,Group D,3,Single game,Sharkeys,FaZe Clan,Sharkeys,21,17,,,,,Will Picone,Jaxon Gonzalez,Jake Hurst,Jon Esposo
Group Stage,5.5 Open Gold+,Group D,3,Single game,Sweaty,Hydraulic,Hydraulic,17,21,,,,,Justin Shaytar,Alex Newton,Josh Hutko,Riley Nassour
Group Stage,5.5 Open Gold+,Group E,3,Single game,foolish,NEM Dominion,NEM Dominion,17,21,,,,,Lucas Pruett,Sunny Gu,Jake Dooley,Andrew Greer
Group Stage,5.5 Open Gold+,Group E,3,Single game,NEM Seazonal,NEM Uprising,NEM Seazonal,21,10,,,,,Jacob Summers,Zach Snover,Adam Hassan,Brock Leibold
Group Stage,5.5 Open Gold+,Group E,3,Single game,spot on,North East South West,spot on,21,15,,,,,Will Ries,Nick Wideman,Matt Wallach,Alec Galbo
Group Stage,5.5 Open Gold+,Group A,4,Single game,TLMG,Dinomite,Dinomite,13,21,,,,,Anthony St-Martin,Thomas Dery,Auriel Wish,Charlie Camarena
Group Stage,5.5 Open Gold+,Group A,4,Single game,Grandmas Breakfast,Mr. Worldwide,Grandmas Breakfast,21,19,,,,,Jack Drouare,Jackson Wood,John Buchanan,Polk Denmark
Group Stage,5.5 Open Gold+,Group B,4,Single game,Rogue,High Stakes Holdem,Rogue,25,24,,,,,Thomas Hamilton,Ryan Marino,Eddy Leung,Tyler Fernandez
Group Stage,5.5 Open Gold+,Group B,4,Single game,Octane,Claude --dangerously-drag-toes,Octane,21,15,,,,,Dawson Morgan,Nathan Robertt,Jake Young,Solomon Berry
Group Stage,5.5 Open Gold+,Group B,4,Single game,ARRAKIS,Garant-ie Théo-rique,ARRAKIS,22,20,,,,,Clifford Amadeo LeVeque,Korbin Thompson,William Garant,Théophane Frémond-Guilbault
Group Stage,5.5 Open Gold+,Group C,4,Single game,Paradox,Average Joe’s,Paradox,21,9,,,,,Kyle Fowler,Paq Clifford,Chris Brown,Ben Pernfuss
Group Stage,5.5 Open Gold+,Group C,4,Single game,Finocchi/Model,The Diamond Dogs,The Diamond Dogs,12,21,,,,,Max Model,Gabriel Finocchi,Bennett Anderson,Reid Pfutzenreuter
Group Stage,5.5 Open Gold+,Group C,4,Single game,Laurin/Vicera,Renewal,Renewal,18,21,,,,,Carlin Vicera,Olivier Laurin,Aleks Essen,Caleb Shorter
Group Stage,5.5 Open Gold+,Group D,4,Single game,Cote/Gagnon,Sweaty,Cote/Gagnon,21,10,,,,,Jé Gagnon,Etienne Cote,Justin Shaytar,Alex Newton
Group Stage,5.5 Open Gold+,Group D,4,Single game,Sharkeys,Bang bang lighty boys,Sharkeys,21,11,,,,,Will Picone,Jaxon Gonzalez,Sam Diani,Jackson Biggs
Group Stage,5.5 Open Gold+,Group D,4,Single game,Hydraulic,FaZe Clan,Hydraulic,25,23,,,,,Josh Hutko,Riley Nassour,Jake Hurst,Jon Esposo
