Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,Woollie Nelson,Wes Coast,Woollie Nelson,21,4,,,,,Jake Woolley,Connor Nelson,Joshua Grant,Wesley Joyce
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,Groovy,OG Blinggo Boys,Groovy,21,17,,,,,Carlin Vicera,Will Ries,Adam Randall,Alex Osler
Group Stage,5.0 Open Premier/Bronze+,Group A,1,Single game,100 Giks,Kobra Cai,Kobra Cai,18,21,,,,,Tahseen Robbani,Joey Reynolds,Calvin Cai,Daniel Chudin
Group Stage,5.0 Open Premier/Bronze+,Group B,1,Single game,Cote/Robertt,got milk?,Cote/Robertt,21,13,,,,,Etienne Cote,Nathan Robertt,Kavan Dharia,Jason Small
Group Stage,5.0 Open Premier/Bronze+,Group B,1,Single game,Charlie’s Angles,Zach and Max,Charlie’s Angles,21,16,,,,,Noah Saddik,Sasha Mariniuk,Zach Patterson,Max Nice
Group Stage,5.0 Open Premier/Bronze+,Group B,1,Single game,10 Toes Down,Spin City,10 Toes Down,21,17,,,,,Ryan Slaughter,Spencer Smith,Chris Loubert,Sabir Qureshi
Group Stage,5.0 Open Premier/Bronze+,Group C,1,Single game,Area,John/Jeff,Area,21,2,,,,,Nick Wideman,Eddy Leung,Jeffrey Cheng,La John
Group Stage,5.0 Open Premier/Bronze+,Group C,1,Single game,Algorithm,W 🫑,Algorithm,21,8,,,,,Solomon Berry,Juan Moscoso,Patrick McManus,Mo ElMoursi
Group Stage,5.0 Open Premier/Bronze+,Group C,1,Single game,Clarke/Ostheimer,Tilbúinn,Clarke/Ostheimer,21,8,,,,,Erick Ostheimer,Sam Clarke,Marlon Fleming,Dallin James
Group Stage,5.0 Open Premier/Bronze+,Group A,2,Single game,Woollie Nelson,OG Blinggo Boys,Woollie Nelson,21,7,,,,,Jake Woolley,Connor Nelson,Adam Randall,Alex Osler
Group Stage,5.0 Open Premier/Bronze+,Group A,2,Single game,Groovy,The Last Goodbye 👋,The Last Goodbye 👋,20,22,,,,,Carlin Vicera,Will Ries,Zachary Abas,Jason Xu
Group Stage,5.0 Open Premier/Bronze+,Group A,2,Single game,Kobra Cai,Wes Coast,Wes Coast,17,21,,,,,Calvin Cai,Daniel Chudin,Joshua Grant,Wesley Joyce
Group Stage,5.0 Open Premier/Bronze+,Group B,2,Single game,Cote/Robertt,Zach and Max,Cote/Robertt,21,11,,,,,Etienne Cote,Nathan Robertt,Zach Patterson,Max Nice
Group Stage,5.0 Open Premier/Bronze+,Group B,2,Single game,Charlie’s Angles,10 Toes Down,Charlie’s Angles,21,13,,,,,Noah Saddik,Sasha Mariniuk,Ryan Slaughter,Spencer Smith
Group Stage,5.0 Open Premier/Bronze+,Group B,2,Single game,Spin City,got milk?,got milk?,12,21,,,,,Chris Loubert,Sabir Qureshi,Kavan Dharia,Jason Small
Group Stage,5.0 Open Premier/Bronze+,Group C,2,Single game,Area,W 🫑,Area,21,3,,,,,Nick Wideman,Eddy Leung,Patrick McManus,Mo ElMoursi
Group Stage,5.0 Open Premier/Bronze+,Group C,2,Single game,Algorithm,Clarke/Ostheimer,Algorithm,21,9,,,,,Solomon Berry,Juan Moscoso,Erick Ostheimer,Sam Clarke
Group Stage,5.0 Open Premier/Bronze+,Group C,2,Single game,Tilbúinn,John/Jeff,John/Jeff,13,21,,,,,Marlon Fleming,Dallin James,Jeffrey Cheng,La John
