Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
"Pool play ",5.5 Open Gold+,Group A,1,Single game,Fever,Bring back same hand toss,Fever,21,14,,,,,Kieran Rose,Connor Nelson,Nolan Wynkoop,Alec Galbo
"Pool play ",5.5 Open Gold+,Group A,1,Single game,Leung/Robertt,Charlie’s Angles,Leung/Robertt,21,8,,,,,Nathan Robertt,Eddy Leung,Noah Saddik,Sasha Mariniuk
"Pool play ",5.5 Open Gold+,Group A,1,Single game,Oddball,Will & Trey,Oddball,21,16,,,,,Lucas Pruett,Nick Wideman,Trey Thompson,Will Ries
"Pool play ",5.5 Open Gold+,Group B,1,Single game,Carnivorous Herbivores,Carlin / Kyler,Carnivorous Herbivores,21,18,,,,,Jake Woolley,Josh Fragiacomo,Carlin Vicera,Kyler Cote
"Pool play ",5.5 Open Gold+,Group B,1,Single game,Generations,Algorithm,Generations,21,13,,,,,Sunny Gu,Andrew Nee,Juan Moscoso,Solomon Berry
"Pool play ",5.5 Open Gold+,Group B,1,Single game,GIRLS!,ARRAKIS,GIRLS!,21,19,,,,,Trevor Barbosa,Joseph Kaylor,Korbin Thompson,Clifford Amadeo LeVeque
"Pool play ",5.5 Open Gold+,Group C,1,Single game,Abrams / Cote,Imposters,Abrams / Cote,21,16,,,,,Dan Abrams,Etienne Cote,Reece Greer,James Lamkin
"Pool play ",5.5 Open Gold+,Group C,1,Single game,Paradox,Moldovsky/Hansen,Paradox,21,15,,,,,Kyle Fowler,Paq Clifford,Gavin Hansen,Rafi Moldovsky
"Pool play ",5.5 Open Gold+,Group C,1,Single game,NEM Phantom,Dinomite,Dinomite,19,21,,,,,Tyler Fernandez,Caleb Cummings,Auriel Wish,Charlie Camarena
"Pool play ",5.5 Open Gold+,Group A,2,Single game,Fever,Charlie’s Angles,Fever,21,15,,,,,Kieran Rose,Connor Nelson,Noah Saddik,Sasha Mariniuk
