Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Elite,Group A,1,Single game,CRO rimmer season,Till We Spike Again,CRO rimmer season,21,10,,,,,Nicholas Puopolo,Tyler Babin,Aaron Charette,Trevor Fleming
Group Stage,Elite,Group A,1,Single game,CRO Pocket Aces,PB & J,CRO Pocket Aces,21,15,,,,,Anthony Cho,Adrian Garcea,Bryan Fonseca,Peter Lam
Group Stage,Elite,Group B,1,Single game,Average Joe’s,Bologna Law,Average Joe’s,21,8,,,,,Chris Brown,Ben Pernfuss,Jordan Arnott,Kelton Law
Group Stage,Elite,Group B,1,Single game,CRO Bummerland,Milk Men,CRO Bummerland,22,20,,,,,Eric Reinke,Leonardo Tullo,Derek Soetemans,Brendan Reesor
Group Stage,Elite,Group C,1,Single game,Odds Per Hype,TJ’s Bar and Grill,Odds Per Hype,21,17,,,,,Reilly Paquette,Emerson Dean,Tyler Kitzul,Jared Ang
Group Stage,Elite,Group C,1,Single game,BHAD Dawgs,Seed Oilers,Seed Oilers,14,21,,,,,Nethaniel Gabriel,Colin TOLENTINO,Shane Soto,brandon farronato
Group Stage,Elite,Group D,1,Single game,CRO Indi Partners,Jungle Juice,CRO Indi Partners,21,15,,,,,Joshua Hachey,Austin Ha,Kyle Jeung,Nathan Goh
Group Stage,Elite,Group D,1,Single game,Great White Shark 🦈,Flick Merchants,Flick Merchants,21,23,,,,,Shardul Ghuge,Etienne Cote,C.J. Sison,Adam Hassan
Group Stage,Elite,Group A,2,Single game,CRO rimmer season,PB & J,CRO rimmer season,21,15,,,,,Nicholas Puopolo,Tyler Babin,Bryan Fonseca,Peter Lam
Group Stage,Elite,Group A,2,Single game,CRO Pocket Aces,Till We Spike Again,CRO Pocket Aces,21,12,,,,,Anthony Cho,Adrian Garcea,Aaron Charette,Trevor Fleming
