Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Premier 5.0+,Group A,1,Single game,Bot House,Free agent,Bot House,21,12,,,,,West Peterson,Owen Lippman,Alex Luc,Nolan Marolf
Pool Play,Premier 5.0+,Group A,1,Single game,Austin/Thomas,CRO X Future,Austin/Thomas,21,18,,,,,Austin Ha,Thomas Maloney,Adrian Garcea,Raffael Jonas
Pool Play,Premier 5.0+,Group B,1,Single game,Swamp Donkeys,CRO Suited Connect Ed,Swamp Donkeys,21,17,,,,,Emerson Dean,Etienne Cote,Nicholas Puopolo,Shakil Nobes
Pool Play,Premier 5.0+,Group B,1,Single game,Simply Smashing,Soft Pajamas,Simply Smashing,21,12,,,,,Guillaume Jomphe,Olivier Laurin,Isaac Freeman,James Hyman
Pool Play,Premier 5.0+,Group C,1,Single game,Wasabi,Butter Shortbread,Wasabi,21,10,,,,,Marc Etienne McLaughlin,Vincent Mathieu,Caleb Shorter,Bryan Fonseca
Pool Play,Premier 5.0+,Group C,1,Single game,Glitch,CRO Bummerland,Glitch,21,14,,,,,Luke Nickel,Cody Dryer,Leonardo Tullo,Eric Reinke
Pool Play,Premier 5.0+,Group C,1,Single game,Sub-Zero,Bingu!,Bingu!,17,21,,,,,Gabriel Monfette,Olivier Aglot,Sunny Gu,Jared Bingham
Pool Play,Premier 5.0+,Group D,1,Single game,Long Tan Handsome and Addison,Scoot’s Paradise,Long Tan Handsome and Addison,21,15,,,,,Addison Powers,Gabe Finocchi,Scott Pasiechnyk,Lou Paradis
Pool Play,Premier 5.0+,Group D,1,Single game,GFD Asian Invasion,Gym Class Heroes,GFD Asian Invasion,21,15,,,,,Neal Bergman,Justin Barr,Michael Murray,Patrick McAuliffe
Pool Play,Premier 5.0+,Group D,1,Single game,Super pumped,CRO Fall Damage,CRO Fall Damage,10,21,,,,,Reilly Paquette,Philip Drouin,Chris Brown,Tyler Babin
Pool Play,Premier 5.0+,Group A,2,Single game,Bot House,CRO X Future,Bot House,21,17,,,,,West Peterson,Owen Lippman,Adrian Garcea,Raffael Jonas
Pool Play,Premier 5.0+,Group A,2,Single game,Just Fungin Around,Free agent,Just Fungin Around,21,12,,,,,Justin Shaytar,Donald Fung,Alex Luc,Nolan Marolf
Pool Play,Premier 5.0+,Group B,2,Single game,Swamp Donkeys,Soft Pajamas,Swamp Donkeys,21,8,,,,,Emerson Dean,Etienne Cote,Isaac Freeman,James Hyman
Pool Play,Premier 5.0+,Group B,2,Single game,Let’s Eat,CRO Suited Connect Ed,Let’s Eat,22,20,,,,,Alex Daly,Vincent Bastrash,Nicholas Puopolo,Shakil Nobes
Pool Play,Premier 5.0+,Group C,2,Single game,Wasabi,CRO Bummerland,Wasabi,21,11,,,,,Marc Etienne McLaughlin,Vincent Mathieu,Leonardo Tullo,Eric Reinke
Pool Play,Premier 5.0+,Group C,2,Single game,Glitch,Sub-Zero,Sub-Zero,20,22,,,,,Luke Nickel,Cody Dryer,Gabriel Monfette,Olivier Aglot
Pool Play,Premier 5.0+,Group C,2,Single game,Bingu!,Butter Shortbread,Bingu!,21,14,,,,,Sunny Gu,Jared Bingham,Caleb Shorter,Bryan Fonseca
Pool Play,Premier 5.0+,Group D,2,Single game,Long Tan Handsome and Addison,Gym Class Heroes,Long Tan Handsome and Addison,21,13,,,,,Addison Powers,Gabe Finocchi,Michael Murray,Patrick McAuliffe
Pool Play,Premier 5.0+,Group D,2,Single game,GFD Asian Invasion,Super pumped,GFD Asian Invasion,21,15,,,,,Neal Bergman,Justin Barr,Reilly Paquette,Philip Drouin
Pool Play,Premier 5.0+,Group D,2,Single game,CRO Fall Damage,Scoot’s Paradise,CRO Fall Damage,21,16,,,,,Chris Brown,Tyler Babin,Scott Pasiechnyk,Lou Paradis
Pool Play,Premier 5.0+,Group A,3,Single game,Bot House,Just Fungin Around,Bot House,21,18,,,,,West Peterson,Owen Lippman,Justin Shaytar,Donald Fung
Pool Play,Premier 5.0+,Group A,3,Single game,Austin/Thomas,Free agent,Free agent,19,21,,,,,Austin Ha,Thomas Maloney,Alex Luc,Nolan Marolf
Pool Play,Premier 5.0+,Group B,3,Single game,Swamp Donkeys,Let’s Eat,Swamp Donkeys,21,14,,,,,Emerson Dean,Etienne Cote,Alex Daly,Vincent Bastrash
Pool Play,Premier 5.0+,Group B,3,Single game,Simply Smashing,CRO Suited Connect Ed,Simply Smashing,21,16,,,,,Guillaume Jomphe,Olivier Laurin,Nicholas Puopolo,Shakil Nobes
Pool Play,Premier 5.0+,Group C,3,Single game,Wasabi,Bingu!,Wasabi,21,11,,,,,Marc Etienne McLaughlin,Vincent Mathieu,Sunny Gu,Jared Bingham
Pool Play,Premier 5.0+,Group C,3,Single game,Glitch,Butter Shortbread,Glitch,21,17,,,,,Luke Nickel,Cody Dryer,Caleb Shorter,Bryan Fonseca
Pool Play,Premier 5.0+,Group C,3,Single game,Sub-Zero,CRO Bummerland,Sub-Zero,21,13,,,,,Gabriel Monfette,Olivier Aglot,Leonardo Tullo,Eric Reinke
Pool Play,Premier 5.0+,Group D,3,Single game,Long Tan Handsome and Addison,CRO Fall Damage,Long Tan Handsome and Addison,21,19,,,,,Addison Powers,Gabe Finocchi,Chris Brown,Tyler Babin
Pool Play,Premier 5.0+,Group D,3,Single game,GFD Asian Invasion,Scoot’s Paradise,GFD Asian Invasion,21,13,,,,,Neal Bergman,Justin Barr,Scott Pasiechnyk,Lou Paradis
Pool Play,Premier 5.0+,Group D,3,Single game,Super pumped,Gym Class Heroes,Gym Class Heroes,19,21,,,,,Reilly Paquette,Philip Drouin,Michael Murray,Patrick McAuliffe
Pool Play,Premier 5.0+,Group A,4,Single game,Austin/Thomas,Just Fungin Around,Just Fungin Around,21,23,,,,,Austin Ha,Thomas Maloney,Justin Shaytar,Donald Fung
Pool Play,Premier 5.0+,Group A,4,Single game,CRO X Future,Free agent,CRO X Future,21,12,,,,,Adrian Garcea,Raffael Jonas,Alex Luc,Nolan Marolf
Pool Play,Premier 5.0+,Group B,4,Single game,Simply Smashing,Let’s Eat,Let’s Eat,21,23,,,,,Guillaume Jomphe,Olivier Laurin,Alex Daly,Vincent Bastrash
Pool Play,Premier 5.0+,Group B,4,Single game,Soft Pajamas,CRO Suited Connect Ed,CRO Suited Connect Ed,16,21,,,,,Isaac Freeman,James Hyman,Nicholas Puopolo,Shakil Nobes
Pool Play,Premier 5.0+,Group C,4,Single game,Wasabi,Sub-Zero,Sub-Zero,18,21,,,,,Marc Etienne McLaughlin,Vincent Mathieu,Gabriel Monfette,Olivier Aglot
Pool Play,Premier 5.0+,Group C,4,Single game,Glitch,Bingu!,Bingu!,19,21,,,,,Luke Nickel,Cody Dryer,Sunny Gu,Jared Bingham
Pool Play,Premier 5.0+,Group C,4,Single game,CRO Bummerland,Butter Shortbread,Butter Shortbread,13,21,,,,,Leonardo Tullo,Eric Reinke,Caleb Shorter,Bryan Fonseca
Pool Play,Premier 5.0+,Group D,4,Single game,Long Tan Handsome and Addison,Super pumped,Long Tan Handsome and Addison,21,12,,,,,Addison Powers,Gabe Finocchi,Reilly Paquette,Philip Drouin
Pool Play,Premier 5.0+,Group D,4,Single game,GFD Asian Invasion,CRO Fall Damage,GFD Asian Invasion,21,19,,,,,Neal Bergman,Justin Barr,Chris Brown,Tyler Babin
Pool Play,Premier 5.0+,Group D,4,Single game,Gym Class Heroes,Scoot’s Paradise,Scoot’s Paradise,19,21,,,,,Michael Murray,Patrick McAuliffe,Scott Pasiechnyk,Lou Paradis
Pool Play,Premier 5.0+,Group A,5,Single game,Bot House,Austin/Thomas,Bot House,21,10,,,,,West Peterson,Owen Lippman,Austin Ha,Thomas Maloney
