Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Stage,3.0 Recreational,Group A,1,Single game,L Squared,Picks Or It Didn’t Hagberg,Picks Or It Didn’t Hagberg,9,15,,,,,Logan Bishop,ledger walker,Sabrina Pickering,Blake Hagberg
Pool Stage,3.0 Recreational,Group A,1,Single game,"Mean girls ",XC KIDS,"Mean girls ",15,5,,,,,Max Hreinson,Kysen Weakley,Race Low,Jane Sorensen
Pool Stage,3.0 Recreational,Group A,1,Single game,Limitless,Aceholes,Aceholes,11,15,,,,,Cody Hallam,Ernie Rodriguez,Ander Lovell,Rex Atkinson
Pool Stage,3.0 Recreational,Group A,2,Single game,L Squared,XC KIDS,L Squared,15,9,,,,,Logan Bishop,ledger walker,Race Low,Jane Sorensen
Pool Stage,3.0 Recreational,Group A,2,Single game,"Mean girls ",Limitless,Limitless,11,15,,,,,Max Hreinson,Kysen Weakley,Cody Hallam,Ernie Rodriguez
Pool Stage,3.0 Recreational,Group A,2,Single game,Aceholes,Picks Or It Didn’t Hagberg,Aceholes,15,7,,,,,Ander Lovell,Rex Atkinson,Sabrina Pickering,Blake Hagberg
Pool Stage,3.0 Recreational,Group A,3,Single game,L Squared,Aceholes,Aceholes,9,15,,,,,Logan Bishop,ledger walker,Ander Lovell,Rex Atkinson
Pool Stage,3.0 Recreational,Group A,3,Single game,"Mean girls ",Picks Or It Didn’t Hagberg,"Mean girls ",15,9,,,,,Max Hreinson,Kysen Weakley,Sabrina Pickering,Blake Hagberg
Pool Stage,3.0 Recreational,Group A,3,Single game,Limitless,XC KIDS,Limitless,15,9,,,,,Cody Hallam,Ernie Rodriguez,Race Low,Jane Sorensen
Pool Stage,3.0 Recreational,Group A,4,Single game,L Squared,Limitless,Limitless,6,15,,,,,Logan Bishop,ledger walker,Cody Hallam,Ernie Rodriguez
Pool Stage,3.0 Recreational,Group A,4,Single game,"Mean girls ",Aceholes,Aceholes,8,15,,,,,Max Hreinson,Kysen Weakley,Ander Lovell,Rex Atkinson
Pool Stage,3.0 Recreational,Group A,4,Single game,XC KIDS,Picks Or It Didn’t Hagberg,Picks Or It Didn’t Hagberg,3,15,,,,,Race Low,Jane Sorensen,Sabrina Pickering,Blake Hagberg
Pool Stage,3.0 Recreational,Group A,5,Single game,L Squared,"Mean girls ","Mean girls ",7,15,,,,,Logan Bishop,ledger walker,Max Hreinson,Kysen Weakley
Pool Stage,3.0 Recreational,Group A,5,Single game,Limitless,Picks Or It Didn’t Hagberg,Limitless,15,12,,,,,Cody Hallam,Ernie Rodriguez,Sabrina Pickering,Blake Hagberg
Pool Stage,3.0 Recreational,Group A,5,Single game,Aceholes,XC KIDS,Aceholes,15,11,,,,,Ander Lovell,Rex Atkinson,Race Low,Jane Sorensen
Bracket Stage,3.0 Recreational,Bracket A,Quarter-final,Best of 3,"Mean girls ",XC KIDS,"Mean girls ",21,12,21,7,,,Max Hreinson,Kysen Weakley,Race Low,Jane Sorensen
Bracket Stage,3.0 Recreational,Bracket A,Quarter-final,Best of 3,Picks Or It Didn’t Hagberg,L Squared,Picks Or It Didn’t Hagberg,21,10,21,9,,,Sabrina Pickering,Blake Hagberg,Logan Bishop,ledger walker
Bracket Stage,3.0 Recreational,Bracket A,Semi-final,Best of 3,Aceholes,Picks Or It Didn’t Hagberg,Aceholes,21,15,21,15,,,Ander Lovell,Rex Atkinson,Sabrina Pickering,Blake Hagberg
Bracket Stage,3.0 Recreational,Bracket A,Semi-final,Best of 3,Limitless,"Mean girls ","Mean girls ",15,21,21,18,17,21,Cody Hallam,Ernie Rodriguez,Max Hreinson,Kysen Weakley
Bracket Stage,3.0 Recreational,Bracket A,Final,Best of 3,Aceholes,"Mean girls ",Aceholes,21,17,20,22,21,15,Ander Lovell,Rex Atkinson,Max Hreinson,Kysen Weakley
Bracket Stage,3.0 Recreational,Bracket A,P3: Final,Best of 3,Limitless,Picks Or It Didn’t Hagberg,Picks Or It Didn’t Hagberg,23,25,16,21,,,Cody Hallam,Ernie Rodriguez,Sabrina Pickering,Blake Hagberg
Bracket Stage,3.0 Recreational,Bracket A,P5: Final,Best of 3,L Squared,XC KIDS,L Squared,21,18,21,13,,,Logan Bishop,ledger walker,Race Low,Jane Sorensen
Pool Stage,4.0 Advanced,Group A,1,Single game,Los Mamados,Mamas boyz,Los Mamados,15,12,,,,,Luke Gonzalez,Ethan Gould,Cooper Brown,
Pool Stage,4.0 Advanced,Group A,1,Single game,Roundnet Rookies,Como Se Juega,Como Se Juega,12,15,,,,,Parker Medford,Jaimen Holman,Nathan Brueck,Adam Brueck
Pool Stage,4.0 Advanced,Group A,1,Single game,Spike Tyson,Mom and Dad,Spike Tyson,16,14,,,,,Riley George,Sage Christenson,Kylie Rowley,jesse rowley
Pool Stage,4.0 Advanced,Group B,1,Single game,Pocket pullers,Fortnite Ballerz,Pocket pullers,16,14,,,,,kashton bishop,Mckay Sedivy,Will Chipman,Henry Chipman
Pool Stage,4.0 Advanced,Group B,1,Single game,FCL,Rim Reapers,Rim Reapers,10,15,,,,,Noah Brady,Austin Connelly,Scotty Cutler,Taylor Cutler
Pool Stage,4.0 Advanced,Group B,1,Single game,Super SmAsh Bros,Slammo Roundnet,Slammo Roundnet,10,15,,,,,Broden Ash,Deegan Ash,Daniel Wight,Becca Feller
Pool Stage,4.0 Advanced,Group A,2,Single game,Los Mamados,Como Se Juega,Los Mamados,15,6,,,,,Luke Gonzalez,Ethan Gould,Nathan Brueck,Adam Brueck
Pool Stage,4.0 Advanced,Group A,2,Single game,Roundnet Rookies," Sigma Spikers"," Sigma Spikers",8,15,,,,,Parker Medford,Jaimen Holman,Jacob Shaw,TJ Sorbe
Pool Stage,4.0 Advanced,Group A,2,Single game,Mom and Dad,Mamas boyz,Mom and Dad,15,11,,,,,Kylie Rowley,jesse rowley,Cooper Brown,
Pool Stage,4.0 Advanced,Group B,2,Single game,Pocket pullers,Rim Reapers,Rim Reapers,12,15,,,,,kashton bishop,Mckay Sedivy,Scotty Cutler,Taylor Cutler
Pool Stage,4.0 Advanced,Group B,2,Single game,FCL,Spicy Spiker Sistas,FCL,15,12,,,,,Noah Brady,Austin Connelly,chloe degraff,Janalee Hatch
Pool Stage,4.0 Advanced,Group B,2,Single game,Slammo Roundnet,Fortnite Ballerz,Slammo Roundnet,15,11,,,,,Daniel Wight,Becca Feller,Will Chipman,Henry Chipman
Pool Stage,4.0 Advanced,Group A,3,Single game,Los Mamados,Mom and Dad,Los Mamados,15,11,,,,,Luke Gonzalez,Ethan Gould,Kylie Rowley,jesse rowley
Pool Stage,4.0 Advanced,Group A,3,Single game,Roundnet Rookies,Spike Tyson,Roundnet Rookies,15,12,,,,,Parker Medford,Jaimen Holman,Riley George,Sage Christenson
Pool Stage,4.0 Advanced,Group A,3,Single game," Sigma Spikers",Como Se Juega," Sigma Spikers",15,9,,,,,Jacob Shaw,TJ Sorbe,Nathan Brueck,Adam Brueck
Pool Stage,4.0 Advanced,Group B,3,Single game,Pocket pullers,Slammo Roundnet,Slammo Roundnet,7,15,,,,,kashton bishop,Mckay Sedivy,Daniel Wight,Becca Feller
Pool Stage,4.0 Advanced,Group B,3,Single game,FCL,Super SmAsh Bros,FCL,15,6,,,,,Noah Brady,Austin Connelly,Broden Ash,Deegan Ash
