Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Expert,Group A,1,Single game,Sugar Rush,Holy Smokes,Sugar Rush,21,11,,,,,Jacob Narayan,Kyle Fowler,Salvatore Guagenti,Billy Jung
Pool Play,Expert,Group A,1,Single game,Slight,clarked and loaded,clarked and loaded,18,21,,,,,Owen Bass,Grant Marshall,Ellis Bass,Bradley Clark
Pool Play,Expert,Group B,1,Single game,Bro Code,Minty,Bro Code,21,9,,,,,Peyton Stack,Andrew Yancey,Parker Mckinney,Andrew Felty
Pool Play,Expert,Group B,1,Single game,Whose your Daddy?,Bone Thugs No Harmony,Bone Thugs No Harmony,20,22,,,,,Paq Clifford,Sam Aven,Yanai Hamel-Sasson,Jackson Carpenter
Pool Play,Expert,Group A,2,Single game,Sugar Rush,clarked and loaded,Sugar Rush,21,10,,,,,Jacob Narayan,Kyle Fowler,Ellis Bass,Bradley Clark
Pool Play,Expert,Group A,2,Single game,"Too much sauce ",Holy Smokes,"Too much sauce ",21,11,,,,,Sean Caufield,Austin Niles,Salvatore Guagenti,Billy Jung
Pool Play,Expert,Group B,2,Single game,Bro Code,Bone Thugs No Harmony,Bro Code,21,16,,,,,Peyton Stack,Andrew Yancey,Yanai Hamel-Sasson,Jackson Carpenter
Pool Play,Expert,Group B,2,Single game,Out of Pocket,Minty,Out of Pocket,21,12,,,,,Spencer Sexton,Eli Canon,Parker Mckinney,Andrew Felty
Pool Play,Expert,Group A,3,Single game,Sugar Rush,"Too much sauce ",Sugar Rush,21,14,,,,,Jacob Narayan,Kyle Fowler,Sean Caufield,Austin Niles
Pool Play,Expert,Group A,3,Single game,Slight,Holy Smokes,Slight,21,8,,,,,Owen Bass,Grant Marshall,Salvatore Guagenti,Billy Jung
Pool Play,Expert,Group B,3,Single game,Bro Code,Out of Pocket,Bro Code,21,12,,,,,Peyton Stack,Andrew Yancey,Spencer Sexton,Eli Canon
Pool Play,Expert,Group B,3,Single game,Whose your Daddy?,Minty,Whose your Daddy?,21,8,,,,,Paq Clifford,Sam Aven,Parker Mckinney,Andrew Felty
Pool Play,Expert,Group A,4,Single game,Slight,"Too much sauce ","Too much sauce ",20,22,,,,,Owen Bass,Grant Marshall,Sean Caufield,Austin Niles
Pool Play,Expert,Group A,4,Single game,clarked and loaded,Holy Smokes,clarked and loaded,21,13,,,,,Ellis Bass,Bradley Clark,Salvatore Guagenti,Billy Jung
Pool Play,Expert,Group B,4,Single game,Whose your Daddy?,Out of Pocket,Whose your Daddy?,21,8,,,,,Paq Clifford,Sam Aven,Spencer Sexton,Eli Canon
Pool Play,Expert,Group B,4,Single game,Bone Thugs No Harmony,Minty,Bone Thugs No Harmony,21,15,,,,,Yanai Hamel-Sasson,Jackson Carpenter,Parker Mckinney,Andrew Felty
Pool Play,Expert,Group A,5,Single game,Sugar Rush,Slight,Sugar Rush,21,12,,,,,Jacob Narayan,Kyle Fowler,Owen Bass,Grant Marshall
Pool Play,Expert,Group A,5,Single game,"Too much sauce ",clarked and loaded,"Too much sauce ",21,19,,,,,Sean Caufield,Austin Niles,Ellis Bass,Bradley Clark
Pool Play,Expert,Group B,5,Single game,Bro Code,Whose your Daddy?,Bro Code,21,16,,,,,Peyton Stack,Andrew Yancey,Paq Clifford,Sam Aven
Pool Play,Expert,Group B,5,Single game,Out of Pocket,Bone Thugs No Harmony,Out of Pocket,21,15,,,,,Spencer Sexton,Eli Canon,Yanai Hamel-Sasson,Jackson Carpenter
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,Out of Pocket,Holy Smokes,Out of Pocket,1,0,1,0,,,Spencer Sexton,Eli Canon,Salvatore Guagenti,Billy Jung
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,Slight,Minty,Slight,21,15,21,9,,,Owen Bass,Grant Marshall,Parker Mckinney,Andrew Felty
Bracket Stage,Expert,Bracket A,Quarter-final,Best of 3,Sugar Rush,Slight,Sugar Rush,21,7,21,17,,,Jacob Narayan,Kyle Fowler,Owen Bass,Grant Marshall
Bracket Stage,Expert,Bracket A,Quarter-final,Best of 3,Bro Code,Out of Pocket,Bro Code,21,17,21,14,,,Peyton Stack,Andrew Yancey,Spencer Sexton,Eli Canon
Bracket Stage,Expert,Bracket A,Quarter-final,Best of 3,"Too much sauce ",Bone Thugs No Harmony,"Too much sauce ",22,20,22,20,,,Sean Caufield,Austin Niles,Yanai Hamel-Sasson,Jackson Carpenter
Bracket Stage,Expert,Bracket A,Quarter-final,Best of 3,Whose your Daddy?,clarked and loaded,Whose your Daddy?,19,21,21,9,21,18,Paq Clifford,Sam Aven,Ellis Bass,Bradley Clark
Bracket Stage,Expert,Bracket A,Semi-final,Best of 3,Sugar Rush,Whose your Daddy?,Sugar Rush,21,18,21,16,,,Jacob Narayan,Kyle Fowler,Paq Clifford,Sam Aven
Bracket Stage,Expert,Bracket A,Semi-final,Best of 3,Bro Code,"Too much sauce ",Bro Code,21,15,21,18,,,Peyton Stack,Andrew Yancey,Sean Caufield,Austin Niles
Bracket Stage,Expert,Bracket A,P5: Semi-final,Single game,clarked and loaded,Slight,clarked and loaded,1,0,,,,,Ellis Bass,Bradley Clark,Owen Bass,Grant Marshall
Bracket Stage,Expert,Bracket A,P5: Semi-final,Single game,Bone Thugs No Harmony,Out of Pocket,Out of Pocket,19,21,,,,,Yanai Hamel-Sasson,Jackson Carpenter,Spencer Sexton,Eli Canon
