Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Expert,Group A,1,Single game,Simulmaxxing,Two Bodacious Latino Women,Simulmaxxing,21,18,,,,,Jake Dooley,Kyle Fowler,Justin Kehoe,Sam Bunze
Pool Play,Expert,Group A,1,Single game,Jawn,Spike Bros,Jawn,21,16,,,,,John Mankowich,John Buchanan,Chase Bremner,Cullen Bremner
Pool Play,Expert,Group B,1,Single game,Set Apart,Sonic Boom,Set Apart,21,11,,,,,Jacob Summers,Andrew Greer,Benjamin Bunze,Connor Harte
Pool Play,Expert,Group B,1,Single game,it happened once in a dream,"Call(foot)ballers ",it happened once in a dream,21,15,,,,,Bradley Clark,Cole Maddox,Austin Niles,Noah Kopetic
Pool Play,Expert,Group C,1,Single game,KAB Crumb,LeBrandon/LeStef,KAB Crumb,21,6,,,,,Paq Clifford,Peyton Stack,Stef Ding,Brandon Stokes
Pool Play,Expert,Group C,1,Single game,Aim Assist,KAB Sam/Polk,KAB Sam/Polk,7,21,,,,,Jared Beaufait,Adam Porter,Sam Aven,Polk Denmark
Pool Play,Expert,Group A,2,Single game,Simulmaxxing,Spike Bros,Simulmaxxing,21,14,,,,,Jake Dooley,Kyle Fowler,Chase Bremner,Cullen Bremner
Pool Play,Expert,Group A,2,Single game,Brenna’s Mom,Two Bodacious Latino Women,Brenna’s Mom,21,14,,,,,Kurt Lannetti,Eli Canon,Justin Kehoe,Sam Bunze
Pool Play,Expert,Group B,2,Single game,Set Apart,"Call(foot)ballers ",Set Apart,21,19,,,,,Jacob Summers,Andrew Greer,Austin Niles,Noah Kopetic
Pool Play,Expert,Group B,2,Single game,Voodoo,Sonic Boom,Voodoo,21,9,,,,,Diego Lopez,Drew Ryder,Benjamin Bunze,Connor Harte
Pool Play,Expert,Group C,2,Single game,KAB Crumb,KAB Sam/Polk,KAB Crumb,25,23,,,,,Paq Clifford,Peyton Stack,Sam Aven,Polk Denmark
Pool Play,Expert,Group C,2,Single game,Doozy Does It,LeBrandon/LeStef,Doozy Does It,21,14,,,,,Sean Caufield,Spencer Sexton,Stef Ding,Brandon Stokes
Pool Play,Expert,Group A,3,Single game,Simulmaxxing,Brenna’s Mom,Simulmaxxing,21,17,,,,,Jake Dooley,Kyle Fowler,Kurt Lannetti,Eli Canon
Pool Play,Expert,Group A,3,Single game,Jawn,Two Bodacious Latino Women,Jawn,21,14,,,,,John Mankowich,John Buchanan,Justin Kehoe,Sam Bunze
Pool Play,Expert,Group B,3,Single game,Set Apart,Voodoo,Set Apart,21,19,,,,,Jacob Summers,Andrew Greer,Diego Lopez,Drew Ryder
Pool Play,Expert,Group B,3,Single game,it happened once in a dream,Sonic Boom,it happened once in a dream,21,10,,,,,Bradley Clark,Cole Maddox,Benjamin Bunze,Connor Harte
Pool Play,Expert,Group C,3,Single game,KAB Crumb,Doozy Does It,KAB Crumb,21,14,,,,,Paq Clifford,Peyton Stack,Sean Caufield,Spencer Sexton
Pool Play,Expert,Group C,3,Single game,Aim Assist,LeBrandon/LeStef,Aim Assist,21,10,,,,,Jared Beaufait,Adam Porter,Stef Ding,Brandon Stokes
Pool Play,Expert,Group A,4,Single game,Jawn,Brenna’s Mom,Jawn,22,20,,,,,John Mankowich,John Buchanan,Kurt Lannetti,Eli Canon
Pool Play,Expert,Group A,4,Single game,Spike Bros,Two Bodacious Latino Women,Spike Bros,21,13,,,,,Chase Bremner,Cullen Bremner,Justin Kehoe,Sam Bunze
Pool Play,Expert,Group B,4,Single game,it happened once in a dream,Voodoo,Voodoo,18,21,,,,,Bradley Clark,Cole Maddox,Diego Lopez,Drew Ryder
Pool Play,Expert,Group B,4,Single game,"Call(foot)ballers ",Sonic Boom,"Call(foot)ballers ",21,17,,,,,Austin Niles,Noah Kopetic,Benjamin Bunze,Connor Harte
Pool Play,Expert,Group C,4,Single game,Aim Assist,Doozy Does It,Doozy Does It,20,22,,,,,Jared Beaufait,Adam Porter,Sean Caufield,Spencer Sexton
Pool Play,Expert,Group C,4,Single game,KAB Sam/Polk,LeBrandon/LeStef,KAB Sam/Polk,21,14,,,,,Sam Aven,Polk Denmark,Stef Ding,Brandon Stokes
Pool Play,Expert,Group A,5,Single game,Simulmaxxing,Jawn,Simulmaxxing,21,12,,,,,Jake Dooley,Kyle Fowler,John Mankowich,John Buchanan
Pool Play,Expert,Group A,5,Single game,Brenna’s Mom,Spike Bros,Brenna’s Mom,21,13,,,,,Kurt Lannetti,Eli Canon,Chase Bremner,Cullen Bremner
Pool Play,Expert,Group B,5,Single game,Set Apart,it happened once in a dream,Set Apart,21,16,,,,,Jacob Summers,Andrew Greer,Bradley Clark,Cole Maddox
Pool Play,Expert,Group B,5,Single game,Voodoo,"Call(foot)ballers ",Voodoo,21,14,,,,,Diego Lopez,Drew Ryder,Austin Niles,Noah Kopetic
Pool Play,Expert,Group C,5,Single game,KAB Crumb,Aim Assist,KAB Crumb,21,14,,,,,Paq Clifford,Peyton Stack,Jared Beaufait,Adam Porter
Pool Play,Expert,Group C,5,Single game,Doozy Does It,KAB Sam/Polk,Doozy Does It,21,17,,,,,Sean Caufield,Spencer Sexton,Sam Aven,Polk Denmark
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,Simulmaxxing,LeBrandon/LeStef,Simulmaxxing,21,6,21,10,,,Jake Dooley,Kyle Fowler,Stef Ding,Brandon Stokes
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,Set Apart,Sonic Boom,Set Apart,1,0,1,0,,,Jacob Summers,Andrew Greer,Benjamin Bunze,Connor Harte
Bracket Stage,Expert,Bracket A,Round of 16,Best of 3,Voodoo,Two Bodacious Latino Women,Voodoo,21,10,21,18,,,Diego Lopez,Drew Ryder,Justin Kehoe,Sam Bunze
